"LawaSiteID","Measurement","nMeasures","nFirstYear","nLastYear","numMonths","numQuarters","numYears","Observations","KWstat","pvalue","nObs","S","VarS","D","tau","Z","p","MKProbability","AnalysisNote","prop.censored","prop.unique","no.censorlevels","Median","Sen_VarS","AnnualSenSlope","Intercept","Lci","Uci","AnalysisNoteSS","Sen_Probability","Probabilitymax","Probabilitymin","Percent.annual.change","standard","ConfCat","period","frequency","Agency","SWQAltitude","SWQLanduse","Region","TrendScore","CouncilSiteID"
"arc-00001","MCI",15,1,1,NA,NA,15,15,14,0.449711055848699,15,-14,407.333333333333,105,-0.133333333333333,-0.644122361839175,0.519496090710238,0.740251954644881,"ok",0,0.933333333333333,0,103.3,407.333333333333,-0.242065537555227,103.412963917526,-1.17958309760876,0.687192421232335,"WARNING: Sen slope influenced by censored values",0.771325179578243,0.771325179578243,0.771325179578243,-0.234332562976987,NA,"Likely degrading",15,"yearly","ac","Unstated",NA,"auckland",-1,"44618"
"arc-00003","MCI",15,1,1,NA,NA,15,15,14,0.449711055848699,15,-49,408.333333333333,105,-0.466666666666667,-2.37538396466589,0.0175307033730538,0.991234648313473,"ok",0,1,0,62.9,408.333333333333,-1.24032192339038,63.4788168975822,-2.0371974189748,-0.534281315619628,"WARNING: Sen slope influenced by censored values",0.993705372472632,0.993705372472632,0.993705372472632,-1.97189494974624,NA,"Very likely degrading",15,"yearly","ac","Unstated",NA,"auckland",-2,"45369"
"arc-00008","MCI",15,1,1,NA,NA,15,15,14,0.449711055848699,15,-55,408.333333333333,105,-0.523809523809524,-2.67230696024912,0.00753317033863211,0.996233414830684,"ok",0,1,0,92.6,408.333333333333,-0.989771976206211,93.0618935888962,-1.67509410968931,-0.362627631760964,"WARNING: Sen slope influenced by censored values",0.997209072449773,0.997209072449773,0.997209072449773,-1.06886822484472,NA,"Very likely degrading",15,"yearly","ac","Unstated",NA,"auckland",-2,"6604"
"arc-00009","MCI",15,1,1,NA,NA,15,15,14,0.449711055848699,15,15,408.333333333333,105,0.142857142857143,0.692820323027551,0.488422316622593,0.244211158311297,"ok",0,1,0,75.5,408.333333333333,0.557026143790849,75.2400544662309,-0.578179901238254,1.18647180312192,"WARNING: Sen slope influenced by censored values",0.233302065077801,0.233302065077801,0.233302065077801,0.737782971908409,NA,"Likely improving",15,"yearly","ac","Unstated",NA,"auckland",1,"1043824"
"arc-00010","MCI",15,1,1,NA,NA,15,15,14,0.449711055848699,15,36,407.333333333333,105,0.342857142857143,1.73417558956701,0.0828869327499279,0.0414434663749639,"ok",0,0.933333333333333,0,65.3,407.333333333333,0.548154670750383,65.0441944869831,0.0229745636198788,1.07593846472441,"WARNING: Sen slope influenced by censored values",0.0414434663749639,0.0414434663749639,0.0414434663749639,0.839440537136881,NA,"Very likely improving",15,"yearly","ac","Unstated",NA,"auckland",2,"8177"
"arc-00013","MCI",15,1,1,NA,NA,15,15,14,0.449711055848699,15,20,407.333333333333,105,0.19047619047619,0.941409605764948,0.346494992903782,0.173247496451891,"ok",0,0.933333333333333,0,85.6,407.333333333333,0.452971869328495,85.3886131276467,-0.18457417270058,1.10739160399057,"WARNING: Sen slope influenced by censored values",0.173247496451891,0.173247496451891,0.173247496451891,0.529172744542634,NA,"Likely improving",15,"yearly","ac","Unstated",NA,"auckland",1,"7925"
"arc-00016","MCI",13,1,1,NA,NA,13,13,12,0.445679641364611,13,-18,268.666666666667,78,-0.230769230769231,-1.03715108934716,0.299665448434302,0.850167275782849,"ok",0,1,0,49.1,268.666666666667,-0.429773557853344,49.2983570267015,-1.22328688720577,0.475208216904989,"WARNING: Sen slope influenced by censored values",0.868986129322236,0.868986129322236,0.868986129322236,-0.875302561819438,NA,"Likely degrading",15,"yearly","ac","Unstated",NA,"auckland",-1,"8241"
"arc-00017","MCI",15,1,1,NA,NA,15,15,14,0.449711055848699,15,1,408.333333333333,105,0.00952380952380952,0,1,0.5,"ok",0,1,0,65.2,408.333333333333,0.100205761316871,65.1532373113855,-1.0322926028276,1.09779819093058,"WARNING: Sen slope influenced by censored values",0.492114889560121,0.492114889560121,0.492114889560121,0.153689817970662,NA,"Indeterminate",15,"yearly","ac","Unstated",NA,"auckland",0,"107801"
"arc-00021","MCI",13,1,1,NA,NA,13,13,12,0.445679641364611,13,0,268.666666666667,78,0,0,1,0.5,"ok",0,1,0,57.5,268.666666666667,0.0182885801646136,57.4915591168471,-0.752335849276634,0.451725675012816,"WARNING: Sen slope influenced by censored values",0.519926775306162,0.519926775306162,0.519926775306162,0.031806226373241,NA,"Indeterminate",15,"yearly","ac","Unstated",NA,"auckland",0,"1043825"
"arc-00024","MCI",15,1,1,NA,NA,15,15,14,0.449711055848699,15,-9,408.333333333333,105,-0.0857142857142857,-0.395897327444315,0.692180772721877,0.653909613639062,"ok",0,1,0,59.8,408.333333333333,-0.138953804347827,59.8648451086956,-0.950766153947446,0.877939640689793,"WARNING: Sen slope influenced by censored values",0.693189235943106,0.693189235943106,0.693189235943106,-0.232364221317436,NA,"Indeterminate",15,"yearly","ac","Unstated",NA,"auckland",0,"7527"
