"LAWAID","Parameter","Trend"
"arc-00001","MCI",1
"arc-00003","MCI",-1
"arc-00008","MCI",-1
"arc-00009","MCI",0
"arc-00010","MCI",0
"arc-00013","MCI",1
"arc-00016","MCI",0
"arc-00017","MCI",-1
"arc-00021","MCI",0
"arc-00024","MCI",-2
"arc-00025","MCI",-2
"arc-00027","MCI",1
"arc-00028","MCI",NA
"arc-00030","MCI",0
"arc-00031","MCI",NA
"arc-00033","MCI",NA
"arc-00036","MCI",NA
"arc-00037","MCI",2
"arc-00038","MCI",-1
"arc-00113","MCI",0
"arc-00114","MCI",0
"arc-00115","MCI",NA
"arc-00116","MCI",1
"arc-00124","MCI",-2
"arc-00125","MCI",NA
"arc-00126","MCI",1
"arc-00128","MCI",-1
"arc-00131","MCI",NA
"arc-00132","MCI",-2
"arc-00134","MCI",0
"arc-00135","MCI",-2
"arc-00138","MCI",-1
"arc-00139","MCI",-2
"arc-00141","MCI",NA
"arc-00146","MCI",-1
"arc-00148","MCI",0
"ebop-00011","MCI",NA
"ebop-00016","MCI",-2
"ebop-00045","MCI",0
"ebop-00048","MCI",1
"ebop-00049","MCI",0
"ebop-00053","MCI",1
"ebop-00079","MCI",-1
"ebop-00106","MCI",NA
"ebop-00107","MCI",-1
"ebop-00108","MCI",-1
"ebop-00109","MCI",-2
"ebop-00110","MCI",-2
"ebop-00111","MCI",0
"ebop-00112","MCI",2
"ebop-00113","MCI",-1
"ebop-00114","MCI",0
"ebop-00115","MCI",NA
"ebop-00116","MCI",0
"ebop-00117","MCI",2
"ebop-00118","MCI",-1
"ebop-00119","MCI",NA
"ebop-00123","MCI",-1
"ebop-00124","MCI",0
"ebop-00125","MCI",NA
"ebop-00126","MCI",0
"ebop-00127","MCI",-2
"ebop-00128","MCI",0
"ebop-00129","MCI",0
"ebop-00130","MCI",1
"ebop-00131","MCI",1
"ebop-00132","MCI",2
"ebop-00133","MCI",-1
"ebop-00134","MCI",0
"ebop-00135","MCI",0
"ebop-00136","MCI",NA
"ebop-00137","MCI",0
"ebop-00138","MCI",NA
"ebop-00140","MCI",NA
"ebop-00141","MCI",0
"ebop-00142","MCI",-1
"ebop-00144","MCI",-2
"ebop-00145","MCI",0
"ebop-00146","MCI",-1
"ebop-00147","MCI",-2
"ebop-00148","MCI",NA
"ebop-00149","MCI",-2
"ebop-00150","MCI",0
"ebop-00151","MCI",0
"ebop-00152","MCI",-2
"ebop-00153","MCI",0
"ebop-00154","MCI",0
"ebop-00155","MCI",0
"ebop-00156","MCI",0
"ebop-00157","MCI",-1
"ebop-00158","MCI",NA
"ebop-00159","MCI",NA
"ebop-00160","MCI",0
"ebop-00161","MCI",0
"ebop-00163","MCI",0
"ebop-00164","MCI",-1
"ebop-00165","MCI",NA
"ebop-00166","MCI",1
"ebop-00167","MCI",0
"ebop-00168","MCI",0
"ebop-00169","MCI",0
"ebop-00170","MCI",0
"ebop-00172","MCI",NA
"ebop-00173","MCI",0
"ebop-00174","MCI",-1
"ebop-00175","MCI",NA
"ebop-00176","MCI",NA
"ebop-00177","MCI",NA
"ebop-00178","MCI",-1
"ebop-00179","MCI",NA
"ebop-00180","MCI",NA
"ebop-00182","MCI",-2
"ebop-00183","MCI",0
"ebop-00184","MCI",1
"ebop-00185","MCI",0
"ebop-00186","MCI",2
"ebop-00187","MCI",NA
"ebop-00188","MCI",0
"ebop-00191","MCI",-1
"ebop-00192","MCI",-2
"ebop-00193","MCI",0
"ebop-00194","MCI",2
"ebop-00195","MCI",0
"ebop-00196","MCI",NA
"ebop-00197","MCI",0
"ebop-00198","MCI",-2
"ebop-00199","MCI",0
"ebop-00200","MCI",0
"ebop-00201","MCI",-1
"ebop-00202","MCI",0
"ebop-00203","MCI",-2
"ebop-00204","MCI",NA
"ebop-00205","MCI",-2
"ebop-00206","MCI",NA
"ebop-00207","MCI",NA
"ebop-00208","MCI",NA
"ebop-00209","MCI",NA
"ebop-00210","MCI",NA
"ebop-00211","MCI",NA
"ebop-00212","MCI",NA
"ebop-00213","MCI",NA
"ebop-00214","MCI",NA
"ebop-00221","MCI",NA
"ebop-00223","MCI",NA
"ebop-00223_niwa","MCI",0
"ebop-00224","MCI",NA
"ebop-00225","MCI",1
"ebop-10029","MCI",-1
"ebop-10031","MCI",NA
"ecan-00005","MCI",-2
"ecan-00013","MCI",0
"ecan-00014","MCI",2
"ecan-00020","MCI",0
"ecan-00031","MCI",-2
"ecan-00033","MCI",-2
"ecan-00035","MCI",0
"ecan-00040","MCI",-1
"ecan-00044","MCI",1
"ecan-00046","MCI",2
"ecan-00052","MCI",-1
"ecan-00053","MCI",2
"ecan-00054","MCI",-2
"ecan-00055","MCI",0
"ecan-00057","MCI",-1
"ecan-00062","MCI",0
"ecan-00065","MCI",0
"ecan-00070","MCI",0
"ecan-00071","MCI",-1
"ecan-00072","MCI",0
"ecan-00080","MCI",2
"ecan-00081","MCI",1
"ecan-00084","MCI",-1
"ecan-00086","MCI",0
"ecan-00088","MCI",-2
"ecan-00090","MCI",0
"ecan-00091","MCI",-1
"ecan-00102","MCI",0
"ecan-00104","MCI",-2
"ecan-00106","MCI",0
"ecan-00107","MCI",-2
"ecan-00117","MCI",0
"ecan-00122","MCI",1
"ecan-00123","MCI",0
"ecan-00124","MCI",-1
"ecan-00128","MCI",2
"ecan-00129","MCI",0
"ecan-00130","MCI",-1
"ecan-00133","MCI",0
"ecan-00134","MCI",-2
"ecan-00145","MCI",-2
"ecan-00148","MCI",1
"ecan-00154","MCI",-1
"ecan-00160","MCI",-2
"ecan-00170","MCI",1
"ecan-00176","MCI",-1
"ecan-00177","MCI",-1
"ecan-00178","MCI",-2
"ecan-00179","MCI",-1
"ecan-00182","MCI",2
"ecan-00183","MCI",-1
"ecan-10004","MCI",-2
"ecan-10028","MCI",-1
"ecan-10033","MCI",-1
"ecan-10038","MCI",-2
"es-00001","MCI",-1
"es-00001_niwa","MCI",-2
"es-00002","MCI",0
"es-00004","MCI",NA
"es-00006","MCI",-2
"es-00007","MCI",NA
"es-00008","MCI",NA
"es-00009","MCI",-2
"es-00010","MCI",NA
"es-00011","MCI",0
"es-00011_niwa","MCI",NA
"es-00012","MCI",0
"es-00013","MCI",0
"es-00014","MCI",2
"es-00015","MCI",0
"es-00016","MCI",-1
"es-00017","MCI",-1
"es-00018","MCI",0
"es-00019","MCI",-1
"es-00021","MCI",0
"es-00021_niwa","MCI",-1
