"LAWAID","Parameter","Median"
"arc-00001","MCI",102.1
"arc-00001","PercentageEPTTaxa",42.1
"arc-00001","TaxaRichness",31
"arc-00003","MCI",59.6
"arc-00003","PercentageEPTTaxa",0
"arc-00003","TaxaRichness",21
"arc-00008","MCI",88.6
"arc-00008","PercentageEPTTaxa",21.7
"arc-00008","TaxaRichness",20
"arc-00009","MCI",76.8
"arc-00009","PercentageEPTTaxa",14.8
"arc-00009","TaxaRichness",26
"arc-00010","MCI",69.5
"arc-00010","PercentageEPTTaxa",6.2
"arc-00010","TaxaRichness",16
"arc-00013","MCI",93.7
"arc-00013","PercentageEPTTaxa",27.8
"arc-00013","TaxaRichness",34
"arc-00016","MCI",51.8
"arc-00016","PercentageEPTTaxa",0
"arc-00016","TaxaRichness",17
"arc-00017","MCI",66.8
"arc-00017","PercentageEPTTaxa",7.7
"arc-00017","TaxaRichness",16
"arc-00021","MCI",57
"arc-00021","PercentageEPTTaxa",4.5
"arc-00021","TaxaRichness",22
"arc-00024","MCI",59.8
"arc-00024","PercentageEPTTaxa",0
"arc-00024","TaxaRichness",25
"arc-00025","MCI",92.1
"arc-00025","PercentageEPTTaxa",33.3
"arc-00025","TaxaRichness",26
"arc-00027","MCI",116.85
"arc-00027","PercentageEPTTaxa",32.7
"arc-00027","TaxaRichness",21
"arc-00028","MCI",56.4
"arc-00028","PercentageEPTTaxa",0
"arc-00028","TaxaRichness",13
"arc-00030","MCI",132.1
"arc-00030","PercentageEPTTaxa",57.6
"arc-00030","TaxaRichness",32
"arc-00031","MCI",108.3
"arc-00031","PercentageEPTTaxa",20
"arc-00031","TaxaRichness",21
"arc-00033","MCI",84.4
"arc-00033","PercentageEPTTaxa",20.5
"arc-00033","TaxaRichness",33
"arc-00036","MCI",59.3
"arc-00036","PercentageEPTTaxa",5.9
"arc-00036","TaxaRichness",22
"arc-00037","MCI",69.4
"arc-00037","PercentageEPTTaxa",9.4
"arc-00037","TaxaRichness",29
"arc-00038","MCI",112.7
"arc-00038","PercentageEPTTaxa",35
"arc-00038","TaxaRichness",20
"arc-00113","MCI",69.7
"arc-00113","PercentageEPTTaxa",5.6
"arc-00113","TaxaRichness",33
"arc-00114","MCI",86.1
"arc-00114","PercentageEPTTaxa",8
"arc-00114","TaxaRichness",25
"arc-00115","MCI",99.2
"arc-00115","PercentageEPTTaxa",29.6
"arc-00115","TaxaRichness",27
"arc-00116","MCI",87.6
"arc-00116","PercentageEPTTaxa",16
"arc-00116","TaxaRichness",20
"arc-00124","MCI",54.1
"arc-00124","PercentageEPTTaxa",8.3
"arc-00124","TaxaRichness",18
"arc-00125","MCI",126.5
"arc-00125","PercentageEPTTaxa",33.3
"arc-00125","TaxaRichness",17
"arc-00126","MCI",110.75
"arc-00126","PercentageEPTTaxa",39.8
"arc-00126","TaxaRichness",29.5
"arc-00128","MCI",128.2
"arc-00128","PercentageEPTTaxa",60.5
"arc-00128","TaxaRichness",34
"arc-00131","MCI",80.7
"arc-00131","PercentageEPTTaxa",4.8
"arc-00131","TaxaRichness",21
"arc-00132","MCI",119.7
"arc-00132","PercentageEPTTaxa",36.4
"arc-00132","TaxaRichness",19
"arc-00134","MCI",101.3
"arc-00134","PercentageEPTTaxa",11.1
"arc-00134","TaxaRichness",16
"arc-00135","MCI",90.8
"arc-00135","PercentageEPTTaxa",16.7
"arc-00135","TaxaRichness",21
"arc-00138","MCI",133.5
"arc-00138","PercentageEPTTaxa",56.2
"arc-00138","TaxaRichness",32
"arc-00139","MCI",104.4
"arc-00139","PercentageEPTTaxa",18.8
"arc-00139","TaxaRichness",16
"arc-00141","MCI",98.1
"arc-00141","PercentageEPTTaxa",25
"arc-00141","TaxaRichness",31
"arc-00146","MCI",115.5
"arc-00146","PercentageEPTTaxa",31
"arc-00146","TaxaRichness",21
"arc-00148","MCI",125
"arc-00148","PercentageEPTTaxa",55.6
"arc-00148","TaxaRichness",36
"ebop-00011","MCI",103.766071425
"ebop-00011","PercentageEPTTaxa",49.286
"ebop-00011","TaxaRichness",13
"ebop-00016","MCI",93.959
"ebop-00016","PercentageEPTTaxa",45.42488889
"ebop-00016","TaxaRichness",15.5
"ebop-00045","MCI",115
"ebop-00045","PercentageEPTTaxa",60
"ebop-00045","TaxaRichness",15
"ebop-00048","MCI",113.194444444444
"ebop-00048","PercentageEPTTaxa",54.3650793650794
"ebop-00048","TaxaRichness",20.5
"ebop-00049","MCI",91.7647058823529
"ebop-00049","PercentageEPTTaxa",47.3684210526316
"ebop-00049","TaxaRichness",19
"ebop-00053","MCI",120.434782608696
"ebop-00053","PercentageEPTTaxa",56.5217391304348
"ebop-00053","TaxaRichness",23
"ebop-00079","MCI",112.089
"ebop-00079","PercentageEPTTaxa",30.1515
"ebop-00079","TaxaRichness",19
"ebop-00106","MCI",103.36821055
"ebop-00106","PercentageEPTTaxa",39.13
"ebop-00106","TaxaRichness",19
"ebop-00107","MCI",101.325019225
"ebop-00107","PercentageEPTTaxa",43.8135
"ebop-00107","TaxaRichness",19.5
"ebop-00108","MCI",123.7475
"ebop-00108","PercentageEPTTaxa",55.9195
"ebop-00108","TaxaRichness",26
"ebop-00109","MCI",92.231
"ebop-00109","PercentageEPTTaxa",38.4614615375
"ebop-00109","TaxaRichness",13
"ebop-00110","MCI",133.53275
"ebop-00110","PercentageEPTTaxa",62.856014705
"ebop-00110","TaxaRichness",29
"ebop-00111","MCI",123.3325
"ebop-00111","PercentageEPTTaxa",51.963
"ebop-00111","TaxaRichness",26.5
"ebop-00112","MCI",119.852
"ebop-00112","PercentageEPTTaxa",54.051
"ebop-00112","TaxaRichness",27
"ebop-00113","MCI",93.8756973675
"ebop-00113","PercentageEPTTaxa",26.5039868425
"ebop-00113","TaxaRichness",14.5
"ebop-00114","MCI",116.923
"ebop-00114","PercentageEPTTaxa",52.024
"ebop-00114","TaxaRichness",23
"ebop-00115","MCI",131.0195
"ebop-00115","PercentageEPTTaxa",59.98625
"ebop-00115","TaxaRichness",26
"ebop-00116","MCI",124.112583325
"ebop-00116","PercentageEPTTaxa",56.4104166675
"ebop-00116","TaxaRichness",20.5
"ebop-00117","MCI",111.6664762
"ebop-00117","PercentageEPTTaxa",36.59125
"ebop-00117","TaxaRichness",17.5
"ebop-00118","MCI",111.582
"ebop-00118","PercentageEPTTaxa",44.0705833325
"ebop-00118","TaxaRichness",21.5
"ebop-00119","MCI",103.006583325
"ebop-00119","PercentageEPTTaxa",37.8654722225
"ebop-00119","TaxaRichness",19.5
"ebop-00123","MCI",128.294
"ebop-00123","PercentageEPTTaxa",65.0001666675
"ebop-00123","TaxaRichness",25
"ebop-00124","MCI",99.455227275
"ebop-00124","PercentageEPTTaxa",35.3850227275
"ebop-00124","TaxaRichness",20
"ebop-00125","MCI",111.228
"ebop-00125","PercentageEPTTaxa",39.6825
"ebop-00125","TaxaRichness",20.25
"ebop-00126","MCI",124.97425
"ebop-00126","PercentageEPTTaxa",56.087
"ebop-00126","TaxaRichness",24
"ebop-00127","MCI",121.48149075
"ebop-00127","PercentageEPTTaxa",51.38888889
"ebop-00127","TaxaRichness",30
"ebop-00128","MCI",135.81825
"ebop-00128","PercentageEPTTaxa",66.02575
"ebop-00128","TaxaRichness",24.5
"ebop-00129","MCI",118.809
"ebop-00129","PercentageEPTTaxa",49.85725
"ebop-00129","TaxaRichness",27.5
"ebop-00130","MCI",128.3845
"ebop-00130","PercentageEPTTaxa",50.5715
"ebop-00130","TaxaRichness",22
"ebop-00131","MCI",90.41675
"ebop-00131","PercentageEPTTaxa",28.4720833325
"ebop-00131","TaxaRichness",21.5
"ebop-00132","MCI",82.074
"ebop-00132","PercentageEPTTaxa",28.64825
"ebop-00132","TaxaRichness",16.5
"ebop-00133","MCI",54.17575
"ebop-00133","PercentageEPTTaxa",8.8965
"ebop-00133","TaxaRichness",13.75
"ebop-00134","MCI",117.3265
"ebop-00134","PercentageEPTTaxa",48.6841052625
"ebop-00134","TaxaRichness",24.5
"ebop-00135","MCI",113.47725
"ebop-00135","PercentageEPTTaxa",48.3335
"ebop-00135","TaxaRichness",24.75
"ebop-00137","MCI",120.954522725
"ebop-00137","PercentageEPTTaxa",45.3078863625
"ebop-00137","TaxaRichness",22
"ebop-00138","MCI",107.49975
"ebop-00138","PercentageEPTTaxa",33.8625
"ebop-00138","TaxaRichness",22.5
"ebop-00141","MCI",125.611
"ebop-00141","PercentageEPTTaxa",57.79525
"ebop-00141","TaxaRichness",18.5
"ebop-00142","MCI",110.216583325
"ebop-00142","PercentageEPTTaxa",40.8335
"ebop-00142","TaxaRichness",21.5
"ebop-00144","MCI",62.2425
"ebop-00144","PercentageEPTTaxa",23.611
"ebop-00144","TaxaRichness",12.75
"ebop-00145","MCI",113.69358695
"ebop-00145","PercentageEPTTaxa",52.0835
"ebop-00145","TaxaRichness",23.5
"ebop-00146","MCI",100.809
"ebop-00146","PercentageEPTTaxa",45.4545
"ebop-00146","TaxaRichness",20
"ebop-00147","MCI",127.0835
"ebop-00147","PercentageEPTTaxa",61.97375
"ebop-00147","TaxaRichness",17.25
"ebop-00148","MCI",109.4445
"ebop-00148","PercentageEPTTaxa",61.3245
"ebop-00148","TaxaRichness",12.5
"ebop-00149","MCI",107.57
