"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"aparima river at dunrobin","MCI","2013-01-29","2018-03-21","6","115","134"
"aparima river at dunrobin","TaxaRichness","2013-01-29","2018-03-21","6","14","25"
"aparima river at dunrobin","PercentageEPTTaxa","2013-01-29","2018-03-21","6","52","90.25"
"aparima river at otautau","MCI","2011-12-22","2015-01-29","4","103","111"
"aparima river at otautau","TaxaRichness","2011-12-22","2015-01-29","4","12","15"
"aparima river at otautau","PercentageEPTTaxa","2011-12-22","2015-01-29","4","50","94.38"
"aparima river at thornbury","MCI","2004-01-16","2018-01-22","14","81","122"
"aparima river at thornbury","TaxaRichness","2004-01-16","2018-01-22","14","10","27"
"aparima river at thornbury","PercentageEPTTaxa","2004-01-16","2018-01-22","14","25.93","70"
"bog burn d/s hundred line road","MCI","2012-02-07","2018-04-09","7","90","103"
"bog burn d/s hundred line road","TaxaRichness","2012-02-07","2018-04-09","7","20","29"
"bog burn d/s hundred line road","PercentageEPTTaxa","2012-02-07","2018-04-09","7","32","59.72"
"cascade stream at pourakino valley road","MCI","2004-01-16","2018-01-24","13","109","128"
"cascade stream at pourakino valley road","TaxaRichness","2004-01-16","2018-01-24","13","11","31"
"cascade stream at pourakino valley road","PercentageEPTTaxa","2004-01-16","2018-01-24","13","52","72.73"
"cromel stream at selbie road","MCI","2004-01-15","2018-04-09","13","115","133"
"cromel stream at selbie road","TaxaRichness","2004-01-15","2018-04-09","13","13","27"
"cromel stream at selbie road","PercentageEPTTaxa","2004-01-15","2018-04-09","13","50","68.71"
"dipton stream at south hillend-dipton rd","MCI","2004-01-19","2018-04-09","13","91","111"
"dipton stream at south hillend-dipton rd","TaxaRichness","2004-01-19","2018-04-09","13","12","26"
"dipton stream at south hillend-dipton rd","PercentageEPTTaxa","2004-01-19","2018-04-09","13","38","77.8"
"dunsdale stream at dunsdale reserve","MCI","2004-01-26","2018-01-31","14","115","137"
"dunsdale stream at dunsdale reserve","TaxaRichness","2004-01-26","2018-01-31","14","21","39"
"dunsdale stream at dunsdale reserve","PercentageEPTTaxa","2004-01-26","2018-01-31","14","46.15","76.19"
"eglington river at mckay creek confluence","MCI","2004-04-30","2018-03-15","10","113","142"
"eglington river at mckay creek confluence","TaxaRichness","2004-04-30","2018-03-15","10","8","26"
"eglington river at mckay creek confluence","PercentageEPTTaxa","2004-04-30","2018-03-15","10","54.55","70.59"
"hamilton burn at affleck road","MCI","2011-12-20","2018-03-21","5","90","105"
"hamilton burn at affleck road","TaxaRichness","2011-12-20","2018-03-21","5","18","29"
"hamilton burn at affleck road","PercentageEPTTaxa","2011-12-20","2018-03-21","5","44","80.23"
"hamilton burn at goodall road","MCI","2004-05-03","2018-03-20","14","105","125"
"hamilton burn at goodall road","TaxaRichness","2004-05-03","2018-03-20","14","17","33"
"hamilton burn at goodall road","PercentageEPTTaxa","2004-05-03","2018-03-20","14","43.48","77.66"
"hedgehope stream 20m u/s makarewa confl","MCI","2011-12-14","2018-01-11","7","80","94"
"hedgehope stream 20m u/s makarewa confl","TaxaRichness","2011-12-14","2018-01-11","7","9","25"
"hedgehope stream 20m u/s makarewa confl","PercentageEPTTaxa","2011-12-14","2018-01-11","7","27","78.89"
"hedgehope stream at block road","MCI","2017-03-28","2018-01-31","2","93","112"
"hedgehope stream at block road","TaxaRichness","2017-03-28","2018-01-31","2","23","27"
"hedgehope stream at block road","PercentageEPTTaxa","2017-03-28","2018-01-31","2","41","48"
"hillpoint stream at waikana road","MCI","2004-02-02","2018-04-10","14","86","120"
"hillpoint stream at waikana road","TaxaRichness","2004-02-02","2018-04-10","14","13","31"
"hillpoint stream at waikana road","PercentageEPTTaxa","2004-02-02","2018-04-10","14","35.29","56.25"
"home creek at manapouri","MCI","2004-04-30","2018-03-15","14","98","117"
"home creek at manapouri","TaxaRichness","2004-04-30","2018-03-15","14","17","27"
"home creek at manapouri","PercentageEPTTaxa","2004-04-30","2018-03-15","14","41.18","68.18"
"irthing stream at ellis road","MCI","2004-01-15","2018-03-19","15","112","130"
"irthing stream at ellis road","TaxaRichness","2004-01-15","2018-03-19","15","5","26"
"irthing stream at ellis road","PercentageEPTTaxa","2004-01-15","2018-03-19","15","47.37","89.55"
"lill burn at hindley road","MCI","2012-02-13","2018-02-19","7","102","120"
"lill burn at hindley road","TaxaRichness","2012-02-13","2018-02-19","7","13","29"
"lill burn at hindley road","PercentageEPTTaxa","2012-02-13","2018-02-19","7","38","58"
"lill burn at lill burn-monowai road","MCI","2004-04-29","2018-02-19","15","74","113"
"lill burn at lill burn-monowai road","TaxaRichness","2004-04-29","2018-02-19","15","7","25"
"lill burn at lill burn-monowai road","PercentageEPTTaxa","2004-04-29","2018-02-19","15","27.27","55.56"
"longridge stream at sandstone","MCI","2012-02-08","2018-03-21","7","81","93"
"longridge stream at sandstone","TaxaRichness","2012-02-08","2018-03-21","7","21","27"
"longridge stream at sandstone","PercentageEPTTaxa","2012-02-08","2018-03-21","7","10.26","39.13"
"makarewa river at king road","MCI","2004-01-26","2018-02-16","10","81","111"
"makarewa river at king road","TaxaRichness","2004-01-26","2018-02-16","10","16","32"
"makarewa river at king road","PercentageEPTTaxa","2004-01-26","2018-02-16","10","26","63.16"
"makarewa river at lora gorge road","MCI","2012-01-11","2018-02-16","7","95","108"
"makarewa river at lora gorge road","TaxaRichness","2012-01-11","2018-02-16","7","19","31"
"makarewa river at lora gorge road","PercentageEPTTaxa","2012-01-11","2018-02-16","7","36.24","50"
"makarewa river at wallacetown","MCI","2004-01-29","2018-04-09","14","70","92"
"makarewa river at wallacetown","TaxaRichness","2004-01-29","2018-04-09","14","12","27"
"makarewa river at wallacetown","PercentageEPTTaxa","2004-01-29","2018-04-09","14","17","55.51"
"makarewa river at winton - hedgehope hwy","MCI","2004-01-26","2017-03-16","8","77","92"
"makarewa river at winton - hedgehope hwy","TaxaRichness","2004-01-26","2017-03-16","8","11","27"
"makarewa river at winton - hedgehope hwy","PercentageEPTTaxa","2004-01-26","2017-03-16","8","33.33","45.45"
"makarewa river u/s hedgehope confluence","MCI","2011-12-14","2018-01-11","7","88","104"
"makarewa river u/s hedgehope confluence","TaxaRichness","2011-12-14","2018-01-11","7","13","22"
"makarewa river u/s hedgehope confluence","PercentageEPTTaxa","2011-12-14","2018-01-11","7","42.11","71.21"
"mararoa river at kiwiburn","MCI","2004-02-03","2018-03-14","13","85","123"
"mararoa river at kiwiburn","TaxaRichness","2004-02-03","2018-03-14","13","12","32"
"mararoa river at kiwiburn","PercentageEPTTaxa","2004-02-03","2018-03-14","13","33.33","68.18"
"mararoa river at weir road","MCI","2004-04-30","2018-03-14","14","95","125"
"mararoa river at weir road","TaxaRichness","2004-04-30","2018-03-14","14","13","32"
"mararoa river at weir road","PercentageEPTTaxa","2004-04-30","2018-03-14","14","44","75"
"mataura river 200m d/s mataura bridge","MCI","2004-01-13","2017-02-21","14","0","111"
"mataura river 200m d/s mataura bridge","TaxaRichness","2004-01-13","2017-02-21","14","0","27"
"mataura river 200m d/s mataura bridge","PercentageEPTTaxa","2004-01-13","2017-02-21","14","0","53.33"
"mataura river at garston","MCI","2012-01-31","2018-03-19","7","106","125"
"mataura river at garston","TaxaRichness","2012-01-31","2018-03-19","7","16","25"
"mataura river at garston","PercentageEPTTaxa","2012-01-31","2018-03-19","7","47.37","72.59"
"mataura river at gore","MCI","2009-02-10","2018-03-13","10","91","110"
"mataura river at gore","TaxaRichness","2009-02-10","2018-03-13","10","8","27"
"mataura river at gore","PercentageEPTTaxa","2009-02-10","2018-03-13","10","33.33","88.41"
"mataura river at keowns road bridge","MCI","2017-02-20","2018-03-20","2","120","123"
"mataura river at keowns road bridge","TaxaRichness","2017-02-20","2018-03-20","2","15","21"
"mataura river at keowns road bridge","PercentageEPTTaxa","2017-02-20","2018-03-20","2","57","60"
"mataura river at mataura island bridge","MCI","2004-01-12","2018-01-18","14","78","106"
"mataura river at mataura island bridge","TaxaRichness","2004-01-12","2018-01-18","14","12","27"
"mataura river at mataura island bridge","PercentageEPTTaxa","2004-01-12","2018-01-18","14","30","63.1"
"mataura river at parawa","MCI","2004-01-15","2018-03-19","15","111","131"
"mataura river at parawa","TaxaRichness","2004-01-15","2018-03-19","15","16","34"
"mataura river at parawa","PercentageEPTTaxa","2004-01-15","2018-03-19","15","47","80.34"
"mataura river at pyramid bridge","MCI","2012-02-15","2018-03-21","7","107","115"
"mataura river at pyramid bridge","TaxaRichness","2012-02-15","2018-03-21","7","8","23"
"mataura river at pyramid bridge","PercentageEPTTaxa","2012-02-15","2018-03-21","7","43","94.59"
"mckay creek at milford road","MCI","2004-04-30","2018-03-15","9","103","134"
"mckay creek at milford road","TaxaRichness","2004-04-30","2018-03-15","9","10","21"
"mckay creek at milford road","PercentageEPTTaxa","2004-04-30","2018-03-15","9","46.67","60"
"mimihau stream at wyndham","MCI","2012-01-12","2018-01-17","7","94","100"
"mimihau stream at wyndham","TaxaRichness","2012-01-12","2018-01-17","7","17","30"
"mimihau stream at wyndham","PercentageEPTTaxa","2012-01-12","2018-01-17","7","42","57.56"
"mimihau stream tributary at venlaw forest","MCI","2004-01-12","2018-01-17","13","107","132"
"mimihau stream tributary at venlaw forest","TaxaRichness","2004-01-12","2018-01-17","13","16","32"
"mimihau stream tributary at venlaw forest","PercentageEPTTaxa","2004-01-12","2018-01-17","13","43","69.23"
"moffat creek at moffat road","MCI","2009-02-02","2018-02-20","10","60","89"
"moffat creek at moffat road","TaxaRichness","2009-02-02","2018-02-20","10","6","15"
"moffat creek at moffat road","PercentageEPTTaxa","2009-02-02","2018-02-20","10","0","27"
"mokoreta river at egremont road","MCI","2004-01-12","2018-01-17","10","101","112"
"mokoreta river at egremont road","TaxaRichness","2004-01-12","2018-01-17","10","21","33"
