"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"aropaoanui river at aropaoanui","MCI","2004-02-09","2019-02-27","16","86.7","121"
"aropaoanui river at aropaoanui","TaxaRichness","2004-02-09","2019-02-27","16","11","25"
"aropaoanui river at aropaoanui","PercentageEPTTaxa","2008-02-25","2019-02-27","12","23.7","68.57"
"awanui stream at flume","MCI","2012-03-07","2019-02-13","12","61.25","75.79"
"awanui stream at flume","TaxaRichness","2012-03-07","2019-02-13","12","11","24"
"awanui stream at flume","PercentageEPTTaxa","2012-03-07","2019-02-13","8","0","18.2"
"clive river u/s whakatu rail bridge","MCI","2013-02-13","2019-02-13","7","64.44","78.75"
"clive river u/s whakatu rail bridge","TaxaRichness","2013-02-13","2019-02-13","7","12","23"
"clive river u/s whakatu rail bridge","PercentageEPTTaxa","2013-02-13","2019-02-13","7","1.74","21.1"
"esk river at berry road","MCI","2005-01-28","2019-01-08","14","96","125.88"
"esk river at berry road","TaxaRichness","2005-01-28","2019-01-08","14","15","28"
"esk river at berry road","PercentageEPTTaxa","2008-02-27","2019-01-08","11","42.1","86.37"
"esk river at waipunga bridge","MCI","2004-01-28","2019-02-12","16","94.8","120"
"esk river at waipunga bridge","TaxaRichness","2004-01-28","2019-02-12","16","11","27"
"esk river at waipunga bridge","PercentageEPTTaxa","2008-02-27","2019-02-12","12","0","50"
"hangaroa river at doneraille park","MCI","2005-02-15","2019-02-27","15","86.9","116.19"
"hangaroa river at doneraille park","TaxaRichness","2005-02-15","2019-02-27","15","19","32"
"hangaroa river at doneraille park","PercentageEPTTaxa","2008-02-26","2019-02-27","12","23.5","85.08"
"herehere stream at te aute road","MCI","2007-04-11","2018-02-22","12","65.33","75.8"
"herehere stream at te aute road","TaxaRichness","2007-04-11","2018-02-22","12","9","21"
"herehere stream at te aute road","PercentageEPTTaxa","2008-02-18","2018-02-22","11","0","23.1"
"kahahakuri stream u/s tukituki confl","MCI","2013-02-21","2019-02-20","12","84.62","100"
"kahahakuri stream u/s tukituki confl","TaxaRichness","2013-02-21","2019-02-20","12","13","30"
"kahahakuri stream u/s tukituki confl","PercentageEPTTaxa","2013-02-21","2019-02-20","11","4.05","48.1"
"karewarewa stream at paki paki","MCI","2012-03-07","2018-02-22","7","66.7","78.82"
"karewarewa stream at paki paki","TaxaRichness","2012-03-07","2018-02-22","7","15","18"
"karewarewa stream at paki paki","PercentageEPTTaxa","2012-03-07","2018-02-22","6","0","13.3"
"kopuawhara stream at railway bridge","MCI","2004-02-10","2019-02-28","16","92.2","126.4"
"kopuawhara stream at railway bridge","TaxaRichness","2004-02-10","2019-02-28","16","7","27"
"kopuawhara stream at railway bridge","PercentageEPTTaxa","2008-02-26","2019-02-28","12","15.1","77.3"
"mahiaruhe stream at tutira outlet s.h.2","MCI","2005-02-14","2019-02-27","7","72.6","97.8"
"mahiaruhe stream at tutira outlet s.h.2","TaxaRichness","2005-02-14","2019-02-27","7","9","33"
"mahiaruhe stream at tutira outlet s.h.2","PercentageEPTTaxa","2008-02-25","2019-02-27","6","1.11","48.21"
"makaretu stream at state highway 50","MCI","2004-03-24","2019-02-20","18","108","135"
"makaretu stream at state highway 50","TaxaRichness","2004-03-24","2019-02-20","18","7","30"
"makaretu stream at state highway 50","PercentageEPTTaxa","2008-02-28","2019-02-20","14","28.28","76.6"
"makaroro river at burnt bridge","MCI","2017-03-15","2019-02-20","2","118.82","120.74"
"makaroro river at burnt bridge","TaxaRichness","2017-03-15","2019-02-20","2","17","27"
"makaroro river at burnt bridge","PercentageEPTTaxa","2017-03-15","2019-02-20","2","56.88","66.67"
"mangakuri river at kairakau","MCI","2005-01-31","2019-02-13","15","73.3","98"
"mangakuri river at kairakau","TaxaRichness","2005-01-31","2019-02-13","15","9","25"
"mangakuri river at kairakau","PercentageEPTTaxa","2008-02-11","2019-02-13","12","0.68","40"
"mangaone river at rissington","MCI","2004-02-03","2019-02-19","16","104","130"
"mangaone river at rissington","TaxaRichness","2004-02-03","2019-02-19","16","12","23"
"mangaone river at rissington","PercentageEPTTaxa","2008-02-12","2019-02-19","12","29.1","81.37"
"mangaonuku stream at waipawa tikokino rd","MCI","2007-02-20","2019-02-20","14","82.4","103.3"
"mangaonuku stream at waipawa tikokino rd","TaxaRichness","2007-02-20","2019-02-20","14","16","26"
