"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"14328","MCI","2005-03-02","2018-01-23","14","123.5","134.5"
"14328","TaxaRichness","2005-03-02","2018-01-23","14","25","40"
"14328","PercentageEPTTaxa","2005-03-02","2018-01-23","14","45.5","63.3"
"14371","MCI","2002-01-31","2018-01-25","12","95.71","121.54"
"14371","TaxaRichness","2002-01-31","2018-01-25","12","21","30"
"14371","PercentageEPTTaxa","2002-01-31","2018-01-25","12","27.27","56.7"
"14400","MCI","2004-01-21","2018-03-21","26","131","150.9"
"14400","TaxaRichness","2004-01-21","2018-03-21","26","17","31"
"14400","PercentageEPTTaxa","2004-01-21","2018-03-21","26","54.2","76"
"14406","MCI","2002-02-07","2018-01-15","15","102.9","131.8"
"14406","TaxaRichness","2002-02-07","2018-01-15","15","7","31"
"14406","PercentageEPTTaxa","2002-02-07","2018-01-15","15","28.6","71.4"
"14487","MCI","2002-01-14","2018-01-09","17","75.6","98.7"
"14487","TaxaRichness","2002-01-14","2018-01-09","17","13","28"
"14487","PercentageEPTTaxa","2002-01-14","2018-01-09","17","5.9","23.5"
"23978","MCI","2005-01-12","2018-03-06","24","126.7","143.3"
"23978","TaxaRichness","2005-01-12","2018-03-06","24","21","37"
"23978","PercentageEPTTaxa","2005-01-12","2018-03-06","24","52.9","67.7"
"24062","MCI","2013-04-10","2018-01-17","6","76","100"
"24062","TaxaRichness","2013-04-10","2018-01-17","6","15","36"
"24062","PercentageEPTTaxa","2013-04-10","2018-01-17","6","13.3","31.2"
"24254","MCI","2002-01-18","2018-03-08","14","88","111.11"
"24254","TaxaRichness","2002-01-18","2018-03-08","14","18","26"
"24254","PercentageEPTTaxa","2002-01-18","2018-03-08","14","23.81","50"
"36681","MCI","2002-01-23","2018-02-28","12","113.6","140"
"36681","TaxaRichness","2002-01-23","2018-02-28","12","15","30"
"36681","PercentageEPTTaxa","2002-01-23","2018-02-28","12","42.1","60"
"36774","MCI","2004-01-18","2018-01-22","16","103.2","147.4"
"36774","TaxaRichness","2004-01-18","2018-01-22","16","18","30"
"36774","PercentageEPTTaxa","2004-01-18","2018-01-22","16","36.8","72.2"
"36800","MCI","2002-01-23","2018-02-14","13","98.8","130.7"
"36800","TaxaRichness","2002-01-23","2018-02-14","13","11","28"
"36800","PercentageEPTTaxa","2002-01-23","2018-02-14","13","25","54.5"
"36875","MCI","2002-01-16","2018-02-16","15","88.4","113.6"
"36875","TaxaRichness","2002-01-16","2018-02-16","15","11","40"
"36875","PercentageEPTTaxa","2002-01-16","2018-02-16","15","31.6","54.5"
"37656","MCI","2002-02-07","2018-02-07","12","115.3","128.2"
"37656","TaxaRichness","2002-02-07","2018-02-07","12","19","32"
"37656","PercentageEPTTaxa","2002-02-07","2018-02-07","12","47.4","65.6"
"37694","MCI","2005-02-22","2018-01-09","14","131.5","161"
"37694","TaxaRichness","2005-02-22","2018-01-09","14","21","36"
"37694","PercentageEPTTaxa","2005-02-22","2018-01-09","14","56.7","76.2"
