"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"aparima river at dunrobin","MCI","2013-01-29","2019-01-23","7","107","134"
"aparima river at dunrobin","TaxaRichness","2013-01-29","2019-01-23","7","14","25"
"aparima river at dunrobin","PercentageEPTTaxa","2013-01-29","2019-01-23","7","52","90.25"
"aparima river at otautau","MCI","2011-12-22","2015-01-29","4","103","111"
"aparima river at otautau","TaxaRichness","2011-12-22","2015-01-29","4","12","15"
"aparima river at otautau","PercentageEPTTaxa","2011-12-22","2015-01-29","4","50","94.38"
"aparima river at thornbury","MCI","2004-01-16","2019-02-15","15","81","122"
"aparima river at thornbury","TaxaRichness","2004-01-16","2019-02-15","15","10","27"
"aparima river at thornbury","PercentageEPTTaxa","2004-01-16","2019-02-15","15","25.93","70"
"bog burn d/s hundred line road","MCI","2012-02-07","2019-01-24","8","76","103"
"bog burn d/s hundred line road","TaxaRichness","2012-02-07","2019-01-24","8","17","29"
"bog burn d/s hundred line road","PercentageEPTTaxa","2012-02-07","2019-01-24","8","29","59.72"
"cascade stream at pourakino valley road","MCI","2004-01-16","2019-03-06","14","109","128"
"cascade stream at pourakino valley road","TaxaRichness","2004-01-16","2019-03-06","14","11","31"
"cascade stream at pourakino valley road","PercentageEPTTaxa","2004-01-16","2019-03-06","14","52","72.73"
"cromel stream at selbie road","MCI","2004-01-15","2019-01-28","14","115","133"
"cromel stream at selbie road","TaxaRichness","2004-01-15","2019-01-28","14","13","27"
"cromel stream at selbie road","PercentageEPTTaxa","2004-01-15","2019-01-28","14","50","68.71"
"dipton stream at south hillend-dipton rd","MCI","2004-01-19","2019-02-07","14","91","111"
"dipton stream at south hillend-dipton rd","TaxaRichness","2004-01-19","2019-02-07","14","12","26"
"dipton stream at south hillend-dipton rd","PercentageEPTTaxa","2004-01-19","2019-02-07","14","38","77.8"
"dunsdale stream at dunsdale reserve","MCI","2004-01-26","2019-02-08","15","115","137"
"dunsdale stream at dunsdale reserve","TaxaRichness","2004-01-26","2019-02-08","15","21","39"
"dunsdale stream at dunsdale reserve","PercentageEPTTaxa","2004-01-26","2019-02-08","15","46.15","76.19"
"eglington river at mckay creek confluence","MCI","2004-04-30","2019-03-06","11","113","142"
"eglington river at mckay creek confluence","TaxaRichness","2004-04-30","2019-03-06","11","8","26"
"eglington river at mckay creek confluence","PercentageEPTTaxa","2004-04-30","2019-03-06","11","54.55","70.59"
"hamilton burn at affleck road","MCI","2011-12-20","2019-01-24","6","90","105"
"hamilton burn at affleck road","TaxaRichness","2011-12-20","2019-01-24","6","18","29"
"hamilton burn at affleck road","PercentageEPTTaxa","2011-12-20","2019-01-24","6","44","80.23"
"hamilton burn at goodall road","MCI","2004-05-03","2019-01-23","15","105","125"
"hamilton burn at goodall road","TaxaRichness","2004-05-03","2019-01-23","15","17","33"
"hamilton burn at goodall road","PercentageEPTTaxa","2004-05-03","2019-01-23","15","43.48","77.66"
"hedgehope stream 20m u/s makarewa confl","MCI","2011-12-14","2019-02-18","8","80","94"
"hedgehope stream 20m u/s makarewa confl","TaxaRichness","2011-12-14","2019-02-18","8","9","25"
"hedgehope stream 20m u/s makarewa confl","PercentageEPTTaxa","2011-12-14","2019-02-18","8","27","78.89"
"hedgehope stream at block road","MCI","2017-03-28","2019-02-08","3","90","112"
"hedgehope stream at block road","TaxaRichness","2017-03-28","2019-02-08","3","23","27"
"hedgehope stream at block road","PercentageEPTTaxa","2017-03-28","2019-02-08","3","41","48"
"hillpoint stream at waikana road","MCI","2004-02-02","2019-01-24","15","86","120"
"hillpoint stream at waikana road","TaxaRichness","2004-02-02","2019-01-24","15","13","31"
"hillpoint stream at waikana road","PercentageEPTTaxa","2004-02-02","2019-01-24","15","35.29","56.25"
"home creek at manapouri","MCI","2004-04-30","2019-12-11","15","98","117"
"home creek at manapouri","TaxaRichness","2004-04-30","2019-12-11","15","17","28"
"home creek at manapouri","PercentageEPTTaxa","2004-04-30","2019-12-11","15","41.18","68.18"
"irthing stream at ellis road","MCI","2004-01-15","2019-01-30","16","109","130"
"irthing stream at ellis road","TaxaRichness","2004-01-15","2019-01-30","16","5","26"
"irthing stream at ellis road","PercentageEPTTaxa","2004-01-15","2019-01-30","16","47.37","89.55"
"lill burn at hindley road","MCI","2012-02-13","2019-02-13","8","102","120"
"lill burn at hindley road","TaxaRichness","2012-02-13","2019-02-13","8","13","29"
"lill burn at hindley road","PercentageEPTTaxa","2012-02-13","2019-02-13","8","38","58"
"lill burn at lill burn-monowai road","MCI","2004-04-29","2019-02-11","16","74","113"
"lill burn at lill burn-monowai road","TaxaRichness","2004-04-29","2019-02-11","16","7","25"
"lill burn at lill burn-monowai road","PercentageEPTTaxa","2004-04-29","2019-02-11","16","27.27","58"
"longridge stream at sandstone","MCI","2012-02-08","2019-01-29","8","81","93"
"longridge stream at sandstone","TaxaRichness","2012-02-08","2019-01-29","8","21","27"
"longridge stream at sandstone","PercentageEPTTaxa","2012-02-08","2019-01-29","8","10.26","39.13"
"makarewa river at king road","MCI","2004-01-26","2019-02-08","11","81","111"
"makarewa river at king road","TaxaRichness","2004-01-26","2019-02-08","11","16","32"
"makarewa river at king road","PercentageEPTTaxa","2004-01-26","2019-02-08","11","26","63.16"
"makarewa river at lora gorge road","MCI","2012-01-11","2019-02-07","8","95","109"
"makarewa river at lora gorge road","TaxaRichness","2012-01-11","2019-02-07","8","19","31"
