"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"arawhata drain at hokio beach road","TaxaRichness","2009-01-29","2018-01-31","10","11","19"
"arawhata drain at hokio beach road","PercentageEPTTaxa","2009-01-29","2018-01-31","10","0","6.25"
"arawhata drain at hokio beach road","MCI","2009-01-29","2018-01-31","10","55","75"
"hautapu at alabasters","TaxaRichness","2008-01-15","2018-03-26","11","15","33"
"hautapu at alabasters","PercentageEPTTaxa","2008-01-15","2018-03-26","11","30","52"
"hautapu at alabasters","MCI","2008-01-15","2018-03-26","11","88","105"
"hautapu at us rangitikei river conf","TaxaRichness","2005-03-08","2018-03-26","14","10","27"
"hautapu at us rangitikei river conf","PercentageEPTTaxa","2005-03-08","2018-03-26","14","7.14","44"
"hautapu at us rangitikei river conf","MCI","2005-03-08","2018-03-26","14","69","98"
"hokio at lake horowhenua","TaxaRichness","2009-04-28","2018-01-31","10","4","21"
"hokio at lake horowhenua","PercentageEPTTaxa","2009-04-28","2018-01-31","10","0","0"
"hokio at lake horowhenua","MCI","2009-04-28","2018-01-31","10","58","80"
"kahuterawa at johnstons rata","TaxaRichness","2009-03-17","2017-12-04","10","20","40"
"kahuterawa at johnstons rata","PercentageEPTTaxa","2009-03-17","2017-12-04","10","47.83","65.21739"
"kahuterawa at johnstons rata","MCI","2009-03-17","2017-12-04","10","108","125"
"kahuterawa at keebles farm","TaxaRichness","2014-02-12","2017-12-07","5","19","36"
"kahuterawa at keebles farm","PercentageEPTTaxa","2014-02-12","2017-12-07","5","42.11","55.17"
"kahuterawa at keebles farm","MCI","2014-02-12","2017-12-07","5","98.181816","118"
"kiwitea at kimbolton rd","TaxaRichness","2006-06-01","2018-01-29","6","15","31"
"kiwitea at kimbolton rd","PercentageEPTTaxa","2006-06-01","2018-01-29","6","23.81","47.62"
"kiwitea at kimbolton rd","MCI","2006-06-01","2018-01-29","6","89","99"
"koputaroa at tavistock rd","TaxaRichness","2014-02-03","2018-01-31","5","23","42"
