"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"cardrona at mt barker","MCI","2004-02-06","2018-01-25","14","98.7","111"
"cardrona at mt barker","TaxaRichness","2004-02-06","2018-01-25","14","9","32"
"cardrona at mt barker","PercentageEPTTaxa","2004-02-06","2010-02-04","6","38.1","64.3"
"catlins at houipapa","MCI","2004-02-06","2018-03-15","14","92","123"
"catlins at houipapa","TaxaRichness","2004-02-06","2018-03-15","14","13","39"
"catlins at houipapa","PercentageEPTTaxa","2004-02-06","2018-03-15","14","46.2","72.7"
"dunstan creek at beattie road","MCI","2010-02-04","2018-01-24","7","93","126"
"dunstan creek at beattie road","TaxaRichness","2010-02-04","2018-01-24","7","14","25"
"dunstan creek at beattie road","PercentageEPTTaxa","2010-02-04","2018-01-24","7","48","61.1"
"heriot burn at park hill road","MCI","2004-02-06","2018-01-26","14","68","112.5"
"heriot burn at park hill road","TaxaRichness","2004-02-06","2018-01-26","14","12","25"
"heriot burn at park hill road","PercentageEPTTaxa","2004-02-06","2018-01-26","14","25","71.4"
"kaikorai stream at brighton road","MCI","2004-02-06","2018-04-05","14","51","75"
"kaikorai stream at brighton road","TaxaRichness","2004-02-06","2018-04-05","14","7","20"
"kaikorai stream at brighton road","PercentageEPTTaxa","2004-02-06","2018-04-05","14","0","25"
"kakanui at clifton falls bridge","MCI","2004-02-06","2018-01-31","13","94","116"
"kakanui at clifton falls bridge","TaxaRichness","2004-02-06","2018-01-31","13","11","28"
"kakanui at clifton falls bridge","PercentageEPTTaxa","2004-02-06","2018-01-31","13","45.8","60.7"
"kakanui at mccones","MCI","2007-01-18","2018-01-31","12","78","95"
"kakanui at mccones","TaxaRichness","2007-01-18","2018-01-31","12","17","28"
"kakanui at mccones","PercentageEPTTaxa","2007-01-18","2018-01-31","12","33.3","52.9"
"kauru at ewings","MCI","2006-03-31","2018-01-31","13","94","126"
"kauru at ewings","TaxaRichness","2006-03-31","2018-01-31","13","15","25"
"kauru at ewings","PercentageEPTTaxa","2006-03-31","2018-01-31","13","31.3","61.9"
"kye burn at sh85 bridge","MCI","2004-02-06","2018-01-24","11","93","135"
"kye burn at sh85 bridge","TaxaRichness","2004-02-06","2018-01-24","11","11","27"
"kye burn at sh85 bridge","PercentageEPTTaxa","2004-02-06","2018-01-24","11","38.9","66.7"
"leith at dundas street bridge","MCI","2004-02-06","2018-04-05","14","85","112"
"leith at dundas street bridge","TaxaRichness","2004-02-06","2018-04-05","14","13","27"
"leith at dundas street bridge","PercentageEPTTaxa","2004-02-06","2018-04-05","14","30.4","57.9"
"lindis at ardgour road","MCI","2006-02-03","2018-01-25","12","96","115"
"lindis at ardgour road","TaxaRichness","2006-02-03","2018-01-25","12","12","24"
"lindis at ardgour road","PercentageEPTTaxa","2006-02-03","2018-01-25","12","40","58.3"
"lindsays creek at north road bridge","MCI","2006-05-10","2018-04-05","13","79","97"
"lindsays creek at north road bridge","TaxaRichness","2006-05-10","2018-04-05","13","11","24"
"lindsays creek at north road bridge","PercentageEPTTaxa","2006-05-10","2018-04-05","13","22.2","47.4"
"luggate creek at sh6 bridge","MCI","2006-05-09","2018-01-25","13","94","112"
"luggate creek at sh6 bridge","TaxaRichness","2006-05-09","2018-01-25","13","16","27"
"luggate creek at sh6 bridge","PercentageEPTTaxa","2006-05-09","2018-01-25","13","30","68.4"
"manuherikia at ophir","MCI","2014-02-13","2018-01-25","5","103","111"
"manuherikia at ophir","TaxaRichness","2014-02-13","2018-01-25","5","12","27"
"manuherikia at ophir","PercentageEPTTaxa","2014-02-13","2018-01-25","5","48.1","58.3"
"mill creek at fish trap","MCI","2004-02-06","2018-01-25","14","78","102"
"mill creek at fish trap","TaxaRichness","2004-02-06","2018-01-25","14","9","19"
"mill creek at fish trap","PercentageEPTTaxa","2004-02-06","2018-01-25","14","25","46.7"
"pomahaka at glenken","MCI","2004-02-06","2004-02-06","1","111","111"
"pomahaka at glenken","TaxaRichness","2004-02-06","2004-02-06","1","16","16"
"pomahaka at glenken","PercentageEPTTaxa","2004-02-06","2004-02-06","1","56.3","56.3"
"shag at craig road","MCI","2007-01-04","2018-01-23","12","90","105"
"shag at craig road","TaxaRichness","2007-01-04","2018-01-23","12","14","27"
"shag at craig road","PercentageEPTTaxa","2007-01-04","2018-01-23","12","37","52.6"
"shag at goodwood pump","MCI","2004-02-06","2018-01-23","13","80","103"
"shag at goodwood pump","TaxaRichness","2004-02-06","2018-01-23","13","7","24"
"shag at goodwood pump","PercentageEPTTaxa","2004-02-06","2018-01-23","13","29.2","57.1"
"silverstream at taieri depot","MCI","2004-02-06","2018-04-05","13","73","105"
"silverstream at taieri depot","TaxaRichness","2004-02-06","2018-04-05","13","9","23"
"silverstream at taieri depot","PercentageEPTTaxa","2004-02-06","2018-04-05","13","9.1","50"
"tokomairiro at west branch bridge","MCI","2004-02-06","2018-04-05","13","100","119"
"tokomairiro at west branch bridge","TaxaRichness","2004-02-06","2018-04-05","13","15","30"
"tokomairiro at west branch bridge","PercentageEPTTaxa","2004-02-06","2018-04-05","13","36","73.3"
"trotters creek at mathesons","MCI","2007-01-04","2018-01-23","12","73","94"
"trotters creek at mathesons","TaxaRichness","2007-01-04","2018-01-23","12","10","29"
"trotters creek at mathesons","PercentageEPTTaxa","2007-01-04","2018-01-23","12","7.1","42.9"
"waianakarua at browns","MCI","2007-01-04","2018-01-31","12","103","123"
"waianakarua at browns","TaxaRichness","2007-01-04","2018-01-31","12","13","25"
"waianakarua at browns","PercentageEPTTaxa","2007-01-04","2018-01-31","12","33.3","60"
"waiareka creek at taipo road","MCI","2004-02-06","2018-01-31","13","60","81"
