"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"brook at burn pl","TaxaRichness","2000-11-07","2019-03-07","14","7","35"
"brook at burn pl","MCI","2000-11-07","2019-03-07","14","94","134"
"brook at manuka st","TaxaRichness","2000-11-01","2019-03-07","19","7","25"
"brook at manuka st","MCI","2000-11-01","2019-03-07","19","72","112"
"brook at motor camp","TaxaRichness","2000-11-07","2019-03-07","19","11","43"
"brook at motor camp","MCI","2000-11-07","2019-03-07","19","115","144"
"collins at sh6","TaxaRichness","2000-11-02","2019-03-06","19","5","47"
"collins at sh6","MCI","2000-11-02","2019-03-06","19","117","148"
"dencker at kokorua rd","TaxaRichness","2000-11-02","2019-03-06","19","5","45"
"dencker at kokorua rd","MCI","2000-11-02","2019-03-06","19","108","140"
"graham at sh6","TaxaRichness","2000-11-02","2019-03-06","19","7","47"
"graham at sh6","MCI","2000-11-02","2019-03-06","19","119","153"
"groom at maitai confluence","TaxaRichness","2000-11-06","2017-12-12","18","5","30"
"groom at maitai confluence","MCI","2000-11-06","2017-12-12","18","82","120"
"hillwood at glen rd","TaxaRichness","2000-11-03","2019-03-06","19","1","29"
"hillwood at glen rd","MCI","2000-11-03","2019-03-06","19","64","125"
"jenkins at pascoe st","TaxaRichness","2000-11-01","2019-03-07","19","2","24"
"jenkins at pascoe st","MCI","2000-11-01","2019-03-07","19","51","91"
"lud at 4.7km","TaxaRichness","2000-11-03","2019-03-06","19","3","35"
"lud at 4.7km","MCI","2000-11-03","2019-03-06","19","53","119"
"lud at sh6","TaxaRichness","2000-11-03","2019-03-06","19","6","38"
"lud at sh6","MCI","2000-11-03","2019-03-06","19","97","131"
"maitai at groom rd","TaxaRichness","2000-11-06","2019-03-07","19","7","24"
"maitai at groom rd","MCI","2000-11-06","2019-03-07","19","76","117"
"maitai at riverside","TaxaRichness","2000-11-07","2019-03-07","19","8","24"
"maitai at riverside","MCI","2000-11-07","2019-03-07","19","75","116"
"maitai south branch at intake","TaxaRichness","2000-11-17","2019-03-07","19","5","38"
"maitai south branch at intake","MCI","2000-11-17","2019-03-07","19","119","153"
"orphanage at saxton rd east","TaxaRichness","2000-11-01","2019-03-07","19","7","23"
"orphanage at saxton rd east","MCI","2000-11-01","2019-03-07","19","57","93"
"poorman at barnicoat walkway","TaxaRichness","2000-11-01","2019-03-07","19","4","39"
"poorman at barnicoat walkway","MCI","2000-11-01","2019-03-07","19","87","133"
"poorman at seaview rd","TaxaRichness","2000-11-01","2019-03-07","19","4","25"
"poorman at seaview rd","MCI","2000-11-01","2019-03-07","19","58","106"
"sharland at maitai confluence","TaxaRichness","2000-11-06","2019-03-07","19","4","35"
"sharland at maitai confluence","MCI","2000-11-06","2019-03-07","19","89","126"
"teal at 1.9km","TaxaRichness","2000-11-02","2019-03-06","19","7","43"
"teal at 1.9km","MCI","2000-11-02","2019-03-06","19","101","149"
"todds at sh6","TaxaRichness","2000-11-03","2019-03-07","19","6","24"
"todds at sh6","MCI","2000-11-03","2019-03-07","19","53","103"
"wakapuaka at duckpond rd","TaxaRichness","2000-11-02","2019-03-06","19","9","43"
"wakapuaka at duckpond rd","MCI","2000-11-02","2019-03-06","19","116","144"
"wakapuaka at hira","TaxaRichness","2000-11-03","2019-03-06","19","7","37"
"wakapuaka at hira","MCI","2000-11-03","2019-03-06","19","107","135"
"wakapuaka at maori pa rd","TaxaRichness","2000-11-03","2019-03-06","19","7","34"
"wakapuaka at maori pa rd","MCI","2000-11-03","2019-03-06","19","89","118"
"whangamoa at hippolite rd","TaxaRichness","2000-11-02","2019-03-06","19","11","38"
"whangamoa at hippolite rd","MCI","2000-11-02","2019-03-06","19","129","151"
"whangamoa at kokorua bridge","TaxaRichness","2000-11-02","2019-03-06","19","8","37"
"whangamoa at kokorua bridge","MCI","2000-11-02","2019-03-06","19","105","135"
"york at waimea rd","TaxaRichness","2000-11-01","2019-03-07","19","2","19"
"york at waimea rd","MCI","2000-11-01","2019-03-07","19","40","95"
