"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"Anns Creek @ Hamlins Hill","MCI","2016-01-15","2031-01-12","5","50.2","73.9"
"Anns Creek @ Hamlins Hill","Total Richness","2016-01-15","2031-01-12","5","15","17"
"Anns Creek @ Hamlins Hill","% EPT Richness","2016-01-15","2031-01-12","5","0","0.062"
"Auckland Domain @ Lower Domain Dr","MCI","2012-02-19","2025-01-17","4","106","112.9"
"Auckland Domain @ Lower Domain Dr","Total Richness","2012-02-19","2025-01-17","4","15","21"
"Auckland Domain @ Lower Domain Dr","% EPT Richness","2012-02-19","2025-01-17","4","0.238","0.4"
"Avondale @ Reserve","MCI","2001-02-12","2025-02-19","6","94.2","123.1"
"Avondale @ Reserve","Total Richness","2001-02-12","2025-02-19","6","19","27"
"Avondale @ Reserve","% EPT Richness","2001-02-12","2025-02-19","6","0.148","0.458"
"Avondale @ Shadbolt park","MCI","2007-02-12","2022-01-14","3","66.4","77.9"
"Avondale @ Shadbolt park","Total Richness","2007-02-12","2022-01-14","3","23","27"
"Avondale @ Shadbolt park","% EPT Richness","2007-02-12","2022-01-14","3","0","0.087"
"Avondale @ Shadbolt Park","MCI","2004-02-16","2021-01-19","4","58.3","81.7"
"Avondale @ Shadbolt Park","Total Richness","2004-02-16","2021-01-19","4","17","31"
"Avondale @ Shadbolt Park","% EPT Richness","2004-02-16","2021-01-19","4","0","0.136"
"Avondale @ Thuja","MCI","2001-02-12","2022-01-14","6","65.2","71.8"
"Avondale @ Thuja","Total Richness","2001-02-12","2022-01-14","6","20","24"
"Avondale @ Thuja","% EPT Richness","2001-02-12","2022-01-14","6","0.05","0.1"
"Botany Creek @ Tangello Place","MCI","2008-02-12","2025-01-16","6","56","67.4"
"Botany Creek @ Tangello Place","Total Richness","2008-02-12","2025-01-16","6","14","21"
"Botany Creek @ Tangello Place","% EPT Richness","2008-02-12","2025-01-16","6","0","0"
"Cascades LTB","MCI","2001-02-07","2030-01-19","16","91","144.8"
"Cascades LTB","Total Richness","2001-02-07","2030-01-19","16","18","42"
"Cascades LTB","% EPT Richness","2001-02-07","2030-01-19","16","0.222","0.68"
"Castor @ Braemar","MCI","2014-01-15","2031-01-18","5","45.2","65.7"
"Castor @ Braemar","Total Richness","2014-01-15","2031-01-18","5","18","24"
"Castor @ Braemar","% EPT Richness","2014-01-15","2031-01-18","5","0","0.05"
"Duck Creek @ Trotters","MCI","2009-03-05","2031-01-17","12","59.6","79.9"
"Duck Creek @ Trotters","Total Richness","2009-03-05","2031-01-17","12","18","36"
"Duck Creek @ Trotters","% EPT Richness","2009-03-05","2031-01-17","12","0","0.103"
"Duders","MCI","2005-02-11","2031-01-19","12","65.1","92.3"
"Duders","Total Richness","2005-02-11","2031-01-19","12","13","33"
