"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"bn951669","MCI","2005-12-31","2019-01-22","133","130.667","159.091"
"bn951669","TaxaRichness","2005-12-31","2019-01-22","133","12","36"
"bn951669","PercentageEPTTaxa","2005-12-31","2019-01-22","133","60","86.364"
"bp982240","MCI","2005-12-31","2019-01-28","37","114.783","151.765"
"bp982240","TaxaRichness","2005-12-31","2019-01-28","37","17","29"
"bp982240","PercentageEPTTaxa","2005-12-31","2019-01-28","37","61.111","82.353"
"bq253452","MCI","2005-12-31","2019-01-21","73","121.6","152.5"
"bq253452","TaxaRichness","2005-12-31","2019-01-21","73","11","33"
"bq253452","PercentageEPTTaxa","2005-12-31","2019-01-21","73","54.545","81.481"
"bq292188","MCI","2005-12-31","2019-01-21","13","118.261","147"
"bq292188","TaxaRichness","2005-12-31","2019-01-21","13","6","30"
"bq292188","PercentageEPTTaxa","2005-12-31","2019-01-21","13","39.13","100"
"bq420756","MCI","2005-12-31","2019-01-20","73","80","137.143"
"bq420756","TaxaRichness","2005-12-31","2019-01-20","73","9","32"
"bq420756","PercentageEPTTaxa","2005-12-31","2019-01-20","73","33.333","66.667"
"bq450716","MCI","2005-12-31","2019-01-20","157","80","128.889"
"bq450716","TaxaRichness","2005-12-31","2019-01-20","157","14","23"
"bq450716","PercentageEPTTaxa","2005-12-31","2019-01-20","157","27.778","66.667"
"bq536514","MCI","2005-12-31","2019-01-20","85","104","121.769"
"bq536514","TaxaRichness","2005-12-31","2019-01-20","85","11","28"
"bq536514","PercentageEPTTaxa","2005-12-31","2019-01-20","85","33.333","65.385"
"bq589878","MCI","2005-12-31","2019-01-20","229","86.25","118.182"
"bq589878","TaxaRichness","2005-12-31","2019-01-20","229","11","29"
"bq589878","PercentageEPTTaxa","2005-12-31","2019-01-20","229","25","54.545"
"bq682324","MCI","2017-12-31","2017-12-31","1","112.5","112.5"
"bq682324","TaxaRichness","2017-12-31","2017-12-31","1","24","24"
"bq682324","PercentageEPTTaxa","2017-12-31","2017-12-31","1","54.16666667","54.16666667"
"bq696825","MCI","2005-12-31","2019-01-20","61","70","108"
"bq696825","TaxaRichness","2005-12-31","2019-01-20","61","6","20"
"bq696825","PercentageEPTTaxa","2005-12-31","2019-01-20","61","16.667","55.556"
"bq750459","MCI","2017-12-31","2017-12-31","1","115.5555556","115.5555556"
"bq750459","TaxaRichness","2017-12-31","2017-12-31","1","27","27"
"bq750459","PercentageEPTTaxa","2017-12-31","2017-12-31","1","59.25925926","59.25925926"
"bq964696","MCI","2005-12-31","2019-01-21","210","106.667","125.714"
"bq964696","TaxaRichness","2005-12-31","2019-01-21","210","9","24"
"bq964696","PercentageEPTTaxa","2005-12-31","2019-01-21","210","37.5","66.667"
"br418554","MCI","2005-12-31","2019-01-19","73","97.5","126.087"
"br418554","TaxaRichness","2005-12-31","2019-01-19","73","8","28"
"br418554","PercentageEPTTaxa","2005-12-31","2019-01-19","73","45","63.636"
"br574116","MCI","2005-12-31","2019-01-20","97","70","118.571"
"br574116","TaxaRichness","2005-12-31","2019-01-20","97","2","25"
"br574116","PercentageEPTTaxa","2005-12-31","2019-01-20","97","0","60"
"br592417","MCI","2006-12-31","2019-01-19","78","81.905","127"
"br592417","TaxaRichness","2006-12-31","2019-01-19","78","3","32"
"br592417","PercentageEPTTaxa","2006-12-31","2019-01-19","78","23.81","60"
"br748451","MCI","2005-12-31","2019-01-19","73","68.889","106.667"
"br748451","TaxaRichness","2005-12-31","2019-01-19","73","8","21"
"br748451","PercentageEPTTaxa","2005-12-31","2019-01-19","73","23.077","52.632"
"bs847026","MCI","2005-12-31","2019-01-19","61","89.333","120"
"bs847026","TaxaRichness","2005-12-31","2019-01-19","61","14","24"
"bs847026","PercentageEPTTaxa","2005-12-31","2019-01-19","61","38.095","61.111"
"bs963693","MCI","2005-12-31","2019-01-19","49","53.333","98.333"
"bs963693","TaxaRichness","2005-12-31","2019-01-19","49","3","25"
"bs963693","PercentageEPTTaxa","2005-12-31","2019-01-19","49","0","50"
"co436131","MCI","2006-12-31","2019-01-22","141","93.333","134"
"co436131","TaxaRichness","2006-12-31","2019-01-22","141","15","34"
"co436131","PercentageEPTTaxa","2006-12-31","2019-01-22","141","26.667","66.667"
"co548000","MCI","2005-12-31","2019-01-22","100","67.714","93.182"
"co548000","TaxaRichness","2005-12-31","2019-01-22","100","14","24"
"co548000","PercentageEPTTaxa","2005-12-31","2019-01-22","100","11.765","37.5"
"co982925","MCI","2005-12-31","2019-01-16","145","78.571","121.053"
"co982925","TaxaRichness","2005-12-31","2019-01-16","145","12","26"
"co982925","PercentageEPTTaxa","2005-12-31","2019-01-16","145","33.333","68.421"
"cp435708","MCI","2005-12-31","2019-01-28","13","93.36363636","118.111"
"cp435708","TaxaRichness","2005-12-31","2019-01-28","13","8","25"
"cp435708","PercentageEPTTaxa","2005-12-31","2019-01-28","13","32","66.667"
"cp489557","MCI","2005-12-31","2019-01-28","13","80","117.143"
"cp489557","TaxaRichness","2005-12-31","2019-01-28","13","4","28"
"cp489557","PercentageEPTTaxa","2005-12-31","2019-01-28","13","40","63.158"
"cp556282","MCI","2005-12-31","2019-01-28","85","110.5","131.862"
"cp556282","TaxaRichness","2005-12-31","2019-01-28","85","9","29"
"cp556282","PercentageEPTTaxa","2005-12-31","2019-01-28","85","30.769","75"
"cp652620","MCI","2005-12-31","2019-01-28","181","66","104.133"
"cp652620","TaxaRichness","2005-12-31","2019-01-28","181","5","17"
"cp652620","PercentageEPTTaxa","2005-12-31","2019-01-28","181","7.692","50"
"dk798891","MCI","2006-12-31","2008-12-31","26","116.364","118.889"
"dk798891","TaxaRichness","2006-12-31","2008-12-31","26","18","22"
"dk798891","PercentageEPTTaxa","2006-12-31","2008-12-31","26","54.545","61.111"
"dk804886","MCI","2005-12-31","2019-01-30","169","109.158","134.615"
"dk804886","TaxaRichness","2005-12-31","2019-01-30","169","13","23"
"dk804886","PercentageEPTTaxa","2005-12-31","2019-01-30","169","47.368","61.538"
"dl906092","MCI","2005-12-31","2013-12-31","30","86.857","124"
"dl906092","TaxaRichness","2005-12-31","2013-12-31","30","11","20"
"dl906092","PercentageEPTTaxa","2005-12-31","2013-12-31","30","18.182","54.545"
"dm860383","MCI","2005-12-31","2019-01-30","144","103.077","143.333"
"dm860383","TaxaRichness","2005-12-31","2019-01-30","144","3","24"
"dm860383","PercentageEPTTaxa","2005-12-31","2019-01-30","144","0","82.353"
"do466896","MCI","2005-12-31","2015-12-31","144","50.125","77.429"
"do466896","TaxaRichness","2005-12-31","2015-12-31","144","5","16"
"do466896","PercentageEPTTaxa","2005-12-31","2015-12-31","144","0","14.286"
"do960965","MCI","2005-12-31","2019-01-16","217","89.75","113.818"
"do960965","TaxaRichness","2005-12-31","2019-01-16","217","6","14"
"do960965","PercentageEPTTaxa","2005-12-31","2019-01-16","217","12.5","63.636"
"dp036592","MCI","2005-12-31","2019-01-28","133","66.667","97.333"
"dp036592","TaxaRichness","2005-12-31","2019-01-28","133","2","8"
"dp036592","PercentageEPTTaxa","2005-12-31","2019-01-28","133","0","33.333"
"ej459985","MCI","2005-12-31","2019-01-29","109","96.143","138.625"
"ej459985","TaxaRichness","2005-12-31","2019-01-29","109","7","27"
"ej459985","PercentageEPTTaxa","2005-12-31","2019-01-29","109","0","75"
"ek206408","MCI","2005-12-31","2019-01-30","193","107.462","128.6"
"ek206408","TaxaRichness","2005-12-31","2019-01-30","193","6","26"
"ek206408","PercentageEPTTaxa","2005-12-31","2019-01-30","193","33.333","66.667"
"el139134","MCI","2017-12-31","2017-12-31","1","86.125","86.125"
"el139134","TaxaRichness","2017-12-31","2017-12-31","1","16","16"
"el139134","PercentageEPTTaxa","2017-12-31","2017-12-31","1","37.5","37.5"
"el187015","MCI","2005-12-31","2019-01-30","181","104.947","127.846"
"el187015","TaxaRichness","2005-12-31","2019-01-30","181","6","30"
"el187015","PercentageEPTTaxa","2005-12-31","2019-01-30","181","36.842","63.158"
"en560731","MCI","2005-12-31","2019-02-03","111","124.516","149.091"
"en560731","TaxaRichness","2005-12-31","2019-02-03","111","21","34"
"en560731","PercentageEPTTaxa","2005-12-31","2019-02-03","111","56.522","81.818"
"eo010924","MCI","2005-12-31","2019-01-16","133","57","107.6"
"eo010924","TaxaRichness","2005-12-31","2019-01-16","133","2","17"
"eo010924","PercentageEPTTaxa","2005-12-31","2019-01-16","133","0","40"
"eo176958","MCI","2005-12-31","2019-01-16","25","63","103.333"
"eo176958","TaxaRichness","2005-12-31","2019-01-16","25","5","16"
"eo176958","PercentageEPTTaxa","2005-12-31","2019-01-16","25","6.666666667","26.667"
"eo467842","MCI","2017-12-31","2017-12-31","1","116.2068966","116.2068966"
"eo467842","TaxaRichness","2017-12-31","2017-12-31","1","29","29"
"eo467842","PercentageEPTTaxa","2017-12-31","2017-12-31","1","48.27586207","48.27586207"
"eo611496","MCI","2005-12-31","2019-01-21","145","130.476","150"
"eo611496","TaxaRichness","2005-12-31","2019-01-21","145","18","46"
"eo611496","PercentageEPTTaxa","2005-12-31","2019-01-21","145","59.524","76.19"
"fd662607","MCI","2013-12-31","2019-01-12","73","108.667","126.364"
"fd662607","TaxaRichness","2013-12-31","2019-01-12","73","11","26"
"fd662607","PercentageEPTTaxa","2013-12-31","2019-01-12","73","57.143","77.778"
"fi646606","MCI","2005-12-31","2008-12-31","36","62.167","93.6"
"fi646606","TaxaRichness","2005-12-31","2008-12-31","36","5","12"
"fi646606","PercentageEPTTaxa","2005-12-31","2008-12-31","36","8.333","20"
"fj355541","MCI","2005-12-31","2019-01-29","23","47.667","108.4"
"fj355541","TaxaRichness","2005-12-31","2019-01-29","23","5","17"
"fj355541","PercentageEPTTaxa","2005-12-31","2019-01-29","23","0","60"
"fk019522","MCI","2005-12-31","2018-12-19","37","97.818","140.4"
"fk019522","TaxaRichness","2005-12-31","2018-12-19","37","5","20"
"fk019522","PercentageEPTTaxa","2005-12-31","2018-12-19","37","25","60"
"fk336093","MCI","2005-12-31","2019-01-29","177","96.211","145.333"
"fk336093","TaxaRichness","2005-12-31","2019-01-29","177","9","27"
"fk336093","PercentageEPTTaxa","2005-12-31","2019-01-29","177","22.222","66.667"
"fl165008","MCI","2005-12-31","2018-12-17","25","103.412","131.778"
"fl165008","TaxaRichness","2005-12-31","2018-12-17","25","3","22"
"fl165008","PercentageEPTTaxa","2005-12-31","2018-12-17","25","0","66.667"
"fl834322","MCI","2005-12-31","2018-12-19","73","109.5","137.875"
"fl834322","TaxaRichness","2005-12-31","2018-12-19","73","8","25"
"fl834322","PercentageEPTTaxa","2005-12-31","2018-12-19","73","25","71.429"
"fm217609","MCI","2014-12-31","2014-12-31","12","80.25","80.25"
"fm217609","TaxaRichness","2014-12-31","2014-12-31","12","16","16"
"fm217609","PercentageEPTTaxa","2014-12-31","2014-12-31","12","6.25","6.25"
"fn483016","MCI","2014-12-31","2017-12-31","73","114.762","132.5"
"fn483016","TaxaRichness","2014-12-31","2017-12-31","73","11","24"
"fn483016","PercentageEPTTaxa","2014-12-31","2017-12-31","73","38.095","63.636"
"fn962342","MCI","2005-12-31","2010-12-31","50","108","128.182"
"fn962342","TaxaRichness","2005-12-31","2010-12-31","50","16","22"
"fn962342","PercentageEPTTaxa","2005-12-31","2010-12-31","50","41.176","68.75"
"fo000114","MCI","2005-12-31","2018-12-12","49","112.308","134.783"
"fo000114","TaxaRichness","2005-12-31","2018-12-12","49","13","30"
"fo000114","PercentageEPTTaxa","2005-12-31","2018-12-12","49","38.462","69.565"
"fo123493","MCI","2005-12-31","2019-02-03","205","55","124.364"
"fo123493","TaxaRichness","2005-12-31","2019-02-03","205","4","26"
"fo123493","PercentageEPTTaxa","2005-12-31","2019-02-03","205","25","73.333"
"fo166207","MCI","2005-12-31","2019-02-06","155","97.571","112.133"
"fo166207","TaxaRichness","2005-12-31","2019-02-06","155","12","27"
"fo166207","PercentageEPTTaxa","2005-12-31","2019-02-06","155","36.842","66.667"
"fo397216","MCI","2017-12-31","2017-12-31","1","108.7777778","108.7777778"
"fo397216","TaxaRichness","2017-12-31","2017-12-31","1","18","18"
"fo397216","PercentageEPTTaxa","2017-12-31","2017-12-31","1","50","50"
"gd792833","MCI","2013-12-31","2019-01-12","115","88","124.154"
"gd792833","TaxaRichness","2013-12-31","2019-01-12","115","3","38"
