"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"baker ck @ baker ck rd","MCI","2000-12-13","2019-05-09","27","89.411766","140"
"baker ck @ baker ck rd","TaxaRichness","2000-12-13","2019-05-09","27","16","40"
"baker ck @ baker ck rd","PercentageEPTTaxa","2000-12-13","2019-05-09","27","35.294117","76.47059"
"baker ck @ oparara rd","MCI","2000-12-13","2019-05-09","29","74","117.6"
"baker ck @ oparara rd","TaxaRichness","2000-12-13","2019-05-09","29","10","44"
"baker ck @ oparara rd","PercentageEPTTaxa","2000-12-13","2019-05-09","29","20","68.75"
"berry ck @ n brch wanganui flat rd","MCI","2005-04-01","2019-04-17","25","100.606064","115.833336"
"berry ck @ n brch wanganui flat rd","TaxaRichness","2005-04-01","2019-04-17","25","15","36"
"berry ck @ n brch wanganui flat rd","PercentageEPTTaxa","2005-04-01","2019-04-17","25","39.39394","68.4211"
"bradshaws ck @ bradshaw rd","MCI","2004-05-06","2019-04-10","24","62.5","125.714287"
"bradshaws ck @ bradshaw rd","TaxaRichness","2004-05-06","2019-04-10","24","8","29"
"bradshaws ck @ bradshaw rd","PercentageEPTTaxa","2004-05-06","2019-04-10","24","8.333333","57.142857"
"burkes ck @ sh69","MCI","2001-03-28","2019-05-03","28","88.8","120"
"burkes ck @ sh69","TaxaRichness","2001-03-28","2019-05-03","28","14","39"
"burkes ck @ sh69","PercentageEPTTaxa","2001-03-28","2019-05-03","28","24","64.285713"
"crooked rv @ rotomanu-bell hill rd","MCI","2005-05-23","2019-05-21","24","120","164"
"crooked rv @ rotomanu-bell hill rd","TaxaRichness","2005-05-23","2019-05-21","24","8","33"
"crooked rv @ rotomanu-bell hill rd","PercentageEPTTaxa","2005-05-23","2019-05-21","24","42.857143","80"
"crooked rv @ te kinga","MCI","2000-12-06","2019-05-21","27","107.5","160"
"crooked rv @ te kinga","TaxaRichness","2000-12-06","2019-05-21","27","7","33"
"crooked rv @ te kinga","PercentageEPTTaxa","2000-12-06","2019-05-21","27","37.5","75"
"deep ck @ arnold vly rd br","MCI","2009-05-13","2019-05-14","21","107.2","130.4762"
"deep ck @ arnold vly rd br","TaxaRichness","2009-05-13","2019-05-14","21","16","44"
"deep ck @ arnold vly rd br","PercentageEPTTaxa","2009-05-13","2019-05-14","21","40.47619","71.428574"
"duck ck @ kokatahi-kowhitirangi rd br","MCI","2000-12-07","2019-04-12","28","105.455","133.333328"
"duck ck @ kokatahi-kowhitirangi rd br","TaxaRichness","2000-12-07","2019-04-12","28","13","34"
"duck ck @ kokatahi-kowhitirangi rd br","PercentageEPTTaxa","2000-12-07","2019-04-12","28","46.875","62.963"
"ellis ck @ 50m d/s ferry rd br","MCI","2005-04-01","2019-04-17","25","106.666664","135"
"ellis ck @ 50m d/s ferry rd br","TaxaRichness","2005-04-01","2019-04-17","25","15","39"
"ellis ck @ 50m d/s ferry rd br","PercentageEPTTaxa","2005-04-01","2019-04-17","25","45.945946","61.11111"
"ford ck @ blackball-taylorville rd","MCI","2001-01-29","2019-05-03","28","102","165.714"
"ford ck @ blackball-taylorville rd","TaxaRichness","2001-01-29","2019-05-03","28","3","30"
"ford ck @ blackball-taylorville rd","PercentageEPTTaxa","2001-01-29","2019-05-03","28","33.333332","85.7143"
"harris ck @ mulvaney rd","MCI","2000-10-30","2019-04-12","29","85.4545","126.666664"
"harris ck @ mulvaney rd","TaxaRichness","2000-10-30","2019-04-12","29","15","35"
"harris ck @ mulvaney rd","PercentageEPTTaxa","2000-10-30","2019-04-12","29","35.714287","61.5385"
"hohonu rv @ mitchells-kumara rd br","MCI","2008-04-10","2019-05-21","20","126.92308","147.27272"
"hohonu rv @ mitchells-kumara rd br","TaxaRichness","2008-04-10","2019-05-21","20","10","30"
"hohonu rv @ mitchells-kumara rd br","PercentageEPTTaxa","2008-04-10","2019-05-21","20","50","76.190475"
"hohonu rv @ mouth","MCI","2011-04-14","2019-05-24","16","110.769234","150"
"hohonu rv @ mouth","TaxaRichness","2011-04-14","2019-05-24","16","4","47"
"hohonu rv @ mouth","PercentageEPTTaxa","2011-04-14","2019-05-24","16","44.444443","75"
"la fontaine stm @ airstrip fishing access","MCI","2005-04-01","2019-04-17","24","100","122.10526"
"la fontaine stm @ airstrip fishing access","TaxaRichness","2005-04-01","2019-04-17","24","14","36"
"la fontaine stm @ airstrip fishing access","PercentageEPTTaxa","2005-04-01","2019-04-17","24","38.88889","57.894737"
"la fontaine stm @ herepo fishing access","MCI","2005-04-01","2019-04-17","25","102.35294","130"
"la fontaine stm @ herepo fishing access","TaxaRichness","2005-04-01","2019-04-17","25","13","41"
"la fontaine stm @ herepo fishing access","PercentageEPTTaxa","2005-04-01","2019-04-17","25","41.17647","66.666664"
"mawheraiti rv @ atarau br","MCI","2017-11-27","2019-05-03","4","97.14286","113.793106"
"mawheraiti rv @ atarau br","TaxaRichness","2017-11-27","2019-05-03","4","16","31"
"mawheraiti rv @ atarau br","PercentageEPTTaxa","2017-11-27","2019-05-03","4","33.333332","58.62069"
"mawheraiti rv @ sh7 maimai","MCI","2000-12-14","2019-05-03","30","96.36364","148.333328"
"mawheraiti rv @ sh7 maimai","TaxaRichness","2000-12-14","2019-05-03","30","11","38"
"mawheraiti rv @ sh7 maimai","PercentageEPTTaxa","2000-12-14","2019-05-03","30","40","68.75"
