"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"anaura str at anaura bay rd","MCI","2016-02-10","2019-01-17","4","106","121"
"anaura str at anaura bay rd","TaxaRichness","2016-02-10","2019-01-17","4","19","28"
"anaura str at anaura bay rd","PercentageEPTTaxa","2016-02-10","2019-01-17","4","38.5","57.9"
"awatere river at sh35 bridge","MCI","2016-02-11","2019-02-15","4","97","115"
"awatere river at sh35 bridge","TaxaRichness","2016-02-11","2019-02-15","4","11","17"
"awatere river at sh35 bridge","PercentageEPTTaxa","2016-02-11","2019-02-15","4","25","52.9"
"haupapa str at tahora settlement rd","MCI","2016-02-15","2019-01-15","4","101","124"
"haupapa str at tahora settlement rd","TaxaRichness","2016-02-15","2019-01-15","4","24","36"
"haupapa str at tahora settlement rd","PercentageEPTTaxa","2016-02-15","2019-01-15","4","33.3","52"
"hikuwai river at no 4 bridge","MCI","2016-01-25","2019-01-23","4","80","102"
"hikuwai river at no 4 bridge","TaxaRichness","2016-01-25","2019-01-23","4","7","26"
"hikuwai river at no 4 bridge","PercentageEPTTaxa","2016-01-25","2019-01-23","4","5","50"
"hikuwai river at willowflat","MCI","2016-01-25","2019-01-23","3","73","94.3"
"hikuwai river at willowflat","TaxaRichness","2016-01-25","2019-01-23","3","7","22"
"hikuwai river at willowflat","PercentageEPTTaxa","2016-01-25","2019-01-23","3","18.2","28.6"
"huitatariki str","MCI","2016-02-17","2019-02-19","4","128","136"
"huitatariki str","TaxaRichness","2016-02-17","2019-02-19","4","20","22"
"huitatariki str","PercentageEPTTaxa","2016-02-17","2019-02-19","4","55","63.6"
"ihungia river at ihungia rd br","MCI","2016-01-26","2019-01-30","4","82","102"
"ihungia river at ihungia rd br","TaxaRichness","2016-01-26","2019-01-30","4","10","27"
"ihungia river at ihungia rd br","PercentageEPTTaxa","2016-01-26","2019-01-30","4","12","37"
"kaitawa str at wharf rd","MCI","2016-02-12","2019-01-23","4","67.4","78"
"kaitawa str at wharf rd","TaxaRichness","2016-02-12","2019-01-23","4","18","26"
"kaitawa str at wharf rd","PercentageEPTTaxa","2016-02-12","2019-01-23","4","0","9.09"
"karakatuwhero river at sh35 br","MCI","2016-02-11","2019-02-15","4","98","110"
