"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"are are creek at kaituna tuamarina track","TaxaRichness","2010-02-08","2020-01-09","9","12","31"
"are are creek at kaituna tuamarina track","PercentageEPTTaxa","2010-02-08","2020-01-09","9","21.4","52.173912"
"are are creek at kaituna tuamarina track","MCI","2010-02-08","2020-01-09","9","80","105"
"awatere river at awapiri","TaxaRichness","2008-05-28","2020-01-17","11","6","18"
"awatere river at awapiri","PercentageEPTTaxa","2008-05-28","2020-01-17","11","38.46154","70"
"awatere river at awapiri","MCI","2008-05-28","2020-01-17","11","83.33","140"
"awatere river at river mouth","TaxaRichness","2000-12-14","2020-01-17","19","6","15"
"awatere river at river mouth","PercentageEPTTaxa","2005-05-04","2020-01-17","11","30.76923","72.72727"
"awatere river at river mouth","MCI","2000-12-14","2020-01-17","19","85","122"
"black birch stream at awatere intake","TaxaRichness","2011-03-24","2020-01-17","8","13","42"
"black birch stream at awatere intake","PercentageEPTTaxa","2011-03-24","2020-01-17","8","38.46154","66.666664"
"black birch stream at awatere intake","MCI","2011-03-24","2020-01-17","8","110","142.857147"
"branch river at weir intake","TaxaRichness","2010-10-08","2020-01-10","9","8","25"
"branch river at weir intake","PercentageEPTTaxa","2010-10-08","2020-01-10","9","40","76.9"
"branch river at weir intake","MCI","2010-10-08","2020-01-10","9","109.523811","143.636368"
"cullen creek at road bridge","TaxaRichness","2010-02-10","2020-01-17","9","14","35"
"cullen creek at road bridge","PercentageEPTTaxa","2010-02-10","2020-01-17","9","37.5","59.1"
"cullen creek at road bridge","MCI","2010-02-10","2020-01-17","9","101.428574","122.11"
"doctors creek upstream taylor","TaxaRichness","2004-06-08","2019-12-10","12","11","27"
"doctors creek upstream taylor","PercentageEPTTaxa","2004-06-08","2019-12-10","12","7.692307472","50"
"doctors creek upstream taylor","MCI","2004-06-08","2019-12-10","12","68","90"
"duncan stream at outlet","TaxaRichness","2010-02-10","2020-01-18","10","12","35"
"duncan stream at outlet","PercentageEPTTaxa","2010-02-10","2020-01-18","10","21.428572","66.67"
"duncan stream at outlet","MCI","2010-02-10","2020-01-18","9","98.125","117.77778"
"flaxbourne river at quarry","TaxaRichness","2004-12-08","2019-12-11","12","9","22"
"flaxbourne river at quarry","PercentageEPTTaxa","2004-12-08","2019-12-11","12","7.69","40.909092"
"flaxbourne river at quarry","MCI","2004-12-08","2019-12-11","12","64","83.1579"
"graham river at road bridge","TaxaRichness","2008-05-23","2020-01-13","11","20","32"
"graham river at road bridge","PercentageEPTTaxa","2008-05-23","2020-01-13","10","36","62.5"
"graham river at road bridge","MCI","2008-05-23","2020-01-13","10","92.727272","120"
"kaituna river at higgins bridge","TaxaRichness","2004-06-08","2020-01-16","15","16","31"
"kaituna river at higgins bridge","PercentageEPTTaxa","2004-06-08","2020-01-16","15","37.5","65"
"kaituna river at higgins bridge","MCI","2004-06-08","2020-01-16","15","93.75","118.888885"
"kenepuru stream at kenepuru head","TaxaRichness","2008-01-15","2020-01-16","10","11","36"
"kenepuru stream at kenepuru head","PercentageEPTTaxa","2008-01-15","2020-01-16","10","18.181818","65"
"kenepuru stream at kenepuru head","MCI","2008-01-15","2020-01-16","10","105.454544","136.92308"
"mill creek at ormonds","TaxaRichness","2010-10-14","2020-02-27","9","12","31"
"mill creek at ormonds","PercentageEPTTaxa","2010-10-14","2020-02-27","9","46.666668","69.23077"
