"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"sq00011","MCI","1999-11-22","2020-01-23","24","70.66666","128.1818"
"sq00011","TaxaRichness","1999-11-22","2020-01-23","24","11","33"
"sq00011","PercentageEPTTaxa","1999-11-22","2020-01-23","24","26.67","63.64"
"sq00013","MCI","1999-11-23","2020-01-23","24","113.0435","148.5714"
"sq00013","TaxaRichness","1999-11-23","2020-01-23","24","7","25"
"sq00013","PercentageEPTTaxa","1999-11-23","2020-01-23","24","41.18","85.71"
"sq00015","MCI","1999-11-24","2020-01-23","24","80","118.9474"
"sq00015","TaxaRichness","1999-11-24","2020-01-23","24","9","30"
"sq00015","PercentageEPTTaxa","1999-11-24","2020-01-23","24","30.77","66.67"
"sq00018","MCI","1999-11-25","2019-11-13","22","86","110"
"sq00018","TaxaRichness","1999-11-25","2019-11-13","22","11","28"
"sq00018","PercentageEPTTaxa","1999-11-25","2019-11-13","22","32","58.33"
"sq00027","MCI","1999-11-29","2019-11-13","24","60","102"
"sq00027","TaxaRichness","1999-11-29","2019-11-13","24","8","30"
"sq00027","PercentageEPTTaxa","1999-11-29","2019-11-13","24","11.11","50"
"sq00028","MCI","1999-11-29","2019-12-03","24","81.052643","104.6154"
"sq00028","TaxaRichness","1999-11-29","2019-12-03","24","11","25"
"sq00028","PercentageEPTTaxa","1999-11-29","2019-12-03","24","35.29","56.25"
"sq00034","MCI","1999-12-03","2019-11-26","24","81.17647","112"
"sq00034","TaxaRichness","1999-12-03","2019-11-26","24","10","25"
"sq00034","PercentageEPTTaxa","1999-12-03","2019-11-26","24","29.41","60"
"sq00035","MCI","1999-12-03","2019-11-25","26","84.285713","118"
"sq00035","TaxaRichness","1999-12-03","2019-11-25","26","10","24"
"sq00035","PercentageEPTTaxa","1999-12-03","2019-11-25","26","27.27","60"
"sq00046","MCI","1999-12-08","2019-12-19","23","71.66666","135.3846"
"sq00046","TaxaRichness","1999-12-08","2019-12-19","23","9","35"
"sq00046","PercentageEPTTaxa","1999-12-08","2019-12-19","23","16.67","61.54"
"sq00049","MCI","1999-12-09","2019-12-19","24","85.714287","145.7143"
"sq00049","TaxaRichness","1999-12-09","2019-12-19","24","14","27"
"sq00049","PercentageEPTTaxa","1999-12-09","2019-12-19","24","21.43","71.43"
"sq00059","MCI","1999-12-10","2019-12-20","23","88","133.3333"
"sq00059","TaxaRichness","1999-12-10","2019-12-20","23","6","25"
"sq00059","PercentageEPTTaxa","1999-12-10","2019-12-20","23","22.22","69.23"
"sq00060","MCI","1999-12-13","2019-12-17","24","96","128.2353"
"sq00060","TaxaRichness","1999-12-13","2019-12-17","24","11","33"
"sq00060","PercentageEPTTaxa","1999-12-13","2019-12-17","24","31.82","70.59"
"sq00063","MCI","1999-12-16","2019-11-25","24","50","87.5"
"sq00063","TaxaRichness","1999-12-16","2019-11-25","24","6","19"
"sq00063","PercentageEPTTaxa","1999-12-16","2019-11-25","24","0","25"
"sq00069","MCI","1999-12-10","2020-01-21","25","108.3333","145.4545"
"sq00069","TaxaRichness","1999-12-10","2020-01-21","25","8","35"
"sq00069","PercentageEPTTaxa","1999-12-10","2020-01-21","25","42.11","76.92"
"sq00070","MCI","1999-12-10","2020-01-21","24","92.5","155.5556"
"sq00070","TaxaRichness","1999-12-10","2020-01-21","24","8","24"
"sq00070","PercentageEPTTaxa","1999-12-10","2020-01-21","24","37.5","80"
"sq00102","MCI","1999-11-10","2019-11-28","24","108.8889","132.6316"
"sq00102","TaxaRichness","1999-11-10","2019-11-28","24","13","36"
"sq00102","PercentageEPTTaxa","1999-11-10","2019-11-28","24","41.18","66.67"
"sq00105","MCI","1999-11-17","2019-11-08","24","75.71429","128.5714"
"sq00105","TaxaRichness","1999-11-17","2019-11-08","24","11","30"
"sq00105","PercentageEPTTaxa","1999-11-17","2019-11-08","24","21.43","58.33"
"sq00106","MCI","1999-11-17","2019-11-28","25","108","128.5714"
"sq00106","TaxaRichness","1999-11-17","2019-11-28","25","13","29"
"sq00106","PercentageEPTTaxa","1999-11-17","2019-11-28","25","36.84","71.43"
"sq00111","MCI","1999-11-19","2019-11-08","24","102.5","133.75"
"sq00111","TaxaRichness","1999-11-19","2019-11-08","24","12","42"
"sq00111","PercentageEPTTaxa","1999-11-19","2019-11-08","24","35","66.67"
"sq00113","MCI","1999-11-19","2019-11-08","24","85.714287","116.8421"
"sq00113","TaxaRichness","1999-11-19","2019-11-08","24","12","31"
"sq00113","PercentageEPTTaxa","1999-11-19","2019-11-08","24","29.17","62.5"
"sq00120","MCI","1999-11-23","2020-01-14","23","93.33334","140"
"sq00120","TaxaRichness","1999-11-23","2020-01-14","23","8","26"
"sq00120","PercentageEPTTaxa","1999-11-23","2020-01-14","23","33.33","75"
"sq00122","MCI","1999-11-25","2020-01-14","24","83.63636","128"
"sq00122","TaxaRichness","1999-11-25","2020-01-14","24","5","20"
"sq00122","PercentageEPTTaxa","1999-11-25","2020-01-14","24","25","80"
"sq00126","MCI","1999-11-26","2020-01-14","22","98.75","122.2222"
"sq00126","TaxaRichness","1999-11-26","2020-01-14","22","14","32"
"sq00126","PercentageEPTTaxa","1999-11-26","2020-01-14","22","35.71","55.56"
"sq00128","MCI","1999-11-30","2019-12-04","24","57.14286","88"
"sq00128","TaxaRichness","1999-11-30","2019-12-04","24","5","24"
"sq00128","PercentageEPTTaxa","1999-11-30","2019-12-04","24","0","31.25"
"sq00129","MCI","1999-11-30","2019-12-03","24","56.36364","85.714287"
"sq00129","TaxaRichness","1999-11-30","2019-12-03","24","7","22"
"sq00129","PercentageEPTTaxa","1999-11-30","2019-12-03","24","0","26.67"
"sq00130","MCI","1999-11-30","2019-12-03","24","62","89.33334"
"sq00130","TaxaRichness","1999-11-30","2019-12-03","24","7","24"
"sq00130","PercentageEPTTaxa","1999-11-30","2019-12-03","24","0","33.33"
"sq00132","MCI","1999-12-01","2020-01-15","23","85","126.1538"
"sq00132","TaxaRichness","1999-12-01","2020-01-15","23","4","22"
"sq00132","PercentageEPTTaxa","1999-12-01","2020-01-15","23","27.27","75"
"sq00133","MCI","1999-12-01","2020-01-15","25","90","137.1429"
"sq00133","TaxaRichness","1999-12-01","2020-01-15","25","9","23"
"sq00133","PercentageEPTTaxa","1999-12-01","2020-01-15","25","29.41","70"
"sq00134","MCI","1999-12-01","2020-01-15","21","90.769234","142"
"sq00134","TaxaRichness","1999-12-01","2020-01-15","21","9","22"
"sq00134","PercentageEPTTaxa","1999-12-01","2020-01-15","21","23.08","90"
"sq00135","MCI","1999-12-02","2019-11-28","24","97.64706","121.4286"
"sq00135","TaxaRichness","1999-12-02","2019-11-28","24","10","28"
"sq00135","PercentageEPTTaxa","1999-12-02","2019-11-28","24","37.04","60"
"sq00137","MCI","1999-12-02","2019-11-28","26","101.0526","128.5714"
"sq00137","TaxaRichness","1999-12-02","2019-11-28","26","12","30"
"sq00137","PercentageEPTTaxa","1999-12-02","2019-11-28","26","31.58","66.67"
"sq00139","MCI","1999-12-03","2019-11-28","24","58","102.6667"
"sq00139","TaxaRichness","1999-12-03","2019-11-28","24","6","25"
"sq00139","PercentageEPTTaxa","1999-12-03","2019-11-28","24","0","50"
"sq00152","MCI","1999-12-08","2019-12-19","24","87.692307","131.6667"
"sq00152","TaxaRichness","1999-12-08","2019-12-19","24","9","27"
"sq00152","PercentageEPTTaxa","1999-12-08","2019-12-19","24","21.05","66.67"
"sq00153","MCI","2000-01-25","2019-12-19","21","76.66666","123.0769"
"sq00153","TaxaRichness","2000-01-25","2019-12-19","21","9","27"
"sq00153","PercentageEPTTaxa","2000-01-25","2019-12-19","21","18.75","55.56"
"sq00155","MCI","1999-12-08","2019-12-19","23","77.333344","126.6667"
"sq00155","TaxaRichness","1999-12-08","2019-12-19","23","6","24"
"sq00155","PercentageEPTTaxa","1999-12-08","2019-12-19","23","25","71.43"
"sq00157","MCI","1999-12-09","2019-12-20","21","117.3333","148.8889"
"sq00157","TaxaRichness","1999-12-09","2019-12-20","21","9","29"
"sq00157","PercentageEPTTaxa","1999-12-09","2019-12-20","21","33.33","77.78"
"sq00158","MCI","1999-12-09","2015-12-11","20","93.33334","147.6923"
"sq00158","TaxaRichness","1999-12-09","2015-12-11","20","9","28"
"sq00158","PercentageEPTTaxa","1999-12-09","2015-12-11","20","26.666666","77.77778"
"sq00159","MCI","1999-12-09","2019-12-20","22","72","132.6316"
"sq00159","TaxaRichness","1999-12-09","2019-12-20","22","10","35"
"sq00159","PercentageEPTTaxa","1999-12-09","2019-12-20","22","10","68.42"
"sq00160","MCI","1999-12-09","2019-12-19","22","83.333344","136.6667"
"sq00160","TaxaRichness","1999-12-09","2019-12-19","22","6","23"
"sq00160","PercentageEPTTaxa","1999-12-09","2019-12-19","22","20","60"
"sq00162","MCI","1999-12-09","2019-12-19","24","66.66666","98.571426"
"sq00162","TaxaRichness","1999-12-09","2019-12-19","24","7","24"
"sq00162","PercentageEPTTaxa","1999-12-09","2019-12-19","24","16.67","57.14"
"sq00165","MCI","1999-12-13","2018-12-12","22","57.14286","87.77778"
"sq00165","TaxaRichness","1999-12-13","2018-12-12","22","8","26"
"sq00165","PercentageEPTTaxa","1999-12-13","2018-12-12","22","0","36.842106"
"sq00169","MCI","2000-11-27","2019-11-08","23","72","114.4444"
"sq00169","TaxaRichness","2000-11-27","2019-11-08","23","9","33"
"sq00169","PercentageEPTTaxa","2000-11-27","2019-11-08","23","18.18","55.56"
"sq00170","MCI","2000-11-27","2019-11-06","23","90","125"
"sq00170","TaxaRichness","2000-11-27","2019-11-06","23","9","33"
"sq00170","PercentageEPTTaxa","2000-11-27","2019-11-06","23","30","62.5"
"sq00171","MCI","2001-11-20","2019-11-06","21","95.83334","120"
"sq00171","TaxaRichness","2001-11-20","2019-11-06","21","14","31"
"sq00171","PercentageEPTTaxa","2001-11-20","2019-11-06","21","27.78","57.89"
"sq00172","MCI","2001-11-20","2019-11-06","22","117.931","136.4706"
"sq00172","TaxaRichness","2001-11-20","2019-11-06","22","12","39"
"sq00172","PercentageEPTTaxa","2001-11-20","2019-11-06","22","43.75","64.71"
"sq00174","MCI","2001-11-19","2019-11-06","21","86.66666","120"
"sq00174","TaxaRichness","2001-11-19","2019-11-06","21","11","31"
"sq00174","PercentageEPTTaxa","2001-11-19","2019-11-06","21","25.93","61.11"
"sq00176","MCI","2001-11-19","2019-11-08","22","102.3529","127.3684"
"sq00176","TaxaRichness","2001-11-19","2019-11-08","22","12","34"
"sq00176","PercentageEPTTaxa","2001-11-19","2019-11-08","22","35.29","63.64"
"sq00177","MCI","2001-11-13","2019-11-28","21","97.77778","129.4118"
"sq00177","TaxaRichness","2001-11-13","2019-11-28","21","11","28"
"sq00177","PercentageEPTTaxa","2001-11-13","2019-11-28","21","33.33","59.09"
"sq00180","MCI","2001-11-13","2019-11-28","21","84.44444","105.7143"
"sq00180","TaxaRichness","2001-11-13","2019-11-28","21","12","29"
"sq00180","PercentageEPTTaxa","2001-11-13","2019-11-28","21","22.22","53.33"
"sq00206","MCI","1999-11-19","2020-01-10","23","96.66666","120"
"sq00206","TaxaRichness","1999-11-19","2020-01-10","23","10","31"
"sq00206","PercentageEPTTaxa","1999-11-19","2020-01-10","23","35.71","58.33"
"sq00207","MCI","1999-11-19","2020-01-10","23","86.66666","117.5"
"sq00207","TaxaRichness","1999-11-19","2020-01-10","23","9","27"
"sq00207","PercentageEPTTaxa","1999-11-19","2020-01-10","23","25","60"
"sq00214","MCI","1999-11-23","2020-01-09","23","57.77778","95.789467"
"sq00214","TaxaRichness","1999-11-23","2020-01-09","23","9","29"
"sq00214","PercentageEPTTaxa","1999-11-23","2020-01-09","23","0","36.84"
"sq00218","MCI","1999-11-24","2020-01-08","24","103.75","146.6667"
"sq00218","TaxaRichness","1999-11-24","2020-01-08","24","12","32"
"sq00218","PercentageEPTTaxa","1999-11-24","2020-01-08","24","26.67","66.67"
"sq00224","MCI","1999-11-26","2020-01-07","25","115.2381","151.6667"
"sq00224","TaxaRichness","1999-11-26","2020-01-07","25","10","33"
"sq00224","PercentageEPTTaxa","1999-11-26","2020-01-07","25","42.31","81.82"
"sq00225","MCI","1999-11-26","2020-01-07","23","102.963","132.3077"
"sq00225","TaxaRichness","1999-11-26","2020-01-07","23","13","35"
"sq00225","PercentageEPTTaxa","1999-11-26","2020-01-07","23","35.71","62.5"
"sq00230","MCI","1999-11-29","2020-01-07","23","88.571426","127.6923"
"sq00230","TaxaRichness","1999-11-29","2020-01-07","23","12","29"
"sq00230","PercentageEPTTaxa","1999-11-29","2020-01-07","23","28.57","69.23"
"sq00237","MCI","1999-11-30","2020-01-07","23","66.15385","90.909088"
"sq00237","TaxaRichness","1999-11-30","2020-01-07","23","11","26"
"sq00237","PercentageEPTTaxa","1999-11-30","2020-01-07","23","15.38","46.15"
"sq00240","MCI","1999-12-01","2020-01-08","16","80","123.3333"
"sq00240","TaxaRichness","1999-12-01","2020-01-08","16","7","23"
"sq00240","PercentageEPTTaxa","1999-12-01","2020-01-08","16","20","71.43"
"sq00243","MCI","1999-12-02","2020-01-08","22","80","124.6154"
"sq00243","TaxaRichness","1999-12-02","2020-01-08","22","11","31"
"sq00243","PercentageEPTTaxa","1999-12-02","2020-01-08","22","30.77","61.54"
"sq00257","MCI","1999-12-08","2020-01-09","23","66.66666","127.6923"
"sq00257","TaxaRichness","1999-12-08","2020-01-09","23","9","24"
"sq00257","PercentageEPTTaxa","1999-12-08","2020-01-09","23","10","66.67"
"sq00266","MCI","1999-12-09","2020-01-09","23","64","108.3333"
"sq00266","TaxaRichness","1999-12-09","2020-01-09","23","10","33"
"sq00266","PercentageEPTTaxa","1999-12-09","2020-01-09","23","10","43.75"
"sq00272","MCI","1999-12-14","2020-01-08","23","111.7647","138.8889"
"sq00272","TaxaRichness","1999-12-14","2020-01-08","23","16","37"
"sq00272","PercentageEPTTaxa","1999-12-14","2020-01-08","23","40.63","68"
"sq00280","MCI","1999-12-16","2020-01-08","23","94.44444","131.2"
"sq00280","TaxaRichness","1999-12-16","2020-01-08","23","14","33"
"sq00280","PercentageEPTTaxa","1999-12-16","2020-01-08","23","28","60"
"sq00282","MCI","1999-12-16","2020-01-09","23","80","121.3333"
"sq00282","TaxaRichness","1999-12-16","2020-01-09","23","8","26"
"sq00282","PercentageEPTTaxa","1999-12-16","2020-01-09","23","20","61.54"
"sq00286","MCI","1999-12-17","2020-01-09","22","88.888893","140"
"sq00286","TaxaRichness","1999-12-17","2020-01-09","22","10","23"
"sq00286","PercentageEPTTaxa","1999-12-17","2020-01-09","22","30","81.82"
"sq00287","MCI","1999-12-17","2020-01-09","19","55","132.5"
"sq00287","TaxaRichness","1999-12-17","2020-01-09","19","8","27"
"sq00287","PercentageEPTTaxa","1999-12-17","2020-01-09","19","12.5","62.5"
"sq00336","MCI","2002-12-18","2019-11-26","17","62.22222","107.5"
"sq00336","TaxaRichness","2002-12-18","2019-11-26","17","6","22"
"sq00336","PercentageEPTTaxa","2002-12-18","2019-11-26","17","0","50"
"sq00366","MCI","2002-11-21","2019-11-26","17","65.45454","120"
"sq00366","TaxaRichness","2002-11-21","2019-11-26","17","9","24"
"sq00366","PercentageEPTTaxa","2002-11-21","2019-11-26","17","0","61.54"
"sq00424","MCI","2003-11-18","2019-12-19","17","99.25926","140"
"sq00424","TaxaRichness","2003-11-18","2019-12-19","17","10","34"
"sq00424","PercentageEPTTaxa","2003-11-18","2019-12-19","17","33.33","66.67"
"sq00491","MCI","2005-11-24","2019-11-06","15","95.714287","132"
"sq00491","TaxaRichness","2005-11-24","2019-11-06","15","12","36"
"sq00491","PercentageEPTTaxa","2005-11-24","2019-11-06","15","28.57","59.09"
"sq00683","MCI","2005-12-20","2019-12-19","14","90.769234","127.5"
"sq00683","TaxaRichness","2005-12-20","2019-12-19","14","8","28"
"sq00683","PercentageEPTTaxa","2005-12-20","2019-12-19","14","35.29","75"
"sq00684","MCI","2005-11-25","2019-11-06","16","110.5263","130"
"sq00684","TaxaRichness","2005-11-25","2019-11-06","16","17","36"
"sq00684","PercentageEPTTaxa","2005-11-25","2019-11-06","16","36.84","65"
