"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"NAT-AX01","MCI","1990-03-28","2019-02-21","27","68","110"
"NAT-AX01","PercentageEPTTaxa","1990-03-28","2019-02-21","27","25","70"
"NAT-AX01","TaxaRichness","1990-03-28","2019-02-21","27","8","28"
"NAT-AX02","MCI","1990-03-28","2019-02-21","25","78.9473684210526","132.222222222222"
"NAT-AX02","PercentageEPTTaxa","1990-03-28","2019-02-21","25","38.0952380952381","66.6666666666667"
"NAT-AX02","TaxaRichness","1990-03-28","2019-02-21","25","6","26"
"NAT-AX03","MCI","1990-03-28","2019-02-21","25","94.4444444444444","136.666666666667"
"NAT-AX03","PercentageEPTTaxa","1990-03-28","2019-02-21","25","22.2222222222222","66.6666666666667"
"NAT-AX03","TaxaRichness","1990-03-28","2019-02-21","25","3","26"
"NAT-AX04","MCI","1990-03-28","2019-02-21","28","50","99.2857142857143"
"NAT-AX04","PercentageEPTTaxa","1990-03-28","2019-02-21","28","0","52.6315789473684"
"NAT-AX04","TaxaRichness","1990-03-28","2019-02-21","28","2","27"
"NAT-CH01","MCI","1990-02-21","2019-02-13","29","100","135"
"NAT-CH01","PercentageEPTTaxa","1990-02-21","2019-02-13","29","47.3684210526316","68.75"
"NAT-CH01","TaxaRichness","1990-02-21","2019-02-13","29","9","32"
"NAT-CH02","MCI","1990-02-21","2019-02-13","29","99","127.368421052632"
"NAT-CH02","PercentageEPTTaxa","1990-02-21","2019-02-13","29","40","81.8181818181818"
"NAT-CH02","TaxaRichness","1990-02-21","2019-02-13","29","10","31"
"NAT-CH03","MCI","1990-03-07","2019-02-13","29","76.6666666666667","147.5"
"NAT-CH03","PercentageEPTTaxa","1990-03-07","2019-02-13","29","33.3333333333333","75"
"NAT-CH03","TaxaRichness","1990-03-07","2019-02-13","29","6","20"
"NAT-CH04","MCI","1990-02-21","2019-02-13","29","67.5","132"
"NAT-CH04","PercentageEPTTaxa","1990-02-21","2019-02-13","29","25","66.6666666666667"
"NAT-CH04","TaxaRichness","1990-02-21","2019-02-13","29","5","19"
"NAT-DN01","MCI","1991-04-04","2019-02-13","38","84.6153846153846","134.545454545455"
"NAT-DN01","PercentageEPTTaxa","1991-04-04","2019-02-13","38","29.4117647058824","63.6363636363636"
"NAT-DN01","TaxaRichness","1991-04-04","2019-02-13","38","12","31"
"NAT-DN10","MCI","1990-02-14","2017-04-11","28","45","110"
"NAT-DN10","PercentageEPTTaxa","1990-02-14","2017-04-11","28","25","55.5555555555556"
"NAT-DN10","TaxaRichness","1990-02-14","2017-04-11","28","4","32"
"NAT-DN02","MCI","1991-04-04","2019-02-13","39","81.25","133"
"NAT-DN02","PercentageEPTTaxa","1991-04-04","2019-02-13","39","23.0769230769231","70"
"NAT-DN02","TaxaRichness","1991-04-04","2019-02-13","39","11","39"
"NAT-DN03","MCI","1991-04-04","2016-01-07","26","89.0909090909091","122.5"
"NAT-DN03","PercentageEPTTaxa","1991-04-04","2016-01-07","26","36.3636363636364","62.5"
"NAT-DN03","TaxaRichness","1991-04-04","2016-01-07","26","16","30"
