"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"hrk000085","MCI","1995-08-31","2020-02-03","49","73","108"
"hrk000085","TaxaRichness","1995-08-31","2020-02-03","49","13","29"
"hrk000085","PercentageEPTTaxa","1995-08-31","2020-02-03","49","14","54"
"htk000350","MCI","1996-12-25","2020-02-03","47","82","120"
"htk000350","TaxaRichness","1996-12-25","2020-02-03","47","19","34"
"htk000350","PercentageEPTTaxa","1996-12-25","2020-02-03","47","26","58"
"htk000425","MCI","1996-12-25","2020-02-03","47","89","121"
"htk000425","TaxaRichness","1996-12-25","2020-02-03","47","17","32"
"htk000425","PercentageEPTTaxa","1996-12-25","2020-02-03","47","31","58"
"htk000745","MCI","1996-12-25","2020-02-03","47","61","111"
"htk000745","TaxaRichness","1996-12-25","2020-02-03","47","11","27"
"htk000745","PercentageEPTTaxa","1996-12-25","2020-02-03","47","5","52"
"kpa000250","MCI","1998-03-23","2019-11-12","41","86","140"
"kpa000250","TaxaRichness","1998-03-23","2019-11-12","41","19","31"
"kpa000250","PercentageEPTTaxa","1998-03-23","2019-11-12","41","26","76"
"kpa000700","MCI","1996-12-10","2019-11-12","41","77","122"
"kpa000700","TaxaRichness","1996-12-10","2019-11-12","41","12","30"
"kpa000700","PercentageEPTTaxa","1996-12-10","2019-11-12","41","24","69"
"kpa000950","MCI","1996-12-10","2019-11-12","41","75","103"
"kpa000950","TaxaRichness","1996-12-10","2019-11-12","41","15","25"
"kpa000950","PercentageEPTTaxa","1996-12-10","2019-11-12","41","11","47"
"kpk000250","MCI","1998-03-25","2020-02-28","43","131","149"
"kpk000250","TaxaRichness","1998-03-25","2020-02-28","43","20","36"
"kpk000250","PercentageEPTTaxa","1998-03-25","2020-02-28","43","56","79"
"kpk000500","MCI","1995-03-23","2020-02-28","47","105","147"
"kpk000500","TaxaRichness","1995-03-23","2020-02-28","47","20","33"
"kpk000500","PercentageEPTTaxa","1995-03-23","2020-02-28","47","42","72"
"kpk000660","MCI","1995-12-12","2020-02-28","50","70","136"
"kpk000660","TaxaRichness","1995-12-12","2020-02-28","50","14","32"
"kpk000660","PercentageEPTTaxa","1995-12-12","2020-02-28","50","13","69"
"kpk000880","MCI","1995-12-12","2020-02-28","50","70","114"
"kpk000880","TaxaRichness","1995-12-12","2020-02-28","50","13","31"
"kpk000880","PercentageEPTTaxa","1995-12-12","2020-02-28","50","14","57"
"kpk000990","MCI","1999-10-20","2020-02-28","42","71","110"
"kpk000990","TaxaRichness","1999-10-20","2020-02-28","42","11","26"
"kpk000990","PercentageEPTTaxa","1999-10-20","2020-02-28","42","15","57"
"krp000300","MCI","1995-09-05","2020-02-03","49","80","113"
"krp000300","TaxaRichness","1995-09-05","2020-02-03","49","12","32"
"krp000300","PercentageEPTTaxa","1995-09-05","2020-02-03","49","10","50"
"krp000660","MCI","1995-09-05","2020-02-04","49","76","120"
"krp000660","TaxaRichness","1995-09-05","2020-02-04","49","18","30"
"krp000660","PercentageEPTTaxa","1995-09-05","2020-02-04","49","5","64"
"ktk000150","MCI","1999-09-27","2019-11-07","40","115","152"
"ktk000150","TaxaRichness","1999-09-27","2019-11-07","40","11","38"
"ktk000150","PercentageEPTTaxa","1999-09-27","2019-11-07","40","52","81"
"ktk000248","MCI","2000-10-26","2019-11-08","38","80","127"
"ktk000248","TaxaRichness","2000-10-26","2019-11-08","38","17","31"
"ktk000248","PercentageEPTTaxa","2000-10-26","2019-11-08","38","22","64"
"mge000970","MCI","2002-11-25","2020-02-14","35","84","118"
"mge000970","TaxaRichness","2002-11-25","2020-02-14","35","18","33"
"mge000970","PercentageEPTTaxa","2002-11-25","2020-02-14","35","27","60"
"mgh000950","MCI","1995-10-20","2020-03-05","50","77","108"
"mgh000950","TaxaRichness","1995-10-20","2020-03-05","50","10","26"
"mgh000950","PercentageEPTTaxa","1995-10-20","2020-03-05","50","0","69"
"mgn000195","MCI","1995-09-20","2020-02-05","50","117","153"
"mgn000195","TaxaRichness","1995-09-20","2020-02-05","50","9","26"
"mgn000195","PercentageEPTTaxa","1995-09-20","2020-02-05","50","43","78"
"mgn000427","MCI","1995-09-20","2020-02-05","50","81","120"
"mgn000427","TaxaRichness","1995-09-20","2020-02-05","50","14","26"
"mgn000427","PercentageEPTTaxa","1995-09-20","2020-02-05","50","29","60"
"mgt000488","MCI","1995-09-21","2019-10-31","48","60","102"
"mgt000488","TaxaRichness","1995-09-21","2019-10-31","48","9","29"
"mgt000488","PercentageEPTTaxa","1995-09-21","2019-10-31","48","0","38"
"mgt000520","MCI","1995-02-15","2019-10-31","49","44","84"
"mgt000520","TaxaRichness","1995-02-15","2019-10-31","49","3","22"
"mgt000520","PercentageEPTTaxa","1995-02-15","2019-10-31","49","0","30"
"mkw000200","MCI","1998-03-06","2020-02-05","40","113","162"
"mkw000200","TaxaRichness","1998-03-06","2020-02-05","40","8","33"
"mkw000200","PercentageEPTTaxa","1998-03-06","2020-02-05","40","33","77"
"mkw000300","MCI","2000-11-22","2020-02-05","39","94","133"
"mkw000300","TaxaRichness","2000-11-22","2020-02-05","39","12","31"
"mkw000300","PercentageEPTTaxa","2000-11-22","2020-02-05","39","33","65"
"mrk000420","MCI","1995-09-19","2019-11-01","48","78","107"
"mrk000420","TaxaRichness","1995-09-19","2019-11-01","48","11","30"
"mrk000420","PercentageEPTTaxa","1995-09-19","2019-11-01","48","9","55"
"mwh000380","MCI","1995-10-25","2019-03-06","48","62","90"
"mwh000380","TaxaRichness","1995-10-25","2019-03-06","48","10","24"
"mwh000380","PercentageEPTTaxa","1995-10-25","2019-03-06","48","12","38"
"mwh000490","MCI","1995-10-25","2019-03-07","48","65","107"
"mwh000490","TaxaRichness","1995-10-25","2019-03-07","48","13","30"
"mwh000490","PercentageEPTTaxa","1995-10-25","2019-03-07","48","11","45"
"pat000200","MCI","1993-05-10","2020-03-11","51","133","155"
"pat000200","TaxaRichness","1993-05-10","2020-03-11","51","23","35"
"pat000200","PercentageEPTTaxa","1993-05-10","2020-03-11","51","58","79"
"pat000315","MCI","1995-10-11","2020-03-11","50","103","138"
"pat000315","TaxaRichness","1995-10-11","2020-03-11","50","20","32"
"pat000315","PercentageEPTTaxa","1995-10-11","2020-03-11","50","39","67"
"pat000360","MCI","1995-10-11","2020-03-12","50","77","116"
"pat000360","TaxaRichness","1995-10-11","2020-03-12","50","15","33"
"pat000360","PercentageEPTTaxa","1995-10-11","2020-03-12","50","20","56"
"pnh000200","MCI","1995-10-11","2020-02-25","50","111","148"
"pnh000200","TaxaRichness","1995-10-11","2020-02-25","50","18","32"
"pnh000200","PercentageEPTTaxa","1995-10-11","2020-02-25","50","46","76"
"pnh000900","MCI","1995-10-11","2020-02-25","50","72","120"
"pnh000900","TaxaRichness","1995-10-11","2020-02-25","50","10","26"
"pnh000900","PercentageEPTTaxa","1995-10-11","2020-02-25","50","13","60"
"sty000300","MCI","1995-10-25","2020-03-04","49","64","153"
"sty000300","TaxaRichness","1995-10-25","2020-03-04","49","1","21"
"sty000300","PercentageEPTTaxa","1995-10-25","2020-03-04","49","20","100"
"sty000400","MCI","1995-10-25","2020-03-04","48","84","160"
"sty000400","TaxaRichness","1995-10-25","2020-03-04","49","0","18"
"sty000400","PercentageEPTTaxa","1995-10-25","2020-03-04","49","0","80"
"tmr000150","MCI","1995-10-25","2019-11-07","48","128","157"
"tmr000150","TaxaRichness","1995-10-25","2019-11-07","48","8","34"
"tmr000150","PercentageEPTTaxa","1995-10-25","2019-11-07","48","56","78"
"tmr000375","MCI","1995-10-25","2019-11-07","48","91","129"
"tmr000375","TaxaRichness","1995-10-25","2019-11-07","48","13","35"
"tmr000375","PercentageEPTTaxa","1995-10-25","2019-11-07","48","28","61"
"tnh000090","MCI","2007-12-04","2019-11-27","25","95","115"
"tnh000090","TaxaRichness","2007-12-04","2019-11-27","25","9","31"
"tnh000090","PercentageEPTTaxa","2007-12-04","2019-11-27","25","29","57"
"tnh000200","MCI","2007-12-04","2019-11-27","25","97","114"
"tnh000200","TaxaRichness","2007-12-04","2019-11-27","25","14","35"
"tnh000200","PercentageEPTTaxa","2007-12-04","2019-11-27","25","30","59"
"tnh000515","MCI","2007-12-04","2019-11-27","25","78","107"
"tnh000515","TaxaRichness","2007-12-04","2019-11-27","25","14","26"
"tnh000515","PercentageEPTTaxa","2007-12-04","2019-11-27","25","18","53"
"wai000110","MCI","1998-02-05","2019-11-01","41","80","108"
"wai000110","TaxaRichness","1998-02-05","2019-11-01","41","17","30"
"wai000110","PercentageEPTTaxa","1998-02-05","2019-11-01","41","26","53"
"wga000260","MCI","1995-10-18","2019-11-06","48","82","116"
"wga000260","TaxaRichness","1995-10-18","2019-11-06","48","9","31"
"wga000260","PercentageEPTTaxa","1995-10-18","2019-11-06","48","17","55"
"wga000450","MCI","1995-10-18","2019-11-06","48","73","106"
"wga000450","TaxaRichness","1995-10-18","2019-11-06","48","12","29"
"wga000450","PercentageEPTTaxa","1995-10-18","2019-11-06","48","8","48"
"wgg000115","MCI","1995-10-25","2019-12-02","49","125","149"
"wgg000115","TaxaRichness","1995-10-25","2019-12-02","49","22","40"
"wgg000115","PercentageEPTTaxa","1995-10-25","2019-12-02","49","59","77"
"wgg000150","MCI","1995-10-25","2019-12-02","49","124","149"
"wgg000150","TaxaRichness","1995-10-25","2019-12-02","49","20","39"
"wgg000150","PercentageEPTTaxa","1995-10-25","2019-12-02","49","50","75"
"wgg000500","MCI","1994-03-10","2020-02-26","51","99","133"
"wgg000500","TaxaRichness","1994-03-10","2020-02-26","51","15","30"
"wgg000500","PercentageEPTTaxa","1994-03-10","2020-02-26","51","32","74"
"wgg000665","MCI","1995-10-25","2020-02-26","50","80","116"
"wgg000665","TaxaRichness","1995-10-25","2020-02-26","50","14","30"
"wgg000665","PercentageEPTTaxa","1995-10-25","2020-02-26","50","24","63"
"wgg000895","MCI","1995-10-25","2019-12-03","49","75","111"
"wgg000895","TaxaRichness","1995-10-25","2019-12-03","49","13","25"
"wgg000895","PercentageEPTTaxa","1995-10-25","2019-12-03","49","15","56"
"wgg000995","MCI","1995-10-25","2019-12-03","49","70","104"
"wgg000995","TaxaRichness","1995-10-25","2019-12-03","49","12","26"
"wgg000995","PercentageEPTTaxa","1995-10-25","2019-12-03","49","13","50"
"wkh000100","MCI","2002-11-27","2020-02-15","35","121","162"
"wkh000100","TaxaRichness","2002-11-27","2020-02-15","35","4","33"
"wkh000100","PercentageEPTTaxa","2002-11-27","2020-02-15","35","57","82"
"wkh000500","MCI","1995-11-23","2020-02-15","49","87","134"
"wkh000500","TaxaRichness","1995-11-23","2020-02-15","49","14","32"
"wkh000500","PercentageEPTTaxa","1995-11-23","2020-02-15","49","32","71"
"wkh000920","MCI","1995-11-23","2019-02-08","47","60","115"
"wkh000920","TaxaRichness","1995-11-23","2019-02-08","47","7","29"
"wkh000920","PercentageEPTTaxa","1995-11-23","2019-02-08","47","14","56"
"wkh000950","MCI","1996-11-11","2019-02-08","45","74","120"
"wkh000950","TaxaRichness","1996-11-11","2019-02-08","45","8","30"
"wkh000950","PercentageEPTTaxa","1996-11-11","2019-02-08","45","12","54"
