"CouncilSiteID","SiteID","LawaSiteID","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Lat","Long","accessDate","Landcover","Altitude","Order","StreamOrder"
"1043824","ngakaroa @ mills road","arc-00009",2009507,"auckland","arc","Unstated",NA,-37.1954715941643,174.973634380558,"23-Jun-2020","Rural","Upland","3","3"
"7527","vaughan lower","arc-00024",2004122,"auckland","arc","Unstated",NA,-36.6843809245859,174.739454858364,"23-Jun-2020","Rural","Upland","2","1&2"
"45505","makarau @ rail bridge","arc-00033",2002945,"auckland","arc","lowland","rural",-36.5566003309383,174.520676593504,"23-Jun-2020","Rural","Upland","5","4"
"8019","avondale @ shadbolt","arc-00036",2006297,"auckland","arc","lowland","urban",-36.9232796028548,174.69177897747,"23-Jun-2020","Urban","Upland","2","3"
"7171","nukumea upper","arc-00038",2003052,"auckland","arc","upland","forest",-36.5711630781172,174.66982770771,"23-Jun-2020","Forest","Upland","1","1&2"
"44618","cascades ltb","arc-00001",2005866,"auckland","arc","Unstated",NA,-36.8888897276789,174.522114739379,"23-Jun-2020","Forest","Upland","2","4"
"45369","kumeu @ weza","arc-00003",2004945,"auckland","arc","Unstated",NA,-36.7761949059392,174.560030905611,"23-Jun-2020","Rural","Upland","4","4&1"
"6604","matakana ltb","arc-00008",2001381,"auckland","arc","Unstated",NA,-36.3450174080717,174.711828900139,"23-Jun-2020","Rural","Upland","4","1"
"8177","oakley ltb","arc-00010",2005765,"auckland","arc","Unstated",NA,-36.8761606721293,174.704774371726,"23-Jun-2020","Urban","Upland","3","3"
"7308","awanohi lower","arc-00011",2004093,"auckland","arc","Unstated",NA,-36.6851870078904,174.69481873097,"23-Jun-2020","Rural","Upland","3","2"
"7925","opanuku stream","arc-00013",2005960,"auckland","arc","Unstated",NA,-36.894914600398,174.594663650363,"23-Jun-2020","Forest","Upland","4","3"
"8241","otara ck kennel hill","arc-00016",2006642,"auckland","arc","Unstated",NA,-36.9557021247356,174.890620893947,"23-Jun-2020","Rural","Lowland","3","3"
"107801","oteha ltb","arc-00017",2004609,"auckland","arc","Unstated",NA,-36.7376890890641,174.701336946892,"23-Jun-2020","Urban","Upland","3","3"
"1043825","papakura ltb","arc-00021",2007536,"auckland","arc","Unstated",NA,-37.0281570217399,174.92321720323,"23-Jun-2020","Rural","Lowland","4","4"
"1043826","puhinui ltb","arc-00022",2007136,"auckland","arc","Unstated",NA,-36.9927328887592,174.870402093616,"23-Jun-2020","Urban","Lowland","3","3"
"8553","wairoa ltb","arc-00025",2007413,"auckland","arc","Unstated",NA,-37.0119701605855,175.053337256477,"23-Jun-2020","Rural","Upland","5","5"
"7213","west hoe ltb","arc-00027",2003137,"auckland","arc","Unstated",NA,-36.5784732643224,174.657568393706,"23-Jun-2020","Forest","Upland","1","2"
"43601","waitangi stream","arc-00028",2009665,"auckland","arc","Unstated",NA,-37.2270234530618,174.739817460997,"23-Jun-2020","Rural","Lowland","3","3&1"
"8569","wairoa @ caitchen rd trib","arc-00030",2008323,"auckland","arc","Unstated",NA,-37.0924583719574,175.101432631445,"23-Jun-2020","Forest","Upland","2","2"
"45371","riverhead forest stream","arc-00031",2004547,"auckland","arc","Unstated",NA,-36.7368760528028,174.535816947487,"23-Jun-2020","Forest","Upland","2","1&2"
"1043835","papakura trib @ alfriston","arc-00037",2007478,"auckland","arc","Unstated",NA,-37.0197040394099,174.92814078863,"23-Jun-2020","Rural","Upland","2","2"
"45368","ararimu @ old north road","arc-00042",2004627,"auckland","arc","Unstated",NA,-36.7434837330767,174.511139902912,"23-Jun-2020","Rural","Lowland","5","5"
"8557","aroaro @ phillips","arc-00104",2007239,"auckland","arc","Unstated",NA,-36.9957299143454,175.13399247532,"23-Jun-2020","Rural","Upland","3","3"
"7309","awanohi mid","arc-00106",2004217,"auckland","arc","Unstated",NA,-36.6943612861439,174.686054594388,"23-Jun-2020","Rural","Upland","2","2&1"
"7311","awanohi upper 1","arc-00108",2004276,"auckland","arc","Unstated",NA,-36.7023193313268,174.680396321662,"23-Jun-2020","Forest","Upland","1","1"
"45742","awarere @ dibble","arc-00110",2001550,"auckland","arc","Unstated",NA,-36.370029122108,174.567563831022,"23-Jun-2020","Forest","Upland","3","3"
"7524","campbell's bay","arc-00111",2004710,"auckland","arc","Unstated",NA,-36.7507466030539,174.759198694159,"23-Jun-2020","Urban","Upland","1","1"
"7721","chatswood","arc-00112",2005346,"auckland","arc","Unstated",NA,-36.8172803249653,174.713826067478,"23-Jun-2020","Urban","Upland","1","1&2"
"6606","duck creek @ trotters","arc-00113",2001750,"auckland","arc","Unstated",NA,-36.3989851419417,174.701750174899,"23-Jun-2020","Rural","Upland","1","1"
"8407","duders","arc-00114",2006201,"auckland","arc","Unstated",NA,-36.9062529391449,175.083136483349,"23-Jun-2020","Rural","Upland","1","1"
"6852","dyers creek @ mid paddock","arc-00115",2002156,"auckland","arc","Unstated",NA,-36.4587731923276,174.684141547227,"23-Jun-2020","Rural","Upland","3","3"
"7722","eskdale lower","arc-00116",2005118,"auckland","arc","Unstated",NA,-36.7926034027674,174.708658714026,"23-Jun-2020","Urban","Upland","3","1"
"7723","eskdale mid","arc-00117",2005153,"auckland","arc","Unstated",NA,-36.7947720168767,174.712046727914,"23-Jun-2020","Urban","Upland","2","2"
"7724","eskdale upper","arc-00118",2005160,"auckland","arc","Unstated",NA,-36.7950916000955,174.714889349992,"23-Jun-2020","Urban","Upland","1","1"
"45743","hoteo @ kraak hill","arc-00119",2001513,"auckland","arc","Unstated",NA,-36.3658182333765,174.596915441758,"23-Jun-2020","Forest","Upland","1","1"
"7725","lignite","arc-00123",2004938,"auckland","arc","Unstated",NA,-36.7701701829781,174.70665933607,"23-Jun-2020","Urban","Upland","1","1"
"7899","lucas ltb @ tennis","arc-00124",2004501,"auckland","arc","Unstated",NA,-36.7231426890407,174.699325197129,"23-Jun-2020","Urban","Upland","3","3"
"6862","mahu reference @ trappit","arc-00125",2002043,"auckland","arc","Unstated",NA,-36.4453355972646,174.662105928538,"23-Jun-2020","Forest","Upland","1","1"
"6850","mahurangi ltb","arc-00126",2002078,"auckland","arc","Unstated",NA,-36.4499486809684,174.647308788846,"23-Jun-2020","Forest","Upland","2","1&2"
"44460","marawhara","arc-00128",2006366,"auckland","arc","Unstated",NA,-36.9401216576628,174.46857112482,"23-Jun-2020","Forest","Upland","2","1&2"
"43720","mauku stream @ stp","arc-00129",2009477,"auckland","arc","Unstated",NA,-37.1882561944042,174.804435466703,"23-Jun-2020","Rural","Upland","3","4&1"
"7407","motutapu","arc-00131",2004929,"auckland","arc","Unstated",NA,-36.7687672968808,174.925455569243,"23-Jun-2020","Rural","Upland","2","2"
"45605","mt auckland","arc-00132",2002096,"auckland","arc","Unstated",NA,-36.4576840422337,174.460291306415,"23-Jun-2020","Forest","Upland","1","1&2"
"7313","okura creek@awanohi road","arc-00133",2003966,"auckland","arc","Unstated",NA,-36.6696044220034,174.714807838948,"23-Jun-2020","Forest","Upland","1","2&1"
"7315","okura trib 2","arc-00134",2004074,"auckland","arc","Unstated",NA,-36.6842760278705,174.708732085917,"23-Jun-2020","Rural","Upland","2","2&1"
"7314","okura trib 1","arc-00135",2004039,"auckland","arc","Unstated",NA,-36.6821415106051,174.724240500296,"23-Jun-2020","Rural","Upland","1","1"
"7726","onepoto @ kauri glen park","arc-00136",2005265,"auckland","arc","Unstated",NA,-36.805227264153,174.736322836525,"23-Jun-2020","Urban","Upland","1","1"
"8609","orere b","arc-00138",2007114,"auckland","arc","Unstated",NA,-36.9924392470383,175.212774524875,"23-Jun-2020","Forest","Upland","2","2"
"7172","otanerua","arc-00139",2003019,"auckland","arc","Unstated",NA,-36.5637353885856,174.67433854996,"23-Jun-2020","Forest","Upland","1","1"
"1043827","puhinui trib (soft)","arc-00140",2007176,"auckland","arc","Unstated",NA,-37.0017324830907,174.91196547795,"23-Jun-2020","Rural","Upland","2","1&2"
"1043828","puhinui upper (hard)","arc-00141",2007284,"auckland","arc","Unstated",NA,-37.0011683693927,174.91117596724,"23-Jun-2020","Rural","Upland","3","3"
"7012","puhoi","arc-00142",2002429,"auckland","arc","Unstated",NA,-36.4934969575699,174.615598356253,"23-Jun-2020","Rural","Upland","1","1&3"
"7212","shakespear","arc-00144",2003461,"auckland","arc","Unstated",NA,-36.6100113826264,174.833041000104,"23-Jun-2020","Rural","Upland","1","1"
"43918","symonds st @ ponga","arc-00145",2008260,"auckland","arc","Unstated",NA,-37.0861528392223,174.975441532674,"23-Jun-2020","Rural","Upland","3","3&1"
"7526","vaughan upper","arc-00146",2004154,"auckland","arc","Unstated",NA,-36.6895320333658,174.726778271552,"23-Jun-2020","Rural","Upland","1","1"
"44619","waitakere river","arc-00147",2005661,"auckland","arc","Unstated",NA,-36.8672414666848,174.499214639012,"23-Jun-2020","Forest","Upland","3","4"
"44470","wekatahi","arc-00148",2006412,"auckland","arc","Unstated",NA,-36.9429717471456,174.47714906939,"23-Jun-2020","Forest","Upland","2","1"
"8023","avondale @ reserve","lawa-102236",2006388,"auckland","arc","Unstated",NA,-36.9342024082176,174.666387006265,"23-Jun-2020","Urban","Upland","1","1"
"8022","avondale @ thuja pl","lawa-102238",2006340,"auckland","arc","Unstated",NA,-36.9293968579647,174.678643586042,"23-Jun-2020","Urban","Upland","2","2"
"45745","waiwhiu @ frith","lawa-102240",2001157,"auckland","arc","Unstated",NA,-36.2910609782856,174.562011596161,"23-Jun-2020","Forest","Upland","1","1"
"645519","makarau","arc-00061",2003057,"auckland","arc","lowland","forest",-36.576039425937,174.50665072424,"23-Jun-2020","Rural","Upland","1","1&2"
"BQ964696","aongatete at above pine ridge lane","ebop-00165",4000540,"bay of plenty","boprc","lowland","urban",-37.397742403468,175.933099221882,"23-Jun-2020","Forest","Upland","4","4&1"
"IM796551","awakaponga at manawahe rd","ebop-00134",4006018,"bay of plenty","boprc","lowland","rural",-37.9288200408995,176.731258024931,"23-Jun-2020","Rural","Upland","2","1&3"
"JM074476","awakaponga at sh 2","ebop-00133",4005938,"bay of plenty","boprc","lowland","rural",-37.9345403211481,176.763178040202,"23-Jun-2020","Rural","Lowland","3","1&3"
"IM920999","awatarariki at above sh 2","ebop-00156",4004934,"bay of plenty","boprc","lowland","forest",-37.888026888724,176.74326746494,"23-Jun-2020","Forest","Upland","3","3"
"BQ589878","boyd east creek at uretara orchard ltd","ebop-00168",4000379,"bay of plenty","boprc","lowland","rural",-37.5624881371204,175.897172616537,"23-Jun-2020","Rural","Lowland","2","3"
"IK074505","buddles at fenton mill rd","ebop-00127",4012161,"bay of plenty","boprc","lowland","forest",-38.1154061544531,176.658353653195,"23-Jun-2020","Forest","Upland","4","4"
"GD792833","flaxy creek at kaingaroa forest","ebop-00208",4026964,"bay of plenty","boprc","upland","forest",-38.7200318538799,176.541585421987,"23-Jun-2020","Forest","Upland","2","2"
"IH854541","haumea at haumea rd","ebop-00146",4020775,"bay of plenty","boprc","upland","rural",-38.3791863492847,176.760910896845,"23-Jun-2020","Rural","Upland","5","2"
"JH152875","hikurangi at grant rd","ebop-00145",4019998,"bay of plenty","boprc","upland","rural",-38.3480691198663,176.793431007138,"23-Jun-2020","Rural","Upland","3","3&2"
"GO496071","kaikokopu at 175 kaikokopu rd","ebop-00107",4002617,"bay of plenty","boprc","lowland","rural",-37.8000597774489,176.463552432463,"23-Jun-2020","Rural","Lowland","4","1&4"
"HK221324","kaipara at tarawera falls rd","ebop-00128",4012778,"bay of plenty","boprc","lowland","forest",-38.134647699604,176.562050498868,"23-Jun-2020","Forest","Upland","3","3"
"DO960965","kaitemako at welcome bay rd","ebop-00185",4001531,"bay of plenty","boprc","lowland","urban",-37.7277072351003,176.172602526316,"23-Jun-2020","Rural","Upland","3","3"
"FN483016","kaituna trib. at maungarangi rd","lawa-100486",4004928,"bay of plenty","boprc","lowland","forest",-37.8982906210395,176.353042969189,"23-Jun-2020","Forest","Upland","2","2&1"
"JK670713","kakahotoa at omataroa forest","lawa-100488",4011431,"bay of plenty","boprc","upland","forest",-38.0908762673173,176.839110890288,"23-Jun-2020","Forest","Upland","3","1&2&3"
"IL616616","karaponga at mcivor rd","ebop-00160",4008127,"bay of plenty","boprc","lowland","rural",-38.0135717093585,176.715004381314,"23-Jun-2020","Rural","Upland","3","1&3"
"FO123493","raparapahoe at te puke highway","ebop-00109",4002228,"bay of plenty","boprc","lowland","rural",-37.7665584129772,176.306154584741,"23-Jun-2020","Rural","Lowland","4","4&1"
"RO685757","kopua at sh 35","lawa-100494",4001899,"bay of plenty","boprc","lowland","rural",-37.6943116628298,177.727012095527,"23-Jun-2020","Forest","Upland","1","1"
"DO466896","kopurererua trib. at sh 29","ebop-00187",4001649,"bay of plenty","boprc","lowland","rural",-37.7354223292293,176.116831561852,"23-Jun-2020","Rural","Upland","2","1"
"KK231108","kotorenui at kotorenui rd","lawa-100501",4013595,"bay of plenty","boprc","lowland","forest",-38.1432245471255,176.905843531758,"23-Jun-2020","Forest","Upland","1","3"
"ML366042","kutarere  at sh 2","ebop-00175",4010701,"bay of plenty","boprc","lowland","rural",-38.0508601006698,177.14404003165,"23-Jun-2020","Rural","Upland","2","2&1"
"GK027882","lake okataina trib. at western okataina track","ebop-00121",4010857,"bay of plenty","boprc","upland","forest",-38.0885064829066,176.423686697277,"23-Jun-2020","Forest","Upland","1","2"
"FK336093","lake okereka trib. at millar rd","ebop-00119",4013582,"bay of plenty","boprc","upland","rural",-38.1617618808697,176.348314564689,"23-Jun-2020","Rural","Upland","3","1&3"
"GL803445","lake rotoehu trib. at sh 30","ebop-00116",4008961,"bay of plenty","boprc","upland","forest",-38.035249871518,176.509603021759,"23-Jun-2020","Rural","Upland","1","1"
"II633291","mangaharakeke at above confluence","ebop-00206",4019083,"bay of plenty","boprc","upland","forest",-38.3125563010494,176.732149578353,"23-Jun-2020","Rural","Upland","4","4"
"EK206408","mangakakahi at linton park","ebop-00118",4012441,"bay of plenty","boprc","upland","forest",-38.1370046964046,176.218252360144,"23-Jun-2020","Rural","Upland","3","2"
"GI416335","mangakino at rerewhakaaitu rd","ebop-00124",4018810,"bay of plenty","boprc","upland","forest",-38.3163251437059,176.478876302146,"23-Jun-2020","Rural","Upland","2","1&2"
"IG937633","mangamate at te urewera boundary","ebop-00147",4022556,"bay of plenty","boprc","upland","forest",-38.4604898751668,176.774643534261,"23-Jun-2020","Forest","Upland","3","3"
"IL607501","mangaone at 9 mangaone rd","ebop-00149",4008644,"bay of plenty","boprc","lowland","rural",-38.0239546026795,176.714549950172,"23-Jun-2020","Forest","Upland","3","1&3&2"
"JI362407","mangapapa at galatea rd","ebop-00125",4018783,"bay of plenty","boprc","upland","rural",-38.2994159156479,176.814851130063,"23-Jun-2020","Forest","Upland","2","2&1"
"IK094269","mangato at tarawera forest","ebop-00126",4012847,"bay of plenty","boprc","lowland","forest",-38.1365792386558,176.661704376604,"23-Jun-2020","Forest","Upland","3","4"
"GN342605","mangatoetoe at old coach rd","ebop-00113",4003752,"bay of plenty","boprc","lowland","rural",-37.8425133172807,176.448123705699,"23-Jun-2020","Rural","Upland","3","2"
"CP652620","mangawhai at sh 2","ebop-00193",4000893,"bay of plenty","boprc","lowland","rural",-37.6726252747747,176.021963565124,"23-Jun-2020","Rural","Lowland","2","3"
"LL389822","maraetotara at burma rd","ebop-00201",4007888,"bay of plenty","boprc","lowland","forest",-37.9846378633786,177.029176337338,"23-Jun-2020","Forest","Upland","2","2"
"IN486083","mimiha at mimiha rd","ebop-00111",4004883,"bay of plenty","boprc","lowland","rural",-37.8820930457752,176.693627929963,"23-Jun-2020","Rural","Upland","3","3&2"
"JK693267","moetahanga at above omataroa rd","lawa-100489",4013026,"bay of plenty","boprc","upland","forest",-38.1309507361275,176.843835104465,"23-Jun-2020","Forest","Upland","3","3"
"QM722911","motu at sh 35","ebop-00211",4005253,"bay of plenty","boprc","lowland","forest",-37.8644961372797,177.628459993343,"23-Jun-2020","Forest","Upland","6","6&2"
"RO893938","nahunahu at sh 35","lawa-100495",4001627,"bay of plenty","boprc","lowland","rural",-37.6770612346519,177.749493641228,"23-Jun-2020","Forest","Upland","3","3"
"JL684448","ngakauroa at macdonald rd","ebop-00155",4008878,"bay of plenty","boprc","lowland","rural",-38.024793435309,176.837203710986,"23-Jun-2020","Rural","Lowland","4","4"
"CO436131","ngamuwahine at 217 ngamuwahine rd","ebop-00224",4002936,"bay of plenty","boprc","upland","forest",-37.8073467609668,176.002875411371,"23-Jun-2020","Forest","Upland","4","4"
"EL187015","ngongotaha at ngongotaha domain","ebop-00142",4010395,"bay of plenty","boprc","upland","rural",-38.0824793891929,176.213681360004,"23-Jun-2020","Rural","Upland","5","1&5"
"DK804886","ngongotaha at paradise valley rd","ebop-00141",4010809,"bay of plenty","boprc","upland","rural",-38.0948052704845,176.170569818462,"23-Jun-2020","Rural","Upland","5","5"
"DK798891","ngongotaha at upper paradise valley rd","ebop-00220",4010809,"bay of plenty","boprc","upland","rural",-38.0948584871426,176.169933698962,"23-Jun-2020","Rural","Upland","5","5"
"BQ450716","ngututuru at 240 rea rd","ebop-00169",4000405,"bay of plenty","boprc","lowland","rural",-37.5774034107214,175.881980099269,"23-Jun-2020","Rural","Upland","2","1"
"GM013930","oeuteheuheu at allport rd","ebop-00159",4005167,"bay of plenty","boprc","lowland","forest",-37.9043607921215,176.413535340844,"23-Jun-2020","Rural","Upland","2","3&1"
"DM860383","ohaupara at pyes pa rd","ebop-00148",4006434,"bay of plenty","boprc","upland","forest",-37.9604047698673,176.171115319963,"23-Jun-2020","Forest","Upland","3","3&2"
"FO166207","ohineangaanga at 66 whitehead ave","ebop-00106",4002382,"bay of plenty","boprc","lowland","urban",-37.792181842676,176.312224551011,"23-Jun-2020","Rural","Lowland","3","4&1"
"LL529952","ohope trib at above ohope beach school","ebop-00203",4007422,"bay of plenty","boprc","lowland","forest",-37.9724203812413,177.044471661417,"23-Jun-2020","Forest","Upland","1","1"
"CO982925","ohourere at crawford rd","ebop-00195",4001618,"bay of plenty","boprc","lowland","rural",-37.7342505634673,176.061895943929,"23-Jun-2020","Rural","Upland","3","4"
