"CouncilSiteID","Date","Value","Measurement"
"aparima river at dunrobin","11-Feb-14","115","MCI"
"aparima river at dunrobin","11-Feb-14","19","TaxaRichness"
"aparima river at dunrobin","11-Feb-14","52.63","PercentageEPTTaxa"
"aparima river at dunrobin","13-Mar-17","118","MCI"
"aparima river at dunrobin","13-Mar-17","21","TaxaRichness"
"aparima river at dunrobin","13-Mar-17","52","PercentageEPTTaxa"
"aparima river at dunrobin","16-Feb-16","117","MCI"
"aparima river at dunrobin","16-Feb-16","25","TaxaRichness"
"aparima river at dunrobin","16-Feb-16","56","PercentageEPTTaxa"
"aparima river at dunrobin","21-Mar-18","134","MCI"
"aparima river at dunrobin","21-Mar-18","14","TaxaRichness"
"aparima river at dunrobin","21-Mar-18","79","PercentageEPTTaxa"
"aparima river at dunrobin","26-Feb-15","118","MCI"
"aparima river at dunrobin","26-Feb-15","21","TaxaRichness"
"aparima river at dunrobin","26-Feb-15","90.25","PercentageEPTTaxa"
"aparima river at dunrobin","29-Jan-13","122","MCI"
"aparima river at dunrobin","29-Jan-13","19","TaxaRichness"
"aparima river at dunrobin","29-Jan-13","57.89","PercentageEPTTaxa"
"aparima river at otautau","05-Feb-14","111","MCI"
"aparima river at otautau","05-Feb-14","12","TaxaRichness"
"aparima river at otautau","05-Feb-14","50","PercentageEPTTaxa"
"aparima river at otautau","22-Dec-11","111","MCI"
"aparima river at otautau","22-Dec-11","12","TaxaRichness"
"aparima river at otautau","22-Dec-11","58.33","PercentageEPTTaxa"
"aparima river at otautau","29-Jan-15","109","MCI"
"aparima river at otautau","29-Jan-15","15","TaxaRichness"
"aparima river at otautau","29-Jan-15","94.38","PercentageEPTTaxa"
"aparima river at otautau","30-Jan-13","103","MCI"
"aparima river at otautau","30-Jan-13","12","TaxaRichness"
"aparima river at otautau","30-Jan-13","50","PercentageEPTTaxa"
"aparima river at thornbury","01-Jun-07","10","TaxaRichness"
"aparima river at thornbury","01-Jun-07","102","MCI"
"aparima river at thornbury","01-Jun-07","70","PercentageEPTTaxa"
"aparima river at thornbury","02-Feb-16","100","MCI"
"aparima river at thornbury","02-Feb-16","18","TaxaRichness"
"aparima river at thornbury","02-Feb-16","39","PercentageEPTTaxa"
"aparima river at thornbury","05-Feb-14","15","TaxaRichness"
"aparima river at thornbury","05-Feb-14","40","PercentageEPTTaxa"
"aparima river at thornbury","05-Feb-14","81","MCI"
"aparima river at thornbury","10-Mar-11","25.93","PercentageEPTTaxa"
"aparima river at thornbury","10-Mar-11","27","TaxaRichness"
"aparima river at thornbury","10-Mar-11","90","MCI"
"aparima river at thornbury","10-Mar-17","102","MCI"
"aparima river at thornbury","10-Mar-17","13","TaxaRichness"
"aparima river at thornbury","10-Mar-17","62","PercentageEPTTaxa"
"aparima river at thornbury","13-Apr-05","10","TaxaRichness"
"aparima river at thornbury","13-Apr-05","122","MCI"
"aparima river at thornbury","13-Apr-05","70","PercentageEPTTaxa"
"aparima river at thornbury","13-Feb-09","101","MCI"
"aparima river at thornbury","13-Feb-09","18","TaxaRichness"
"aparima river at thornbury","13-Feb-09","50","PercentageEPTTaxa"
"aparima river at thornbury","16-Feb-06","100","MCI"
"aparima river at thornbury","16-Feb-06","17","TaxaRichness"
"aparima river at thornbury","16-Feb-06","52.94","PercentageEPTTaxa"
"aparima river at thornbury","16-Jan-04","101","MCI"
"aparima river at thornbury","16-Jan-04","14","TaxaRichness"
"aparima river at thornbury","16-Jan-04","50","PercentageEPTTaxa"
"aparima river at thornbury","22-Dec-11","15","TaxaRichness"
"aparima river at thornbury","22-Dec-11","53.33","PercentageEPTTaxa"
"aparima river at thornbury","22-Dec-11","87","MCI"
"aparima river at thornbury","22-Jan-18","21","TaxaRichness"
"aparima river at thornbury","22-Jan-18","43","PercentageEPTTaxa"
"aparima river at thornbury","22-Jan-18","87","MCI"
