"CouncilSiteID","SiteID","LawaSiteID","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Catchment","Lat","Long","accessDate","Landcover","Altitude","Order","StreamOrder","AltitudeCl"
"1043824","ngakaroa @ mills road","arc-00009",2009507,"auckland","arc","Unstated",NA,"ngakaroa stream",-37.1954715941643,174.973634380558,"25-Jun-2020","Rural",165,"3","3","Upland"
"7527","vaughan lower","arc-00024",2004122,"auckland","arc","Unstated",NA,"vaughans stream",-36.6843809245859,174.739454858364,"25-Jun-2020","Rural",33.5,"2","1&2","Lowland"
"45505","makarau @ rail bridge","arc-00033",2002945,"auckland","arc","lowland","rural","makarau river",-36.5566003309383,174.520676593504,"25-Jun-2020","Rural",31,"5","4","Lowland"
"8019","avondale @ shadbolt","arc-00036",2006297,"auckland","arc","lowland","urban","avondale",-36.9232796028548,174.69177897747,"25-Jun-2020","Urban",34,"2","3","Lowland"
"7171","nukumea upper","arc-00038",2003052,"auckland","arc","upland","forest","nukumea",-36.5711630781172,174.66982770771,"25-Jun-2020","Forest",84.25,"1","1&2","Lowland"
"44618","cascades ltb","arc-00001",2005866,"auckland","arc","Unstated",NA,"cascade stream",-36.8888897276789,174.522114739379,"25-Jun-2020","Forest",64,"2","4","Lowland"
"45369","kumeu @ weza","arc-00003",2004945,"auckland","arc","Unstated",NA,"kumeu river",-36.7761949059392,174.560030905611,"25-Jun-2020","Rural",37.75,"4","4&1","Lowland"
"6604","matakana ltb","arc-00008",2001381,"auckland","arc","Unstated",NA,"matakana river",-36.3450174080717,174.711828900139,"25-Jun-2020","Rural",39,"4","1","Lowland"
"8177","oakley ltb","arc-00010",2005765,"auckland","arc","Unstated",NA,"oakley creek",-36.8761606721293,174.704774371726,"25-Jun-2020","Urban",30,"3","3","Lowland"
"7308","awanohi lower","arc-00011",2004093,"auckland","arc","Unstated",NA,"okura creek",-36.6851870078904,174.69481873097,"25-Jun-2020","Rural",48,"3","2","Lowland"
"7925","opanuku stream","arc-00013",2005960,"auckland","arc","Unstated",NA,"opanuku stream",-36.894914600398,174.594663650363,"25-Jun-2020","Forest",44,"4","3","Lowland"
