"CouncilSiteID","Date","Value","Measurement"
"arawhata drain at hokio beach road","01-Mar-11","15","TaxaRichness"
"arawhata drain at hokio beach road","01-Mar-11","6.25","PercentageEPTTaxa"
"arawhata drain at hokio beach road","01-Mar-11","69","MCI"
"arawhata drain at hokio beach road","05-Feb-10","0","PercentageEPTTaxa"
"arawhata drain at hokio beach road","05-Feb-10","11","TaxaRichness"
"arawhata drain at hokio beach road","05-Feb-10","60","MCI"
"arawhata drain at hokio beach road","13-Jan-15","18","TaxaRichness"
"arawhata drain at hokio beach road","13-Jan-15","5.56","PercentageEPTTaxa"
"arawhata drain at hokio beach road","13-Jan-15","75","MCI"
"arawhata drain at hokio beach road","18-Mar-16","0","PercentageEPTTaxa"
"arawhata drain at hokio beach road","18-Mar-16","14","TaxaRichness"
"arawhata drain at hokio beach road","18-Mar-16","69","MCI"
"arawhata drain at hokio beach road","19-Feb-13","0","PercentageEPTTaxa"
"arawhata drain at hokio beach road","19-Feb-13","15","TaxaRichness"
"arawhata drain at hokio beach road","19-Feb-13","61","MCI"
"arawhata drain at hokio beach road","22-Jan-14","0","PercentageEPTTaxa"
"arawhata drain at hokio beach road","22-Jan-14","13","TaxaRichness"
"arawhata drain at hokio beach road","22-Jan-14","55","MCI"
"arawhata drain at hokio beach road","28-Feb-17","0","PercentageEPTTaxa"
"arawhata drain at hokio beach road","28-Feb-17","12","TaxaRichness"
"arawhata drain at hokio beach road","28-Feb-17","62","MCI"
"arawhata drain at hokio beach road","29-Jan-09","0","PercentageEPTTaxa"
"arawhata drain at hokio beach road","29-Jan-09","16","TaxaRichness"
"arawhata drain at hokio beach road","29-Jan-09","70","MCI"
"arawhata drain at hokio beach road","30-Jan-12","17","TaxaRichness"
"arawhata drain at hokio beach road","30-Jan-12","5.88","PercentageEPTTaxa"
"arawhata drain at hokio beach road","30-Jan-12","67","MCI"
"arawhata drain at hokio beach road","31-Jan-18","0","PercentageEPTTaxa"
"arawhata drain at hokio beach road","31-Jan-18","19","TaxaRichness"
"arawhata drain at hokio beach road","31-Jan-18","63.52941","MCI"
"hautapu at alabasters","02-Mar-11","15","TaxaRichness"
"hautapu at alabasters","02-Mar-11","37.5","PercentageEPTTaxa"
"hautapu at alabasters","02-Mar-11","91","MCI"
"hautapu at alabasters","08-Feb-10","102","MCI"
"hautapu at alabasters","08-Feb-10","24","TaxaRichness"
"hautapu at alabasters","08-Feb-10","48","PercentageEPTTaxa"
"hautapu at alabasters","09-Jan-15","103","MCI"
"hautapu at alabasters","09-Jan-15","19","TaxaRichness"
"hautapu at alabasters","09-Jan-15","47.37","PercentageEPTTaxa"
"hautapu at alabasters","10-Feb-16","31","TaxaRichness"
"hautapu at alabasters","10-Feb-16","45.16","PercentageEPTTaxa"
"hautapu at alabasters","10-Feb-16","95","MCI"
"hautapu at alabasters","11-Jan-13","102","MCI"
"hautapu at alabasters","11-Jan-13","26","TaxaRichness"
"hautapu at alabasters","11-Jan-13","42.31","PercentageEPTTaxa"
"hautapu at alabasters","13-Jan-14","103","MCI"
"hautapu at alabasters","13-Jan-14","29","TaxaRichness"
"hautapu at alabasters","13-Jan-14","48.28","PercentageEPTTaxa"
"hautapu at alabasters","15-Jan-08","105","MCI"
"hautapu at alabasters","15-Jan-08","26","TaxaRichness"
"hautapu at alabasters","15-Jan-08","50","PercentageEPTTaxa"
"hautapu at alabasters","20-Feb-17","30","TaxaRichness"
"hautapu at alabasters","20-Feb-17","50","PercentageEPTTaxa"
"hautapu at alabasters","20-Feb-17","99","MCI"
"hautapu at alabasters","26-Mar-18","33","TaxaRichness"
"hautapu at alabasters","26-Mar-18","48.484848","PercentageEPTTaxa"
"hautapu at alabasters","26-Mar-18","95.17242","MCI"
"hautapu at alabasters","27-Jan-09","20","TaxaRichness"
"hautapu at alabasters","27-Jan-09","30","PercentageEPTTaxa"
"hautapu at alabasters","27-Jan-09","88","MCI"
"hautapu at alabasters","31-Jan-12","25","TaxaRichness"
"hautapu at alabasters","31-Jan-12","52","PercentageEPTTaxa"
"hautapu at alabasters","31-Jan-12","99","MCI"
"hautapu at us rangitikei river conf","02-Mar-11","13","TaxaRichness"
"hautapu at us rangitikei river conf","02-Mar-11","69","MCI"
"hautapu at us rangitikei river conf","02-Mar-11","7.14","PercentageEPTTaxa"
"hautapu at us rangitikei river conf","08-Feb-10","10","PercentageEPTTaxa"
"hautapu at us rangitikei river conf","08-Feb-10","10","TaxaRichness"
"hautapu at us rangitikei river conf","08-Feb-10","74","MCI"
"hautapu at us rangitikei river conf","08-Mar-05","25","TaxaRichness"
"hautapu at us rangitikei river conf","08-Mar-05","44","PercentageEPTTaxa"
"hautapu at us rangitikei river conf","08-Mar-05","98","MCI"
"hautapu at us rangitikei river conf","09-Feb-07","17","TaxaRichness"
"hautapu at us rangitikei river conf","09-Feb-07","29.41","PercentageEPTTaxa"
"hautapu at us rangitikei river conf","09-Feb-07","87","MCI"
"hautapu at us rangitikei river conf","09-Jan-15","11.11","PercentageEPTTaxa"
"hautapu at us rangitikei river conf","09-Jan-15","18","TaxaRichness"
"hautapu at us rangitikei river conf","09-Jan-15","69","MCI"
"hautapu at us rangitikei river conf","11-Jan-13","13","TaxaRichness"
"hautapu at us rangitikei river conf","11-Jan-13","7.69","PercentageEPTTaxa"
"hautapu at us rangitikei river conf","11-Jan-13","74","MCI"
"hautapu at us rangitikei river conf","12-Feb-16","13.04","PercentageEPTTaxa"
"hautapu at us rangitikei river conf","12-Feb-16","23","TaxaRichness"
"hautapu at us rangitikei river conf","12-Feb-16","77","MCI"
"hautapu at us rangitikei river conf","13-Jan-14","17","TaxaRichness"
"hautapu at us rangitikei river conf","13-Jan-14","23.53","PercentageEPTTaxa"
"hautapu at us rangitikei river conf","13-Jan-14","76","MCI"
"hautapu at us rangitikei river conf","13-Mar-06","18","TaxaRichness"
"hautapu at us rangitikei river conf","13-Mar-06","22.22","PercentageEPTTaxa"
"hautapu at us rangitikei river conf","13-Mar-06","80","MCI"
"hautapu at us rangitikei river conf","15-Jan-08","24","TaxaRichness"
"hautapu at us rangitikei river conf","15-Jan-08","33.33","PercentageEPTTaxa"
"hautapu at us rangitikei river conf","15-Jan-08","89","MCI"
"hautapu at us rangitikei river conf","24-Feb-17","21","TaxaRichness"
"hautapu at us rangitikei river conf","24-Feb-17","23.81","PercentageEPTTaxa"
"hautapu at us rangitikei river conf","24-Feb-17","78","MCI"
"hautapu at us rangitikei river conf","26-Mar-18","25.925926","PercentageEPTTaxa"
"hautapu at us rangitikei river conf","26-Mar-18","27","TaxaRichness"
"hautapu at us rangitikei river conf","26-Mar-18","80.833336","MCI"
"hautapu at us rangitikei river conf","27-Jan-09","11.76","PercentageEPTTaxa"
"hautapu at us rangitikei river conf","27-Jan-09","17","TaxaRichness"
"hautapu at us rangitikei river conf","27-Jan-09","71","MCI"
"hautapu at us rangitikei river conf","31-Jan-12","19.05","PercentageEPTTaxa"
"hautapu at us rangitikei river conf","31-Jan-12","21","TaxaRichness"
"hautapu at us rangitikei river conf","31-Jan-12","78","MCI"
"hokio at lake horowhenua","01-Feb-12","0","PercentageEPTTaxa"
"hokio at lake horowhenua","01-Feb-12","15","TaxaRichness"
"hokio at lake horowhenua","01-Feb-12","69","MCI"
"hokio at lake horowhenua","01-Mar-11","0","PercentageEPTTaxa"
"hokio at lake horowhenua","01-Mar-11","58","MCI"
"hokio at lake horowhenua","01-Mar-11","8","TaxaRichness"
"hokio at lake horowhenua","03-Mar-17","0","PercentageEPTTaxa"
"hokio at lake horowhenua","03-Mar-17","18","TaxaRichness"
"hokio at lake horowhenua","03-Mar-17","73","MCI"
"hokio at lake horowhenua","10-Feb-10","0","PercentageEPTTaxa"
"hokio at lake horowhenua","10-Feb-10","4","TaxaRichness"
"hokio at lake horowhenua","10-Feb-10","80","MCI"
"hokio at lake horowhenua","13-Jan-15","0","PercentageEPTTaxa"
"hokio at lake horowhenua","13-Jan-15","17","TaxaRichness"
"hokio at lake horowhenua","13-Jan-15","68","MCI"
"hokio at lake horowhenua","18-Mar-16","0","PercentageEPTTaxa"
"hokio at lake horowhenua","18-Mar-16","17","TaxaRichness"
"hokio at lake horowhenua","18-Mar-16","68","MCI"
"hokio at lake horowhenua","19-Feb-13","0","PercentageEPTTaxa"
"hokio at lake horowhenua","19-Feb-13","21","TaxaRichness"
"hokio at lake horowhenua","19-Feb-13","71","MCI"
"hokio at lake horowhenua","22-Jan-14","0","PercentageEPTTaxa"
