"CouncilSiteID","Date","Value","Measurement"
"brook at burn pl","02-Nov-10","25","TaxaRichness"
"brook at burn pl","02-Nov-10","98","MCI"
"brook at burn pl","03-Dec-14","122","MCI"
"brook at burn pl","03-Dec-14","31","TaxaRichness"
"brook at burn pl","07-Mar-19","107","MCI"
"brook at burn pl","07-Mar-19","30","TaxaRichness"
"brook at burn pl","07-Nov-00","101","MCI"
"brook at burn pl","07-Nov-00","22","TaxaRichness"
"brook at burn pl","10-Dec-08","122","MCI"
"brook at burn pl","10-Dec-08","18","TaxaRichness"
"brook at burn pl","12-Dec-17","106","MCI"
"brook at burn pl","12-Dec-17","35","TaxaRichness"
"brook at burn pl","15-Dec-15","7","TaxaRichness"
"brook at burn pl","15-Dec-15","94","MCI"
"brook at burn pl","15-Nov-12","118","MCI"
"brook at burn pl","15-Nov-12","8","TaxaRichness"
"brook at burn pl","16-Dec-13","109","MCI"
"brook at burn pl","16-Dec-13","20","TaxaRichness"
"brook at burn pl","16-Dec-16","102","MCI"
"brook at burn pl","16-Dec-16","26","TaxaRichness"
"brook at burn pl","16-Nov-11","115","MCI"
"brook at burn pl","16-Nov-11","13","TaxaRichness"
"brook at burn pl","19-Nov-07","15","TaxaRichness"
"brook at burn pl","19-Nov-07","96","MCI"
"brook at burn pl","24-Nov-09","134","MCI"
"brook at burn pl","24-Nov-09","7","TaxaRichness"
"brook at burn pl","26-Nov-01","102","MCI"
"brook at burn pl","26-Nov-01","19","TaxaRichness"
"brook at manuka st","01-Nov-00","17","TaxaRichness"
"brook at manuka st","01-Nov-00","95","MCI"
"brook at manuka st","02-Nov-10","102","MCI"
"brook at manuka st","02-Nov-10","21","TaxaRichness"
"brook at manuka st","03-Dec-14","11","TaxaRichness"
"brook at manuka st","03-Dec-14","93","MCI"
"brook at manuka st","07-Mar-19","22","TaxaRichness"
"brook at manuka st","07-Mar-19","77","MCI"
"brook at manuka st","10-Dec-08","103","MCI"
"brook at manuka st","10-Dec-08","15","TaxaRichness"
"brook at manuka st","11-Dec-06","16","TaxaRichness"
"brook at manuka st","11-Dec-06","89","MCI"
"brook at manuka st","12-Dec-17","25","TaxaRichness"
"brook at manuka st","12-Dec-17","91","MCI"
"brook at manuka st","14-Dec-04","78","MCI"
"brook at manuka st","14-Dec-04","8","TaxaRichness"
"brook at manuka st","15-Dec-15","8","TaxaRichness"
"brook at manuka st","15-Dec-15","80","MCI"
"brook at manuka st","15-Nov-12","15","TaxaRichness"
"brook at manuka st","15-Nov-12","91","MCI"
"brook at manuka st","16-Dec-13","20","TaxaRichness"
"brook at manuka st","16-Dec-13","94","MCI"
"brook at manuka st","16-Dec-16","102","MCI"
