"LawaSiteID","CouncilSiteID","Date","Measurement","Value","Agency"
"NRWQN-00046","NAT-WN03","07-Feb-1990","MCI",111.666666666667,"niwa"
"NRWQN-00048","NAT-WN04","07-Feb-1990","MCI",110.909090909091,"niwa"
"NRWQN-00049","NAT-WN05","07-Feb-1990","MCI",150,"niwa"
"NRWQN-00017","NAT-HV05","12-Feb-1990","MCI",104.444444444444,"niwa"
"NRWQN-00012","NAT-GS03","13-Feb-1990","MCI",128,"niwa"
"NRWQN-00040","NAT-HM01","13-Feb-1990","MCI",115.51724137931,"niwa"
"HBRC-00043","NAT-HV02","13-Feb-1990","MCI",71.7647058823529,"niwa"
"NRWQN-00014","NAT-HV03","13-Feb-1990","MCI",91.1111111111111,"niwa"
"NRWQN-00034","NAT-DN10","14-Feb-1990","MCI",90,"niwa"
"NRWQN-00045","NAT-HM06","14-Feb-1990","MCI",84.2857142857143,"niwa"
"NRWQN-00013","NAT-HV01","14-Feb-1990","MCI",112.727272727273,"niwa"
"NRWQN-00016","NAT-HV06","19-Feb-1990","MCI",120.526315789474,"niwa"
"NRWQN-00036","NAT-WA01","19-Feb-1990","MCI",75.7142857142857,"niwa"
"NRWQN-00035","NAT-WA02","19-Feb-1990","MCI",131.333333333333,"niwa"
"TRC-00010","NAT-WA03","19-Feb-1990","MCI",90,"niwa"
"NRWQN-00009","NAT-CH01","21-Feb-1990","MCI",109.473684210526,"niwa"
"NRWQN-00059","NAT-CH02","21-Feb-1990","MCI",101.176470588235,"niwa"
"ECAN-10028","NAT-CH04","21-Feb-1990","MCI",92.7272727272727,"niwa"
"NRWQN-00015","NAT-HV04","26-Feb-1990","MCI",120.333333333333,"niwa"
"NRWQN-00011","NAT-GS02","06-Mar-1990","MCI",117.241379310345,"niwa"
"NRWQN-00057","NAT-NN01","06-Mar-1990","MCI",121.666666666667,"niwa"
"NRWQN-00056","NAT-NN02","06-Mar-1990","MCI",130,"niwa"
"NRWQN-00019","NAT-WA04","06-Mar-1990","MCI",100,"niwa"
"HRC-00045","NAT-WA05","06-Mar-1990","MCI",104.117647058824,"niwa"
"NRWQN-00018","NAT-WA06","06-Mar-1990","MCI",90,"niwa"
"GW-00022","NAT-WN01","06-Mar-1990","MCI",100,"niwa"
"NRWQN-00047","NAT-WN02","06-Mar-1990","MCI",145,"niwa"
"NRWQN-00055","NAT-CH03","07-Mar-1990","MCI",76.6666666666667,"niwa"
"EBOP-00045","NAT-GS04","07-Mar-1990","MCI",109.411764705882,"niwa"
"HRC-00018","NAT-WA07","07-Mar-1990","MCI",104.761904761905,"niwa"
"HRC-00015","NAT-WA08","07-Mar-1990","MCI",93.75,"niwa"
"HRC-00013","NAT-WA09","07-Mar-1990","MCI",89.3333333333333,"niwa"
"MDC-00025","NAT-NN04","21-Mar-1990","MCI",103.157894736842,"niwa"
"NRWQN-00058","NAT-NN03","22-Mar-1990","MCI",125.625,"niwa"
"NRWQN-00037","NAT-NN05","22-Mar-1990","MCI",128.571428571429,"niwa"
"NRWQN-00053","NAT-GY01","27-Mar-1990","MCI",120,"niwa"
"NRWQN-00052","NAT-GY03","27-Mar-1990","MCI",125.714285714286,"niwa"
"NRWQN-00032","NAT-AX01","28-Mar-1990","MCI",83.5714285714286,"niwa"
"NRWQN-00030","NAT-AX02","28-Mar-1990","MCI",115.625,"niwa"
"NRWQN-00031","NAT-AX03","28-Mar-1990","MCI",116.363636363636,"niwa"
"NRWQN-00027","NAT-AX04","28-Mar-1990","MCI",75,"niwa"
"NRWQN-00051","NAT-GY02","28-Mar-1990","MCI",115.714285714286,"niwa"
