"LawaSiteID","CouncilSiteID","Date","QC","Measurement","Value","Agency"
"LAWA-102722","Anns Creek @ Hamlins Hill","21-Jan-11","QC10","MCI",73.9,"ac"
"LAWA-102722","Anns Creek @ Hamlins Hill","31-Jan-12","QC10","MCI",60.8,"ac"
"LAWA-102722","Anns Creek @ Hamlins Hill","16-Jan-15","QC10","MCI",64,"ac"
"LAWA-102722","Anns Creek @ Hamlins Hill","25-Jan-18","QC10","MCI",61.5,"ac"
"LAWA-102722","Anns Creek @ Hamlins Hill","23-Jan-19","QC10","MCI",50.2,"ac"
"LAWA-102723","Auckland Domain @ Lower Domain Dr","19-Feb-13","QC10","MCI",106,"ac"
"LAWA-102723","Auckland Domain @ Lower Domain Dr","18-Feb-16","QC10","MCI",112.9,"ac"
"LAWA-102723","Auckland Domain @ Lower Domain Dr","25-Jan-17","QC10","MCI",107.3,"ac"
"LAWA-102723","Auckland Domain @ Lower Domain Dr","12-Feb-19","QC10","MCI",108.9,"ac"
"LAWA-102236","Avondale @ Reserve","01-Feb-12","QC10","MCI",105.5,"ac"
"LAWA-102236","Avondale @ Reserve","13-Feb-13","QC10","MCI",106.1,"ac"
"LAWA-102236","Avondale @ Reserve","22-Jan-14","QC10","MCI",109.6,"ac"
"LAWA-102236","Avondale @ Reserve","07-Jan-15","QC10","MCI",94.2,"ac"
"LAWA-102236","Avondale @ Reserve","04-Feb-16","QC10","MCI",100.8,"ac"
"LAWA-102236","Avondale @ Reserve","25-Feb-19","QC10","MCI",123.1,"ac"
"ARC-00036","Avondale @ Shadbolt park","18-Jan-11","QC10","MCI",68.2,"ac"
"ARC-00036","Avondale @ Shadbolt park","07-Feb-12","QC10","MCI",77.9,"ac"
"ARC-00036","Avondale @ Shadbolt Park","13-Feb-13","QC10","MCI",81.7,"ac"
"ARC-00036","Avondale @ Shadbolt park","22-Jan-14","QC10","MCI",66.4,"ac"
"ARC-00036","Avondale @ Shadbolt Park","07-Jan-15","QC10","MCI",79.1,"ac"
"ARC-00036","Avondale @ Shadbolt Park","04-Feb-16","QC10","MCI",59.3,"ac"
"ARC-00036","Avondale @ Shadbolt Park","21-Jan-19","QC10","MCI",58.3,"ac"
"LAWA-102238","Avondale @ Thuja","01-Feb-12","QC10","MCI",71.8,"ac"
"LAWA-102238","Avondale @ Thuja","13-Feb-13","QC10","MCI",69.4,"ac"
"LAWA-102238","Avondale @ Thuja","22-Jan-14","QC10","MCI",65.5,"ac"
"LAWA-102238","Avondale @ Thuja","07-Jan-15","QC10","MCI",69.2,"ac"
"LAWA-102238","Avondale @ Thuja","04-Feb-16","QC10","MCI",65.2,"ac"
"LAWA-102238","Avondale @ Thuja","21-Jan-19","QC10","MCI",69.2,"ac"
"LAWA-102724","Botany Creek @ Tangello Place","20-Jan-11","QC10","MCI",61.2,"ac"
"LAWA-102724","Botany Creek @ Tangello Place","08-Feb-12","QC10","MCI",56,"ac"
"LAWA-102724","Botany Creek @ Tangello Place","12-Feb-13","QC10","MCI",59,"ac"
"LAWA-102724","Botany Creek @ Tangello Place","25-Jan-16","QC10","MCI",67.1,"ac"
"LAWA-102724","Botany Creek @ Tangello Place","11-Jan-17","QC10","MCI",65.9,"ac"
"LAWA-102724","Botany Creek @ Tangello Place","22-Jan-19","QC10","MCI",67.4,"ac"
"ARC-00001","Cascades LTB","10-Feb-04","QC10","MCI",144.8,"ac"
"ARC-00001","Cascades LTB","16-Mar-05","QC10","MCI",144.8,"ac"
"ARC-00001","Cascades LTB","03-Mar-06","QC22","MCI",103.3,"ac"
"ARC-00001","Cascades LTB","01-Feb-07","QC22","MCI",105.6,"ac"
"ARC-00001","Cascades LTB","01-Feb-08","QC10","MCI",105.4,"ac"
"ARC-00001","Cascades LTB","02-Feb-09","QC10","MCI",102.3,"ac"
"ARC-00001","Cascades LTB","26-Jan-10","QC10","MCI",91,"ac"
"ARC-00001","Cascades LTB","28-Jan-11","QC10","MCI",97.4,"ac"
"ARC-00001","Cascades LTB","19-Jan-12","QC10","MCI",115.9,"ac"
"ARC-00001","Cascades LTB","20-Feb-13","QC10","MCI",103.3,"ac"
"ARC-00001","Cascades LTB","20-Jan-14","QC10","MCI",105.7,"ac"
"ARC-00001","Cascades LTB","21-Jan-15","QC10","MCI",96.1,"ac"
"ARC-00001","Cascades LTB","11-Feb-16","QC10","MCI",100.7,"ac"
"ARC-00001","Cascades LTB","09-Feb-17","QC10","MCI",102.1,"ac"
"ARC-00001","Cascades LTB","29-Mar-18","QC10","MCI",102.9,"ac"
"ARC-00001","Cascades LTB","30-Jan-19","QC10","MCI",112.5,"ac"
"LAWA-102725","Castor @ Braemar","24-Feb-11","QC16","MCI",56.2,"ac"
"LAWA-102725","Castor @ Braemar","18-Jan-12","QC17","MCI",62.7,"ac"
"LAWA-102725","Castor @ Braemar","14-Jan-15","QC18","MCI",65.7,"ac"
"LAWA-102725","Castor @ Braemar","31-Jan-18","QC19","MCI",56.4,"ac"
"LAWA-102725","Castor @ Braemar","19-Feb-19","QC20","MCI",45.2,"ac"
"ARC-00113","Duck Creek @ Trotters","09-Mar-05","QC10","MCI",67.1,"ac"
"ARC-00113","Duck Creek @ Trotters","27-Feb-07","QC22","MCI",69.3,"ac"
"ARC-00113","Duck Creek @ Trotters","11-Feb-08","QC10","MCI",73.6,"ac"
"ARC-00113","Duck Creek @ Trotters","11-Feb-09","QC10","MCI",66.7,"ac"
"ARC-00113","Duck Creek @ Trotters","18-Feb-10","QC10","MCI",74.8,"ac"
"ARC-00113","Duck Creek @ Trotters","26-Jan-11","QC10","MCI",69.1,"ac"
"ARC-00113","Duck Creek @ Trotters","18-Jan-12","QC10","MCI",70.1,"ac"
"ARC-00113","Duck Creek @ Trotters","14-Feb-13","QC10","MCI",59.6,"ac"
"ARC-00113","Duck Creek @ Trotters","22-Jan-14","QC10","MCI",71.8,"ac"
"ARC-00113","Duck Creek @ Trotters","15-Jan-15","QC10","MCI",79.9,"ac"
"ARC-00113","Duck Creek @ Trotters","31-Jan-17","QC10","MCI",69.7,"ac"
"ARC-00113","Duck Creek @ Trotters","12-Feb-19","QC10","MCI",69.6,"ac"
"ARC-00114","Duders","21-Mar-06","QC22","MCI",75.2,"ac"
"ARC-00114","Duders","19-Feb-07","QC22","MCI",74.5,"ac"
"ARC-00114","Duders","12-Feb-08","QC10","MCI",84.4,"ac"
"ARC-00114","Duders","17-Feb-09","QC10","MCI",65.1,"ac"
"ARC-00114","Duders","20-Jan-10","QC10","MCI",79,"ac"
"ARC-00114","Duders","05-Feb-11","QC10","MCI",87.9,"ac"
"ARC-00114","Duders","26-Jan-12","QC10","MCI",92.3,"ac"
"ARC-00114","Duders","20-Mar-13","QC10","MCI",75.6,"ac"
"ARC-00114","Duders","23-Jan-14","QC10","MCI",85.7,"ac"
"ARC-00114","Duders","16-Jan-15","QC10","MCI",83.4,"ac"
"ARC-00114","Duders","07-Feb-17","QC10","MCI",90.5,"ac"
"ARC-00114","Duders","31-Jan-19","QC10","MCI",86.1,"ac"
"LAWA-102726","Dyers Creek @ Bush","13-Feb-07","QC22","MCI",123,"ac"
"LAWA-102726","Dyers Creek @ Bush","11-Feb-08","QC10","MCI",123,"ac"
"LAWA-102726","Dyers Creek @ Bush","11-Feb-09","QC10","MCI",117,"ac"
"LAWA-102726","Dyers Creek @ Bush","12-Jan-10","QC10","MCI",112,"ac"
"LAWA-102726","Dyers Creek @ Bush","02-Feb-11","QC10","MCI",116,"ac"
"LAWA-102726","Dyers Creek @ Bush","01-Feb-12","QC10","MCI",118,"ac"
"LAWA-102726","Dyers Creek @ Bush","08-Feb-13","QC10","MCI",119,"ac"
"LAWA-102726","Dyers Creek @ Bush","02-Feb-16","QC10","MCI",130,"ac"
"LAWA-102726","Dyers Creek @ Bush","16-Mar-18","QC10","MCI",114,"ac"
"LAWA-102726","Dyers Creek @ Bush","24-Jan-19","QC10","MCI",119,"ac"
"ARC-00115","Dyers Creek @ Mid Paddock","13-Feb-07","QC22","MCI",111.7,"ac"
"ARC-00115","Dyers Creek @ Mid Paddock","11-Feb-08","QC10","MCI",113.4,"ac"
"ARC-00115","Dyers Creek @ Mid Paddock","11-Feb-09","QC10","MCI",108.4,"ac"
"ARC-00115","Dyers Creek @ Mid Paddock","12-Jan-10","QC10","MCI",123.3,"ac"
"ARC-00115","Dyers Creek @ Mid Paddock","02-Feb-11","QC10","MCI",117.6,"ac"
"ARC-00115","Dyers Creek @ Mid Paddock","01-Feb-12","QC10","MCI",111.8,"ac"
"ARC-00115","Dyers Creek @ Mid Paddock","08-Feb-13","QC10","MCI",113.1,"ac"
"ARC-00115","Dyers Creek @ Mid Paddock","02-Feb-16","QC10","MCI",98.9,"ac"
"ARC-00115","Dyers Creek @ Mid Paddock","19-Feb-18","QC10","MCI",99.2,"ac"
"ARC-00115","Dyers Creek @ Mid Paddock","24-Jan-19","QC10","MCI",119.3,"ac"
"LAWA-102727","Edgar @ Maxwell Av","17-Mar-11","QC10","MCI",42.8,"ac"
"LAWA-102727","Edgar @ Maxwell Av","07-Feb-12","QC10","MCI",65.2,"ac"
"LAWA-102727","Edgar @ Maxwell Av","06-Jan-15","QC10","MCI",64.1,"ac"
"LAWA-102727","Edgar @ Maxwell Av","30-Jan-18","QC10","MCI",59.3,"ac"
"LAWA-102727","Edgar @ Maxwell Av","12-Feb-19","QC10","MCI",55.2,"ac"
"ARC-00116","Eskdale Lower","30-Mar-05","QC10","MCI",63.4,"ac"
"ARC-00116","Eskdale Lower","07-Mar-06","QC22","MCI",82.9,"ac"
"ARC-00116","Eskdale Lower","05-Feb-07","QC22","MCI",80.8,"ac"
"ARC-00116","Eskdale Lower","07-Feb-08","QC10","MCI",87.6,"ac"
"ARC-00116","Eskdale Lower","05-Feb-09","QC10","MCI",79.3,"ac"
"ARC-00116","Eskdale Lower","21-Jan-10","QC10","MCI",88.2,"ac"
"ARC-00116","Eskdale Lower","19-Jan-11","QC10","MCI",74.7,"ac"
"ARC-00116","Eskdale Lower","17-Jan-12","QC10","MCI",81.1,"ac"
"ARC-00116","Eskdale Lower","07-Feb-13","QC10","MCI",72.4,"ac"
"ARC-00116","Eskdale Lower","28-Jan-14","QC10","MCI",86,"ac"
"ARC-00116","Eskdale Lower","19-Jan-15","QC10","MCI",75.5,"ac"
"ARC-00116","Eskdale Lower","31-Jan-18","QC10","MCI",87.6,"ac"
"ARC-00116","Eskdale Lower","19-Feb-19","QC10","MCI",93.5,"ac"
