"CouncilSiteID","Date","Value","Measurement"
"bn951669","22-Jan-19","141.875","MCI"
"bn951669","22-Jan-19","141.875","MCI"
"bn951669","22-Jan-19","141.875","MCI"
"bn951669","22-Jan-19","141.875","MCI"
"bn951669","22-Jan-19","141.875","MCI"
"bn951669","22-Jan-19","141.875","MCI"
"bn951669","22-Jan-19","141.875","MCI"
"bn951669","22-Jan-19","141.875","MCI"
"bn951669","22-Jan-19","141.875","MCI"
"bn951669","22-Jan-19","141.875","MCI"
"bn951669","22-Jan-19","32.0","TaxaRichness"
"bn951669","22-Jan-19","32.0","TaxaRichness"
"bn951669","22-Jan-19","32.0","TaxaRichness"
"bn951669","22-Jan-19","32.0","TaxaRichness"
"bn951669","22-Jan-19","32.0","TaxaRichness"
"bn951669","22-Jan-19","32.0","TaxaRichness"
"bn951669","22-Jan-19","32.0","TaxaRichness"
"bn951669","22-Jan-19","32.0","TaxaRichness"
"bn951669","22-Jan-19","32.0","TaxaRichness"
"bn951669","22-Jan-19","32.0","TaxaRichness"
"bn951669","22-Jan-19","68.75","PercentageEPTTaxa"
"bn951669","22-Jan-19","68.75","PercentageEPTTaxa"
"bn951669","22-Jan-19","68.75","PercentageEPTTaxa"
"bn951669","22-Jan-19","68.75","PercentageEPTTaxa"
"bn951669","22-Jan-19","68.75","PercentageEPTTaxa"
"bn951669","22-Jan-19","68.75","PercentageEPTTaxa"
"bn951669","22-Jan-19","68.75","PercentageEPTTaxa"
"bn951669","22-Jan-19","68.75","PercentageEPTTaxa"
"bn951669","22-Jan-19","68.75","PercentageEPTTaxa"
"bn951669","22-Jan-19","68.75","PercentageEPTTaxa"
"bn951669","31-Dec-05","159.091","MCI"
"bn951669","31-Dec-05","159.091","MCI"
"bn951669","31-Dec-05","159.091","MCI"
"bn951669","31-Dec-05","159.091","MCI"
"bn951669","31-Dec-05","159.091","MCI"
"bn951669","31-Dec-05","159.091","MCI"
"bn951669","31-Dec-05","159.091","MCI"
"bn951669","31-Dec-05","159.091","MCI"
"bn951669","31-Dec-05","159.091","MCI"
"bn951669","31-Dec-05","159.091","MCI"
"bn951669","31-Dec-05","22.0","TaxaRichness"
"bn951669","31-Dec-05","22.0","TaxaRichness"
"bn951669","31-Dec-05","22.0","TaxaRichness"
"bn951669","31-Dec-05","22.0","TaxaRichness"
"bn951669","31-Dec-05","22.0","TaxaRichness"
"bn951669","31-Dec-05","22.0","TaxaRichness"
"bn951669","31-Dec-05","22.0","TaxaRichness"
"bn951669","31-Dec-05","22.0","TaxaRichness"
"bn951669","31-Dec-05","22.0","TaxaRichness"
"bn951669","31-Dec-05","22.0","TaxaRichness"
"bn951669","31-Dec-05","86.364","PercentageEPTTaxa"
"bn951669","31-Dec-05","86.364","PercentageEPTTaxa"
"bn951669","31-Dec-05","86.364","PercentageEPTTaxa"
"bn951669","31-Dec-05","86.364","PercentageEPTTaxa"
"bn951669","31-Dec-05","86.364","PercentageEPTTaxa"
"bn951669","31-Dec-05","86.364","PercentageEPTTaxa"
"bn951669","31-Dec-05","86.364","PercentageEPTTaxa"
"bn951669","31-Dec-05","86.364","PercentageEPTTaxa"
"bn951669","31-Dec-05","86.364","PercentageEPTTaxa"
"bn951669","31-Dec-05","86.364","PercentageEPTTaxa"
"bn951669","31-Dec-06","151.818","MCI"
"bn951669","31-Dec-06","151.818","MCI"
"bn951669","31-Dec-06","151.818","MCI"
"bn951669","31-Dec-06","151.818","MCI"
"bn951669","31-Dec-06","151.818","MCI"
"bn951669","31-Dec-06","151.818","MCI"
"bn951669","31-Dec-06","151.818","MCI"
"bn951669","31-Dec-06","151.818","MCI"
"bn951669","31-Dec-06","151.818","MCI"
"bn951669","31-Dec-06","151.818","MCI"
"bn951669","31-Dec-06","22.0","TaxaRichness"
"bn951669","31-Dec-06","22.0","TaxaRichness"
"bn951669","31-Dec-06","22.0","TaxaRichness"
"bn951669","31-Dec-06","22.0","TaxaRichness"
"bn951669","31-Dec-06","22.0","TaxaRichness"
"bn951669","31-Dec-06","22.0","TaxaRichness"
"bn951669","31-Dec-06","22.0","TaxaRichness"
"bn951669","31-Dec-06","22.0","TaxaRichness"
"bn951669","31-Dec-06","22.0","TaxaRichness"
"bn951669","31-Dec-06","22.0","TaxaRichness"
"bn951669","31-Dec-06","77.273","PercentageEPTTaxa"
"bn951669","31-Dec-06","77.273","PercentageEPTTaxa"
"bn951669","31-Dec-06","77.273","PercentageEPTTaxa"
"bn951669","31-Dec-06","77.273","PercentageEPTTaxa"
"bn951669","31-Dec-06","77.273","PercentageEPTTaxa"
"bn951669","31-Dec-06","77.273","PercentageEPTTaxa"
"bn951669","31-Dec-06","77.273","PercentageEPTTaxa"
"bn951669","31-Dec-06","77.273","PercentageEPTTaxa"
"bn951669","31-Dec-06","77.273","PercentageEPTTaxa"
"bn951669","31-Dec-06","77.273","PercentageEPTTaxa"
"bn951669","31-Dec-07","12.0","TaxaRichness"
"bn951669","31-Dec-07","12.0","TaxaRichness"
"bn951669","31-Dec-07","12.0","TaxaRichness"
"bn951669","31-Dec-07","12.0","TaxaRichness"
"bn951669","31-Dec-07","12.0","TaxaRichness"
"bn951669","31-Dec-07","12.0","TaxaRichness"
"bn951669","31-Dec-07","12.0","TaxaRichness"
"bn951669","31-Dec-07","12.0","TaxaRichness"
"bn951669","31-Dec-07","12.0","TaxaRichness"
"bn951669","31-Dec-07","12.0","TaxaRichness"
"bn951669","31-Dec-07","146.667","MCI"
"bn951669","31-Dec-07","146.667","MCI"
"bn951669","31-Dec-07","146.667","MCI"
"bn951669","31-Dec-07","146.667","MCI"
"bn951669","31-Dec-07","146.667","MCI"
"bn951669","31-Dec-07","146.667","MCI"
"bn951669","31-Dec-07","146.667","MCI"
"bn951669","31-Dec-07","146.667","MCI"
"bn951669","31-Dec-07","146.667","MCI"
"bn951669","31-Dec-07","146.667","MCI"
"bn951669","31-Dec-07","75.0","PercentageEPTTaxa"
"bn951669","31-Dec-07","75.0","PercentageEPTTaxa"
"bn951669","31-Dec-07","75.0","PercentageEPTTaxa"
"bn951669","31-Dec-07","75.0","PercentageEPTTaxa"
"bn951669","31-Dec-07","75.0","PercentageEPTTaxa"
"bn951669","31-Dec-07","75.0","PercentageEPTTaxa"
"bn951669","31-Dec-07","75.0","PercentageEPTTaxa"
"bn951669","31-Dec-07","75.0","PercentageEPTTaxa"
"bn951669","31-Dec-07","75.0","PercentageEPTTaxa"
"bn951669","31-Dec-07","75.0","PercentageEPTTaxa"
"bn951669","31-Dec-08","147.857","MCI"
"bn951669","31-Dec-08","147.857","MCI"
"bn951669","31-Dec-08","147.857","MCI"
"bn951669","31-Dec-08","147.857","MCI"
"bn951669","31-Dec-08","147.857","MCI"
"bn951669","31-Dec-08","147.857","MCI"
"bn951669","31-Dec-08","147.857","MCI"
"bn951669","31-Dec-08","147.857","MCI"
"bn951669","31-Dec-08","147.857","MCI"
"bn951669","31-Dec-08","147.857","MCI"
"bn951669","31-Dec-08","28.0","TaxaRichness"
"bn951669","31-Dec-08","28.0","TaxaRichness"
"bn951669","31-Dec-08","28.0","TaxaRichness"
"bn951669","31-Dec-08","28.0","TaxaRichness"
"bn951669","31-Dec-08","28.0","TaxaRichness"
"bn951669","31-Dec-08","28.0","TaxaRichness"
"bn951669","31-Dec-08","28.0","TaxaRichness"
"bn951669","31-Dec-08","28.0","TaxaRichness"
"bn951669","31-Dec-08","28.0","TaxaRichness"
"bn951669","31-Dec-08","28.0","TaxaRichness"
"bn951669","31-Dec-08","71.429","PercentageEPTTaxa"
"bn951669","31-Dec-08","71.429","PercentageEPTTaxa"
"bn951669","31-Dec-08","71.429","PercentageEPTTaxa"
"bn951669","31-Dec-08","71.429","PercentageEPTTaxa"
"bn951669","31-Dec-08","71.429","PercentageEPTTaxa"
"bn951669","31-Dec-08","71.429","PercentageEPTTaxa"
"bn951669","31-Dec-08","71.429","PercentageEPTTaxa"
"bn951669","31-Dec-08","71.429","PercentageEPTTaxa"
"bn951669","31-Dec-08","71.429","PercentageEPTTaxa"
"bn951669","31-Dec-08","71.429","PercentageEPTTaxa"
"bn951669","31-Dec-10","145.385","MCI"
"bn951669","31-Dec-10","145.385","MCI"
"bn951669","31-Dec-10","145.385","MCI"
"bn951669","31-Dec-10","145.385","MCI"
"bn951669","31-Dec-10","145.385","MCI"
"bn951669","31-Dec-10","145.385","MCI"
"bn951669","31-Dec-10","145.385","MCI"
"bn951669","31-Dec-10","145.385","MCI"
"bn951669","31-Dec-10","145.385","MCI"
"bn951669","31-Dec-10","145.385","MCI"
"bn951669","31-Dec-10","26.0","TaxaRichness"
"bn951669","31-Dec-10","26.0","TaxaRichness"
"bn951669","31-Dec-10","26.0","TaxaRichness"
"bn951669","31-Dec-10","26.0","TaxaRichness"
"bn951669","31-Dec-10","26.0","TaxaRichness"
"bn951669","31-Dec-10","26.0","TaxaRichness"
"bn951669","31-Dec-10","26.0","TaxaRichness"
"bn951669","31-Dec-10","26.0","TaxaRichness"
"bn951669","31-Dec-10","26.0","TaxaRichness"
"bn951669","31-Dec-10","26.0","TaxaRichness"
"bn951669","31-Dec-10","73.077","PercentageEPTTaxa"
"bn951669","31-Dec-10","73.077","PercentageEPTTaxa"
"bn951669","31-Dec-10","73.077","PercentageEPTTaxa"
"bn951669","31-Dec-10","73.077","PercentageEPTTaxa"
"bn951669","31-Dec-10","73.077","PercentageEPTTaxa"
"bn951669","31-Dec-10","73.077","PercentageEPTTaxa"
"bn951669","31-Dec-10","73.077","PercentageEPTTaxa"
"bn951669","31-Dec-10","73.077","PercentageEPTTaxa"
"bn951669","31-Dec-10","73.077","PercentageEPTTaxa"
"bn951669","31-Dec-10","73.077","PercentageEPTTaxa"
"bn951669","31-Dec-12","140.625","MCI"
"bn951669","31-Dec-12","140.625","MCI"
"bn951669","31-Dec-12","140.625","MCI"
"bn951669","31-Dec-12","140.625","MCI"
"bn951669","31-Dec-12","140.625","MCI"
"bn951669","31-Dec-12","140.625","MCI"
"bn951669","31-Dec-12","140.625","MCI"
"bn951669","31-Dec-12","140.625","MCI"
"bn951669","31-Dec-12","140.625","MCI"
"bn951669","31-Dec-12","140.625","MCI"
"bn951669","31-Dec-12","32.0","TaxaRichness"
"bn951669","31-Dec-12","32.0","TaxaRichness"
"bn951669","31-Dec-12","32.0","TaxaRichness"
"bn951669","31-Dec-12","32.0","TaxaRichness"
