"CouncilSiteID","Date","Value","Measurement"
"14328","02-Mar-05","126.20","MCI"
"14328","02-Mar-05","29.00","TaxaRichness"
"14328","02-Mar-05","55.20","PercentageEPTTaxa"
"14328","08-Feb-12","134.50","MCI"
"14328","08-Feb-12","29.00","TaxaRichness"
"14328","08-Feb-12","62.10","PercentageEPTTaxa"
"14328","13-Jan-09","127.20","MCI"
"14328","13-Jan-09","39.00","TaxaRichness"
"14328","13-Jan-09","53.80","PercentageEPTTaxa"
"14328","13-Jan-15","124.60","MCI"
"14328","13-Jan-15","35.00","TaxaRichness"
"14328","13-Jan-15","57.10","PercentageEPTTaxa"
"14328","15-Feb-06","129.70","MCI"
"14328","15-Feb-06","33.00","TaxaRichness"
"14328","15-Feb-06","45.50","PercentageEPTTaxa"
"14328","15-Jan-08","124.30","MCI"
"14328","15-Jan-08","28.00","TaxaRichness"
"14328","15-Jan-08","60.70","PercentageEPTTaxa"
"14328","20-Feb-07","130.70","MCI"
"14328","20-Feb-07","30.00","TaxaRichness"
"14328","20-Feb-07","63.30","PercentageEPTTaxa"
"14328","20-Jan-11","129.00","MCI"
"14328","20-Jan-11","31.00","TaxaRichness"
"14328","20-Jan-11","61.30","PercentageEPTTaxa"
"14328","22-Jan-13","127.50","MCI"
"14328","22-Jan-13","32.00","TaxaRichness"
"14328","22-Jan-13","50.00","PercentageEPTTaxa"
"14328","22-Jan-19","118.60","MCI"
"14328","22-Jan-19","29.00","TaxaRichness"
"14328","22-Jan-19","44.80","PercentageEPTTaxa"
"14328","23-Jan-18","123.50","MCI"
"14328","23-Jan-18","40.00","TaxaRichness"
"14328","23-Jan-18","50.00","PercentageEPTTaxa"
"14328","24-Feb-10","129.40","MCI"
"14328","24-Feb-10","34.00","TaxaRichness"
"14328","24-Feb-10","58.80","PercentageEPTTaxa"
"14328","25-Jan-17","123.60","MCI"
"14328","25-Jan-17","28.00","TaxaRichness"
"14328","25-Jan-17","57.10","PercentageEPTTaxa"
"14328","26-Jan-16","132.80","MCI"
"14328","26-Jan-16","25.00","TaxaRichness"
"14328","26-Jan-16","52.00","PercentageEPTTaxa"
"14328","30-Jan-14","124.40","MCI"
"14328","30-Jan-14","27.00","TaxaRichness"
"14328","30-Jan-14","51.90","PercentageEPTTaxa"
"14371","04-Mar-08","100.00","MCI"
"14371","04-Mar-08","24.00","TaxaRichness"
"14371","04-Mar-08","37.50","PercentageEPTTaxa"
"14371","08-Mar-07","109.60","MCI"
"14371","08-Mar-07","25.00","TaxaRichness"
"14371","08-Mar-07","48.00","PercentageEPTTaxa"
"14371","11-Feb-03","120.00","MCI"
"14371","11-Feb-03","30.00","TaxaRichness"
"14371","11-Feb-03","46.70","PercentageEPTTaxa"
"14371","11-Feb-14","22.00","TaxaRichness"
"14371","11-Feb-14","27.30","PercentageEPTTaxa"
"14371","11-Feb-14","96.40","MCI"
"14371","12-Jan-15","118.60","MCI"
"14371","12-Jan-15","28.00","TaxaRichness"
"14371","12-Jan-15","53.60","PercentageEPTTaxa"
"14371","15-Feb-12","28.00","TaxaRichness"
"14371","15-Feb-12","32.10","PercentageEPTTaxa"
"14371","15-Feb-12","95.70","MCI"
"14371","17-Jan-19","126.90","MCI"
"14371","17-Jan-19","29.00","TaxaRichness"
"14371","17-Jan-19","55.20","PercentageEPTTaxa"
"14371","18-Jan-05","110.80","MCI"
