"CouncilSiteID","Date","Value","Measurement"
"sq00011","01-Dec-03","120","MCI"
"sq00011","01-Dec-03","18","TaxaRichness"
"sq00011","01-Dec-03","50","PercentageEPTTaxa"
"sq00011","03-Dec-08","15","TaxaRichness"
"sq00011","03-Dec-08","26.67","PercentageEPTTaxa"
"sq00011","03-Dec-08","70.66666","MCI"
"sq00011","06-Dec-11","22","TaxaRichness"
"sq00011","06-Dec-11","31.82","PercentageEPTTaxa"
"sq00011","06-Dec-11","99.090912","MCI"
"sq00011","07-Dec-00","121.1765","MCI"
"sq00011","07-Dec-00","17","TaxaRichness"
"sq00011","07-Dec-00","52.94","PercentageEPTTaxa"
"sq00011","08-Feb-00","122.5","MCI"
"sq00011","08-Feb-00","16","TaxaRichness"
"sq00011","08-Feb-00","62.5","PercentageEPTTaxa"
"sq00011","14-Feb-03","107.2727","MCI"
"sq00011","14-Feb-03","22","TaxaRichness"
"sq00011","14-Feb-03","40.91","PercentageEPTTaxa"
"sq00011","16-Jan-19","118.4","MCI"
"sq00011","16-Jan-19","25","TaxaRichness"
"sq00011","16-Jan-19","48","PercentageEPTTaxa"
"sq00011","17-Dec-14","114.1667","MCI"
"sq00011","17-Dec-14","24","TaxaRichness"
"sq00011","17-Dec-14","45.83","PercentageEPTTaxa"
"sq00011","18-Dec-13","128.1818","MCI"
"sq00011","18-Dec-13","22","TaxaRichness"
"sq00011","18-Dec-13","50","PercentageEPTTaxa"
"sq00011","18-Nov-10","110.5263","MCI"
"sq00011","18-Nov-10","19","TaxaRichness"
"sq00011","18-Nov-10","42.11","PercentageEPTTaxa"
"sq00011","20-Dec-17","120.6452","MCI"
"sq00011","20-Dec-17","31","TaxaRichness"
"sq00011","20-Dec-17","51.61","PercentageEPTTaxa"
"sq00011","21-Dec-16","105.1852","MCI"
"sq00011","21-Dec-16","27","TaxaRichness"
"sq00011","21-Dec-16","40.74","PercentageEPTTaxa"
"sq00011","22-Dec-15","116.6667","MCI"
"sq00011","22-Dec-15","30","TaxaRichness"
"sq00011","22-Dec-15","46.67","PercentageEPTTaxa"
"sq00011","22-Jan-07","116.6667","MCI"
"sq00011","22-Jan-07","12","TaxaRichness"
"sq00011","22-Jan-07","50","PercentageEPTTaxa"
"sq00011","22-Nov-99","116.8421","MCI"
"sq00011","22-Nov-99","19","TaxaRichness"
"sq00011","22-Nov-99","52.63","PercentageEPTTaxa"
"sq00011","23-Dec-02","114","MCI"
"sq00011","23-Dec-02","20","TaxaRichness"
"sq00011","23-Dec-02","45","PercentageEPTTaxa"
"sq00011","23-Jan-20","126.0606","MCI"
"sq00011","23-Jan-20","33","TaxaRichness"
"sq00011","23-Jan-20","51.52","PercentageEPTTaxa"
"sq00011","25-Mar-02","113.6364","MCI"
"sq00011","25-Mar-02","22","TaxaRichness"
"sq00011","25-Mar-02","45.45","PercentageEPTTaxa"
"sq00011","25-Nov-05","107.8571","MCI"
"sq00011","25-Nov-05","28","TaxaRichness"
"sq00011","25-Nov-05","46.43","PercentageEPTTaxa"
"sq00011","26-Jan-01","107.5","MCI"
"sq00011","26-Jan-01","16","TaxaRichness"
"sq00011","26-Jan-01","37.5","PercentageEPTTaxa"
"sq00011","26-Nov-04","11","TaxaRichness"
"sq00011","26-Nov-04","121.8182","MCI"
"sq00011","26-Nov-04","63.64","PercentageEPTTaxa"
"sq00011","26-Nov-07","117.3913","MCI"
"sq00011","26-Nov-07","23","TaxaRichness"
"sq00011","26-Nov-07","47.83","PercentageEPTTaxa"
"sq00011","28-Nov-12","121.9048","MCI"
"sq00011","28-Nov-12","21","TaxaRichness"
"sq00011","28-Nov-12","47.62","PercentageEPTTaxa"
"sq00011","30-Nov-09","118.0952","MCI"
"sq00011","30-Nov-09","21","TaxaRichness"
"sq00011","30-Nov-09","52.38","PercentageEPTTaxa"
"sq00013","01-Dec-03","130.4","MCI"
"sq00013","01-Dec-03","25","TaxaRichness"
"sq00013","01-Dec-03","64","PercentageEPTTaxa"
"sq00013","03-Dec-08","125","MCI"
"sq00013","03-Dec-08","75","PercentageEPTTaxa"
"sq00013","03-Dec-08","8","TaxaRichness"
"sq00013","06-Dec-11","14","TaxaRichness"
"sq00013","06-Dec-11","140","MCI"
"sq00013","06-Dec-11","64.29","PercentageEPTTaxa"
"sq00013","07-Dec-00","11","TaxaRichness"
"sq00013","07-Dec-00","132.7273","MCI"
"sq00013","07-Dec-00","54.55","PercentageEPTTaxa"
"sq00013","08-Feb-00","132.5","MCI"
"sq00013","08-Feb-00","16","TaxaRichness"
"sq00013","08-Feb-00","62.5","PercentageEPTTaxa"
"sq00013","14-Feb-03","113.0435","MCI"
"sq00013","14-Feb-03","23","TaxaRichness"
"sq00013","14-Feb-03","43.48","PercentageEPTTaxa"
"sq00013","16-Jan-19","114.1176","MCI"
"sq00013","16-Jan-19","17","TaxaRichness"
"sq00013","16-Jan-19","41.18","PercentageEPTTaxa"
"sq00013","17-Dec-14","115.5556","MCI"
"sq00013","17-Dec-14","18","TaxaRichness"
"sq00013","17-Dec-14","66.67","PercentageEPTTaxa"
"sq00013","18-Dec-13","121.1765","MCI"
"sq00013","18-Dec-13","17","TaxaRichness"
"sq00013","18-Dec-13","47.06","PercentageEPTTaxa"
"sq00013","20-Dec-17","11","TaxaRichness"
"sq00013","20-Dec-17","138.1818","MCI"
"sq00013","20-Dec-17","72.73","PercentageEPTTaxa"
"sq00013","21-Dec-16","119.1304","MCI"
"sq00013","21-Dec-16","23","TaxaRichness"
"sq00013","21-Dec-16","52.17","PercentageEPTTaxa"
"sq00013","22-Dec-15","113.3333","MCI"
"sq00013","22-Dec-15","21","TaxaRichness"
"sq00013","22-Dec-15","52.38","PercentageEPTTaxa"
"sq00013","22-Jan-07","125.7143","MCI"
"sq00013","22-Jan-07","7","TaxaRichness"
"sq00013","22-Jan-07","85.71","PercentageEPTTaxa"
"sq00013","23-Dec-02","118.2609","MCI"
"sq00013","23-Dec-02","23","TaxaRichness"
"sq00013","23-Dec-02","47.83","PercentageEPTTaxa"
"sq00013","23-Jan-20","121","MCI"
"sq00013","23-Jan-20","20","TaxaRichness"
"sq00013","23-Jan-20","45","PercentageEPTTaxa"
"sq00013","23-Nov-10","148.5714","MCI"
"sq00013","23-Nov-10","7","TaxaRichness"
"sq00013","23-Nov-10","85.71","PercentageEPTTaxa"
"sq00013","23-Nov-99","10","TaxaRichness"
"sq00013","23-Nov-99","146","MCI"
"sq00013","23-Nov-99","70","PercentageEPTTaxa"
"sq00013","25-Mar-02","125.8824","MCI"
"sq00013","25-Mar-02","17","TaxaRichness"
"sq00013","25-Mar-02","52.94","PercentageEPTTaxa"
