"CouncilSiteID","Date","Value","Measurement"
"100194","01-Feb-12","28","TaxaRichness"
"100194","01-Feb-12","35.7","PercentageEPTTaxa"
"100194","01-Feb-12","92.1","MCI"
"100194","01-Jan-10","15","TaxaRichness"
"100194","01-Jan-10","26.7","PercentageEPTTaxa"
"100194","01-Jan-10","81.3","MCI"
"100194","01-Jan-13","29","TaxaRichness"
"100194","01-Jan-13","37.9","PercentageEPTTaxa"
"100194","01-Jan-13","93.8","MCI"
"100194","01-Mar-11","16","TaxaRichness"
"100194","01-Mar-11","25","PercentageEPTTaxa"
"100194","01-Mar-11","97.5","MCI"
"100194","05-Feb-14","18","TaxaRichness"
"100194","05-Feb-14","27.8","PercentageEPTTaxa"
"100194","05-Feb-14","83.3","MCI"
"100194","10-Apr-09","102.9","MCI"
"100194","10-Apr-09","41","TaxaRichness"
"100194","10-Apr-09","41.2","PercentageEPTTaxa"
"100194","11-Jan-19","18","TaxaRichness"
"100194","11-Jan-19","33.3","PercentageEPTTaxa"
"100194","11-Jan-19","88.9","MCI"
"100194","22-Dec-16","19","TaxaRichness"
"100194","22-Dec-16","21.1","PercentageEPTTaxa"
"100194","22-Dec-16","84.2","MCI"
"100194","22-Dec-17","22","TaxaRichness"
"100194","22-Dec-17","27.3","PercentageEPTTaxa"
"100194","22-Dec-17","72.7","MCI"
"100194","22-Jan-15","28","TaxaRichness"
"100194","22-Jan-15","28.6","PercentageEPTTaxa"
"100194","22-Jan-15","87.9","MCI"
"100194","29-Jan-16","17","TaxaRichness"
"100194","29-Jan-16","17.6","PercentageEPTTaxa"
"100194","29-Jan-16","76.5","MCI"
"100237","01-Apr-14","105.5","MCI"
"100237","01-Apr-14","22","TaxaRichness"
"100237","01-Apr-14","36.4","PercentageEPTTaxa"
"100237","01-Mar-07","103.8","MCI"
"100237","01-Mar-07","24","TaxaRichness"
"100237","01-Mar-07","41.7","PercentageEPTTaxa"
"100237","04-Mar-11","102.4","MCI"
"100237","04-Mar-11","24","TaxaRichness"
"100237","04-Mar-11","45.8","PercentageEPTTaxa"
"100237","08-Jan-19","125.6","MCI"
"100237","08-Jan-19","25","TaxaRichness"
"100237","08-Jan-19","56","PercentageEPTTaxa"
"100237","10-Apr-09","100.4","MCI"
"100237","10-Apr-09","44","TaxaRichness"
"100237","10-Apr-09","44","PercentageEPTTaxa"
"100237","10-Jan-10","120.5","MCI"
"100237","10-Jan-10","21","TaxaRichness"
"100237","10-Jan-10","47.6","PercentageEPTTaxa"
"100237","12-Feb-12","111.7","MCI"
"100237","12-Feb-12","24","TaxaRichness"
"100237","12-Feb-12","41.7","PercentageEPTTaxa"
"100237","16-Dec-16","100","MCI"
"100237","16-Dec-16","30","TaxaRichness"
"100237","16-Dec-16","36.7","PercentageEPTTaxa"
"100237","22-Dec-17","115","MCI"
"100237","22-Dec-17","20","TaxaRichness"
"100237","22-Dec-17","45","PercentageEPTTaxa"
"100237","22-Jan-15","120.6","MCI"
"100237","22-Jan-15","31","TaxaRichness"
"100237","22-Jan-15","48.4","PercentageEPTTaxa"
"100237","24-Feb-06","22","TaxaRichness"
"100237","24-Feb-06","31.8","PercentageEPTTaxa"
"100237","24-Feb-06","85.9","MCI"
"100237","26-Jan-08","101.1","MCI"
"100237","26-Jan-08","28","TaxaRichness"
"100237","26-Jan-08","35.7","PercentageEPTTaxa"
"100237","27-Jan-13","117.1","MCI"
"100237","27-Jan-13","35","TaxaRichness"
"100237","27-Jan-13","45.7","PercentageEPTTaxa"
"100237","29-Jan-16","117.3","MCI"
"100237","29-Jan-16","22","TaxaRichness"
"100237","29-Jan-16","40.9","PercentageEPTTaxa"
"100281","01-Apr-09","13","TaxaRichness"
"100281","01-Apr-09","23.1","PercentageEPTTaxa"
"100281","01-Apr-09","85.2","MCI"
"100281","01-Apr-14","16","TaxaRichness"
"100281","01-Apr-14","18.8","PercentageEPTTaxa"
"100281","01-Apr-14","96.4","MCI"
"100281","01-Feb-05","17","TaxaRichness"
"100281","01-Feb-05","23.5","PercentageEPTTaxa"
"100281","01-Feb-05","81.8","MCI"
"100281","01-Jan-08","13","TaxaRichness"
"100281","01-Jan-08","30.8","PercentageEPTTaxa"
"100281","01-Jan-08","76.9","MCI"
"100281","01-Mar-00","0","PercentageEPTTaxa"
"100281","01-Mar-00","39.1","MCI"
"100281","01-Mar-00","7","TaxaRichness"
"100281","01-Mar-01","20","PercentageEPTTaxa"
"100281","01-Mar-01","5","TaxaRichness"
"100281","01-Mar-01","73.2","MCI"
"100281","01-Mar-02","109","MCI"
"100281","01-Mar-02","2","TaxaRichness"
"100281","01-Mar-02","50","PercentageEPTTaxa"
"100281","01-Mar-03","0","PercentageEPTTaxa"
"100281","01-Mar-03","5","TaxaRichness"
"100281","01-Mar-03","54","MCI"
"100281","01-Mar-04","100.8","MCI"
"100281","01-Mar-04","12","TaxaRichness"
"100281","01-Mar-04","25","PercentageEPTTaxa"
"100281","01-Mar-06","10","TaxaRichness"
"100281","01-Mar-06","20","PercentageEPTTaxa"
"100281","01-Mar-06","84.8","MCI"
"100281","01-Mar-07","11.8","PercentageEPTTaxa"
"100281","01-Mar-07","17","TaxaRichness"
"100281","01-Mar-07","64.6","MCI"
"100281","01-Mar-99","12.5","PercentageEPTTaxa"
"100281","01-Mar-99","50.3","MCI"
"100281","01-Mar-99","8","TaxaRichness"
"100281","01-Nov-00","10","TaxaRichness"
"100281","01-Nov-00","30","PercentageEPTTaxa"
"100281","01-Nov-00","86","MCI"
"100281","01-Nov-01","0","PercentageEPTTaxa"
"100281","01-Nov-01","5","TaxaRichness"
"100281","01-Nov-01","82","MCI"
"100281","01-Nov-02","0","PercentageEPTTaxa"
"100281","01-Nov-02","64","MCI"
"100281","01-Nov-02","8","TaxaRichness"
"100281","01-Nov-99","20","PercentageEPTTaxa"
"100281","01-Nov-99","5","TaxaRichness"
"100281","01-Nov-99","64","MCI"
"100281","06-Mar-11","14","TaxaRichness"
"100281","06-Mar-11","14.3","PercentageEPTTaxa"
"100281","06-Mar-11","82.9","MCI"
"100281","06-Mar-18","14.3","PercentageEPTTaxa"
"100281","06-Mar-18","7","TaxaRichness"
"100281","06-Mar-18","74.3","MCI"
"100281","10-Jan-10","10.5","PercentageEPTTaxa"
"100281","10-Jan-10","19","TaxaRichness"
"100281","10-Jan-10","74.9","MCI"
"100281","11-Jan-19","22.6","PercentageEPTTaxa"
"100281","11-Jan-19","31","TaxaRichness"
"100281","11-Jan-19","76.1","MCI"
"100281","12-Feb-12","13","TaxaRichness"
"100281","12-Feb-12","23.1","PercentageEPTTaxa"
"100281","12-Feb-12","75.1","MCI"
"100281","18-Jan-17","20.8","PercentageEPTTaxa"
"100281","18-Jan-17","24","TaxaRichness"
"100281","18-Jan-17","63.7","MCI"
"100281","29-Jan-13","14","TaxaRichness"
"100281","29-Jan-13","28.6","PercentageEPTTaxa"
"100281","29-Jan-13","84.4","MCI"
"100281","29-Jan-16","13","PercentageEPTTaxa"
"100281","29-Jan-16","23","TaxaRichness"
"100281","29-Jan-16","69","MCI"
"100281","30-Jan-15","15.8","PercentageEPTTaxa"
"100281","30-Jan-15","19","TaxaRichness"
"100281","30-Jan-15","82.5","MCI"
"100363","01-Dec-02","14","TaxaRichness"
"100363","01-Dec-02","50","PercentageEPTTaxa"
"100363","01-Dec-02","90","MCI"
"100363","01-Feb-12","19","TaxaRichness"
"100363","01-Feb-12","36.8","PercentageEPTTaxa"
"100363","01-Feb-12","89.5","MCI"
"100363","01-Jan-10","20","TaxaRichness"
"100363","01-Jan-10","45","PercentageEPTTaxa"
"100363","01-Jan-10","94","MCI"
"100363","01-Jan-13","18","TaxaRichness"
"100363","01-Jan-13","50","PercentageEPTTaxa"
"100363","01-Jan-13","97.8","MCI"
"100363","01-Mar-00","10","TaxaRichness"
"100363","01-Mar-00","106","MCI"
"100363","01-Mar-00","50","PercentageEPTTaxa"
"100363","01-Mar-01","12","TaxaRichness"
"100363","01-Mar-01","33.3","PercentageEPTTaxa"
"100363","01-Mar-01","97.5","MCI"
"100363","01-Mar-07","10","TaxaRichness"
"100363","01-Mar-07","100","MCI"
"100363","01-Mar-07","50","PercentageEPTTaxa"
"100363","01-Mar-11","16","TaxaRichness"
"100363","01-Mar-11","25","PercentageEPTTaxa"
"100363","01-Mar-11","80","MCI"
"100363","01-Mar-99","0","PercentageEPTTaxa"
"100363","01-Mar-99","5","TaxaRichness"
"100363","01-Mar-99","68","MCI"
"100363","01-Nov-00","104.7","MCI"
"100363","01-Nov-00","15","TaxaRichness"
"100363","01-Nov-00","40","PercentageEPTTaxa"
"100363","07-Jan-19","22","TaxaRichness"
"100363","07-Jan-19","40.9","PercentageEPTTaxa"
"100363","07-Jan-19","91.8","MCI"
"100363","10-Apr-09","46","TaxaRichness"
"100363","10-Apr-09","46.2","PercentageEPTTaxa"
"100363","10-Apr-09","93.1","MCI"
"100363","11-Jan-17","23","TaxaRichness"
"100363","11-Jan-17","43.5","PercentageEPTTaxa"
"100363","11-Jan-17","91.3","MCI"
"100363","12-Nov-01","112.9","MCI"
"100363","12-Nov-01","14","TaxaRichness"
"100363","12-Nov-01","57.1","PercentageEPTTaxa"
"100363","14-Mar-14","17","TaxaRichness"
"100363","14-Mar-14","41.2","PercentageEPTTaxa"
"100363","14-Mar-14","85.9","MCI"
"100363","15-Apr-03","28.6","PercentageEPTTaxa"
"100363","15-Apr-03","7","TaxaRichness"
"100363","15-Apr-03","82.9","MCI"
"100363","15-Jan-15","14","TaxaRichness"
"100363","15-Jan-15","42.9","PercentageEPTTaxa"
"100363","15-Jan-15","92.9","MCI"
"100363","16-Feb-05","12","TaxaRichness"
"100363","16-Feb-05","25","PercentageEPTTaxa"
"100363","16-Feb-05","85","MCI"
"100363","16-Nov-99","103.3","MCI"
"100363","16-Nov-99","16.7","PercentageEPTTaxa"
"100363","16-Nov-99","6","TaxaRichness"
"100363","17-Jan-18","18","TaxaRichness"
"100363","17-Jan-18","44.4","PercentageEPTTaxa"
"100363","17-Jan-18","90","MCI"
"100363","17-Mar-04","12","TaxaRichness"
"100363","17-Mar-04","41.7","PercentageEPTTaxa"
"100363","17-Mar-04","91.7","MCI"
"100363","22-Mar-16","14","TaxaRichness"
"100363","22-Mar-16","35.7","PercentageEPTTaxa"
