"CouncilSiteID","SiteID","LawaSiteID","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Catchment","Lat","Long","accessDate","Landcover","Altitude","Order","StreamOrder","AltitudeCl"
"1043824","ngakaroa ltb","arc-00009",2009507,"auckland","ac","Unstated",NA,"ngakaroa stream",-37.1954715941643,174.973634380558,"14-Aug-2020","Rural",165,"3","3","Upland"
"7527","vaughan lower","arc-00024",2004122,"auckland","ac","Unstated",NA,"vaughans stream",-36.6843809245859,174.739454858364,"14-Aug-2020","Rural",33.5,"2","1&2","Lowland"
"7171","nukumea upper","arc-00038",2003052,"auckland","ac","upland","forest","nukumea",-36.5711630781172,174.66982770771,"14-Aug-2020","Forest",84.25,"1","1&2","Lowland"
"44618","cascades ltb","arc-00001",2005866,"auckland","ac","Unstated",NA,"cascade stream",-36.8888897276789,174.522114739379,"14-Aug-2020","Forest",64,"2","4","Lowland"
"45369","kumeu @ weza","arc-00003",2004945,"auckland","ac","Unstated",NA,"kumeu river",-36.7761949059392,174.560030905611,"14-Aug-2020","Rural",37.75,"4","4&1","Lowland"
"6604","matakana ltb","arc-00008",2001381,"auckland","ac","Unstated",NA,"matakana river",-36.3450174080717,174.711828900139,"14-Aug-2020","Rural",39,"4","1","Lowland"
"8177","oakley ltb","arc-00010",2005765,"auckland","ac","Unstated",NA,"oakley creek",-36.8761606721293,174.704774371726,"14-Aug-2020","Urban",30,"3","3","Lowland"
"7925","opanuku stream","arc-00013",2005960,"auckland","ac","Unstated",NA,"opanuku stream",-36.894914600398,174.594663650363,"14-Aug-2020","Forest",44,"4","3","Lowland"
"8241","otara ck kennel hill","arc-00016",2006642,"auckland","ac","Unstated",NA,"otara creek",-36.9557021247356,174.890620893947,"14-Aug-2020","Rural",19,"3","3","Lowland"
"107801","oteha ltb","arc-00017",2004609,"auckland","ac","Unstated",NA,"lucas creek",-36.7376890890641,174.701336946892,"14-Aug-2020","Urban",67.5,"3","3","Lowland"
"1043825","papakura ltb","arc-00021",2007536,"auckland","ac","Unstated",NA,"papakura stream",-37.0281570217399,174.92321720323,"14-Aug-2020","Rural",17,"4","4","Lowland"
"8553","wairoa ltb","arc-00025",2007413,"auckland","ac","Unstated",NA,"wairoa river",-37.0119701605855,175.053337256477,"14-Aug-2020","Rural",27,"5","5","Lowland"
"7213","west hoe ltb","arc-00027",2003137,"auckland","ac","Unstated",NA,"west hoe stream",-36.5784732643224,174.657568393706,"14-Aug-2020","Forest",84,"1","2","Lowland"
"43601","waitangi stream","arc-00028",2009665,"auckland","ac","Unstated",NA,"waitangi stream",-37.2270234530618,174.739817460997,"14-Aug-2020","Rural",23.25,"3","3&1","Lowland"
"8569","wairoa @ caitchen rd trib","arc-00030",2008323,"auckland","ac","Unstated",NA,"wairoa river",-37.0924583719574,175.101432631445,"14-Aug-2020","Forest",221,"2","2","Upland"
"45371","riverhead forest stream","arc-00031",2004547,"auckland","ac","Unstated",NA,"kumeu river",-36.7368760528028,174.535816947487,"14-Aug-2020","Forest",104,"2","1&2","Lowland"
"1043835","papakura trib @ alfriston","arc-00037",2007478,"auckland","ac","Unstated",NA,"papakura stream",-37.0197040394099,174.92814078863,"14-Aug-2020","Rural",30,"2","2","Lowland"
"6606","duck creek @ trotters","arc-00113",2001750,"auckland","ac","Unstated",NA,"duck creek",-36.3989851419417,174.701750174899,"14-Aug-2020","Rural",61,"1","1","Lowland"
"8407","duders","arc-00114",2006201,"auckland","ac","Unstated",NA,"duders stream",-36.9062529391449,175.083136483349,"14-Aug-2020","Rural",48,"1","1","Lowland"
"6852","dyers creek @ mid paddock","arc-00115",2002156,"auckland","ac","Unstated",NA,"dyers creek north",-36.4587731923276,174.684141547227,"14-Aug-2020","Rural",81,"3","3","Lowland"
"7722","eskdale lower","arc-00116",2005118,"auckland","ac","Unstated",NA,"kaipatiki creek",-36.7926034027674,174.708658714026,"14-Aug-2020","Urban",103,"3","1","Lowland"
"7899","lucas ltb @ tennis","arc-00124",2004501,"auckland","ac","Unstated",NA,"lucas creek",-36.7231426890407,174.699325197129,"14-Aug-2020","Urban",84,"3","3","Lowland"
"6862","mahu reference @ trappit","arc-00125",2002043,"auckland","ac","Unstated",NA,"mahurangi river",-36.4453355972646,174.662105928538,"14-Aug-2020","Forest",159,"1","1","Upland"
"6850","mahurangi ltb","arc-00126",2002078,"auckland","ac","Unstated",NA,"mahurangi river",-36.4499486809684,174.647308788846,"14-Aug-2020","Forest",95.6666666666667,"2","1&2","Lowland"
"44460","marawhara","arc-00128",2006366,"auckland","ac","Unstated",NA,"marawhara stream",-36.9401216576628,174.46857112482,"14-Aug-2020","Forest",188.666666666667,"2","1&2","Upland"
