"CouncilSiteID","Date","Value","Measurement"
"anaura str at anaura bay rd","10-Feb-16","106","MCI"
"anaura str at anaura bay rd","10-Feb-16","23","TaxaRichness"
"anaura str at anaura bay rd","10-Feb-16","43.5","PercentageEPTTaxa"
"anaura str at anaura bay rd","16-Jan-18","121","MCI"
"anaura str at anaura bay rd","16-Jan-18","19","TaxaRichness"
"anaura str at anaura bay rd","16-Jan-18","57.9","PercentageEPTTaxa"
"anaura str at anaura bay rd","17-Jan-19","112","MCI"
"anaura str at anaura bay rd","17-Jan-19","26","TaxaRichness"
"anaura str at anaura bay rd","17-Jan-19","38.5","PercentageEPTTaxa"
"anaura str at anaura bay rd","25-Jan-17","109","MCI"
"anaura str at anaura bay rd","25-Jan-17","28","TaxaRichness"
"anaura str at anaura bay rd","25-Jan-17","50","PercentageEPTTaxa"
"awatere river at sh35 bridge","11-Feb-16","13","TaxaRichness"
"awatere river at sh35 bridge","11-Feb-16","46.2","PercentageEPTTaxa"
"awatere river at sh35 bridge","11-Feb-16","97","MCI"
"awatere river at sh35 bridge","15-Feb-19","101","MCI"
"awatere river at sh35 bridge","15-Feb-19","16","TaxaRichness"
"awatere river at sh35 bridge","15-Feb-19","25","PercentageEPTTaxa"
"awatere river at sh35 bridge","24-Jan-17","115","MCI"
"awatere river at sh35 bridge","24-Jan-17","17","TaxaRichness"
"awatere river at sh35 bridge","24-Jan-17","52.9","PercentageEPTTaxa"
"awatere river at sh35 bridge","31-Jan-18","104","MCI"
"awatere river at sh35 bridge","31-Jan-18","11","TaxaRichness"
"awatere river at sh35 bridge","31-Jan-18","45.5","PercentageEPTTaxa"
"haupapa str at tahora settlement rd","08-Feb-17","111","MCI"
"haupapa str at tahora settlement rd","08-Feb-17","36","TaxaRichness"
"haupapa str at tahora settlement rd","08-Feb-17","41.7","PercentageEPTTaxa"
"haupapa str at tahora settlement rd","15-Feb-16","106","MCI"
"haupapa str at tahora settlement rd","15-Feb-16","25","TaxaRichness"
"haupapa str at tahora settlement rd","15-Feb-16","44","PercentageEPTTaxa"
"haupapa str at tahora settlement rd","15-Jan-19","101","MCI"
"haupapa str at tahora settlement rd","15-Jan-19","24","TaxaRichness"
"haupapa str at tahora settlement rd","15-Jan-19","33.3","PercentageEPTTaxa"
"haupapa str at tahora settlement rd","22-Jan-18","124","MCI"
"haupapa str at tahora settlement rd","22-Jan-18","25","TaxaRichness"
"haupapa str at tahora settlement rd","22-Jan-18","52","PercentageEPTTaxa"
"hikuwai river at no 4 bridge","19-Jan-17","18.2","PercentageEPTTaxa"
"hikuwai river at no 4 bridge","19-Jan-17","22","TaxaRichness"
"hikuwai river at no 4 bridge","19-Jan-17","83","MCI"
"hikuwai river at no 4 bridge","23-Jan-19","14.3","PercentageEPTTaxa"
"hikuwai river at no 4 bridge","23-Jan-19","7","TaxaRichness"
"hikuwai river at no 4 bridge","23-Jan-19","85.7","MCI"
"hikuwai river at no 4 bridge","25-Jan-16","20","TaxaRichness"
"hikuwai river at no 4 bridge","25-Jan-16","5","PercentageEPTTaxa"
"hikuwai river at no 4 bridge","25-Jan-16","80","MCI"
"hikuwai river at no 4 bridge","30-Jan-18","102","MCI"
"hikuwai river at no 4 bridge","30-Jan-18","26","TaxaRichness"
"hikuwai river at no 4 bridge","30-Jan-18","50","PercentageEPTTaxa"
"hikuwai river at willowflat","19-Jan-17","18.2","PercentageEPTTaxa"
"hikuwai river at willowflat","19-Jan-17","22","TaxaRichness"
"hikuwai river at willowflat","19-Jan-17","79","MCI"
"hikuwai river at willowflat","23-Jan-19","28.6","PercentageEPTTaxa"
"hikuwai river at willowflat","23-Jan-19","7","TaxaRichness"
"hikuwai river at willowflat","23-Jan-19","94.3","MCI"
"hikuwai river at willowflat","25-Jan-16","19","PercentageEPTTaxa"
"hikuwai river at willowflat","25-Jan-16","21","TaxaRichness"
"hikuwai river at willowflat","25-Jan-16","73","MCI"
"huitatariki str","07-Mar-18","136","MCI"
"huitatariki str","07-Mar-18","22","TaxaRichness"
"huitatariki str","07-Mar-18","63.6","PercentageEPTTaxa"
"huitatariki str","10-Feb-17","129","MCI"
"huitatariki str","10-Feb-17","20","TaxaRichness"
"huitatariki str","10-Feb-17","55","PercentageEPTTaxa"
"huitatariki str","17-Feb-16","129","MCI"
"huitatariki str","17-Feb-16","20","TaxaRichness"
"huitatariki str","17-Feb-16","60","PercentageEPTTaxa"
"huitatariki str","19-Feb-19","128","MCI"
"huitatariki str","19-Feb-19","21","TaxaRichness"
"huitatariki str","19-Feb-19","57.1","PercentageEPTTaxa"
"ihungia river at ihungia rd br","17-Jan-17","21.7","PercentageEPTTaxa"
"ihungia river at ihungia rd br","17-Jan-17","23","TaxaRichness"
"ihungia river at ihungia rd br","17-Jan-17","88","MCI"
"ihungia river at ihungia rd br","26-Jan-16","12","PercentageEPTTaxa"
"ihungia river at ihungia rd br","26-Jan-16","25","TaxaRichness"
"ihungia river at ihungia rd br","26-Jan-16","82","MCI"
"ihungia river at ihungia rd br","30-Jan-18","100","MCI"
"ihungia river at ihungia rd br","30-Jan-18","27","TaxaRichness"
"ihungia river at ihungia rd br","30-Jan-18","37","PercentageEPTTaxa"
"ihungia river at ihungia rd br","30-Jan-19","10","TaxaRichness"
"ihungia river at ihungia rd br","30-Jan-19","102","MCI"
"ihungia river at ihungia rd br","30-Jan-19","30","PercentageEPTTaxa"
"kaitawa str at wharf rd","01-Feb-17","0","PercentageEPTTaxa"
"kaitawa str at wharf rd","01-Feb-17","26","TaxaRichness"
"kaitawa str at wharf rd","01-Feb-17","78","MCI"
"kaitawa str at wharf rd","12-Feb-16","22","TaxaRichness"
"kaitawa str at wharf rd","12-Feb-16","4.55","PercentageEPTTaxa"
"kaitawa str at wharf rd","12-Feb-16","77","MCI"
"kaitawa str at wharf rd","17-Jan-18","22","TaxaRichness"
"kaitawa str at wharf rd","17-Jan-18","78","MCI"
"kaitawa str at wharf rd","17-Jan-18","9.09","PercentageEPTTaxa"
"kaitawa str at wharf rd","23-Jan-19","1.83","PercentageEPTTaxa"
"kaitawa str at wharf rd","23-Jan-19","18","TaxaRichness"
"kaitawa str at wharf rd","23-Jan-19","67.4","MCI"
"karakatuwhero river at sh35 br","11-Feb-16","110","MCI"
"karakatuwhero river at sh35 br","11-Feb-16","12","TaxaRichness"
"karakatuwhero river at sh35 br","11-Feb-16","41.7","PercentageEPTTaxa"
"karakatuwhero river at sh35 br","15-Feb-19","104","MCI"
"karakatuwhero river at sh35 br","15-Feb-19","18","TaxaRichness"
"karakatuwhero river at sh35 br","15-Feb-19","38.9","PercentageEPTTaxa"
