"CouncilSiteID","Date","Value","Measurement"
"akatarawa river at hutt confluence","01-Feb-06","136.420868","MCI"
"akatarawa river at hutt confluence","01-Feb-07","118.657410","MCI"
"akatarawa river at hutt confluence","01-Jan-10","121.739128","MCI"
"akatarawa river at hutt confluence","01-Jan-12","128.8","MCI"
"akatarawa river at hutt confluence","01-Jan-12","25","TaxaRichness"
"akatarawa river at hutt confluence","01-Jan-12","56","PercentageEPTTaxa"
"akatarawa river at hutt confluence","01-Mar-08","122.0689","MCI"
"akatarawa river at hutt confluence","01-Mar-09","134.101929","MCI"
"akatarawa river at hutt confluence","01-May-05","142.20238","MCI"
"akatarawa river at hutt confluence","03-Feb-14","134.615387","MCI"
"akatarawa river at hutt confluence","03-Feb-14","26","TaxaRichness"
"akatarawa river at hutt confluence","03-Feb-14","65.384613","PercentageEPTTaxa"
"akatarawa river at hutt confluence","07-Mar-17","128.421051","MCI"
"akatarawa river at hutt confluence","07-Mar-17","19","TaxaRichness"
"akatarawa river at hutt confluence","07-Mar-17","57.9","PercentageEPTTaxa"
"akatarawa river at hutt confluence","10-Feb-16","130","MCI"
"akatarawa river at hutt confluence","10-Feb-16","33","TaxaRichness"
"akatarawa river at hutt confluence","10-Feb-16","67","PercentageEPTTaxa"
"akatarawa river at hutt confluence","11-Dec-18","125.56","MCI"
"akatarawa river at hutt confluence","11-Dec-18","18","TaxaRichness"
"akatarawa river at hutt confluence","11-Dec-18","55.6","PercentageEPTTaxa"
"akatarawa river at hutt confluence","15-Dec-17","121.53846","MCI"
"akatarawa river at hutt confluence","15-Dec-17","28","TaxaRichness"
"akatarawa river at hutt confluence","15-Dec-17","60.7","PercentageEPTTaxa"
"akatarawa river at hutt confluence","17-Mar-11","133.07692","MCI"
"akatarawa river at hutt confluence","17-Mar-11","26","TaxaRichness"
"akatarawa river at hutt confluence","17-Mar-11","57.692307","PercentageEPTTaxa"
"akatarawa river at hutt confluence","22-Jan-15","124.44444","MCI"
"akatarawa river at hutt confluence","22-Jan-15","27","TaxaRichness"
"akatarawa river at hutt confluence","22-Jan-15","55.555557","PercentageEPTTaxa"
"akatarawa river at hutt confluence","27-Feb-13","128","MCI"
"akatarawa river at hutt confluence","27-Feb-13","25","TaxaRichness"
"akatarawa river at hutt confluence","27-Feb-13","56","PercentageEPTTaxa"
"awhea river at tora rd","01-Feb-06","86.698410","MCI"
"awhea river at tora rd","01-Feb-07","83.50926","MCI"
"awhea river at tora rd","01-Feb-09","77.150673","MCI"
"awhea river at tora rd","01-Jan-10","126.666664","MCI"
"awhea river at tora rd","01-Jan-12","17","TaxaRichness"
"awhea river at tora rd","01-Jan-12","17.647058","PercentageEPTTaxa"
"awhea river at tora rd","01-Jan-12","77.64706","MCI"
"awhea river at tora rd","01-Mar-05","87.20798","MCI"
"awhea river at tora rd","01-Mar-08","70","MCI"
"awhea river at tora rd","02-Feb-17","16","PercentageEPTTaxa"
"awhea river at tora rd","02-Feb-17","25","TaxaRichness"
"awhea river at tora rd","02-Feb-17","84.166664","MCI"
"awhea river at tora rd","03-Mar-11","11.538462","PercentageEPTTaxa"
"awhea river at tora rd","03-Mar-11","26","TaxaRichness"
"awhea river at tora rd","03-Mar-11","84.615387","MCI"
"awhea river at tora rd","10-Jan-15","24","TaxaRichness"
"awhea river at tora rd","10-Jan-15","29.166666","PercentageEPTTaxa"
"awhea river at tora rd","10-Jan-15","98.333336","MCI"
"awhea river at tora rd","11-Feb-13","12","PercentageEPTTaxa"
"awhea river at tora rd","11-Feb-13","25","TaxaRichness"
"awhea river at tora rd","11-Feb-13","80","MCI"
"awhea river at tora rd","18-Jan-19","102.67","MCI"
"awhea river at tora rd","18-Jan-19","15","TaxaRichness"
"awhea river at tora rd","18-Jan-19","33.3","PercentageEPTTaxa"
"awhea river at tora rd","21-Jan-16","15","PercentageEPTTaxa"
"awhea river at tora rd","21-Jan-16","26","TaxaRichness"
"awhea river at tora rd","21-Jan-16","89.23","MCI"
"awhea river at tora rd","24-Jan-18","19","TaxaRichness"
"awhea river at tora rd","24-Jan-18","31.6","PercentageEPTTaxa"
"awhea river at tora rd","24-Jan-18","83.52941","MCI"
"awhea river at tora rd","31-Jan-14","17","TaxaRichness"
"awhea river at tora rd","31-Jan-14","29.411764","PercentageEPTTaxa"
"awhea river at tora rd","31-Jan-14","98.8235321","MCI"
"beef creek at headwaters","01-Feb-07","128.18542","MCI"
"beef creek at headwaters","01-Feb-09","134.968246","MCI"
"beef creek at headwaters","01-Jan-10","129.6","MCI"
"beef creek at headwaters","01-Jan-12","140.666672","MCI"
"beef creek at headwaters","01-Jan-12","30","TaxaRichness"
"beef creek at headwaters","01-Jan-12","60","PercentageEPTTaxa"
"beef creek at headwaters","01-Mar-06","143.3299","MCI"
"beef creek at headwaters","01-Mar-08","144.95154","MCI"
"beef creek at headwaters","01-Mar-13","124.666664","MCI"
"beef creek at headwaters","01-Mar-13","30","TaxaRichness"
"beef creek at headwaters","01-Mar-13","60","PercentageEPTTaxa"
"beef creek at headwaters","01-May-05","148.4417","MCI"
"beef creek at headwaters","07-Apr-14","134.48276","MCI"
"beef creek at headwaters","07-Apr-14","29","TaxaRichness"
"beef creek at headwaters","07-Apr-14","62.0689659","PercentageEPTTaxa"
"beef creek at headwaters","21-Feb-11","133.333328","MCI"
"beef creek at headwaters","21-Feb-11","33","TaxaRichness"
"beef creek at headwaters","21-Feb-11","57.575756","PercentageEPTTaxa"
"beef creek at headwaters","22-Jan-15","131.176468","MCI"
"beef creek at headwaters","22-Jan-15","34","TaxaRichness"
"beef creek at headwaters","22-Jan-15","52.941177","PercentageEPTTaxa"
"horokiri stream at snodgrass","01-Apr-05","122.74892","MCI"
"horokiri stream at snodgrass","01-Jan-10","113.333336","MCI"
"horokiri stream at snodgrass","01-Jan-12","107.826088","MCI"
"horokiri stream at snodgrass","01-Jan-12","23","TaxaRichness"
"horokiri stream at snodgrass","01-Jan-12","52.173912","PercentageEPTTaxa"
"horokiri stream at snodgrass","01-Mar-06","97.802147","MCI"
"horokiri stream at snodgrass","01-Mar-07","109.17834","MCI"
"horokiri stream at snodgrass","01-Mar-08","112.39216","MCI"
"horokiri stream at snodgrass","01-Mar-09","109.73684","MCI"
"horokiri stream at snodgrass","03-Feb-14","115","MCI"
"horokiri stream at snodgrass","03-Feb-14","28","TaxaRichness"
"horokiri stream at snodgrass","03-Feb-14","46.42857","PercentageEPTTaxa"
"horokiri stream at snodgrass","05-Dec-17","120","MCI"
"horokiri stream at snodgrass","05-Dec-17","21","TaxaRichness"
"horokiri stream at snodgrass","05-Dec-17","61.9","PercentageEPTTaxa"
"horokiri stream at snodgrass","10-Feb-16","109.57","MCI"
"horokiri stream at snodgrass","10-Feb-16","23","TaxaRichness"
"horokiri stream at snodgrass","10-Feb-16","52","PercentageEPTTaxa"
"horokiri stream at snodgrass","11-Dec-18","103.16","MCI"
"horokiri stream at snodgrass","11-Dec-18","20","TaxaRichness"
"horokiri stream at snodgrass","11-Dec-18","50","PercentageEPTTaxa"
"horokiri stream at snodgrass","12-Jan-15","23","TaxaRichness"
"horokiri stream at snodgrass","12-Jan-15","34.782608","PercentageEPTTaxa"
"horokiri stream at snodgrass","12-Jan-15","98.260872","MCI"
"horokiri stream at snodgrass","17-Mar-11","106.666664","MCI"
"horokiri stream at snodgrass","17-Mar-11","24","TaxaRichness"
"horokiri stream at snodgrass","17-Mar-11","45.833332","PercentageEPTTaxa"
"horokiri stream at snodgrass","18-Jan-17","118.46154","MCI"
"horokiri stream at snodgrass","18-Jan-17","26","TaxaRichness"
"horokiri stream at snodgrass","18-Jan-17","50","PercentageEPTTaxa"
"horokiri stream at snodgrass","28-Feb-13","116.521736","MCI"
"horokiri stream at snodgrass","28-Feb-13","23","TaxaRichness"
"horokiri stream at snodgrass","28-Feb-13","56.52174","PercentageEPTTaxa"
"huangarua river at ponatahi bridge","01-Feb-06","103.44444","MCI"
"huangarua river at ponatahi bridge","01-Feb-07","103.19902","MCI"
"huangarua river at ponatahi bridge","01-Jan-10","108","MCI"
"huangarua river at ponatahi bridge","01-Jan-12","24","TaxaRichness"
"huangarua river at ponatahi bridge","01-Jan-12","33.333332","PercentageEPTTaxa"
"huangarua river at ponatahi bridge","01-Jan-12","91.666664","MCI"
"huangarua river at ponatahi bridge","01-Mar-05","99.333336","MCI"
"huangarua river at ponatahi bridge","01-Mar-08","93.565216","MCI"
"huangarua river at ponatahi bridge","01-Mar-09","91.839745","MCI"
"huangarua river at ponatahi bridge","02-Feb-17","28","TaxaRichness"
"huangarua river at ponatahi bridge","02-Feb-17","32.1","PercentageEPTTaxa"
"huangarua river at ponatahi bridge","02-Feb-17","91.53846","MCI"
"huangarua river at ponatahi bridge","09-Jan-15","103.63636","MCI"
