"CouncilSiteID","Date","Value","Measurement"
"are are creek at kaituna tuamarina track","01-Feb-12","17","TaxaRichness"
"are are creek at kaituna tuamarina track","01-Feb-12","23.529411","PercentageEPTTaxa"
"are are creek at kaituna tuamarina track","01-Feb-12","91.764709","MCI"
"are are creek at kaituna tuamarina track","06-Jan-11","104","MCI"
"are are creek at kaituna tuamarina track","06-Jan-11","12","TaxaRichness"
"are are creek at kaituna tuamarina track","06-Jan-11","50","PercentageEPTTaxa"
"are are creek at kaituna tuamarina track","08-Feb-10","14","TaxaRichness"
"are are creek at kaituna tuamarina track","08-Feb-10","21.4","PercentageEPTTaxa"
"are are creek at kaituna tuamarina track","08-Feb-10","80","MCI"
"are are creek at kaituna tuamarina track","08-Jan-19","31","TaxaRichness"
"are are creek at kaituna tuamarina track","08-Jan-19","41.9354820","PercentageEPTTaxa"
"are are creek at kaituna tuamarina track","08-Jan-19","97.14286","MCI"
"are are creek at kaituna tuamarina track","09-Jan-20","105","MCI"
"are are creek at kaituna tuamarina track","09-Jan-20","23","TaxaRichness"
"are are creek at kaituna tuamarina track","09-Jan-20","52.173912","PercentageEPTTaxa"
"are are creek at kaituna tuamarina track","10-Mar-16","19","TaxaRichness"
"are are creek at kaituna tuamarina track","10-Mar-16","47.36842","PercentageEPTTaxa"
"are are creek at kaituna tuamarina track","10-Mar-16","98.888885","MCI"
"are are creek at kaituna tuamarina track","11-Feb-14","17","TaxaRichness"
"are are creek at kaituna tuamarina track","11-Feb-14","23.529411","PercentageEPTTaxa"
"are are creek at kaituna tuamarina track","11-Feb-14","98.8235321","MCI"
"are are creek at kaituna tuamarina track","25-Mar-15","17","TaxaRichness"
"are are creek at kaituna tuamarina track","25-Mar-15","47.058823","PercentageEPTTaxa"
"are are creek at kaituna tuamarina track","25-Mar-15","88.75","MCI"
"are are creek at kaituna tuamarina track","27-Mar-17","22","TaxaRichness"
"are are creek at kaituna tuamarina track","27-Mar-17","45.454544","PercentageEPTTaxa"
"are are creek at kaituna tuamarina track","27-Mar-17","88","MCI"
"awatere river at awapiri","01-Dec-10","10","TaxaRichness"
"awatere river at awapiri","01-Dec-10","70","PercentageEPTTaxa"
"awatere river at awapiri","01-Dec-10","83.33","MCI"
"awatere river at awapiri","03-Dec-15","13","TaxaRichness"
"awatere river at awapiri","03-Dec-15","38.46154","PercentageEPTTaxa"
"awatere river at awapiri","03-Dec-15","90.909088","MCI"
"awatere river at awapiri","10-Mar-17","112.5","MCI"
"awatere river at awapiri","10-Mar-17","18","TaxaRichness"
"awatere river at awapiri","10-Mar-17","50","PercentageEPTTaxa"
"awatere river at awapiri","14-Mar-19","102.5","MCI"
"awatere river at awapiri","14-Mar-19","44.444443","PercentageEPTTaxa"
"awatere river at awapiri","14-Mar-19","9","TaxaRichness"
"awatere river at awapiri","15-Feb-12","140","MCI"
"awatere river at awapiri","15-Feb-12","6","TaxaRichness"
"awatere river at awapiri","15-Feb-12","66.666664","PercentageEPTTaxa"
"awatere river at awapiri","17-Jan-20","121.53846","MCI"
"awatere river at awapiri","17-Jan-20","13","TaxaRichness"
"awatere river at awapiri","17-Jan-20","46.153847","PercentageEPTTaxa"
"awatere river at awapiri","26-Nov-09","113","MCI"
"awatere river at awapiri","26-Nov-09","16","TaxaRichness"
"awatere river at awapiri","26-Nov-09","43.75","PercentageEPTTaxa"
"awatere river at awapiri","28-May-08","118","MCI"
"awatere river at awapiri","28-May-08","118","MCI"
"awatere river at awapiri","28-May-08","12","TaxaRichness"
"awatere river at awapiri","28-May-08","12","TaxaRichness"
"awatere river at awapiri","28-May-08","58.3","PercentageEPTTaxa"
"awatere river at awapiri","28-May-08","58.3","PercentageEPTTaxa"
