"CouncilSiteID","Date","Value","Measurement"
"cardrona at mt barker","01-Jul-19","104.44","MCI"
"cardrona at mt barker","02-Apr-09","101","MCI"
"cardrona at mt barker","02-Apr-09","18","TaxaRichness"
"cardrona at mt barker","02-Apr-09","55.6","PercentageEPTTaxa"
"cardrona at mt barker","02-Feb-16","17","TaxaRichness"
"cardrona at mt barker","02-Feb-16","47","PercentageEPTTaxa"
"cardrona at mt barker","02-Feb-16","99","MCI"
"cardrona at mt barker","04-Feb-10","21","TaxaRichness"
"cardrona at mt barker","04-Feb-10","38.1","PercentageEPTTaxa"
"cardrona at mt barker","04-Feb-10","98.7","MCI"
"cardrona at mt barker","06-Feb-04","107","MCI"
"cardrona at mt barker","06-Feb-04","14","TaxaRichness"
"cardrona at mt barker","06-Feb-04","64.3","PercentageEPTTaxa"
"cardrona at mt barker","06-Feb-06","100","MCI"
"cardrona at mt barker","06-Feb-06","14","TaxaRichness"
"cardrona at mt barker","06-Feb-06","42.9","PercentageEPTTaxa"
"cardrona at mt barker","07-Apr-17","110","MCI"
"cardrona at mt barker","07-Apr-17","24","TaxaRichness"
"cardrona at mt barker","08-Feb-12","101","MCI"
"cardrona at mt barker","08-Feb-12","17","TaxaRichness"
"cardrona at mt barker","08-Feb-12","47","PercentageEPTTaxa"
"cardrona at mt barker","12-Feb-14","108","MCI"
"cardrona at mt barker","12-Feb-14","21","TaxaRichness"
"cardrona at mt barker","12-Feb-14","48","PercentageEPTTaxa"
"cardrona at mt barker","13-Mar-13","106","MCI"
"cardrona at mt barker","13-Mar-13","17","TaxaRichness"
"cardrona at mt barker","13-Mar-13","53","PercentageEPTTaxa"
"cardrona at mt barker","14-Jan-15","111","MCI"
"cardrona at mt barker","14-Jan-15","13","TaxaRichness"
"cardrona at mt barker","14-Jan-15","54","PercentageEPTTaxa"
"cardrona at mt barker","15-Mar-11","107","MCI"
"cardrona at mt barker","15-Mar-11","19","TaxaRichness"
"cardrona at mt barker","15-Mar-11","47","PercentageEPTTaxa"
"cardrona at mt barker","16-Jan-07","111","MCI"
"cardrona at mt barker","16-Jan-07","55.6","PercentageEPTTaxa"
"cardrona at mt barker","16-Jan-07","9","TaxaRichness"
"cardrona at mt barker","18-Apr-08","101","MCI"
"cardrona at mt barker","18-Apr-08","16","TaxaRichness"
"cardrona at mt barker","18-Apr-08","50","PercentageEPTTaxa"
"cardrona at mt barker","21-Mar-20","108","MCI"
"cardrona at mt barker","25-Jan-18","101","MCI"
"cardrona at mt barker","25-Jan-18","32","TaxaRichness"
"cardrona at mt barker","25-Jan-18","46.875","PercentageEPTTaxa"
"catlins at houipapa","03-May-17","106","MCI"
"catlins at houipapa","03-May-17","38","TaxaRichness"
