"CouncilSiteID","Date","Value","Measurement"
"rw aorere @ le comte","07-Feb-16","10","TaxaRichness"
"rw aorere @ le comte","07-Feb-16","116","MCI"
"rw aorere @ le comte","07-Feb-16","116","MCI"
"rw aorere @ le comte","07-Feb-16","116","MCI"
"rw aorere @ le comte","07-Feb-16","116","MCI"
"rw aorere @ le comte","07-Feb-16","116","MCI"
"rw aorere @ le comte","07-Feb-16","116","MCI"
"rw aorere @ le comte","07-Feb-16","116","MCI"
"rw aorere @ le comte","07-Feb-16","50","PercentageEPTTaxa"
"rw aorere @ le comte","07-Feb-16","50","PercentageEPTTaxa"
"rw aorere @ le comte","07-Feb-16","50","PercentageEPTTaxa"
"rw aorere @ le comte","18-Feb-15","113","MCI"
"rw aorere @ le comte","18-Feb-15","113","MCI"
"rw aorere @ le comte","18-Feb-15","113","MCI"
"rw aorere @ le comte","18-Feb-15","113","MCI"
"rw aorere @ le comte","18-Feb-15","113","MCI"
"rw aorere @ le comte","18-Feb-15","113","MCI"
"rw aorere @ le comte","18-Feb-15","113","MCI"
"rw aorere @ le comte","18-Feb-15","21","TaxaRichness"
"rw aorere @ le comte","18-Feb-15","47.6","PercentageEPTTaxa"
"rw aorere @ le comte","18-Feb-15","47.6","PercentageEPTTaxa"
"rw aorere @ le comte","18-Feb-15","47.6","PercentageEPTTaxa"
"rw aorere @ le comte","18-Nov-03","141","MCI"
"rw aorere @ le comte","18-Nov-03","141","MCI"
"rw aorere @ le comte","18-Nov-03","141","MCI"
"rw aorere @ le comte","18-Nov-03","141","MCI"
"rw aorere @ le comte","18-Nov-03","141","MCI"
"rw aorere @ le comte","18-Nov-03","141","MCI"
"rw aorere @ le comte","18-Nov-03","141","MCI"
"rw aorere @ le comte","18-Nov-03","17","TaxaRichness"
"rw aorere @ le comte","18-Nov-03","64.7","PercentageEPTTaxa"
"rw aorere @ le comte","18-Nov-03","64.7","PercentageEPTTaxa"
"rw aorere @ le comte","18-Nov-03","64.7","PercentageEPTTaxa"
"rw aorere @ le comte","21-Jan-19","115","MCI"
"rw aorere @ le comte","21-Jan-19","115","MCI"
"rw aorere @ le comte","21-Jan-19","115","MCI"
"rw aorere @ le comte","21-Jan-19","115","MCI"
"rw aorere @ le comte","21-Jan-19","115","MCI"
"rw aorere @ le comte","21-Jan-19","115","MCI"
"rw aorere @ le comte","21-Jan-19","115","MCI"
"rw aorere @ le comte","21-Jan-19","24","TaxaRichness"
"rw aorere @ le comte","21-Jan-19","54.17","PercentageEPTTaxa"
"rw aorere @ le comte","21-Jan-19","54.17","PercentageEPTTaxa"
"rw aorere @ le comte","21-Jan-19","54.17","PercentageEPTTaxa"
"rw aorere @ le comte","21-Mar-18","115","MCI"
"rw aorere @ le comte","21-Mar-18","115","MCI"
"rw aorere @ le comte","21-Mar-18","115","MCI"
"rw aorere @ le comte","21-Mar-18","115","MCI"
"rw aorere @ le comte","21-Mar-18","115","MCI"
"rw aorere @ le comte","21-Mar-18","115","MCI"
"rw aorere @ le comte","21-Mar-18","115","MCI"
"rw aorere @ le comte","21-Mar-18","26","TaxaRichness"
"rw aorere @ le comte","21-Mar-18","53.85","PercentageEPTTaxa"
"rw aorere @ le comte","21-Mar-18","53.85","PercentageEPTTaxa"
"rw aorere @ le comte","21-Mar-18","53.85","PercentageEPTTaxa"
"rw aorere @ le comte","27-Feb-17","132","MCI"
"rw aorere @ le comte","27-Feb-17","132","MCI"
"rw aorere @ le comte","27-Feb-17","132","MCI"
"rw aorere @ le comte","27-Feb-17","132","MCI"
"rw aorere @ le comte","27-Feb-17","132","MCI"
"rw aorere @ le comte","27-Feb-17","132","MCI"
"rw aorere @ le comte","27-Feb-17","132","MCI"
"rw aorere @ le comte","27-Feb-17","15","TaxaRichness"
"rw aorere @ le comte","27-Feb-17","66.67","PercentageEPTTaxa"
"rw aorere @ le comte","27-Feb-17","66.67","PercentageEPTTaxa"
"rw aorere @ le comte","27-Feb-17","66.67","PercentageEPTTaxa"
"rw aorere @ le comte","31-Oct-02","133","MCI"
"rw aorere @ le comte","31-Oct-02","133","MCI"
"rw aorere @ le comte","31-Oct-02","133","MCI"
"rw aorere @ le comte","31-Oct-02","133","MCI"
"rw aorere @ le comte","31-Oct-02","133","MCI"
"rw aorere @ le comte","31-Oct-02","133","MCI"
"rw aorere @ le comte","31-Oct-02","133","MCI"
