"CouncilSiteID","Date","Value","Measurement"
"hrk000085","02-Mar-11","101","MCI"
"hrk000085","02-Mar-11","17","TaxaRichness"
"hrk000085","02-Mar-11","35","PercentageEPTTaxa"
"hrk000085","02-Sep-97","22","TaxaRichness"
"hrk000085","02-Sep-97","27","PercentageEPTTaxa"
"hrk000085","02-Sep-97","87","MCI"
"hrk000085","03-Feb-05","14","PercentageEPTTaxa"
"hrk000085","03-Feb-05","14","TaxaRichness"
"hrk000085","03-Feb-05","80","MCI"
"hrk000085","03-Feb-20","17","TaxaRichness"
"hrk000085","03-Feb-20","41","PercentageEPTTaxa"
"hrk000085","03-Feb-20","92","MCI"
"hrk000085","03-Sep-96","20","TaxaRichness"
"hrk000085","03-Sep-96","40","PercentageEPTTaxa"
"hrk000085","03-Sep-96","97","MCI"
"hrk000085","04-Apr-07","19","TaxaRichness"
"hrk000085","04-Apr-07","32","PercentageEPTTaxa"
"hrk000085","04-Apr-07","94","MCI"
"hrk000085","04-Feb-14","23","TaxaRichness"
"hrk000085","04-Feb-14","26","PercentageEPTTaxa"
"hrk000085","04-Feb-14","99","MCI"
"hrk000085","04-Mar-98","17","TaxaRichness"
"hrk000085","04-Mar-98","35","PercentageEPTTaxa"
"hrk000085","04-Mar-98","83","MCI"
"hrk000085","05-Dec-08","18","TaxaRichness"
"hrk000085","05-Dec-08","22","PercentageEPTTaxa"
"hrk000085","05-Dec-08","92","MCI"
"hrk000085","05-Feb-01","18","TaxaRichness"
"hrk000085","05-Feb-01","33","PercentageEPTTaxa"
"hrk000085","05-Feb-01","88","MCI"
"hrk000085","05-Oct-12","106","MCI"
"hrk000085","05-Oct-12","21","TaxaRichness"
"hrk000085","05-Oct-12","48","PercentageEPTTaxa"
"hrk000085","08-Feb-18","20","TaxaRichness"
"hrk000085","08-Feb-18","30","PercentageEPTTaxa"
"hrk000085","08-Feb-18","93","MCI"
"hrk000085","08-Mar-16","14","TaxaRichness"
"hrk000085","08-Mar-16","21","PercentageEPTTaxa"
"hrk000085","08-Mar-16","84","MCI"
"hrk000085","08-Nov-19","103","MCI"
"hrk000085","08-Nov-19","17","TaxaRichness"
"hrk000085","08-Nov-19","29","PercentageEPTTaxa"
"hrk000085","09-Oct-02","13","TaxaRichness"
"hrk000085","09-Oct-02","54","PercentageEPTTaxa"
"hrk000085","09-Oct-02","95","MCI"
"hrk000085","10-Nov-00","17","TaxaRichness"
"hrk000085","10-Nov-00","29","PercentageEPTTaxa"
"hrk000085","10-Nov-00","74","MCI"
"hrk000085","10-Oct-18","100","MCI"
"hrk000085","10-Oct-18","20","TaxaRichness"
"hrk000085","10-Oct-18","35","PercentageEPTTaxa"
"hrk000085","12-Feb-13","101","MCI"
"hrk000085","12-Feb-13","23","TaxaRichness"
"hrk000085","12-Feb-13","39","PercentageEPTTaxa"
"hrk000085","12-Mar-10","20","TaxaRichness"
"hrk000085","12-Mar-10","30","PercentageEPTTaxa"
"hrk000085","12-Mar-10","94","MCI"
"hrk000085","13-Nov-01","101","MCI"
"hrk000085","13-Nov-01","20","TaxaRichness"
"hrk000085","13-Nov-01","30","PercentageEPTTaxa"
"hrk000085","13-Nov-03","19","TaxaRichness"
"hrk000085","13-Nov-03","32","PercentageEPTTaxa"
"hrk000085","13-Nov-03","97","MCI"
"hrk000085","13-Oct-10","105","MCI"
"hrk000085","13-Oct-10","20","TaxaRichness"
"hrk000085","13-Oct-10","35","PercentageEPTTaxa"
"hrk000085","13-Oct-15","108","MCI"
"hrk000085","13-Oct-15","23","TaxaRichness"
"hrk000085","13-Oct-15","43","PercentageEPTTaxa"
"hrk000085","14-Dec-04","18","TaxaRichness"
"hrk000085","14-Dec-04","28","PercentageEPTTaxa"
"hrk000085","14-Dec-04","90","MCI"
"hrk000085","14-Sep-98","16","TaxaRichness"
"hrk000085","14-Sep-98","50","PercentageEPTTaxa"
"hrk000085","14-Sep-98","95","MCI"
"hrk000085","15-Dec-07","14","TaxaRichness"
"hrk000085","15-Dec-07","21","PercentageEPTTaxa"
"hrk000085","15-Dec-07","75","MCI"
"hrk000085","15-Feb-19","102","MCI"
"hrk000085","15-Feb-19","18","TaxaRichness"
"hrk000085","15-Feb-19","39","PercentageEPTTaxa"
"hrk000085","15-Mar-04","105","MCI"
"hrk000085","15-Mar-04","16","TaxaRichness"
"hrk000085","15-Mar-04","31","PercentageEPTTaxa"
"hrk000085","17-Feb-17","23","TaxaRichness"
"hrk000085","17-Feb-17","39","PercentageEPTTaxa"
"hrk000085","17-Feb-17","97","MCI"
"hrk000085","17-Oct-14","19","TaxaRichness"
"hrk000085","17-Oct-14","37","PercentageEPTTaxa"
"hrk000085","17-Oct-14","97","MCI"
"hrk000085","19-Feb-03","17","PercentageEPTTaxa"
"hrk000085","19-Feb-03","18","TaxaRichness"
"hrk000085","19-Feb-03","73","MCI"
"hrk000085","19-Feb-08","18","TaxaRichness"
"hrk000085","19-Feb-08","22","PercentageEPTTaxa"
"hrk000085","19-Feb-08","90","MCI"
"hrk000085","20-Mar-09","15","TaxaRichness"
"hrk000085","20-Mar-09","20","PercentageEPTTaxa"
"hrk000085","20-Mar-09","81","MCI"
"hrk000085","20-Mar-12","100","MCI"
"hrk000085","20-Mar-12","17","TaxaRichness"
"hrk000085","20-Mar-12","35","PercentageEPTTaxa"
"hrk000085","20-Nov-13","15","TaxaRichness"
"hrk000085","20-Nov-13","33","PercentageEPTTaxa"
"hrk000085","20-Nov-13","98","MCI"
"hrk000085","21-Feb-06","22","PercentageEPTTaxa"
"hrk000085","21-Feb-06","23","TaxaRichness"
"hrk000085","21-Feb-06","87","MCI"
"hrk000085","21-Feb-15","102","MCI"
"hrk000085","21-Feb-15","29","TaxaRichness"
"hrk000085","21-Feb-15","38","PercentageEPTTaxa"
"hrk000085","21-Jan-12","19","TaxaRichness"
"hrk000085","21-Jan-12","37","PercentageEPTTaxa"
"hrk000085","21-Jan-12","98","MCI"
"hrk000085","21-Jan-97","19","TaxaRichness"
"hrk000085","21-Jan-97","21","PercentageEPTTaxa"
"hrk000085","21-Jan-97","74","MCI"
"hrk000085","22-Mar-96","101","MCI"
"hrk000085","22-Mar-96","14","TaxaRichness"
"hrk000085","22-Mar-96","50","PercentageEPTTaxa"
"hrk000085","23-Dec-09","20","TaxaRichness"
"hrk000085","23-Dec-09","25","PercentageEPTTaxa"
"hrk000085","23-Dec-09","88","MCI"
"hrk000085","23-Feb-99","13","TaxaRichness"
"hrk000085","23-Feb-99","31","PercentageEPTTaxa"
"hrk000085","23-Feb-99","73","MCI"
"hrk000085","25-Oct-17","21","TaxaRichness"
"hrk000085","25-Oct-17","24","PercentageEPTTaxa"
"hrk000085","25-Oct-17","86","MCI"
"hrk000085","26-Feb-00","15","TaxaRichness"
"hrk000085","26-Feb-00","33","PercentageEPTTaxa"
"hrk000085","26-Feb-00","82","MCI"
"hrk000085","27-Feb-02","18","TaxaRichness"
"hrk000085","27-Feb-02","33","PercentageEPTTaxa"
"hrk000085","27-Feb-02","93","MCI"
"hrk000085","27-Sep-99","19","TaxaRichness"
"hrk000085","27-Sep-99","42","PercentageEPTTaxa"
"hrk000085","27-Sep-99","91","MCI"
"hrk000085","29-Jan-07","20","TaxaRichness"
"hrk000085","29-Jan-07","30","PercentageEPTTaxa"
"hrk000085","29-Jan-07","93","MCI"
"hrk000085","31-Aug-95","14","TaxaRichness"
"hrk000085","31-Aug-95","43","PercentageEPTTaxa"
"hrk000085","31-Aug-95","97","MCI"
"hrk000085","31-Oct-05","102","MCI"
"hrk000085","31-Oct-05","20","TaxaRichness"
"hrk000085","31-Oct-05","35","PercentageEPTTaxa"
"htk000350","02-Mar-11","103","MCI"
"htk000350","02-Mar-11","28","TaxaRichness"
"htk000350","02-Mar-11","39","PercentageEPTTaxa"
"htk000350","03-Feb-20","22","TaxaRichness"
"htk000350","03-Feb-20","36","PercentageEPTTaxa"
"htk000350","03-Feb-20","99","MCI"
"htk000350","04-Mar-13","104","MCI"
"htk000350","04-Mar-13","34","TaxaRichness"
"htk000350","04-Mar-13","41","PercentageEPTTaxa"
"htk000350","04-Nov-10","109","MCI"
"htk000350","04-Nov-10","24","TaxaRichness"
"htk000350","04-Nov-10","46","PercentageEPTTaxa"
"htk000350","06-Feb-03","25","TaxaRichness"
"htk000350","06-Feb-03","36","PercentageEPTTaxa"
"htk000350","06-Feb-03","93","MCI"
"htk000350","08-Feb-18","21","TaxaRichness"
"htk000350","08-Feb-18","48","PercentageEPTTaxa"
"htk000350","08-Feb-18","99","MCI"
"htk000350","08-Mar-16","26","TaxaRichness"
"htk000350","08-Mar-16","38","PercentageEPTTaxa"
"htk000350","08-Mar-16","97","MCI"
"htk000350","08-Nov-04","109","MCI"
"htk000350","08-Nov-04","26","TaxaRichness"
"htk000350","08-Nov-04","46","PercentageEPTTaxa"
"htk000350","08-Nov-19","109","MCI"
"htk000350","08-Nov-19","24","TaxaRichness"
"htk000350","08-Nov-19","42","PercentageEPTTaxa"
"htk000350","10-Nov-05","100","MCI"
"htk000350","10-Nov-05","28","TaxaRichness"
"htk000350","10-Nov-05","36","PercentageEPTTaxa"
"htk000350","10-Oct-18","113","MCI"
"htk000350","10-Oct-18","23","TaxaRichness"
"htk000350","10-Oct-18","57","PercentageEPTTaxa"
"htk000350","11-Feb-00","23","TaxaRichness"
"htk000350","11-Feb-00","26","PercentageEPTTaxa"
"htk000350","11-Feb-00","82","MCI"
"htk000350","11-Mar-97","25","TaxaRichness"
"htk000350","11-Mar-97","28","PercentageEPTTaxa"
"htk000350","11-Mar-97","86","MCI"
"htk000350","12-Feb-14","105","MCI"
"htk000350","12-Feb-14","31","TaxaRichness"
"htk000350","12-Feb-14","39","PercentageEPTTaxa"
"htk000350","12-Mar-10","100","MCI"
"htk000350","12-Mar-10","23","TaxaRichness"
"htk000350","12-Mar-10","39","PercentageEPTTaxa"
"htk000350","12-Oct-99","28","TaxaRichness"
"htk000350","12-Oct-99","36","PercentageEPTTaxa"
"htk000350","12-Oct-99","89","MCI"
"htk000350","13-Mar-02","31","TaxaRichness"
"htk000350","13-Mar-02","39","PercentageEPTTaxa"
"htk000350","13-Mar-02","99","MCI"
"htk000350","14-Feb-19","20","TaxaRichness"
"htk000350","14-Feb-19","30","PercentageEPTTaxa"
"htk000350","14-Feb-19","95","MCI"
"htk000350","14-Mar-04","105","MCI"
"htk000350","14-Mar-04","26","TaxaRichness"
"htk000350","14-Mar-04","50","PercentageEPTTaxa"
"htk000350","16-Nov-08","103","MCI"
"htk000350","16-Nov-08","22","TaxaRichness"
"htk000350","16-Nov-08","41","PercentageEPTTaxa"
"htk000350","16-Oct-15","120","MCI"
"htk000350","16-Oct-15","23","TaxaRichness"
"htk000350","16-Oct-15","57","PercentageEPTTaxa"
"htk000350","17-Feb-17","113","MCI"
"htk000350","17-Feb-17","24","TaxaRichness"
"htk000350","17-Feb-17","50","PercentageEPTTaxa"
"htk000350","17-Feb-99","22","TaxaRichness"
"htk000350","17-Feb-99","27","PercentageEPTTaxa"
"htk000350","17-Feb-99","84","MCI"
"htk000350","17-Nov-12","117","MCI"
"htk000350","17-Nov-12","23","TaxaRichness"
"htk000350","17-Nov-12","52","PercentageEPTTaxa"
"htk000350","17-Oct-14","104","MCI"
"htk000350","17-Oct-14","25","TaxaRichness"
"htk000350","17-Oct-14","48","PercentageEPTTaxa"
"htk000350","18-Nov-09","103","MCI"
"htk000350","18-Nov-09","26","TaxaRichness"
"htk000350","18-Nov-09","42","PercentageEPTTaxa"
"htk000350","19-Dec-06","114","MCI"
"htk000350","19-Dec-06","22","TaxaRichness"
"htk000350","19-Dec-06","50","PercentageEPTTaxa"
"htk000350","19-Nov-98","23","TaxaRichness"
"htk000350","19-Nov-98","35","PercentageEPTTaxa"
"htk000350","19-Nov-98","93","MCI"
"htk000350","20-Dec-01","103","MCI"
"htk000350","20-Dec-01","26","TaxaRichness"
"htk000350","20-Dec-01","38","PercentageEPTTaxa"
"htk000350","20-Mar-09","25","TaxaRichness"
"htk000350","20-Mar-09","32","PercentageEPTTaxa"
"htk000350","20-Mar-09","96","MCI"
"htk000350","20-Mar-12","112","MCI"
"htk000350","20-Mar-12","28","TaxaRichness"
"htk000350","20-Mar-12","43","PercentageEPTTaxa"
"htk000350","20-Nov-13","104","MCI"
"htk000350","20-Nov-13","28","TaxaRichness"
"htk000350","20-Nov-13","39","PercentageEPTTaxa"
"htk000350","21-Jan-12","108","MCI"
"htk000350","21-Jan-12","27","TaxaRichness"
"htk000350","21-Jan-12","44","PercentageEPTTaxa"
"htk000350","22-Feb-08","31","TaxaRichness"
"htk000350","22-Feb-08","35","PercentageEPTTaxa"
"htk000350","22-Feb-08","96","MCI"
"htk000350","22-Jan-98","26","TaxaRichness"
"htk000350","22-Jan-98","38","PercentageEPTTaxa"
"htk000350","22-Jan-98","96","MCI"
"htk000350","23-Oct-03","28","TaxaRichness"
"htk000350","23-Oct-03","39","PercentageEPTTaxa"
"htk000350","23-Oct-03","95","MCI"
"htk000350","25-Dec-96","27","TaxaRichness"
"htk000350","25-Dec-96","33","PercentageEPTTaxa"
"htk000350","25-Dec-96","91","MCI"
"htk000350","25-Nov-02","27","TaxaRichness"
"htk000350","25-Nov-02","41","PercentageEPTTaxa"
"htk000350","25-Nov-02","98","MCI"
"htk000350","25-Oct-17","118","MCI"
"htk000350","25-Oct-17","19","TaxaRichness"
"htk000350","25-Oct-17","58","PercentageEPTTaxa"
"htk000350","26-Feb-01","22","TaxaRichness"
"htk000350","26-Feb-01","36","PercentageEPTTaxa"
"htk000350","26-Feb-01","87","MCI"
"htk000350","26-Oct-00","23","TaxaRichness"
"htk000350","26-Oct-00","39","PercentageEPTTaxa"
"htk000350","26-Oct-00","95","MCI"
"htk000350","27-Feb-06","25","TaxaRichness"
"htk000350","27-Feb-06","32","PercentageEPTTaxa"
"htk000350","27-Feb-06","92","MCI"
"htk000350","28-Mar-07","26","TaxaRichness"
"htk000350","28-Mar-07","35","PercentageEPTTaxa"
"htk000350","28-Mar-07","95","MCI"
"htk000350","28-Oct-97","22","TaxaRichness"
"htk000350","28-Oct-97","50","PercentageEPTTaxa"
"htk000350","28-Oct-97","96","MCI"
"htk000350","31-Jan-05","104","MCI"
"htk000350","31-Jan-05","31","TaxaRichness"
"htk000350","31-Jan-05","42","PercentageEPTTaxa"
"htk000350","31-Jan-15","106","MCI"
"htk000350","31-Jan-15","31","TaxaRichness"
