RC_SID,Period,Easting,Northing,NZReach,Aquarius,LAWA_ID,Type,MCI_Actual,Richness,P_EPT1_r
BOP_NERM_001,2017-18,1893979.6,5812170.3,4002596,FO397216,EBOP-00105,Soft,108.7777778,18,50
BOP_NERM_002,2017-18,1891663.9,5812072.6,4002382,FO166207,EBOP-00106,Soft,103.3684211,19,36.84210526
BOP_NERM_003,2017-18,1904960.9,5810714.8,4002617,GO496071,EBOP-00107,Soft,101.9230769,26,46.15384615
BOP_NERM_004,2017-18,1889990.2,5811099.1,4002969,FO000114,EBOP-00108,Hard,134.7826087,23,60.86956522
BOP_NERM_005,2017-18,1891286.1,5814878.1,4002228,FO123493,EBOP-00109,Soft,96,13,46.15384615
BOP_NERM_006,2017-18,1885600.9,5807316.4,4003652,EN560731,EBOP-00110,Hard,137.6470588,34,67.64705882
BOP_NERM_007,2017-18,1924865.1,5800832,4004883,IN486083,EBOP-00111,Soft,119.6363636,22,50
BOP_NERM_008,2017-18,1929145.5,5792322.9,4006797,IM914232,EBOP-00112,Soft,122.1212121,33,57.57575758
BOP_NERM_009,2017-18,1903428,5806053.4,4003752,GN342605,EBOP-00113,Soft,94.31578947,19,31.57894737
BOP_NERM_010,2017-18,1900681.1,5801898.6,4004707,GN068189,EBOP-00114,Soft,114,25,36
BOP_NERM_011,2017-18,1917020.5,5779190.1,4010740,HK702919,EBOP-00115,Hard,126.1538462,26,46.15384615
BOP_NERM_012,2017-18,1908032.6,5784457.3,4008961,GL803445,EBOP-00116,Soft,124.5333333,15,66.66666667
BOP_NERM_013,2017-18,1884594.5,5769850.8,4013676,EJ459985,EBOP-00117,Soft,112.7619048,21,57.14285714
BOP_NERM_014,2017-18,1882062.9,5774088.6,4012441,EK206408,EBOP-00118,Soft,117.4166667,24,45.83333333
BOP_NERM_015,2017-18,1893365.9,5770937.4,4013582,FK336093,EBOP-00119,Soft,106.3333333,18,38.88888889
BOP_NERM_016,2017-18,1890192.6,5775228.5,4011992,FK019522,EBOP-00079,Soft,112.4,20,40
BOP_NERM_019,2017-18,1930461,5755979,4018298,JI046597,EBOP-00123,Hard,136.6666667,30,66.66666667
BOP_NERM_020,2017-18,1904162.7,5753358.2,4018810,GI416335,EBOP-00124,Soft,100.0909091,22,40.90909091
BOP_NERM_021,2017-18,1933624.8,5754074.2,4018783,JI362407,EBOP-00125,Soft,127.6,15,60
BOP_NERM_022,2017-18,1920943.3,5772693.1,4012847,IK094269,EBOP-00126,Soft,120.3703704,27,51.85185185
BOP_NERM_023,2017-18,1920741.9,5775055.2,4012161,IK074505,EBOP-00127,Hard,122.962963,27,55.55555556
BOP_NERM_024,2017-18,1912214.2,5773247.8,4012778,HK221324,EBOP-00128,Hard,122.6086957,23,56.52173913
BOP_NERM_025,2017-18,1950844.8,5790783.7,4007250,LM085075,EBOP-00129,Soft,119.5,24,54.16666667
BOP_NERM_025.1,2017-18,1951465.9,5789871.5,4007441,LL146987,EBOP-00130,Soft,116.3157895,19,68.42105263
BOP_NERM_025.2,2017-18,1949831.3,5790359.6,4007324,KM983036,EBOP-00131,Soft,86.14814815,27,33.33333333
BOP_NERM_026,2017-18,1942462.5,5787848.8,4007917,KL246784,EBOP-00132,Soft,98,16,31.25
BOP_NERM_027,2017-18,1930749.4,5794764.9,4005938,JM074476,EBOP-00133,Soft,82.375,16,31.25
BOP_NERM_028,2017-18,1927968.4,5795513.4,4006018,IM796551,EBOP-00134,Soft,118.8421053,19,47.36842105
BOP_NERM_029,2017-18,1920234.6,5800107.1,4004837,IN023010,EBOP-00135,Soft,116.4827586,29,58.62068966
BOP_NERM_031,2017-18,1915899.2,5797019.5,4005570,HM600703,EBOP-00137,Soft,119.9090909,22,45.45454545
