"SiteID","CouncilSiteID","LawaSiteID","Macro","Region","Agency","SWQLanduse","SWQAltitude","Lat","Long"
"ngakaroa ltb","1043824","arc-00009",FALSE,"auckland","ac",NA,"Unstated",-37.1954715941643,174.973634380558
"vaughan lower","7527","arc-00024",FALSE,"auckland","ac",NA,"Unstated",-36.6843809245859,174.739454858364
"nukumea upper","7171","arc-00038",FALSE,"auckland","ac","forest","upland",-36.5711630781172,174.66982770771
"cascades ltb","44618","arc-00001",FALSE,"auckland","ac",NA,"Unstated",-36.8888897276789,174.522114739379
"kumeu @ weza","45369","arc-00003",FALSE,"auckland","ac",NA,"Unstated",-36.7761949059392,174.560030905611
"matakana ltb","6604","arc-00008",FALSE,"auckland","ac",NA,"Unstated",-36.3450174080717,174.711828900139
"oakley ltb","8177","arc-00010",FALSE,"auckland","ac",NA,"Unstated",-36.8761606721293,174.704774371726
"opanuku stream","7925","arc-00013",FALSE,"auckland","ac",NA,"Unstated",-36.894914600398,174.594663650363
"otara ck kennel hill","8241","arc-00016",FALSE,"auckland","ac",NA,"Unstated",-36.9557021247356,174.890620893947
"oteha ltb","107801","arc-00017",FALSE,"auckland","ac",NA,"Unstated",-36.7376890890641,174.701336946892
"papakura ltb","1043825","arc-00021",FALSE,"auckland","ac",NA,"Unstated",-37.0281570217399,174.92321720323
"wairoa ltb","8553","arc-00025",FALSE,"auckland","ac",NA,"Unstated",-37.0119701605855,175.053337256477
"west hoe ltb","7213","arc-00027",FALSE,"auckland","ac",NA,"Unstated",-36.5784732643224,174.657568393706
"waitangi stream","43601","arc-00028",FALSE,"auckland","ac",NA,"Unstated",-37.2270234530618,174.739817460997
"wairoa @ caitchen rd trib","8569","arc-00030",FALSE,"auckland","ac",NA,"Unstated",-37.0924583719574,175.101432631445
"riverhead forest stream","45371","arc-00031",FALSE,"auckland","ac",NA,"Unstated",-36.7368760528028,174.535816947487
"papakura trib @ alfriston","1043835","arc-00037",FALSE,"auckland","ac",NA,"Unstated",-37.0197040394099,174.92814078863
"duck creek @ trotters","6606","arc-00113",FALSE,"auckland","ac",NA,"Unstated",-36.3989851419417,174.701750174899
"duders","8407","arc-00114",FALSE,"auckland","ac",NA,"Unstated",-36.9062529391449,175.083136483349
"dyers creek @ mid paddock","6852","arc-00115",FALSE,"auckland","ac",NA,"Unstated",-36.4587731923276,174.684141547227
"eskdale lower","7722","arc-00116",FALSE,"auckland","ac",NA,"Unstated",-36.7926034027674,174.708658714026
"lucas ltb @ tennis","7899","arc-00124",FALSE,"auckland","ac",NA,"Unstated",-36.7231426890407,174.699325197129
"mahu reference @ trappit","6862","arc-00125",FALSE,"auckland","ac",NA,"Unstated",-36.4453355972646,174.662105928538
"mahurangi ltb","6850","arc-00126",FALSE,"auckland","ac",NA,"Unstated",-36.4499486809684,174.647308788846
"marawhara","44460","arc-00128",FALSE,"auckland","ac",NA,"Unstated",-36.9401216576628,174.46857112482
"motutapu","7407","arc-00131",FALSE,"auckland","ac",NA,"Unstated",-36.7687672968808,174.925455569243
"mt auckland","45605","arc-00132",FALSE,"auckland","ac",NA,"Unstated",-36.4576840422337,174.460291306415
"okura trib 2","7315","arc-00134",FALSE,"auckland","ac",NA,"Unstated",-36.6842760278705,174.708732085917
"okura trib 1","7314","arc-00135",FALSE,"auckland","ac",NA,"Unstated",-36.6821415106051,174.724240500296
"orere b","8609","arc-00138",FALSE,"auckland","ac",NA,"Unstated",-36.9924392470383,175.212774524875
"otanerua","7172","arc-00139",FALSE,"auckland","ac",NA,"Unstated",-36.5637353885856,174.67433854996
"puhinui upper (hard)","1043828","arc-00141",FALSE,"auckland","ac",NA,"Unstated",-37.0011683693927,174.91117596724
"vaughan upper","7526","arc-00146",FALSE,"auckland","ac",NA,"Unstated",-36.6895320333658,174.726778271552
"wekatahi","44470","arc-00148",FALSE,"auckland","ac",NA,"Unstated",-36.9429717471456,174.47714906939
"avondale @ reserve","8023","lawa-102236",FALSE,"auckland","ac",NA,"Unstated",-36.9342024082176,174.666387006265
"avondale @ thuja pl","8022","lawa-102238",FALSE,"auckland","ac",NA,"Unstated",-36.9293968579647,174.678643586042
"avondale @ shadbolt","8019","arc-00036",FALSE,"auckland","ac","urban","lowland",-36.9232796028548,174.69177897747
"makarau @ rail bridge","45505","arc-00033",FALSE,"auckland","ac","rural","lowland",-36.5566003309383,174.520676593504
"auckland domain @ lower domain","108123","lawa-102723",FALSE,"auckland","ac","urban","lowland",-36.5543995371126,174.550225463679
"anns creek @ hamlins hill","44030","lawa-102722",FALSE,"auckland","ac","urban","lowland",-36.5527358021313,174.493730331329
"castor @ braemar","7548","lawa-102725",FALSE,"auckland","ac","urban","lowland",-36.452116325762,174.454013771431
"dyers creek @ bush","6847","lawa-102726",FALSE,"auckland","ac","rural","lowland",-36.2735438597175,174.41070443013
"edgar @ maxwell av","10713","lawa-102727",FALSE,"auckland","ac","urban","lowland",-36.5127827101535,174.433792300902
"kaitoke creek @ hotsprings tk","6990","lawa-102728",FALSE,"auckland","ac","forest","lowland",-36.134601816445,175.252598582429
"la rosa reserve tr (south stream)","8026","lawa-102731",FALSE,"auckland","ac","urban","lowland",-36.5541285063134,174.403190424273
"meola ck @ motions rd","8106","lawa-102732",FALSE,"auckland council","ac","urban","lowland",-36.5154054795847,174.430499103602
"oakley @ beagle road","108144","lawa-102734",FALSE,"auckland","ac","urban","lowland",-36.5034550856739,176.580350182093
"oakley @ richardson road","8128","lawa-102735",FALSE,"auckland","ac","urban","lowland",-36.5350649343927,174.431057874302
"oakley creek @ may road","10812","lawa-102738",FALSE,"auckland","ac","urban","lowland",-36.5412706348155,174.44139902433
"tararata creek @ elmdon street","43929","lawa-102740",FALSE,"auckland","ac","urban","lowland",-36.5734092560525,174.473603086499
"te muri @ fenceline","6996","lawa-102741",FALSE,"auckland","ac","rural","lowland",-36.3044876113982,174.42206671952
"te muri @ weir","6995","lawa-102742",FALSE,"auckland","ac","rural","lowland",-36.3047649105152,174.420436627198
"botany creek @ tangello place","8268","lawa-102724",FALSE,"auckland","ac","urban","lowland",-36.5342729139629,174.533367046736
"kaukapakapa ref","45416","lawa-102729",FALSE,"auckland","ac","forest","lowland",-36.3748482477669,174.273961789863
"la rosa reserve tl (north stream)","8027","lawa-102730",FALSE,"auckland","ac","urban","lowland",-36.5542896648757,174.402801334279
"newmarket stream @ ayr street","8176","lawa-102733",FALSE,"auckland council","ac","urban","lowland",-36.5151302690798,174.469858110965
"oakley @ walmsley park","108127","lawa-102736",FALSE,"auckland","ac","urban","lowland",-36.5355510519576,174.433912445308
"oakley @ war memorial park","108126","lawa-102737",FALSE,"auckland council","ac","urban","lowland",-36.5408457413324,174.439655639053
"tryphena @ medlands rd","6931","lawa-102743",FALSE,"auckland","ac","rural","lowland",-36.1753721600925,175.291343400279
"whangamarie stream @ hunter rd","43822","lawa-102744",FALSE,"auckland","ac","rural","lowland",-37.1116129626056,174.519828678258
"aongatete at above pine ridge lane","BQ964696","ebop-00165",FALSE,"bay of plenty","boprc","urban","lowland",-37.397742403468,175.933099221882
"awakaponga at manawahe rd","IM796551","ebop-00134",FALSE,"bay of plenty","boprc","rural","lowland",-37.9288200408995,176.731258024931
"awakaponga at sh2","JM074476","ebop-00133",FALSE,"bay of plenty","boprc","rural","lowland",-37.9345403211481,176.763178040202
"awatarariki at above sh2","IM920999","ebop-00156",FALSE,"bay of plenty","boprc","forest","lowland",-37.888026888724,176.74326746494
"boyd east (quarry) 700m u/s boyd confluence","BQ589878","ebop-00168",FALSE,"bay of plenty","boprc","rural","lowland",-37.5624881371204,175.897172616537
"buddles at fenton mill rd","IK074505","ebop-00127",FALSE,"bay of plenty","boprc","forest","lowland",-38.1154061544531,176.658353653195
"flaxy creek at kaingaroa forest","GD792833","ebop-00208",FALSE,"bay of plenty","boprc","forest","upland",-38.7200318538799,176.541585421987
"haumea at haumea rd","IH854541","ebop-00146",FALSE,"bay of plenty","boprc","rural","upland",-38.3791863492847,176.760910896845
"hikurangi at grant rd","JH152875","ebop-00145",FALSE,"bay of plenty","boprc","rural","upland",-38.3480691198663,176.793431007138
"kaikokopu u/s waerenga rd","GO496071","ebop-00107",FALSE,"bay of plenty","boprc","rural","lowland",-37.8000597774489,176.463552432463
"kaipara at tarawera falls rd","HK221324","ebop-00128",FALSE,"bay of plenty","boprc","forest","lowland",-38.134647699604,176.562050498868
"kaitemako at welcome bay rd","DO960965","ebop-00185",FALSE,"bay of plenty","boprc","urban","lowland",-37.7277072351003,176.172602526316
"kaituna trib at maungarangi rd","FN483016","lawa-100486",FALSE,"bay of plenty","boprc","forest","lowland",-37.8982906210395,176.353042969189
"kakahotoa at omataroa forest","JK670713","lawa-100488",FALSE,"bay of plenty","boprc","forest","upland",-38.0908762673173,176.839110890288
"karaponga at mcivor rd","IL616616","ebop-00160",FALSE,"bay of plenty","boprc","rural","lowland",-38.0135717093585,176.715004381314
"raparapahoe at te puke highway","FO123493","ebop-00109",FALSE,"bay of plenty","boprc","rural","lowland",-37.7665584129772,176.306154584741
"kopua at sh35","RO685757","lawa-100494",FALSE,"bay of plenty","boprc","rural","lowland",-37.6943116628298,177.727012095527
"kopurererua trib at sh29","DO466896","ebop-00187",FALSE,"bay of plenty","boprc","rural","lowland",-37.7354223292293,176.116831561852
"kotorenui at kotorenui rd","KK231108","lawa-100501",FALSE,"bay of plenty","boprc","forest","lowland",-38.1432245471255,176.905843531758
"kutarere at sh2","ML366042","ebop-00175",FALSE,"bay of plenty","boprc","rural","lowland",-38.0508601006698,177.14404003165
"lake okataina trib at western okataina track","GK027882","ebop-00121",FALSE,"bay of plenty","boprc","forest","upland",-38.0885064829066,176.423686697277
"lake okareka trib at millar rd mci","FK336093","ebop-00119",FALSE,"bay of plenty","boprc","rural","upland",-38.1617618808697,176.348314564689
"lake rotoehu trib at sh30","GL803445","ebop-00116",FALSE,"bay of plenty","boprc","forest","upland",-38.035249871518,176.509603021759
"mangaharakeke u/s pokairoa confluence","II633291","ebop-00206",FALSE,"bay of plenty","boprc","forest","upland",-38.3125563010494,176.732149578353
