Date,Site code,Taxa,Acanthophlebia cruentata,Acarina,Acroperla trivacuata ,Ameletopsis percitus ,Amphipoda,Aoteapsyche spp. ,Aphrophila spp.,Archichauliodes diversus,Atalophlebioides cromwelli,Austroclima spp.,Austronella planulata,Austropeplea,Austroperla cyrene,Austrosimulium spp.,Beraeoptera roria,Berosus sp.,Blephariceridae,Ceratopogonidae,Chironomini,Coloburiscus humeralis,Confluens spp.,Costachorema spp,Culicidae,Deleatidium spp.,Diamesinae,Dixidae,Dytiscidae,Hydraenidae,Elmidae,Empididae,Ephydridae,Eriopterini,Ferrissia,Glyptophysa (formerly Physastra) ,Gyraulus,Hydrobiosis spp. ,Helicopsyche spp,Hexatomini,Hirudinea,Hudsonema spp.,Hydrobiosella spp.,Hydrobiosidae,Hydrochorema spp.,Hydrophilidae,Hygraula nitens,Ichthybotus spp,Isopoda,Latia neritoides,Limonia nigrescens,Oligochaeta,Lymnaeidae,Mauiulus spp.,Megaleptoperla spp.,Microvelia,Molophilus,Muscidae,Nematoda,Nematomorpha,Nemertea,Namalycastis sp.,Neozephlebia scita,Nesameletus spp.,Neurochorema spp.,Osmylidae,Oeconesus sp,Olinga,Oniscigaster,Orthocladiinae,Orthopsyche spp. ,Ostracoda,Oxyethira albiceps,Oecetis unicolor ,Philorheithrus agilis,Psilochorema spp.,Paralimnophila sp.,Paranephrops spp.,Paratya curvirostris,Paroxyethira spp.,Peleocorhynchidae,Physa acuta,Polycentropodidae,Podonominae,Potamopyrgus antipodarum,Psychodidae,Ptilodactylidae,Pycnocentrella eruensis,Pycnocentria sp.,Pycnocentrodes spp.,Rallidens mcfarlanei,Saldula sp.,Sciomyzidae,Scirtidae,Sigara sp. ,Spaniocerca zelandica,Sphaeriidae,Staphylinidae,Stenoperla spp.,Stratiomyidae,Tanais stanfordi,Tabanidae,Tanyderidae,Tanypodinae,Tanytarsini spp.,Taraperla sp. ,Platyhelminthes,Triplectides spp. ,Triplectidina sp.,Xanthocnemis zealandica,Zelandobius spp.,Zelandoperla spp.,Zelandoptila moselyi,Zelandotipula sp.,Zephlebia spp.,
,,MCI,7,5,9,10,5,4,5,7,9,9,7,,9,3,8,5,7,3,1,9,5,7,3,8,4.5,4,6,8,6,3,4,9,3,3,3,6,10,5,3,6,9,6,9,5,4,8,5,3,6,1,3,5,9,5,5,3,3,3,3,3,7,9,6,,9,9,10,2,9,3,2,2,8,8,6,5,5,2,,3,8,,4,1,8,9,7,5,9,,3,8,5,8,3,5,10,5,4,3,,5,3,7,3,5,5,5,5,10,8,6,7,
Date,Site code,Group,Ephemeroptera,Acarina,Plecoptera,Ephemeroptera,Amphipoda ,Trichoptera,Diptera,Megaloptera,Ephemeroptera,Ephemeroptera,Ephemeroptera,Mollusca,Plecoptera,Diptera,Trichoptera,Coleoptera,Diptera,Diptera,Diptera,Ephemeroptera,Trichoptera,Trichoptera,Diptera,Ephemeroptera,Diptera,Diptera,Coleoptera,Coleoptera,Coleoptera,Diptera,Diptera,Diptera,Mollusca   ,Mollusca   ,Mollusca,Trichoptera,Trichoptera,Diptera,Hirudinea,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Coleoptera,Lepidoptera,Ephemeroptera,Crustacea,Mollusca,Diptera,Oligochaeta,Mollusca,Ephemeroptera,Plecoptera,Hemiptera,Diptera,Diptera,Nematoda,Nematomorpha,Nemertea,Polychaete,Ephemeroptera,Ephemeroptera,Trichoptera,Neuroptera,Trichoptera,Trichoptera,Ephemeroptera,Diptera,Trichoptera,Crustacea,Trichoptera,Trichoptera,Trichoptera,Trichoptera,Diptera,Crustacea,Crustacea,Trichoptera,Diptera,Mollusca,Trichoptera,Diptera,Mollusca,Diptera,Coleoptera,Trichoptera,Trichoptera,Trichoptera,Ephemeroptera,Hemiptera,Diptera,Coleoptera,Hemiptera,Plecoptera,Mollusca,Coleoptera,Plecoptera,Diptera,Crustacea,Diptera,Diptera,Diptera,Diptera,Plecoptera,Platyhelminthes,Trichoptera,Trichoptera,Odonata,Plecoptera,Plecoptera,Trichoptera,Diptera,Ephemeroptera,
28/03/1990,AX1,1990,0,0,0,0,0,5,0,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,61,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,
28/03/1990,AX2,1990,0,0,0,0,0,567,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,11,0,80,4,0,0,0,0,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,21,3,0,0,0,
28/03/1990,AX3,1990,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,68,0,0,0,0,5,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,
28/03/1990,AX4,1990,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
21/02/1990,CH1,1990,0,0,0,0,0,59,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,135,0,0,0,0,40,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,18,0,3,0,0,1,0,0,4,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,
21/02/1990,CH2,1990,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,470,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,29,7,0,0,0,0,0,0,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,0,0,
07/03/1990,CH3,1990,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,1,0,0,0,0,
21/02/1990,CH4,1990,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,14,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,160,0,0,0,0,0,0,0,0,0,0,
