"SiteID","CouncilSiteID","LawaSiteID","Macro","Region","Agency","SWQLanduse","SWQAltitude","Lat","Long"
"Waiharakeke at Stringers Road","100007","NRC-00028",FALSE,"northland","nrc","rural","lowland",-35.39381151,174.01971179
"Hatea at Mair Park","100194","NRC-00019",FALSE,"northland","nrc","urban","lowland",-35.71100271,174.32972329
"Mangahahuru at Main Road","100237","NRC-00013",FALSE,"northland","nrc","forest","lowland",-35.63994339,174.31310476
"Mangahahuru at Apotu Road","100281","NRC-00014",FALSE,"northland","nrc","rural","lowland",-35.61771787,174.26008474
"Awanui at FNDC","100363","NRC-00016",FALSE,"northland","nrc","rural","lowland",-35.12158307,173.27541636
"Awanui at Waihue Channel","100370","NRC-00017",FALSE,"northland","nrc","rural","lowland",-35.10803978,173.22728661
"Mangakahia at Titoki","101038","NRWQN-00021",FALSE,"northland","nrc","rural","lowland",-35.73415795,174.05051642
"Waipapa at Landing","101524","NRC-00031",FALSE,"northland","nrc","rural","lowland",-35.20326296,173.96839515
"Kerikeri at Stone Store","101530","NRC-00021",FALSE,"northland","nrc","rural","lowland",-35.21718382,173.96285807
"Mangere at Knight Road","101625","NRC-00001",FALSE,"northland","nrc","rural","lowland",-35.69795439,174.1449511
"Wairua at Purua","101753","NRWQN-00022",FALSE,"northland","nrc","rural","lowland",-35.65281793,174.15189542
"Waiotu at SH1","102248","NRC-00012",FALSE,"northland","nrc","rural","lowland",-35.53221197,174.22856874
"Whakapara at Cableway","102249","NRC-00011",FALSE,"northland","nrc","rural","lowland",-35.54190088,174.27149499
"Kaihu at Gorge","102256","NRC-00006",FALSE,"northland","nrc","rural","lowland",-35.76264196,173.68526146
"Manganui at Mititai Road","102257","NRC-00002",FALSE,"northland","nrc","rural","lowland",-35.96148471,174.11295815
"Opouteke at Suspension Bridge","102258","NRC-00008",FALSE,"northland","nrc","forest","lowland",-35.69565634,173.86768807
"Kaeo at Dip Road","102674","NRC-00020",FALSE,"northland","nrc","rural","lowland",-35.09785338,173.77159365
"Waitangi at Waimate North Road","103178","NRC-00010",FALSE,"northland","nrc","rural","lowland",-35.29616152,173.90069715
"Waipoua at SH12","103304","NRC-00007",FALSE,"northland","nrc","forest","lowland",-35.65250409,173.57039274
