"CouncilSiteID","SiteID","LawaSiteID","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Catchment","Lat","Long","accessDate","Landcover","Altitude","Order","StreamOrder"
"1043824","ngakaroa @ mills road","arc-00009",2009507,"auckland","ac","","","ngakaroa stream",-37.1954715941643,174.973634380558,"24-Jul-2020","P",165,"3","3"
"7527","vaughan lower","arc-00024",2004122,"auckland","ac","","","vaughans stream",-36.6843809245859,174.739454858364,"24-Jul-2020","P",33.5,"2","1&2"
"45505","makarau @ rail bridge","arc-00033",2002945,"auckland","ac","lowland","rural","makarau river",-36.5566003309383,174.520676593504,"24-Jul-2020","P",31,"5","4"
"8019","avondale @ shadbolt","arc-00036",2006297,"auckland","ac","lowland","urban","avondale",-36.9232796028548,174.69177897747,"24-Jul-2020","U",34,"2","3"
"7171","nukumea upper","arc-00038",2003052,"auckland","ac","upland","reference","nukumea",-36.5711630781172,174.66982770771,"24-Jul-2020","S",84.25,"1","1&2"
"44618","cascades ltb","arc-00001",2005866,"auckland","ac","","","cascade stream",-36.8888897276789,174.522114739379,"24-Jul-2020","IF",64,"2","4"
"45369","kumeu @ weza","arc-00003",2004945,"auckland","ac","","","kumeu river",-36.7761949059392,174.560030905611,"24-Jul-2020","P",37.75,"4","4&1"
"6604","matakana ltb","arc-00008",2001381,"auckland","ac","","","matakana river",-36.3450174080717,174.711828900139,"24-Jul-2020","P",39,"4","1"
"8177","oakley ltb","arc-00010",2005765,"auckland","ac","","","oakley creek",-36.8761606721293,174.704774371726,"24-Jul-2020","U",30,"3","3"
"7308","awanohi lower","arc-00011",2004093,"auckland","ac","","","okura creek",-36.6851870078904,174.69481873097,"24-Jul-2020","P",48,"3","2"
"7925","opanuku stream","arc-00013",2005960,"auckland","ac","","","opanuku stream",-36.894914600398,174.594663650363,"24-Jul-2020","IF",44,"4","3"
"8241","otara ck kennel hill","arc-00016",2006642,"auckland","ac","","","otara creek",-36.9557021247356,174.890620893947,"24-Jul-2020","P",19,"3","3"
"107801","oteha ltb","arc-00017",2004609,"auckland","ac","","","lucas creek",-36.7376890890641,174.701336946892,"24-Jul-2020","U",67.5,"3","3"
"1043825","papakura ltb","arc-00021",2007536,"auckland","ac","","","papakura stream",-37.0281570217399,174.92321720323,"24-Jul-2020","P",17,"4","4"
"1043826","puhinui ltb","arc-00022",2007136,"auckland","ac","","","puhinui stream",-36.9927328887592,174.870402093616,"24-Jul-2020","U",20,"3","3"
"8553","wairoa ltb","arc-00025",2007413,"auckland","ac","","","wairoa river",-37.0119701605855,175.053337256477,"24-Jul-2020","P",27,"5","5"
"7213","west hoe ltb","arc-00027",2003137,"auckland","ac","","","west hoe stream",-36.5784732643224,174.657568393706,"24-Jul-2020","S",84,"1","2"
"43601","waitangi stream","arc-00028",2009665,"auckland","ac","","","waitangi stream",-37.2270234530618,174.739817460997,"24-Jul-2020","P",23.25,"3","3&1"
"8569","wairoa @ caitchen rd trib","arc-00030",2008323,"auckland","ac","","","wairoa river",-37.0924583719574,175.101432631445,"24-Jul-2020","IF",221,"2","2"
"45371","riverhead forest stream","arc-00031",2004547,"auckland","ac","","","kumeu river",-36.7368760528028,174.535816947487,"24-Jul-2020","EF",104,"2","1&2"
"1043835","papakura trib @ alfriston","arc-00037",2007478,"auckland","ac","","","papakura stream",-37.0197040394099,174.92814078863,"24-Jul-2020","P",30,"2","2"
"45368","ararimu @ old north road","arc-00042",2004627,"auckland","ac","","","kumeu river",-36.7434837330767,174.511139902912,"24-Jul-2020","P",19,"5","5"
"8557","aroaro @ phillips","arc-00104",2007239,"auckland","ac","","","wairoa river",-36.9957299143454,175.13399247532,"24-Jul-2020","P",78,"3","3"
"7309","awanohi mid","arc-00106",2004217,"auckland","ac","","","okura creek",-36.6943612861439,174.686054594388,"24-Jul-2020","P",72.5,"2","2&1"
"7311","awanohi upper 1","arc-00108",2004276,"auckland","ac","","","okura creek",-36.7023193313268,174.680396321662,"24-Jul-2020","S",91,"1","1"
"45742","awarere @ dibble","arc-00110",2001550,"auckland","ac","","","hoteo river",-36.370029122108,174.567563831022,"24-Jul-2020","EF",170,"3","3"
"7524","campbell's bay","arc-00111",2004710,"auckland","ac","","","campbell's bay",-36.7507466030539,174.759198694159,"24-Jul-2020","U",28,"1","1"
"7721","chatswood","arc-00112",2005346,"auckland","ac","","","chatswood",-36.8172803249653,174.713826067478,"24-Jul-2020","U",57,"1","1&2"
