"agency","23Jun20","25Jun20","03Jul20","09Jul20","16Jul20","24Jul20","29Jul20","31Jul20"
"ac",0,0,0,0,0,61,59,57
"boprc",129,129,129,134,134,134,134,134
"ecan",134,134,134,134,134,134,134,134
"es",87,87,87,87,87,87,87,87
"gdc",80,80,80,80,80,80,80,80
"gwrc",53,53,53,53,53,53,53,53
"hbrc",71,71,83,83,83,82,80,80
"hrc",81,81,81,81,81,81,89,0
"mdc",31,31,31,31,31,31,31,31
"ncc",26,26,26,26,26,26,26,26
"niwa",0,0,0,0,0,0,0,0
"nrc",19,19,19,19,19,19,19,19
"orc",30,30,30,30,30,30,30,30
"tdc",25,25,25,25,25,25,25,25
"trc",60,60,60,60,60,60,60,60
"wcrc",34,34,34,34,34,34,34,34
"wrc",0,74,74,74,74,74,74,74
