"agency","23Jun20","25Jun20","03Jul20","09Jul20","16Jul20","24Jul20","29Jul20","31Jul20","14Aug20"
"ac",0,0,0,0,0,41,36,35,35
"boprc",47,47,47,47,47,47,47,47,55
"ecan",183,183,184,184,184,184,184,184,184
"es",60,60,60,60,60,60,60,60,60
"gdc",39,39,39,39,39,39,39,39,39
"gwrc",43,43,43,43,43,43,43,43,43
"hbrc",71,71,85,85,85,85,85,85,86
"hrc",138,138,138,138,138,138,138,138,137
"mdc",32,32,32,32,32,32,32,32,32
"ncc",25,25,25,25,25,25,25,25,25
"niwa",77,77,77,77,77,77,77,77,77
"nrc",32,32,32,32,32,32,32,32,32
"orc",50,50,50,50,50,50,50,50,50
"tdc",26,26,26,26,26,26,26,26,26
"trc",22,22,22,22,22,22,22,22,22
"wcrc",38,38,38,38,38,38,38,38,38
"wrc",0,108,108,108,108,108,108,108,108
