"LawaSiteID","CouncilSiteID","SiteID","Year","NitrateMed","NitrateMed_Band","Nitrate95","Nitrate95_Band","Nitrate_Toxicity_Band","NitrateAnalysisNote","AmmoniacalMed","AmmoniacalMed_Band","Ammoniacal95","Ammoniacal95_Band","Ammonia_Toxicity_Band","AmmoniaAnalysisNote","E_coli_Period","E_coli_Median","E_coli_Median_Band","E_coli95","E_coli95_Band","E_coliRecHealth540","E_coliRecHealth540_Band","E_coliRecHealth260","E_coliRecHealth260_Band","E_coliSummaryband","E_coliAnalysisNote","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Lat","Long","accessDate","Landcover","Altitude","AltitudeCl"
"arc-00082","AK2","Rangitopuni at Walkers (NRWQN) (AK2)","Overall",NA,NA,NA,NA,NA,"n = 0 Insufficient  to calculate annual medians ",0.0097799511002445,"A",0.0172492344481787,"A","A","",6,185,"D",3072.25,"DE",15.4929577464789,"C",36.6197183098592,"D","D","",2004645,"auckland","niwa","Lowland","Rural",-36.7442817687988,174.617904663086,"2019-07-11","Rural",27,"Lowland"
"ccc-00001","AVON05","wairarapa stream","Overall",0.835,"A",1.3,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,190,"D",643,"BC",13.3333333333333,"C",36.6666666666667,"D","D","",46010,"canterbury","ecan","lowland","Urban",-43.5222119317298,172.607012899531,"23-Jun-2020","Urban",7,"Lowland"
"ccc-00002","AVON06","waimairi stream","Overall",1.6365,"B",2.4092,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,230,"D",2110,"DE",16.6666666666667,"C",41.6666666666667,"D","D","",46105,"canterbury","ecan","lowland","Urban",-43.5233902165382,172.606782674794,"23-Jun-2020","Urban",7,"Lowland"
"ccc-00003","AVON07","avon river at mona vale","Overall",2.1005,"B",3.102,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,270,"DE",1810,"DE",16.6666666666667,"C",48.3333333333333,"D","D","",46105,"canterbury","ecan","lowland","Urban",-43.5245285539517,172.608036996872,"23-Jun-2020","Urban",7,"Lowland"
"ccc-00004","AVON12","avon river at carlton mill corner","Overall",1.4545,"B",2.0676,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,320,"DE",1700,"DE",13.3333333333333,"C",56.6666666666667,"DE","D","",46032,"canterbury","ecan","lowland","Urban",-43.5226691608001,172.625402289893,"23-Jun-2020","Urban",5,"Lowland"
"ccc-00005","AVON08","riccarton main drain","Overall",2.695,"C",3.406,"B","C","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,220,"D",24000,"DE",20,"CD",36.6666666666667,"D","D","",46403,"canterbury","ecan","lowland","Urban",-43.53364735907,172.616452586676,"23-Jun-2020","Urban",5,"Lowland"
"ccc-00006","AVON09","addington brook","Overall",1.1,"B",1.5367,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,410,"DE",10020,"DE",43.3333333333333,"E",58.3333333333333,"DE","E","",46643,"canterbury","ecan","lowland","Urban",-43.5355540897489,172.621488125689,"23-Jun-2020","Urban",5,"Lowland"
"ccc-00007","AVON04","avon river at manchester street","Overall",1.2845,"B",1.7281,"B","B","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,310,"DE",1020,"C",18.3333333333333,"C",50,"D","D","",46232,"canterbury","ecan","lowland","Urban",-43.5297168443237,172.639621835872,"23-Jun-2020","Urban",0,"Lowland"
"ccc-00008","AVON10","dudley creek","Overall",0.315,"A",0.52,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,960,"DE",4690,"DE",71.6666666666667,"E",93.3333333333333,"DE","E","",45694,"canterbury","ecan","lowland","Urban",-43.5147495497519,172.660548678238,"23-Jun-2020","Urban",0,"Lowland"
"ccc-00009","AVON03","avon river at dallington terrace/gayhurst road","Overall",1,"A",1.4,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,200,"D",1360,"DE",21.6666666666667,"D",43.3333333333333,"D","D","",45769,"canterbury","ecan","lowland","Urban",-43.5232541352865,172.672709377272,"23-Jun-2020","Urban",0.424641758204,"Lowland"
"ccc-00010","AVON11","horseshoe lake discharge","Overall",0.28,"A",1.043,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,650,"DE",3740,"DE",58.3333333333333,"E",85,"DE","E","",45487,"canterbury","ecan","lowland","Urban",-43.5045155077624,172.682479186561,"23-Jun-2020","Urban",2,"Lowland"
"ccc-00011","AVON13","avon river at avondale road bridge","Overall",0.825,"A",1.1759,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,160,"D",1509.99999999999,"DE",11.6666666666667,"C",23.3333333333333,"BC","D","",45364,"canterbury","ecan","lowland","Urban",-43.502162275476,172.687560852363,"23-Jun-2020","Urban",2,"Lowland"
"ccc-00012","AVON01","avon river at pages/seaview bridge","Overall",0.75,"A",1.1087,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,180,"D",867,"BC",8.33333333333333,"B",35,"D","D","",45582,"canterbury","ecan","lowland","Urban",-43.5109612586597,172.721312654641,"23-Jun-2020","Urban",0,"Lowland"
"ccc-00013","AVON02","avon river at bridge street","Overall",0.6625,"A",0.982,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",NA,310,NA,1199.99999999999,NA,23.728813559322,NA,49.1525423728814,NA,NA," Need 60 values, have only 59",46167,"canterbury","ecan","lowland","Urban",-43.5269609130163,172.723800118103,"23-Jun-2020","Urban",0,"Lowland"
"ccc-00014","HEATH08","heathcote river at templetons road","Overall",NA,NA,NA,NA,NA," Need 30 values for overall median, have 23 Need 30 values for overall 95%ile, have 23",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",NA,97,NA,6134.99999999997,NA,11.4285714285714,NA,22.8571428571429,NA,NA," Need 60 values, have only 35",47128,"canterbury","ecan","lowland","Urban",-43.5617741065307,172.577833809996,"23-Jun-2020","Urban",18,"Lowland"
"ccc-00015","HEATH09","haytons stream at retention basin","Overall",0.345,"A",1.11,"A","A","",NA,NA,NA,NA,NA,"n = 0 No pH data available for NH4 adjustment, so NH4 cannot be judged against NOF standards. ",6,125,"ABC",3369.99999999998,"DE",18.3333333333333,"C",35,"D","D","",47128,"canterbury","ecan","lowland","Urban",-43.5554877149543,172.579189062079,"23-Jun-2020","Urban",15,"Lowland"
