"ac","boprc","ecan","es","gdc","gwrc","hbrc","hrc","mdc","ncc","niwa","nrc","orc","tdc","trc","wcrc","wrc"
0,0,26922,0,0,5409,5977,0,1575,14140,0,12,10818,1122,0,20782,0
0,7109,19699,0,5474,7078,0,18568,524,0,12842,4820,6688,2066,1927,0,12027
0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0
0,0,0,10130,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,8275,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1137,0,0,0,0,0,0,0,0,548,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24639,56811,45499,0,35387,35494,92192,1028,0,0,22280,30235,7912,9635,946,95537
0,4998,7512,0,0,7055,7748,13690,0,0,12926,4611,0,1933,1919,0,16295
2282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,40008,0,16677,0,18100,0,30,2753,0,0,0,0,0,473,0
42071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5284,19273,8599,0,0,8574,18567,0,0,12982,4817,0,1824,3323,0,0
0,5125,0,9112,5315,0,0,17701,0,0,12968,4804,0,0,1927,0,19165
0,0,0,0,0,0,0,0,0,0,51872,0,0,0,0,0,0
26635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
