"LAWAID","Parameter","Altitude","Landuse","TrendScore","TrendFrequency","TrendPeriod"
"arc-00008","NH4","Lowland","Rural",-99,"monthly",15
"arc-00008","ECOLI","Lowland","Rural",2,"quarterly",15
"arc-00008","DRP","Lowland","Rural",2,"quarterly",15
"arc-00008","TN","Lowland","Rural",-99,"unassessed",15
"arc-00008","TON","Lowland","Rural",-99,"quarterly",15
"arc-00008","TP","Lowland","Rural",2,"quarterly",15
"arc-00008","BDISC","Lowland","Rural",-99,"unassessed",15
"arc-00008","TURB","Lowland","Rural",0,"quarterly",15
"arc-00006","NH4","Lowland","Rural",-99,"quarterly",15
"arc-00006","ECOLI","Lowland","Rural",0,"quarterly",15
"arc-00006","DRP","Lowland","Rural",2,"quarterly",15
"arc-00006","TN","Lowland","Rural",-99,"unassessed",15
"arc-00006","TON","Lowland","Rural",1,"quarterly",15
"arc-00006","TP","Lowland","Rural",2,"quarterly",15
"arc-00006","BDISC","Lowland","Rural",-99,"unassessed",15
"arc-00006","TURB","Lowland","Rural",1,"quarterly",15
"arc-00005","NH4","Upland","Forest",-99,"monthly",15
"arc-00005","ECOLI","Upland","Forest",2,"quarterly",15
"arc-00005","DRP","Upland","Forest",2,"quarterly",15
"arc-00005","TN","Upland","Forest",-99,"unassessed",15
"arc-00005","TON","Upland","Forest",-2,"quarterly",15
"arc-00005","TP","Upland","Forest",2,"quarterly",15
"arc-00005","BDISC","Upland","Forest",-99,"unassessed",15
"arc-00005","TURB","Upland","Forest",-2,"quarterly",15
"arc-00026","NH4","Lowland","Rural",-99,"monthly",15
"arc-00026","ECOLI","Lowland","Rural",2,"quarterly",15
"arc-00026","DRP","Lowland","Rural",2,"quarterly",15
"arc-00026","TN","Lowland","Rural",-99,"unassessed",15
"arc-00026","TON","Lowland","Rural",-99,"quarterly",15
"arc-00026","TP","Lowland","Rural",2,"quarterly",15
"arc-00026","BDISC","Lowland","Rural",-99,"unassessed",15
"arc-00026","TURB","Lowland","Rural",2,"quarterly",15
"arc-00038","NH4","Upland","Forest",-99,"unassessed",15
"arc-00038","ECOLI","Upland","Forest",-99,"unassessed",15
"arc-00038","DRP","Upland","Forest",-99,"unassessed",15
"arc-00038","TN","Upland","Forest",-99,"unassessed",15
"arc-00038","TON","Upland","Forest",-99,"unassessed",15
"arc-00038","TP","Upland","Forest",-99,"unassessed",15
"arc-00038","BDISC","Upland","Forest",-99,NA,15
"arc-00038","TURB","Upland","Forest",-99,"unassessed",15
"arc-00027","NH4","Upland","Forest",2,"monthly",15
"arc-00027","ECOLI","Upland","Forest",-1,"quarterly",15
"arc-00027","DRP","Upland","Forest",2,"monthly",15
"arc-00027","TN","Upland","Forest",-99,"unassessed",15
"arc-00027","TON","Upland","Forest",2,"monthly",15
"arc-00027","TP","Upland","Forest",2,"monthly",15
"arc-00027","BDISC","Upland","Forest",-99,"unassessed",15
"arc-00027","TURB","Upland","Forest",2,"monthly",15
"arc-00095","NH4","Upland","Forest",-99,"monthly",15
"arc-00095","ECOLI","Upland","Forest",-1,"quarterly",15
"arc-00095","DRP","Upland","Forest",2,"monthly",15
"arc-00095","TN","Upland","Forest",-99,"unassessed",15
"arc-00095","TON","Upland","Forest",2,"monthly",15
"arc-00095","TP","Upland","Forest",2,"monthly",15
"arc-00095","BDISC","Upland","Forest",-99,"unassessed",15
"arc-00095","TURB","Upland","Forest",2,"monthly",15
"arc-00133","NH4","Lowland","Forest",2,"monthly",15
"arc-00133","ECOLI","Lowland","Forest",2,"quarterly",15
"arc-00133","DRP","Lowland","Forest",2,"monthly",15
"arc-00133","TN","Lowland","Forest",-99,"unassessed",15
"arc-00133","TON","Lowland","Forest",1,"monthly",15
"arc-00133","TP","Lowland","Forest",2,"monthly",15
"arc-00133","BDISC","Lowland","Forest",-99,"unassessed",15
"arc-00133","TURB","Lowland","Forest",2,"monthly",15
"arc-00024","NH4","Lowland","Rural",1,"monthly",15
"arc-00024","ECOLI","Lowland","Rural",2,"quarterly",15
"arc-00024","DRP","Lowland","Rural",2,"monthly",15
"arc-00024","TN","Lowland","Rural",-99,"unassessed",15
"arc-00024","TON","Lowland","Rural",-2,"monthly",15
"arc-00024","TP","Lowland","Rural",2,"monthly",15
"arc-00024","BDISC","Lowland","Rural",-99,"unassessed",15
"arc-00024","TURB","Lowland","Rural",2,"monthly",15
"nrwqn-00001","NH4","Lowland","Rural",-99,"unassessed",15
"nrwqn-00001","ECOLI","Lowland","Rural",-99,"unassessed",15
"nrwqn-00001","DRP","Lowland","Rural",-99,"unassessed",15
"nrwqn-00001","TN","Lowland","Rural",-99,"unassessed",15
"nrwqn-00001","TON","Lowland","Rural",-99,"unassessed",15
"nrwqn-00001","TP","Lowland","Rural",-99,"unassessed",15
"nrwqn-00001","BDISC","Lowland","Rural",-99,"unassessed",15
"nrwqn-00001","TURB","Lowland","Rural",-99,"unassessed",15
"arc-00074","NH4","Upland","Urban",-99,"monthly",15
"arc-00074","ECOLI","Upland","Urban",-1,"quarterly",15
"arc-00074","DRP","Upland","Urban",2,"monthly",15
"arc-00074","TN","Upland","Urban",-99,"unassessed",15
"arc-00074","TON","Upland","Urban",0,"monthly",15
