"LawaID","CouncilSiteID","Agency","Parameter","Median","StateScore","ComparisonGroup","Altitude","Landuse"
"arc-00001","44603","ac","TURB",2.6,3,"site|All","All","All"
"arc-00001","44603","ac","NH4",0.0025,1,"site|All","All","All"
"arc-00001","44603","ac","PH",7.655,1,"site|All","All","All"
"arc-00001","44603","ac","TON",0.01,1,"site|All","All","All"
"arc-00001","44603","ac","TN",0.067,1,"site|All","All","All"
"arc-00001","44603","ac","DRP",0.0161,3,"site|All","All","All"
"arc-00001","44603","ac","TP",0.024,3,"site|All","All","All"
"arc-00001","44603","ac","ECOLI",30,1,"site|All","All","All"
"arc-00001","44603","ac","TURB",2.6,3,"site|upland","Upland","All"
"arc-00001","44603","ac","NH4",0.0025,1,"site|upland","Upland","All"
"arc-00001","44603","ac","PH",7.655,1,"site|upland","Upland","All"
"arc-00001","44603","ac","TON",0.01,1,"site|upland","Upland","All"
"arc-00001","44603","ac","TN",0.067,1,"site|upland","Upland","All"
"arc-00001","44603","ac","DRP",0.0161,3,"site|upland","Upland","All"
"arc-00001","44603","ac","TP",0.024,3,"site|upland","Upland","All"
"arc-00001","44603","ac","ECOLI",30,2,"site|upland","Upland","All"
"arc-00001","44603","ac","TURB",2.6,3,"site|forest","All","Forest"
"arc-00001","44603","ac","NH4",0.0025,1,"site|forest","All","Forest"
"arc-00001","44603","ac","PH",7.655,1,"site|forest","All","Forest"
"arc-00001","44603","ac","TON",0.01,1,"site|forest","All","Forest"
"arc-00001","44603","ac","TN",0.067,1,"site|forest","All","Forest"
"arc-00001","44603","ac","DRP",0.0161,4,"site|forest","All","Forest"
"arc-00001","44603","ac","TP",0.024,3,"site|forest","All","Forest"
"arc-00001","44603","ac","ECOLI",30,2,"site|forest","All","Forest"
"arc-00001","44603","ac","TURB",2.6,4,"site|upland|forest","Upland","Forest"
"arc-00001","44603","ac","NH4",0.0025,1,"site|upland|forest","Upland","Forest"
"arc-00001","44603","ac","PH",7.655,1,"site|upland|forest","Upland","Forest"
"arc-00001","44603","ac","TON",0.01,1,"site|upland|forest","Upland","Forest"
"arc-00001","44603","ac","TN",0.067,1,"site|upland|forest","Upland","Forest"
"arc-00001","44603","ac","DRP",0.0161,4,"site|upland|forest","Upland","Forest"
"arc-00001","44603","ac","TP",0.024,4,"site|upland|forest","Upland","Forest"
"arc-00001","44603","ac","ECOLI",30,3,"site|upland|forest","Upland","Forest"
"arc-00003","45313","ac","TURB",8.7,4,"site|All","All","All"
"arc-00003","45313","ac","NH4",0.02,4,"site|All","All","All"
"arc-00003","45313","ac","PH",7.04,2,"site|All","All","All"
"arc-00003","45313","ac","TON",0.32,2,"site|All","All","All"
"arc-00003","45313","ac","TN",0.73,3,"site|All","All","All"
"arc-00003","45313","ac","DRP",0.0106,2,"site|All","All","All"
"arc-00003","45313","ac","TP",0.049,4,"site|All","All","All"
"arc-00003","45313","ac","ECOLI",350,4,"site|All","All","All"
"arc-00003","45313","ac","TURB",8.7,4,"site|lowland","Lowland","All"
"arc-00003","45313","ac","NH4",0.02,4,"site|lowland","Lowland","All"
"arc-00003","45313","ac","PH",7.04,2,"site|lowland","Lowland","All"
"arc-00003","45313","ac","TON",0.32,2,"site|lowland","Lowland","All"
"arc-00003","45313","ac","TN",0.73,3,"site|lowland","Lowland","All"
"arc-00003","45313","ac","DRP",0.0106,2,"site|lowland","Lowland","All"
"arc-00003","45313","ac","TP",0.049,4,"site|lowland","Lowland","All"
"arc-00003","45313","ac","ECOLI",350,4,"site|lowland","Lowland","All"
"arc-00003","45313","ac","TURB",8.7,4,"site|urban","All","Urban"
"arc-00003","45313","ac","NH4",0.02,2,"site|urban","All","Urban"
"arc-00003","45313","ac","PH",7.04,2,"site|urban","All","Urban"
"arc-00003","45313","ac","TON",0.32,1,"site|urban","All","Urban"
"arc-00003","45313","ac","TN",0.73,2,"site|urban","All","Urban"
"arc-00003","45313","ac","DRP",0.0106,1,"site|urban","All","Urban"
"arc-00003","45313","ac","TP",0.049,3,"site|urban","All","Urban"
"arc-00003","45313","ac","ECOLI",350,2,"site|urban","All","Urban"
"arc-00003","45313","ac","TURB",8.7,4,"site|lowland|urban","Lowland","Urban"
"arc-00003","45313","ac","NH4",0.02,2,"site|lowland|urban","Lowland","Urban"
"arc-00003","45313","ac","PH",7.04,2,"site|lowland|urban","Lowland","Urban"
"arc-00003","45313","ac","TON",0.32,1,"site|lowland|urban","Lowland","Urban"
"arc-00003","45313","ac","TN",0.73,2,"site|lowland|urban","Lowland","Urban"
"arc-00003","45313","ac","DRP",0.0106,1,"site|lowland|urban","Lowland","Urban"
"arc-00003","45313","ac","TP",0.049,3,"site|lowland|urban","Lowland","Urban"
"arc-00003","45313","ac","ECOLI",350,2,"site|lowland|urban","Lowland","Urban"
"arc-00004","7830","ac","TURB",7.6,4,"site|All","All","All"
"arc-00004","7830","ac","NH4",0.0165,4,"site|All","All","All"
