"LawaSiteID","CouncilSiteID","SiteID","Region","Agency","SWQAltitude","SWQLanduse","Measurement","Scope","Q0","Q25","Q50","Q75","Q100","N"
"arc-00082","ak2","Rangitopuni at Walkers (NRWQN) (AK2)","auckland","niwa","Lowland","Rural","BDISC","Site",0.9225,0.9225,0.9225,0.9225,0.9225,1
"ebop-00001","bq966369","aongatete at sh2","bay of plenty","boprc","Lowland","Rural","BDISC","Site",4.3975,4.3975,4.3975,4.3975,4.3975,1
"ebop-00002","rn123610","haparapara at sh35","bay of plenty","boprc","Lowland","Forest","BDISC","Site",5.65,5.65,5.65,5.65,5.65,1
"ebop-00003","fn834668","kaituna at maungarangi rd","bay of plenty","boprc","Lowland","Rural","BDISC","Site",2.31,2.31,2.31,2.31,2.31,1
"ebop-00005","do406909","kopurererua at sh29","bay of plenty","boprc","Lowland","Rural","BDISC","Site",1.015,1.015,1.015,1.015,1.015,1
"ebop-00006","dp784306","kopurererua at sh2","bay of plenty","boprc","Lowland","Urban","BDISC","Site",0.973,0.973,0.973,0.973,0.973,1
"ebop-00009","co543022","ngamuwahine at old bridge","bay of plenty","boprc","Lowland","Forest","BDISC","Site",3.393,3.393,3.393,3.393,3.393,1
"ebop-00010","el174017","ngongotaha at sh36","bay of plenty","boprc","Upland","Rural","BDISC","Site",1.57,1.57,1.57,1.57,1.57,1
"ebop-00012","fl230406","ohau channel at sh33","bay of plenty","boprc","Upland","Rural","BDISC","Site",1.927,1.927,1.927,1.927,1.927,1
"ebop-00013","do047598","omanawa at sh29","bay of plenty","boprc","Lowland","Forest","BDISC","Site",1.92,1.92,1.92,1.92,1.92,1
"ebop-00014","ok300616","otara at browns bridge","bay of plenty","boprc","Lowland","Forest","BDISC","Site",2.8,2.8,2.8,2.8,2.8,1
"ebop-00016","gn922883","pongakawa at sh2","bay of plenty","boprc","Lowland","Rural","BDISC","Site",1.672,1.672,1.672,1.672,1.672,1
"ebop-00017","gn849464","pongakawa at old coach rd","bay of plenty","boprc","Lowland","Rural","BDISC","Site",1.62,1.62,1.62,1.62,1.62,1
