"LAWAID","SiteName","Year","Parameter","Value","Band"
"arc-00001","44603","2015to2019","AmmoniacalMed",0.00343878954607978,NA
"arc-00003","45313","2015to2019","AmmoniacalMed",0.0108093450146016,NA
"arc-00004","7830","2015to2019","AmmoniacalMed",0.00996102208748376,NA
"arc-00005","6811","2015to2019","AmmoniacalMed",0.00619882486614175,NA
"arc-00006","6804","2015to2019","AmmoniacalMed",0.0055,NA
"arc-00008","6604","2015to2019","AmmoniacalMed",0.00316055625790139,NA
"arc-00009","43829","2015to2019","AmmoniacalMed",0.00438358637127673,NA
"arc-00010","8110","2015to2019","AmmoniacalMed",0.00521669341894061,NA
"arc-00013","7904","2015to2019","AmmoniacalMed",0.00443655723158829,NA
"arc-00014","8219","2015to2019","AmmoniacalMed",0.0589685283505508,NA
"arc-00015","8214","2015to2019","AmmoniacalMed",0.0122340425531915,NA
"arc-00016","8205","2015to2019","AmmoniacalMed",0.00815916144150991,NA
"arc-00018","8217","2015to2019","AmmoniacalMed",0.0281602002503129,NA
"arc-00019","8215","2015to2019","AmmoniacalMed",0.262331429679457,NA
"arc-00021","43856","2015to2019","AmmoniacalMed",0.0101398601398601,NA
"arc-00022","43807","2015to2019","AmmoniacalMed",0.010064043915828,NA
"arc-00024","7506","2015to2019","AmmoniacalMed",0.00421447545519493,NA
"arc-00026","7104","2015to2019","AmmoniacalMed",0.00609634354494646,NA
"arc-00027","7206","2015to2019","AmmoniacalMed",0.00237699193845472,NA
"arc-00028","43601","2015to2019","AmmoniacalMed",0.00263375627350241,NA
"arc-00029","438100","2015to2019","AmmoniacalMed",0.0048282386715819,NA
"arc-00030","8568","2015to2019","AmmoniacalMed",0.00184119815088388,NA
"arc-00031","45373","2015to2019","AmmoniacalMed",0.00679728108756497,NA
"arc-00033","45505","2015to2019","AmmoniacalMed",0.00379266750948167,NA
"arc-00034","8249","2015to2019","AmmoniacalMed",0.0193029490616622,NA
"arc-00035","45415","2015to2019","AmmoniacalMed",0.0105476673427992,NA
"arc-00036","8019","2015to2019","AmmoniacalMed",0.011624266928204,NA
"arc-00038","7171","2015to2019","AmmoniacalMed",0.00106845412039743,NA
"arc-00039","74401","2015to2019","AmmoniacalMed",0.00333333333333333,NA
"arc-00040","74701","2015to2019","AmmoniacalMed",0.00302903219657256,NA
"arc-00074","7811","2015to2019","AmmoniacalMed",0.0149359886201992,NA
"arc-00082","AK2","2015to2019","AmmoniacalMed",0.0097799511002445,NA
"arc-00090","8516","2015to2019","AmmoniacalMed",0.00558659217877095,NA
"arc-00133","7502","2015to2019","AmmoniacalMed",0.0116487455197133,NA
"ccc-00001","AVON05","2015to2019","AmmoniacalMed",0.00733891776672525,NA
"ccc-00002","AVON06","2015to2019","AmmoniacalMed",0.00582309935515669,NA
"ccc-00003","AVON07","2015to2019","AmmoniacalMed",0.0065385437446566,NA
"ccc-00004","AVON12","2015to2019","AmmoniacalMed",0.012034705280554,NA
"ccc-00005","AVON08","2015to2019","AmmoniacalMed",0.0134858949100435,NA
"ccc-00006","AVON09","2015to2019","AmmoniacalMed",0.0421613963807436,NA
"ccc-00007","AVON04","2015to2019","AmmoniacalMed",0.0137072291442667,NA
"ccc-00008","AVON10","2015to2019","AmmoniacalMed",0.0538646133299946,NA
"ccc-00009","AVON03","2015to2019","AmmoniacalMed",0.0149303671550009,NA
"ccc-00010","AVON11","2015to2019","AmmoniacalMed",0.0474780216305104,NA
"ccc-00011","AVON13","2015to2019","AmmoniacalMed",0.0201754385964912,NA
"ccc-00012","AVON01","2015to2019","AmmoniacalMed",0.0242905027932961,NA
"ccc-00013","AVON02","2015to2019","AmmoniacalMed",0.0458463687150838,NA
"ccc-00014","HEATH08","2015to2019","AmmoniacalMed",0.00965250965250965,NA
"ccc-00015","HEATH09","2015to2019","AmmoniacalMed",0.0491705991705992,NA
"ccc-00016","HEATH10","2015to2019","AmmoniacalMed",0.0454127623583877,NA
"ccc-00017","HEATH14","2015to2019","AmmoniacalMed",0.053448275862069,NA
"ccc-00018","HEATH06","2015to2019","AmmoniacalMed",0.0381962864721485,NA
"ccc-00019","HEATH16","2015to2019","AmmoniacalMed",0.00529234413696565,NA
"ccc-00020","HEATH05","2015to2019","AmmoniacalMed",0.0195050431001795,NA
"ccc-00021","HEATH07","2015to2019","AmmoniacalMed",0.024206620447222,NA
"ccc-00022","HEATH04","2015to2019","AmmoniacalMed",0.0245604414436028,NA
"ccc-00023","HEATH03","2015to2019","AmmoniacalMed",0.0392491267208736,NA
"ccc-00024","HEATH12","2015to2019","AmmoniacalMed",0.0451435395494778,NA
"ccc-00026","HEATH02","2015to2019","AmmoniacalMed",0.0528464017185822,NA
"ccc-00027","HEATH01","2015to2019","AmmoniacalMed",0.0672612556472971,NA
"ccc-00028","STYX01","2015to2019","AmmoniacalMed",0.00535421785421785,NA
"ccc-00029","STYX02","2015to2019","AmmoniacalMed",0.00430828246163999,NA
"ccc-00030","STYX03","2015to2019","AmmoniacalMed",0.0101825721361516,NA
"ccc-00031","STYX04","2015to2019","AmmoniacalMed",0.034020618556701,NA
"ccc-00032","STYX05","2015to2019","AmmoniacalMed",0.0574162679425837,NA
"ccc-00033","STYX06","2015to2019","AmmoniacalMed",0.0192737430167598,NA
"ccc-00034","STYX07","2015to2019","AmmoniacalMed",0.0211599377987675,NA
"ccc-00035","STYX08","2015to2019","AmmoniacalMed",0.0209022058400046,NA
"ccc-00036","HALS03","2015to2019","AmmoniacalMed",0.0301675977653631,NA
"ccc-00037","HALS05","2015to2019","AmmoniacalMed",0.00949251053206428,NA
"ccc-00038","HALS04","2015to2019","AmmoniacalMed",0.0179231919414496,NA
"ccc-00039","OTUKAI01","2015to2019","AmmoniacalMed",0.00485937743797784,NA
"ccc-00040","OTUKAI02","2015to2019","AmmoniacalMed",0.0140806561859193,NA
"ccc-00041","OUT01","2015to2019","AmmoniacalMed",0.0882588774341352,NA
"ccc-00042","OTUKAI03","2015to2019","AmmoniacalMed",0.0047808764940239,NA
"ebop-00001","BQ966369","2015to2019","AmmoniacalMed",0.00201005682945797,NA
"ebop-00002","RN123610","2015to2019","AmmoniacalMed",0.00114942528735632,NA
"ebop-00003","FN834668","2015to2019","AmmoniacalMed",0.00363974703265012,NA
"ebop-00005","DO406909","2015to2019","AmmoniacalMed",0.0119996350352032,NA
"ebop-00006","DP784306","2015to2019","AmmoniacalMed",0.026546698237306,NA
"ebop-00009","CO543022","2015to2019","AmmoniacalMed",0.00239904038384646,NA
"ebop-00010","EL174017","2015to2019","AmmoniacalMed",0.00563014291901256,NA
"ebop-00012","FL230406","2015to2019","AmmoniacalMed",0.00488930567814063,NA
"ebop-00013","DO047598","2015to2019","AmmoniacalMed",0.00287081339712919,NA
"ebop-00014","OK300616","2015to2019","AmmoniacalMed",0.00170648464163822,NA
"ebop-00016","GN922883","2015to2019","AmmoniacalMed",0.00541311584553928,NA
