"LawaID","Parameter","Altitude","Landuse","Median","StateScore"
"arc-00001","TURB","All","All",2.6,3
"arc-00001","NH4","All","All",0.0025,1
"arc-00001","PH","All","All",7.66,1
"arc-00001","TON","All","All",0.01,1
"arc-00001","TN","All","All",0.067,1
"arc-00001","DRP","All","All",0.016,3
"arc-00001","TP","All","All",0.024,3
"arc-00001","ECOLI","All","All",30,1
"arc-00001","TURB","Upland","All",2.6,3
"arc-00001","NH4","Upland","All",0.0025,1
"arc-00001","PH","Upland","All",7.66,1
"arc-00001","TON","Upland","All",0.01,1
"arc-00001","TN","Upland","All",0.067,1
"arc-00001","DRP","Upland","All",0.016,3
"arc-00001","TP","Upland","All",0.024,3
"arc-00001","ECOLI","Upland","All",30,2
"arc-00001","TURB","All","Forest",2.6,3
"arc-00001","NH4","All","Forest",0.0025,1
"arc-00001","PH","All","Forest",7.66,1
"arc-00001","TON","All","Forest",0.01,1
"arc-00001","TN","All","Forest",0.067,1
"arc-00001","DRP","All","Forest",0.016,4
"arc-00001","TP","All","Forest",0.024,3
"arc-00001","ECOLI","All","Forest",30,2
"arc-00001","TURB","Upland","Forest",2.6,4
"arc-00001","NH4","Upland","Forest",0.0025,1
"arc-00001","PH","Upland","Forest",7.66,1
"arc-00001","TON","Upland","Forest",0.01,1
"arc-00001","TN","Upland","Forest",0.067,1
"arc-00001","DRP","Upland","Forest",0.016,3
"arc-00001","TP","Upland","Forest",0.024,4
"arc-00001","ECOLI","Upland","Forest",30,3
"arc-00003","TURB","All","All",8.7,4
"arc-00003","NH4","All","All",0.02,4
"arc-00003","PH","All","All",6.965,2
"arc-00003","TON","All","All",0.32,3
"arc-00003","TN","All","All",0.73,3
"arc-00003","DRP","All","All",0.011,3
"arc-00003","TP","All","All",0.049,4
"arc-00003","ECOLI","All","All",350,4
"arc-00003","TURB","Lowland","All",8.7,4
"arc-00003","NH4","Lowland","All",0.02,4
"arc-00003","PH","Lowland","All",6.965,2
"arc-00003","TON","Lowland","All",0.32,2
"arc-00003","TN","Lowland","All",0.73,3
"arc-00003","DRP","Lowland","All",0.011,2
"arc-00003","TP","Lowland","All",0.049,4
"arc-00003","ECOLI","Lowland","All",350,4
"arc-00003","TURB","All","Urban",8.7,4
"arc-00003","NH4","All","Urban",0.02,2
"arc-00003","PH","All","Urban",6.965,2
"arc-00003","TON","All","Urban",0.32,1
"arc-00003","TN","All","Urban",0.73,2
"arc-00003","DRP","All","Urban",0.011,1
"arc-00003","TP","All","Urban",0.049,3
"arc-00003","ECOLI","All","Urban",350,2
"arc-00003","TURB","Lowland","Urban",8.7,4
"arc-00003","NH4","Lowland","Urban",0.02,2
"arc-00003","PH","Lowland","Urban",6.965,2
"arc-00003","TON","Lowland","Urban",0.32,1
"arc-00003","TN","Lowland","Urban",0.73,2
"arc-00003","DRP","Lowland","Urban",0.011,2
"arc-00003","TP","Lowland","Urban",0.049,3
"arc-00003","ECOLI","Lowland","Urban",350,2
"arc-00004","TURB","All","All",7.6,4
"arc-00004","NH4","All","All",0.0165,4
"arc-00004","PH","All","All",7.33,1
"arc-00004","TON","All","All",0.22,2
"arc-00004","TN","All","All",0.485,2
"arc-00004","DRP","All","All",0.009,2
"arc-00004","TP","All","All",0.031,3
"arc-00004","ECOLI","All","All",420,4
"arc-00004","TURB","Lowland","All",7.6,4
"arc-00004","NH4","Lowland","All",0.0165,3
"arc-00004","PH","Lowland","All",7.33,1
"arc-00004","TON","Lowland","All",0.22,2
"arc-00004","TN","Lowland","All",0.485,2
"arc-00004","DRP","Lowland","All",0.009,2
"arc-00004","TP","Lowland","All",0.031,3
"arc-00004","ECOLI","Lowland","All",420,4
"arc-00004","TURB","All","Urban",7.6,4
"arc-00004","NH4","All","Urban",0.0165,2
"arc-00004","PH","All","Urban",7.33,1
"arc-00004","TON","All","Urban",0.22,1
"arc-00004","TN","All","Urban",0.485,1
"arc-00004","DRP","All","Urban",0.009,1
"arc-00004","TP","All","Urban",0.031,2
"arc-00004","ECOLI","All","Urban",420,3
"arc-00004","TURB","Lowland","Urban",7.6,4
"arc-00004","NH4","Lowland","Urban",0.0165,2
"arc-00004","PH","Lowland","Urban",7.33,1
"arc-00004","TON","Lowland","Urban",0.22,1
"arc-00004","TN","Lowland","Urban",0.485,1
"arc-00004","DRP","Lowland","Urban",0.009,1
"arc-00004","TP","Lowland","Urban",0.031,2
"arc-00004","ECOLI","Lowland","Urban",420,3
"arc-00005","TURB","All","All",8.45,4
"arc-00005","NH4","All","All",0.0125,3
"arc-00005","PH","All","All",7.4,1
"arc-00005","TON","All","All",0.18,2
"arc-00005","TN","All","All",0.32,2
"arc-00005","DRP","All","All",0.0075,2
"arc-00005","TP","All","All",0.0195,2
"arc-00005","ECOLI","All","All",125,3
"arc-00005","TURB","Upland","All",8.45,4
"arc-00005","NH4","Upland","All",0.0125,4
"arc-00005","PH","Upland","All",7.4,1
"arc-00005","TON","Upland","All",0.18,3
"arc-00005","TN","Upland","All",0.32,3
"arc-00005","DRP","Upland","All",0.0075,2
"arc-00005","TP","Upland","All",0.0195,3
"arc-00005","ECOLI","Upland","All",125,3
"arc-00005","TURB","All","Forest",8.45,4
"arc-00005","NH4","All","Forest",0.0125,4
"arc-00005","PH","All","Forest",7.4,1
"arc-00005","TON","All","Forest",0.18,3
"arc-00005","TN","All","Forest",0.32,3
"arc-00005","DRP","All","Forest",0.0075,2
"arc-00005","TP","All","Forest",0.0195,3
"arc-00005","ECOLI","All","Forest",125,4
"arc-00005","TURB","Upland","Forest",8.45,4
"arc-00005","NH4","Upland","Forest",0.0125,4
"arc-00005","PH","Upland","Forest",7.4,2
"arc-00005","TON","Upland","Forest",0.18,3
"arc-00005","TN","Upland","Forest",0.32,3
"arc-00005","DRP","Upland","Forest",0.0075,3
"arc-00005","TP","Upland","Forest",0.0195,3
"arc-00005","ECOLI","Upland","Forest",125,4
"arc-00006","TURB","All","All",5.05,4
"arc-00006","NH4","All","All",0.01,3
"arc-00006","PH","All","All",7.51,1
"arc-00006","TON","All","All",0.135,2
"arc-00006","TN","All","All",0.33,2
"arc-00006","DRP","All","All",0.0125,3
"arc-00006","TP","All","All",0.033,3
"arc-00006","ECOLI","All","All",230,3
"arc-00006","TURB","Lowland","All",5.05,3
"arc-00006","NH4","Lowland","All",0.01,3
"arc-00006","PH","Lowland","All",7.51,1
"arc-00006","TON","Lowland","All",0.135,2
"arc-00006","TN","Lowland","All",0.33,2
"arc-00006","DRP","Lowland","All",0.0125,3
"arc-00006","TP","Lowland","All",0.033,3
"arc-00006","ECOLI","Lowland","All",230,3
"arc-00006","TURB","All","Rural",5.05,4
"arc-00006","NH4","All","Rural",0.01,3
"arc-00006","PH","All","Rural",7.51,1
"arc-00006","TON","All","Rural",0.135,2
"arc-00006","TN","All","Rural",0.33,2
"arc-00006","DRP","All","Rural",0.0125,3
"arc-00006","TP","All","Rural",0.033,3
"arc-00006","ECOLI","All","Rural",230,3
"arc-00006","TURB","Lowland","Rural",5.05,3
"arc-00006","NH4","Lowland","Rural",0.01,3
"arc-00006","PH","Lowland","Rural",7.51,1
"arc-00006","TON","Lowland","Rural",0.135,1
"arc-00006","TN","Lowland","Rural",0.33,1
"arc-00006","DRP","Lowland","Rural",0.0125,3
"arc-00006","TP","Lowland","Rural",0.033,3
"arc-00006","ECOLI","Lowland","Rural",230,3
"arc-00008","TURB","All","All",4.85,4
"arc-00008","NH4","All","All",0.0055,2
"arc-00008","PH","All","All",7.42,1
"arc-00008","TON","All","All",0.0173,1
"arc-00008","TN","All","All",0.22,1
"arc-00008","DRP","All","All",0.012,3
"arc-00008","TP","All","All",0.0305,3
"arc-00008","ECOLI","All","All",195,3
"arc-00008","TURB","Lowland","All",4.85,3
"arc-00008","NH4","Lowland","All",0.0055,2
"arc-00008","PH","Lowland","All",7.42,1
"arc-00008","TON","Lowland","All",0.0173,1
"arc-00008","TN","Lowland","All",0.22,1
"arc-00008","DRP","Lowland","All",0.012,3
"arc-00008","TP","Lowland","All",0.0305,3
"arc-00008","ECOLI","Lowland","All",195,3
"arc-00008","TURB","All","Rural",4.85,3
"arc-00008","NH4","All","Rural",0.0055,2
"arc-00008","PH","All","Rural",7.42,1
"arc-00008","TON","All","Rural",0.0173,1
"arc-00008","TN","All","Rural",0.22,1
"arc-00008","DRP","All","Rural",0.012,3
"arc-00008","TP","All","Rural",0.0305,3
"arc-00008","ECOLI","All","Rural",195,3
"arc-00008","TURB","Lowland","Rural",4.85,3
"arc-00008","NH4","Lowland","Rural",0.0055,2
"arc-00008","PH","Lowland","Rural",7.42,1
"arc-00008","TON","Lowland","Rural",0.0173,1
"arc-00008","TN","Lowland","Rural",0.22,1
"arc-00008","DRP","Lowland","Rural",0.012,3
"arc-00008","TP","Lowland","Rural",0.0305,3
"arc-00008","ECOLI","Lowland","Rural",195,3
"arc-00009","TURB","All","All",3.25,3
"arc-00009","NH4","All","All",0.0095,3
"arc-00009","PH","All","All",7.215,2
"arc-00009","TON","All","All",3.1,4
"arc-00009","TN","All","All",3.3,4
"arc-00009","DRP","All","All",0.0055,2
"arc-00009","TP","All","All",0.0155,2
"arc-00009","ECOLI","All","All",180,3
"arc-00009","TURB","Lowland","All",3.25,3
"arc-00009","NH4","Lowland","All",0.0095,3
"arc-00009","PH","Lowland","All",7.215,2
"arc-00009","TON","Lowland","All",3.1,4
"arc-00009","TN","Lowland","All",3.3,4
"arc-00009","DRP","Lowland","All",0.0055,1
"arc-00009","TP","Lowland","All",0.0155,2
"arc-00009","ECOLI","Lowland","All",180,3
"arc-00009","TURB","All","Rural",3.25,3
"arc-00009","NH4","All","Rural",0.0095,3
"arc-00009","PH","All","Rural",7.215,2
"arc-00009","TON","All","Rural",3.1,4
"arc-00009","TN","All","Rural",3.3,4
"arc-00009","DRP","All","Rural",0.0055,2
"arc-00009","TP","All","Rural",0.0155,2
"arc-00009","ECOLI","All","Rural",180,3
"arc-00009","TURB","Lowland","Rural",3.25,3
"arc-00009","NH4","Lowland","Rural",0.0095,3
"arc-00009","PH","Lowland","Rural",7.215,2
"arc-00009","TON","Lowland","Rural",3.1,4
"arc-00009","TN","Lowland","Rural",3.3,4
"arc-00009","DRP","Lowland","Rural",0.0055,1
"arc-00009","TP","Lowland","Rural",0.0155,2
"arc-00009","ECOLI","Lowland","Rural",180,3
"arc-00010","TURB","All","All",3.45,3
"arc-00010","NH4","All","All",0.01,3
"arc-00010","PH","All","All",7.44,1
"arc-00010","TON","All","All",1.2,4
"arc-00010","TN","All","All",1.38,4
"arc-00010","DRP","All","All",0.026,4
"arc-00010","TP","All","All",0.046,4
"arc-00010","ECOLI","All","All",600,4
"arc-00010","TURB","Lowland","All",3.45,3
"arc-00010","NH4","Lowland","All",0.01,3
"arc-00010","PH","Lowland","All",7.44,1
"arc-00010","TON","Lowland","All",1.2,4
"arc-00010","TN","Lowland","All",1.38,4
"arc-00010","DRP","Lowland","All",0.026,4
"arc-00010","TP","Lowland","All",0.046,3
"arc-00010","ECOLI","Lowland","All",600,4
"arc-00010","TURB","All","Urban",3.45,3
"arc-00010","NH4","All","Urban",0.01,1
"arc-00010","PH","All","Urban",7.44,1
"arc-00010","TON","All","Urban",1.2,3
"arc-00010","TN","All","Urban",1.38,3
"arc-00010","DRP","All","Urban",0.026,3
