"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"are are creek at kaituna tuamarina track","ECOLI","2018-07-11","2019-12-09","18","13","41000"
"are are creek at kaituna tuamarina track","TN","2018-07-11","2019-12-09","18","0.39","0.99"
"are are creek at kaituna tuamarina track","TON","2018-07-11","2019-12-09","18","0.25","0.87"
"are are creek at kaituna tuamarina track","PH","2018-07-11","2019-12-09","18","7","7.5"
"are are creek at kaituna tuamarina track","TP","2018-07-11","2019-12-09","18","0.004","0.22"
"are are creek at kaituna tuamarina track","TURB","2018-07-11","2019-12-09","18","0.44","97"
"are are creek at kaituna tuamarina track","NH4",NA,NA,"0","Inf","-Inf"
"are are creek at kaituna tuamarina track","DRP",NA,NA,"0","Inf","-Inf"
"awatere river at awapiri","ECOLI","2018-07-10","2019-12-10","18","1","610"
"awatere river at awapiri","TN","2018-07-10","2019-12-10","18","0.041","3"
"awatere river at awapiri","TON","2018-07-10","2019-12-10","18","0.002","2.2"
"awatere river at awapiri","PH","2018-07-10","2019-12-10","18","7.7","8.1"
"awatere river at awapiri","TP","2018-07-10","2019-12-10","18","0.008","1.72"
"awatere river at awapiri","TURB","2018-07-10","2019-12-10","18","0.68","2100"
"awatere river at awapiri","NH4",NA,NA,"0","Inf","-Inf"
"awatere river at awapiri","DRP",NA,NA,"0","Inf","-Inf"
"opawa river at hammerichs road","ECOLI","2018-07-04","2019-10-03","16","20","670"
"opawa river at hammerichs road","TN","2018-07-04","2019-10-03","16","0.062","0.95"
"opawa river at hammerichs road","TON","2018-07-04","2019-10-03","16","0.002","0.9"
"opawa river at hammerichs road","PH","2018-07-04","2019-10-03","16","7.4","8"
"opawa river at hammerichs road","TP","2018-07-04","2019-10-03","16","0.004","0.033"
"opawa river at hammerichs road","TURB","2018-07-04","2019-10-03","16","1.99","18"
"opawa river at hammerichs road","NH4",NA,NA,"0","Inf","-Inf"
"opawa river at hammerichs road","DRP",NA,NA,"0","Inf","-Inf"
"opawa river at swamp road","ECOLI","2018-07-06","2019-10-03","16","16","200"
"opawa river at swamp road","TN","2018-07-06","2019-10-03","16","0.49","1.11"
"opawa river at swamp road","TON","2018-07-06","2019-10-03","16","0.38","0.97"
"opawa river at swamp road","PH","2018-07-06","2019-10-03","16","7.3","7.7"
"opawa river at swamp road","TP","2018-07-06","2019-10-03","16","0.01","0.061"
"opawa river at swamp road","TURB","2018-07-06","2019-10-03","16","0.58","10.3"
"opawa river at swamp road","NH4",NA,NA,"0","Inf","-Inf"
"opawa river at swamp road","DRP",NA,NA,"0","Inf","-Inf"
"opouri river at tunakino valley road","ECOLI","2018-07-11","2019-12-10","18","23","1700"
"opouri river at tunakino valley road","TN","2018-07-11","2019-12-10","18","0.41","1.12"
"opouri river at tunakino valley road","TON","2018-07-11","2019-12-10","18","0.36","1.13"
"opouri river at tunakino valley road","PH","2018-07-11","2019-12-10","18","6.9","7.3"
"opouri river at tunakino valley road","TP","2018-07-11","2019-12-10","18","0.004","0.024"
"opouri river at tunakino valley road","TURB","2018-07-11","2019-12-10","18","0.21","4.7"
"opouri river at tunakino valley road","NH4",NA,NA,"0","Inf","-Inf"
"opouri river at tunakino valley road","DRP",NA,NA,"0","Inf","-Inf"
"pelorus river at fishermans flat","ECOLI","2018-07-11","2019-12-10","18","8","3600"
"pelorus river at fishermans flat","TN","2018-07-11","2019-12-10","18","0.2","0.76"
"pelorus river at fishermans flat","TON","2018-07-11","2019-12-10","18","0.115","0.76"
"pelorus river at fishermans flat","PH","2018-07-11","2019-12-10","18","7.1","7.7"
"pelorus river at fishermans flat","TP","2018-07-11","2019-12-10","18","0.004","0.05"
"pelorus river at fishermans flat","TURB","2018-07-11","2019-12-10","18","0.26","25"
"pelorus river at fishermans flat","NH4",NA,NA,"0","Inf","-Inf"
"pelorus river at fishermans flat","DRP",NA,NA,"0","Inf","-Inf"
"pelorus river at kahikatea flat","ECOLI","2018-07-11","2019-12-10","18","4","540"
"pelorus river at kahikatea flat","TN","2018-07-11","2019-12-10","18","0.033","0.43"
