"agency","xmlAge","var","nMeas","nMeas5","nSite","earliest","latest","minMeas","meanMeas","maxMeas","nNA"
"arc",2,"BDISC",977,0,29,"13-Jan-2005","02-Feb-2012",0,0.5,3.8,0
"arc",2,"DRP",5253,1592,34,"10-Jan-2005","23-Dec-2019",0,0,1.3,0
"arc",2,"ECOLI",4929,1597,34,"24-Jan-2005","23-Dec-2019",0,6147.9,11500000,0
"arc",2,"NH4",5174,1600,34,"10-Jan-2005","23-Dec-2019",0,0.1,12.7,0
"arc",2,"PH",4051,1570,34,"06-Jan-2009","23-Dec-2019",-20.7,7.2,17,0
"arc",2,"TN",4163,1600,34,"06-Jan-2009","23-Dec-2019",0,1.3,113,0
"arc",2,"TON",5221,1600,34,"10-Jan-2005","23-Dec-2019",0,0.8,17,0
"arc",2,"TP",5262,1600,34,"10-Jan-2005","23-Dec-2019",0,0.1,1.8,0
"arc",2,"TURB",5261,1600,34,"10-Jan-2005","23-Dec-2019",0.4,11,404,0
"boprc",2,"BDISC",4733,2583,42,"17-Jan-2005","12-Dec-2019",0,2.5,14.6,0
"boprc",2,"DRP",4781,2047,42,"17-Jan-2005","12-Dec-2019",0,0,0.9,0
"boprc",2,"ECOLI",7921,3318,47,"04-Jan-2005","28-Dec-2019",0,418.3,999900,0
"boprc",2,"NH4",4824,2037,42,"17-Jan-2005","12-Dec-2019",0,0,2.5,0
"boprc",2,"PH",4854,2021,42,"17-Jan-2005","12-Dec-2019",4.6,7.1,10,0
"boprc",2,"TN",3849,2048,41,"06-Oct-2009","12-Dec-2019",0,0.6,5.1,0
"boprc",2,"TON",4882,2046,42,"17-Jan-2005","12-Dec-2019",0,0.4,4.7,0
"boprc",2,"TP",4899,2047,42,"17-Jan-2005","12-Dec-2019",0,0.1,5.6,0
"boprc",2,"TURB",5006,2028,46,"17-Jan-2005","12-Dec-2019",0.2,9.9,3300,0
"ecan",2,"BDISC",6701,3694,127,"14-Feb-2013","11-Jun-2019",0,2.9,15.8,0
"ecan",2,"DRP",18493,5927,182,"12-Jan-2005","11-Jun-2019",0,0,1.7,0
"ecan",2,"ECOLI",18218,5915,182,"17-Jan-2005","11-Jun-2019",0.5,675.2,340000,0
"ecan",2,"NH4",18553,5917,182,"12-Jan-2005","11-Jun-2019",0,0,11,0
"ecan",2,"PH",12521,4388,140,"12-Jan-2005","11-Jun-2019",5.3,7.5,10.3,0
"ecan",2,"TN",17303,5817,182,"12-Jan-2005","11-Jun-2019",0,1.7,28,0
"ecan",2,"TON",18588,5942,182,"12-Jan-2005","11-Jun-2019",0,1.5,18.5,0
"ecan",2,"TP",16797,5048,175,"12-Jan-2005","11-Jun-2019",0,0.1,11.1,0
"ecan",2,"TURB",17790,5712,177,"12-Jan-2005","11-Jun-2019",0.1,14.4,13700,0
"es",2,"DRP",9074,2869,60,"13-Jan-2006","12-Dec-2019",0,0,0.5,0
"es",2,"ECOLI",10098,2836,60,"17-Jan-2005","12-Dec-2019",1,1422.3,150000,0
"es",2,"NH4",9102,2869,60,"13-Jan-2006","12-Dec-2019",0,0,2.2,0
"es",2,"PH",9112,2860,60,"13-Jan-2006","12-Dec-2019",3.8,7.3,9.7,0
"es",2,"TN",9100,2869,60,"13-Jan-2006","12-Dec-2019",0,1.3,20,0
"es",2,"TON",9103,2869,60,"13-Jan-2006","12-Dec-2019",0,0.9,19,0
"es",2,"TP",9080,2869,60,"13-Jan-2006","12-Dec-2019",0,0.1,3,0
"es",2,"TURB",8599,2869,60,"13-Jan-2006","12-Dec-2019",0.1,7.9,370,0
"gdc",2,"DRP",4801,1876,39,"06-Jan-2005","20-Dec-2019",0,0,4.3,0
"gdc",2,"ECOLI",5474,2255,39,"05-Jan-2005","31-Dec-2019",0,1297.9,2e+05,0
"gdc",2,"NH4",4946,1962,39,"06-Jan-2005","20-Dec-2019",0,0,5.7,0
"gdc",2,"PH",5315,2058,39,"05-Jan-2005","20-Dec-2019",6.7,8.1,10.1,0
"gdc",2,"TN",2413,1978,39,"08-Oct-2014","20-Dec-2019",0,0.6,14,0
"gdc",2,"TON",2086,1786,39,"11-Mar-2015","20-Dec-2019",0,0.2,12,0
"gdc",2,"TP",2431,1966,39,"10-Apr-2012","20-Dec-2019",0,0.1,4.9,0
"gwrc",2,"BDISC",6803,1727,41,"10-Jan-2005","20-Dec-2019",0,2.2,16,0
"gwrc",2,"DRP",6959,1794,41,"10-Jan-2005","20-Dec-2019",0,0,0.7,0
"gwrc",2,"ECOLI",6958,1787,41,"10-Jan-2005","20-Dec-2019",1,677.8,130000,0
"gwrc",2,"NH4",6961,1795,41,"10-Jan-2005","20-Dec-2019",0,0,0.6,0
"gwrc",2,"PH",5264,213,40,"10-Jan-2005","26-Sep-2019",1.9,7.4,10.7,0
"gwrc",2,"TN",6959,1796,41,"10-Jan-2005","20-Dec-2019",0,0.9,8.6,0
"gwrc",2,"TON",6957,1796,41,"10-Jan-2005","20-Dec-2019",0,0.6,8.3,0
"gwrc",2,"TP",6961,1796,41,"10-Jan-2005","20-Dec-2019",0,0,1.7,0
"hbrc",2,"BDISC",7263,2780,71,"14-Jan-2005","20-Dec-2019",0,2.3,72,0
"hbrc",2,"DRP",8204,3189,71,"14-Jan-2005","18-Dec-2019",0,0,2.5,0
"hbrc",2,"ECOLI",7820,2824,71,"14-Jan-2005","20-Dec-2019",0.5,435.7,120000,0
"hbrc",2,"PH",5618,1989,71,"10-Feb-2005","31-Jan-2019",0,7.9,13.8,0
"hbrc",2,"TN",8005,3357,71,"14-Jan-2005","20-Dec-2019",0,0.9,23,0
"hbrc",2,"TON",8419,3356,71,"14-Jan-2005","20-Dec-2019",0,0.6,10,0
"hbrc",2,"TP",8390,3358,71,"14-Jan-2005","20-Dec-2019",0,0.1,4.2,0
"hrc",2,"BDISC",12937,3506,135,"10-Jan-2005","14-May-2019",0,1.8,17,0
"hrc",2,"DRP",17462,5037,136,"10-Jan-2005","14-May-2019",0,0.1,7.6,0
"hrc",2,"ECOLI",17393,4991,135,"10-Jan-2005","14-May-2019",1,1223.1,240000,0
"hrc",2,"NH4",17456,5039,136,"10-Jan-2005","14-May-2019",0,0.2,28.9,0
"hrc",2,"PH",16513,4962,136,"13-Jun-2006","14-May-2019",1.7,7.6,12.5,0
"hrc",2,"TN",16935,5043,136,"04-Jul-2006","14-May-2019",0,1.1,57,0
"hrc",2,"TON",17447,5023,136,"10-Jan-2005","14-May-2019",0,0.6,18.6,0
"hrc",2,"TP",16960,5043,136,"12-Jan-2005","14-May-2019",0,0.1,36.7,0
"hrc",2,"TURB",17411,4991,135,"10-Jan-2005","14-May-2019",0.1,29.8,6276,0
"mdc",2,"DRP",15,15,1,"11-Jul-2018","10-Sep-2019",0,0,0,0
"mdc",2,"ECOLI",556,556,32,"04-Jul-2018","11-Dec-2019",1,258.2,41000,0
"mdc",2,"NH4",15,15,1,"11-Jul-2018","10-Sep-2019",0,0,0,0
"mdc",2,"PH",557,557,32,"04-Jul-2018","11-Dec-2019",6.3,7.4,8.5,0
"mdc",2,"TN",544,544,32,"04-Jul-2018","11-Dec-2019",0,0.5,3.3,0
"mdc",2,"TON",557,557,32,"04-Jul-2018","11-Dec-2019",0,0.4,3,0
"mdc",2,"TP",545,545,32,"04-Jul-2018","11-Dec-2019",0,0,3.5,0
"mdc",2,"TURB",557,557,32,"04-Jul-2018","11-Dec-2019",0.1,23,2500,0
"ncc",2,"BDISC",2313,1118,25,"10-Feb-2005","19-Dec-2019",0,3.8,13.4,0
"ncc",2,"DRP",2409,1139,25,"10-Feb-2005","19-Dec-2019",0,0,0.1,0
"ncc",2,"ECOLI",2380,1135,25,"10-Feb-2005","19-Dec-2019",1,621.6,190000,0
"ncc",2,"NH4",2383,1138,25,"10-Feb-2005","19-Dec-2019",0,0,11,0
"ncc",2,"PH",2414,1143,25,"10-Feb-2005","19-Dec-2019",3.7,7.9,9.4,0
"ncc",2,"TN",1364,1139,25,"14-Apr-2015","19-Dec-2019",0,0.4,3.7,0
"ncc",2,"TP",1363,1138,25,"14-Apr-2015","19-Dec-2019",0,0,0.2,0
"ncc",2,"TURB",2181,957,25,"10-Feb-2005","19-Dec-2019",0.1,3.4,380,0
"nrc",2,"BDISC",4316,1122,32,"12-Jan-2005","20-Feb-2019",0,1.4,4.1,0
"nrc",2,"DRP",4483,1153,32,"12-Jan-2005","20-Feb-2019",0,0,0.5,0
"nrc",2,"ECOLI",4529,1153,32,"12-Jan-2005","20-Feb-2019",10,1416.4,141360,0
"nrc",2,"NH4",4527,1153,32,"12-Jan-2005","20-Feb-2019",0,0,1.6,0
"nrc",2,"PH",4507,1135,32,"12-Jan-2005","20-Feb-2019",5.3,7.3,9.1,0
"nrc",2,"TN",2764,1153,32,"12-Dec-2007","20-Feb-2019",0.1,0.6,7,0
"nrc",2,"TON",4532,1153,32,"12-Jan-2005","20-Feb-2019",0,0.3,3.7,0
"nrc",2,"TP",4522,1153,32,"12-Jan-2005","20-Feb-2019",0,0.1,1.1,0
"nrc",2,"TURB",4527,1153,32,"12-Jan-2005","20-Feb-2019",0,11.7,390,0
"orc",2,"BDISC",39,0,28,"18-Jan-2005","15-Mar-2005",0.2,1.7,4.8,0
"orc",2,"DRP",5996,1922,49,"13-Jan-2005","14-Jun-2019",0,0,1.2,0
"orc",2,"ECOLI",6688,1955,49,"13-Jan-2005","14-Jun-2019",0,490.7,250000,0
"orc",2,"NH4",6061,1938,49,"13-Jan-2005","14-Jun-2019",0,0,2.9,0
"orc",2,"PH",5237,1938,49,"13-Jan-2005","14-Jun-2019",6.1,7.6,9.9,0
"orc",2,"TN",6036,1928,49,"13-Jan-2005","14-Jun-2019",0,0.6,8.2,0
"orc",2,"TON",6137,1982,49,"13-Jan-2005","14-Jun-2019",0,0.3,7.1,0
"orc",2,"TP",6005,1938,49,"13-Jan-2005","14-Jun-2019",0,0,4.2,0
"orc",2,"TURB",5581,1919,49,"13-Jan-2005","14-Jun-2019",0.1,8.1,4000,0
"tdc",2,"BDISC",1933,1067,26,"08-Feb-2005","16-Dec-2019",0,4.8,18.2,0
"tdc",2,"DRP",1600,1131,26,"09-Feb-2005","17-Dec-2019",0,0,0.2,0
"tdc",2,"ECOLI",2066,1133,26,"08-Feb-2005","17-Dec-2019",0,404.9,22000,0
"tdc",2,"NH4",1867,1131,26,"08-Feb-2005","17-Dec-2019",0,0,0.4,0
"tdc",2,"PH",1122,1079,26,"14-Feb-2005","17-Dec-2019",6.3,7.6,8.7,0
"tdc",2,"TN",1591,1126,26,"09-Feb-2005","17-Dec-2019",0,1,12.6,0
"tdc",2,"TON",1262,996,26,"06-Nov-2007","24-Jul-2019",0,0.8,10.4,0
"tdc",2,"TP",1592,1126,26,"09-Feb-2005","17-Dec-2019",0,0,0.6,0
"tdc",2,"TURB",1824,1101,26,"09-Feb-2005","17-Dec-2019",0.1,3.6,480,0
"trc",2,"BDISC",1919,461,13,"12-Jan-2005","11-Jul-2019",0,2,10.1,0
"trc",2,"DRP",1927,463,13,"12-Jan-2005","11-Jul-2019",0,0,0.2,0
"trc",2,"ECOLI",1927,463,13,"12-Jan-2005","11-Jul-2019",1,903.7,62000,0
"trc",2,"NH4",1927,463,13,"12-Jan-2005","11-Jul-2019",0,0,1.7,0
"trc",2,"PH",1927,463,13,"12-Jan-2005","11-Jul-2019",6.7,7.7,8.7,0
"trc",2,"TN",1927,463,13,"12-Jan-2005","11-Jul-2019",0,0.8,4.3,0
"trc",2,"TON",1927,463,13,"12-Jan-2005","11-Jul-2019",0,0.6,4.4,0
"trc",2,"TP",1927,463,13,"12-Jan-2005","11-Jul-2019",0,0.1,3.4,0
"trc",2,"TURB",3323,463,13,"12-Jan-2005","11-Jul-2019",0.2,8.1,1400,0
"wcrc",2,"BDISC",2853,1146,38,"06-Jan-2005","23-Dec-2019",0.1,3.6,21.5,0
"wcrc",2,"DRP",2311,1184,38,"10-Jan-2005","27-Nov-2019",0,0,0.7,0
"wcrc",2,"ECOLI",3066,1288,38,"06-Jan-2005","23-Dec-2019",1,498.4,190000,0
"wcrc",2,"NH4",2716,1191,38,"06-Jan-2005","27-Nov-2019",0,0,1.6,0
"wcrc",2,"PH",2768,1170,38,"06-Jan-2005","27-Nov-2019",3.7,6.9,9.3,0
"wcrc",2,"TN",2317,1191,38,"10-Jan-2005","27-Nov-2019",0,0.4,12,0
"wcrc",2,"TON",1394,1191,38,"17-Oct-2011","27-Nov-2019",0,0.3,1.6,0
"wcrc",2,"TP",2316,1191,38,"10-Jan-2005","27-Nov-2019",0,0,1.4,0
"wcrc",2,"TURB",2776,1185,38,"06-Jan-2005","27-Nov-2019",0,3.8,1870,0
"wrc",0,"BDISC",16295,4276,101,"06-Jan-2005","19-Dec-2019",0,1.4,10,0
"wrc",0,"DRP",19168,5114,108,"06-Jan-2005","19-Dec-2019",0,0,1.8,0
"wrc",0,"ECOLI",12027,5111,108,"06-Jan-2005","19-Dec-2019",1,786.2,1e+05,0
"wrc",0,"NH4",19173,5114,108,"06-Jan-2005","19-Dec-2019",0,0.1,2.6,0
"wrc",0,"PH",19165,5114,108,"06-Jan-2005","19-Dec-2019",3.7,7.3,9.4,0
"wrc",0,"TN",19174,5114,108,"06-Jan-2005","19-Dec-2019",0.1,1.1,10.3,0
"wrc",0,"TON",19174,5114,108,"06-Jan-2005","19-Dec-2019",0,0.7,7.7,0
"wrc",0,"TP",18848,5114,108,"06-Jan-2005","19-Dec-2019",0,0.1,4.1,0
