"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"avon01","TON","2007-01-30","2018-12-04","144","0.041","1.722"
"avon01","NH4","2007-01-30","2018-12-04","144","0.005","0.6"
"avon01","TURB","2007-01-30","2018-12-04","144","0.75","19"
"avon01","BDISC",NA,NA,"0","Inf","-Inf"
"avon01","TN","2007-01-30","2018-12-04","131","0.05","2.4"
"avon01","DRP","2007-01-30","2018-12-04","144","0.0097","0.15"
"avon01","TP","2007-01-30","2018-12-04","141","0.028","0.26"
"avon01","ECOLI","2007-01-30","2018-12-04","144","0.5","31000"
"avon01","PH",NA,NA,"0","Inf","-Inf"
"avon02","TON","2007-01-30","2018-12-04","142","0.022","2.126"
"avon02","NH4","2007-01-30","2018-12-04","142","0.005","0.79"
"avon02","TURB","2007-01-30","2018-12-04","142","0.7","50"
"avon02","BDISC",NA,NA,"0","Inf","-Inf"
"avon02","TN","2007-01-30","2018-12-04","130","0.05","3.3"
"avon02","DRP","2007-01-30","2018-12-04","142","0.0087","0.13"
"avon02","TP","2007-01-30","2018-12-04","140","0.031","0.37"
"avon02","ECOLI","2007-01-30","2018-12-04","142","1","32000"
"avon02","PH",NA,NA,"0","Inf","-Inf"
"hals04","TON","2008-10-22","2018-12-06","122","0.672","8.252"
"hals04","NH4","2008-10-22","2018-12-06","122","0.009","0.756"
"hals04","TURB","2008-10-22","2018-12-06","122","0.5","37"
"hals04","BDISC",NA,NA,"0","Inf","-Inf"
"hals04","TN","2009-01-13","2014-08-12","67","0.86","10"
"hals04","DRP","2008-10-22","2018-12-06","122","0.003","0.17"
"hals04","TP","2008-10-22","2014-08-12","69","0.02","0.51"
"hals04","ECOLI","2008-10-22","2018-12-06","121","18","7300"
"hals04","PH",NA,NA,"0","Inf","-Inf"
"sq32943","TON","2006-07-18","2018-12-06","79","4.3","10.5"
"sq32943","NH4","2006-07-18","2018-12-06","79","0.005","0.064"
"sq32943","TURB","2006-07-18","2018-12-06","78","0.1","23"
"sq32943","BDISC","2013-04-29","2018-12-06","53","1.15","10.27"
"sq32943","TN","2006-07-18","2018-12-06","67","0.01","12.2"
"sq32943","DRP","2006-07-18","2018-12-06","79","0.001","0.045"
"sq32943","TP","2006-07-18","2018-12-06","67","0.004","4.7"
"sq32943","ECOLI","2006-07-18","2018-12-06","79","10","2420"
"sq32943","PH","2012-08-24","2018-12-06","65","6.28","7.05"
"sq33055","TON","2005-01-12","2019-06-11","119","0.014","0.5"
"sq33055","NH4","2005-01-12","2019-06-11","119","0.005","0.11"
"sq33055","TURB","2005-01-12","2019-06-11","120","1","330"
"sq33055","BDISC","2013-03-11","2019-06-11","26","0.24","3.03"
"sq33055","TN","2005-01-12","2019-06-11","120","0.08","2.3"
