"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"brook at burn pl","NH4","2007-09-19","2019-12-09","86","0.005","0.033"
"brook at burn pl","BDISC","2007-09-19","2019-12-09","86","0.5","10.4"
"brook at burn pl","ECOLI","2007-09-19","2019-12-09","87","2","250"
"brook at burn pl","PH","2007-09-19","2019-12-09","87","6.88","9.22"
"brook at burn pl","TN","2015-04-14","2019-12-09","55","0.013","0.83"
"brook at burn pl","TP","2015-04-14","2019-12-09","55","0.006","0.035"
"brook at burn pl","TURB","2007-09-19","2019-12-09","77","0.25","18.1"
"brook at burn pl","DRP","2007-09-19","2019-12-09","87","0.002","0.018"
"brook at manuka st","NH4","2005-02-10","2019-12-09","97","0.005","0.022"
"brook at manuka st","BDISC","2005-02-10","2019-12-09","95","0.3","10.1"
"brook at manuka st","ECOLI","2005-02-10","2019-12-09","99","5","3000"
"brook at manuka st","PH","2005-02-10","2019-12-09","95","6.89","9.31"
"brook at manuka st","TN","2015-04-14","2019-12-09","55","0.16","0.84"
"brook at manuka st","TP","2015-04-14","2019-12-09","55","0.008","0.047"
"brook at manuka st","TURB","2005-02-10","2019-12-09","89","0.25","26"
"brook at manuka st","DRP","2005-02-10","2019-12-09","98","0.002","0.049"
"maitai south branch at intake","NH4","2005-02-10","2019-12-11","93","0.005","0.034"
"maitai south branch at intake","BDISC","2005-02-10","2019-12-11","93","1.2","12.9"
"maitai south branch at intake","ECOLI","2005-02-10","2019-12-11","94","1","220"
"maitai south branch at intake","PH","2005-02-10","2019-12-11","94","7.08","8.84"
"maitai south branch at intake","TN","2015-04-14","2019-12-11","54","0.01","0.172"
"maitai south branch at intake","TP","2015-04-14","2019-12-11","54","0.004","0.015"
"maitai south branch at intake","TURB","2005-02-10","2019-11-18","84","0.09","5.78"
"maitai south branch at intake","DRP","2005-02-10","2019-12-11","94","0.001","0.011"
"orphanage at saxton rd east","NH4","2005-02-10","2019-12-09","96","0.005","0.043"
"orphanage at saxton rd east","BDISC","2005-02-10","2019-12-09","95","0.1","7.2"
"orphanage at saxton rd east","ECOLI","2005-02-10","2019-12-09","97","1.6","15000"
"orphanage at saxton rd east","PH","2005-02-10","2019-12-09","97","6.08","9.25"
"orphanage at saxton rd east","TN","2015-04-14","2019-12-09","55","0.194","1.9"
"orphanage at saxton rd east","TP","2015-04-14","2019-12-09","55","0.007","0.093"
"orphanage at saxton rd east","TURB","2005-02-10","2019-12-09","88","0.39","65.2"
"orphanage at saxton rd east","DRP","2005-02-10","2019-12-09","98","0.001","0.026"
"poorman at barnicoat walkway","NH4","2005-02-10","2019-12-10","96","0.005","0.014"
"poorman at barnicoat walkway","BDISC","2005-02-10","2019-12-10","87","0.2","6"
"poorman at barnicoat walkway","ECOLI","2005-02-10","2019-12-10","96","1.6","230"
"poorman at barnicoat walkway","PH","2005-02-10","2019-12-10","97","6.81","8.57"
"poorman at barnicoat walkway","TN","2015-04-14","2019-12-10","55","0.12","0.93"
"poorman at barnicoat walkway","TP","2015-04-14","2019-12-10","55","0.014","0.084"
"poorman at barnicoat walkway","TURB","2005-02-10","2019-12-10","86","0.25","48.2"
"poorman at barnicoat walkway","DRP","2005-02-10","2019-12-10","97","0.002","0.063"
"poorman at seaview rd","NH4","2005-02-10","2019-12-09","96","0.005","0.034"
"poorman at seaview rd","BDISC","2005-02-10","2019-12-09","96","0.1","8.3"
"poorman at seaview rd","ECOLI","2005-02-10","2019-12-09","97","5","1500"
"poorman at seaview rd","PH","2005-02-10","2019-12-09","96","6.54","9.14"
"poorman at seaview rd","TN","2015-04-14","2019-12-09","55","0.15","1.5"
"poorman at seaview rd","TP","2015-04-14","2019-12-09","55","0.01","0.065"
"poorman at seaview rd","TURB","2005-02-10","2019-12-09","87","0.35","65.2"
"poorman at seaview rd","DRP","2005-02-10","2019-12-09","97","0.0018","0.024"
"sharland at maitai confluence","NH4","2005-02-10","2019-12-11","97","0.005","0.026"
"sharland at maitai confluence","BDISC","2005-02-10","2019-12-11","93","0.7","6.2"
"sharland at maitai confluence","ECOLI","2005-02-10","2019-12-11","98","1.6","1700"
"sharland at maitai confluence","PH","2005-02-10","2019-12-11","98","6.74","8.78"
"sharland at maitai confluence","TN","2015-04-14","2019-12-11","56","0.034","3.7"
"sharland at maitai confluence","TP","2015-04-14","2019-12-11","56","0.004","0.03"
"sharland at maitai confluence","TURB","2005-02-10","2019-12-11","89","0.2","12.4"
"sharland at maitai confluence","DRP","2005-02-10","2019-12-11","98","0.001","0.05"
"teal at 1.9km","NH4","2005-02-10","2019-12-16","97","0.005","0.052"
"teal at 1.9km","BDISC","2005-02-10","2019-12-16","95","0","10.6"
