"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"100007","TON","2006-08-16","2018-07-18","142","0.002","1.007"
"100007","TN","2011-07-13","2018-07-18","82","0.19","2.6"
"100007","NH4","2006-08-16","2018-07-18","142","0.005","0.62"
"100007","DRP","2006-08-16","2018-07-18","140","0.004","0.113"
"100007","TP","2006-08-16","2018-07-18","142","0.011","0.3"
"100007","TURB","2006-08-16","2018-07-18","142","0.89","200"
"100007","PH","2006-08-16","2018-07-18","142","6.2","7.87"
"100007","BDISC","2006-08-16","2018-07-18","136","0.21","2.6"
"100007","ECOLI","2006-08-16","2018-07-18","142","13","32550"
"100194","TON","2008-07-16","2019-02-20","127","0.083","1.25"
"100194","TN","2011-07-13","2019-02-20","89","0.15","1.7"
"100194","NH4","2008-07-16","2019-02-20","127","0.005","0.57"
"100194","DRP","2008-07-16","2019-02-20","125","0.003","0.068"
"100194","TP","2008-07-16","2019-02-20","127","0.005","0.25"
"100194","TURB","2008-07-16","2019-02-20","127","1.3","85"
"100194","PH","2008-07-16","2019-02-20","127","6.4","8.1"
"100194","BDISC","2008-07-16","2019-02-20","125","0.12","3.15"
"100194","ECOLI","2008-07-16","2019-02-20","127","62","24950"
"102248","TON","2005-01-12","2019-02-20","169","0.002","2.2"
"102248","TN","2011-07-13","2019-02-20","91","0.1","2.7"
"102248","NH4","2005-01-12","2019-02-20","169","0.005","0.32"
"102248","DRP","2005-01-12","2019-02-20","166","0.008","0.16"
"102248","TP","2005-01-12","2019-02-20","169","0.016","0.57"
"102248","TURB","2005-01-12","2019-02-20","170","3","160"
"102248","PH","2005-01-12","2019-02-20","170","5.74","7.82"
"102248","BDISC","2005-01-12","2019-02-20","162","0.1","2.52"
"102248","ECOLI","2005-01-12","2019-02-20","170","74","32550"
"102249","TON","2005-01-12","2019-02-20","170","0.002","1.47"
"102249","TN","2011-07-13","2019-02-20","91","0.1","1.6"
"102249","NH4","2005-01-12","2019-02-20","170","0.005","0.15"
"102249","DRP","2005-01-12","2019-02-20","168","0.003","0.073"
"102249","TP","2005-01-12","2019-02-20","170","0.015","0.361"
"102249","TURB","2005-01-12","2019-02-20","170","1.7","161"
"102249","PH","2005-01-12","2019-02-20","170","5.64","7.9"
