"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"42292","BDISC","2005-01-25","2019-12-18","177","0.07","2.25"
"42292","DRP","2005-01-25","2019-12-18","180","0.014","0.1"
"42292","PH","2005-01-25","2019-12-18","180","6.8","8.2"
"42292","TP","2005-01-25","2019-12-18","180","0.032","0.79"
"42292","TN","2005-01-25","2019-12-18","180","0.4","3.64"
"42292","ECOLI","2005-03-22","2019-12-18","115","30","29000"
"42292","NH4","2005-01-25","2019-12-18","180","0.01","0.161"
"42292","TON","2005-01-25","2019-12-18","180","0.23","1.39"
"42340","BDISC","2005-01-12","2016-02-11","92","0.18","4.54"
"42340","DRP","2005-01-12","2019-12-10","180","0.004","0.008"
"42340","PH","2005-01-12","2019-12-10","180","6.3","7.6"
"42340","TP","2005-01-12","2019-12-10","180","0.004","0.114"
"42340","TN","2005-01-12","2019-12-10","180","0.052","0.497"
"42340","ECOLI","2005-03-09","2019-12-10","114","7","13000"
"42340","NH4","2005-01-12","2019-12-10","180","0.01","0.02"
"42340","TON","2005-01-12","2019-12-10","180","0.002","0.167"
"43224","BDISC","2005-01-06","2019-12-04","173","0.21","2.6"
"43224","DRP","2005-01-06","2019-12-04","180","0.004","0.048"
"43224","PH","2005-01-06","2019-12-04","179","6.9","8"
"43224","TP","2005-01-06","2019-12-04","180","0.028","0.133"
"43224","TN","2005-01-06","2019-12-04","180","0.22","2.26"
"43224","ECOLI","2005-01-06","2019-12-04","177","20","9800"
"43224","NH4","2005-01-06","2019-12-04","180","0.01","0.13"
"43224","TON","2005-01-06","2019-12-04","180","0.054","1.7"
"43278","BDISC","2005-01-06","2019-12-03","165","0.45","4.18"
"43278","DRP","2005-01-06","2019-12-03","171","0.004","0.022"
"43278","PH","2005-01-06","2019-12-03","170","7","8"
"43278","TP","2005-01-06","2019-12-03","171","0.0038","0.067"
"43278","TN","2005-01-06","2019-12-03","171","0.121","0.858"
"43278","ECOLI","2005-01-06","2019-12-03","170","1","500"
"43278","NH4","2005-01-06","2019-12-03","171","0.01","0.06"
