"agency","xmlAge","var","nMeas","nMeas5","nSite","earliest","latest","minMeas","meanMeas","maxMeas","nNA"
"arc",0,"BDISC",977,0,29,"13-Jan-2005","02-Feb-2012",0,0.5,3.8,0
"arc",0,"DRP",5253,1592,34,"10-Jan-2005","23-Dec-2019",0,0,1.3,0
"arc",0,"ECOLI",4929,1597,34,"24-Jan-2005","23-Dec-2019",0,6147.9,11500000,0
"arc",0,"NH4",5174,1600,34,"10-Jan-2005","23-Dec-2019",0,0.1,12.7,0
"arc",0,"PH",4049,1570,34,"06-Jan-2009","23-Dec-2019",-20.7,7.2,17,0
"arc",0,"TN",4163,1600,34,"06-Jan-2009","23-Dec-2019",0,1.3,113,0
"arc",0,"TON",5221,1600,34,"10-Jan-2005","23-Dec-2019",0,0.8,17,0
"arc",0,"TP",5262,1600,34,"10-Jan-2005","23-Dec-2019",0,0.1,1.8,0
"arc",0,"TURB",5261,1600,34,"10-Jan-2005","23-Dec-2019",0.4,11,404,0
"boprc",0,"BDISC",4823,2583,42,"17-Jan-2005","12-Dec-2019",0,2.5,14.6,0
"boprc",0,"DRP",4876,2047,42,"17-Jan-2005","12-Dec-2019",0,0,0.9,0
"boprc",0,"ECOLI",8029,3318,47,"04-Jan-2005","28-Dec-2019",0,420.7,999900,0
"boprc",0,"NH4",4928,2037,42,"17-Jan-2005","12-Dec-2019",0,0,2.5,0
"boprc",0,"PH",4959,2021,42,"17-Jan-2005","12-Dec-2019",4.6,7.1,10,0
"boprc",0,"TN",3915,2048,41,"06-Oct-2009","12-Dec-2019",0,0.6,5.1,0
"boprc",0,"TON",4983,2046,42,"17-Jan-2005","12-Dec-2019",0,0.4,4.7,0
"boprc",0,"TP",4999,2047,42,"17-Jan-2005","12-Dec-2019",0,0.1,5.6,0
"boprc",0,"TURB",5110,2028,46,"17-Jan-2005","12-Dec-2019",0.2,9.8,3300,0
"ecan",0,"BDISC",6361,3354,129,"14-Feb-2013","19-Dec-2018",0,2.9,15.8,0
"ecan",0,"DRP",18606,6025,183,"12-Jan-2005","12-Dec-2019",0,0,1.7,0
"ecan",0,"ECOLI",18335,6017,183,"17-Jan-2005","12-Dec-2019",0.5,684,340000,0
"ecan",0,"NH4",18666,6015,183,"12-Jan-2005","12-Dec-2019",0,0,11,0
"ecan",0,"PH",12102,3988,141,"12-Jan-2005","19-Dec-2018",5.3,7.5,10.3,0
"ecan",0,"TN",17380,5879,183,"12-Jan-2005","12-Dec-2019",0,1.6,28,0
"ecan",0,"TON",18701,6040,183,"12-Jan-2005","12-Dec-2019",0,1.5,18.5,0
"ecan",0,"TP",16614,4850,176,"12-Jan-2005","12-Dec-2019",0,0.1,11.1,0
"ecan",0,"TURB",17901,5783,178,"12-Jan-2005","12-Dec-2019",0.1,13.8,13700,0
"es",0,"DRP",9074,2869,60,"13-Jan-2006","12-Dec-2019",0,0,0.5,0
"es",0,"ECOLI",10098,2836,60,"17-Jan-2005","12-Dec-2019",1,1422.3,150000,0
"es",0,"NH4",9102,2869,60,"13-Jan-2006","12-Dec-2019",0,0,2.2,0
"es",0,"PH",9112,2860,60,"13-Jan-2006","12-Dec-2019",3.8,7.3,9.7,0
"es",0,"TN",9100,2869,60,"13-Jan-2006","12-Dec-2019",0,1.3,20,0
"es",0,"TON",9103,2869,60,"13-Jan-2006","12-Dec-2019",0,0.9,19,0
"es",0,"TP",9080,2869,60,"13-Jan-2006","12-Dec-2019",0,0.1,3,0
"es",0,"TURB",8599,2869,60,"13-Jan-2006","12-Dec-2019",0.1,7.9,370,0
"gdc",0,"DRP",4801,1876,39,"06-Jan-2005","20-Dec-2019",0,0,4.3,0
"gdc",0,"ECOLI",5474,2255,39,"05-Jan-2005","31-Dec-2019",0,1297.9,2e+05,0
"gdc",0,"NH4",4946,1962,39,"06-Jan-2005","20-Dec-2019",0,0,5.7,0
"gdc",0,"PH",5315,2058,39,"05-Jan-2005","20-Dec-2019",6.7,8.1,10.1,0
"gdc",0,"TN",2413,1978,39,"08-Oct-2014","20-Dec-2019",0,0.6,14,0
"gdc",0,"TON",2086,1786,39,"11-Mar-2015","20-Dec-2019",0,0.2,12,0
"gdc",0,"TP",2431,1966,39,"10-Apr-2012","20-Dec-2019",0,0.1,4.9,0
"gwrc",0,"BDISC",6919,1843,41,"10-Jan-2005","20-Dec-2019",0,2.2,16,0
