"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"akatarawa river at hutt confluence","NH4","2005-01-28","2019-12-20","178","0.005","0.08"
"akatarawa river at hutt confluence","BDISC","2005-01-28","2019-12-20","180","0.07","8.45"
"akatarawa river at hutt confluence","ECOLI","2005-01-28","2019-12-20","180","4","2600"
"akatarawa river at hutt confluence","TON","2005-01-28","2019-12-20","178","0.001","0.48"
"akatarawa river at hutt confluence","PH","2005-01-28","2016-06-14","138","6.57","8.22"
"akatarawa river at hutt confluence","TN","2005-01-28","2019-12-20","179","0.06","1.38"
"akatarawa river at hutt confluence","TP","2005-01-28","2019-12-20","180","0.004","0.3"
"akatarawa river at hutt confluence","DRP","2005-01-28","2019-12-20","180","0.001","0.016"
"awhea river at tora rd","NH4","2005-01-10","2019-12-05","176","0.005","0.1"
"awhea river at tora rd","BDISC","2005-01-10","2019-12-05","179","0.02","5.6"
"awhea river at tora rd","ECOLI","2005-01-10","2019-12-05","176","4","11000"
"awhea river at tora rd","TON","2005-01-10","2019-12-05","176","0.001","0.42"
"awhea river at tora rd","PH","2005-01-10","2016-06-22","138","6","9"
"awhea river at tora rd","TN","2005-01-10","2019-12-05","176","0.1","2.9"
"awhea river at tora rd","TP","2005-01-10","2019-12-05","175","0.004","1.21"
"awhea river at tora rd","DRP","2005-01-10","2019-12-05","175","0.001","0.037"
"mangaone stream at sims road bridge","NH4","2005-01-21","2019-12-10","180","0.01","0.24"
"mangaone stream at sims road bridge","BDISC","2005-01-21","2019-12-10","180","0.075","1.95"
"mangaone stream at sims road bridge","ECOLI","2005-01-21","2019-12-10","180","41","39000"
"mangaone stream at sims road bridge","TON","2005-01-21","2019-12-10","180","0.364","3.9"
"mangaone stream at sims road bridge","PH","2005-01-21","2016-06-15","138","5.71","8.26"
"mangaone stream at sims road bridge","TN","2005-01-21","2019-12-10","180","0.86","4.5"
"mangaone stream at sims road bridge","TP","2005-01-21","2019-12-10","180","0.024","0.29"
"mangaone stream at sims road bridge","DRP","2005-01-21","2019-12-10","180","0.009","0.056"
"mangapouri stream at bennetts rd","NH4","2005-01-21","2019-12-10","180","0.005","0.25"
"mangapouri stream at bennetts rd","BDISC","2005-01-21","2019-12-10","180","0.06","2.45"
"mangapouri stream at bennetts rd","ECOLI","2005-01-21","2019-12-10","180","70","79000"
"mangapouri stream at bennetts rd","TON","2005-01-21","2019-12-10","180","0.042","4.51"
"mangapouri stream at bennetts rd","PH","2005-01-21","2016-06-15","138","6.08","7.87"
"mangapouri stream at bennetts rd","TN","2005-01-21","2019-12-10","180","0.51","5.2"
"mangapouri stream at bennetts rd","TP","2005-01-21","2019-12-10","180","0.04","0.62"
"mangapouri stream at bennetts rd","DRP","2005-01-21","2019-12-10","180","0.013","0.096"
"mangaroa river at te marua","NH4","2005-01-28","2019-12-20","180","0.005","0.13"
"mangaroa river at te marua","BDISC","2005-01-28","2019-12-20","180","0.06","7.8"
"mangaroa river at te marua","ECOLI","2005-01-28","2019-12-20","180","11","13000"
"mangaroa river at te marua","TON","2005-01-28","2019-12-20","180","0.005","1.6"
"mangaroa river at te marua","PH","2005-01-28","2016-06-14","138","5.9","8.81"
"mangaroa river at te marua","TN","2005-01-28","2019-12-20","180","0.34","1.8"
"mangaroa river at te marua","TP","2005-01-28","2019-12-20","180","0.004","0.136"
"mangaroa river at te marua","DRP","2005-01-28","2019-12-20","180","0.0011","0.043"
"mangatarere river at state highway 2","NH4","2005-01-14","2019-12-18","180","0.005","0.63"
"mangatarere river at state highway 2","BDISC","2005-01-14","2019-12-18","180","0.026","6.55"
"mangatarere river at state highway 2","ECOLI","2005-01-14","2019-12-18","180","6","8900"
"mangatarere river at state highway 2","TON","2005-01-14","2019-12-18","180","0.29","3.1"
"mangatarere river at state highway 2","PH","2005-01-14","2016-09-27","139","1.89","8.95"
"mangatarere river at state highway 2","TN","2005-01-14","2019-12-18","180","0.48","3.5"
"mangatarere river at state highway 2","TP","2005-01-14","2019-12-18","180","0.012","0.81"
"mangatarere river at state highway 2","DRP","2005-01-14","2019-12-18","180","0.0025","0.71"
"otaki river at mouth","NH4","2005-01-21","2019-12-10","180","0.005","0.07"
"otaki river at mouth","BDISC","2005-01-21","2019-12-10","180","0.05","9.51"
"otaki river at mouth","ECOLI","2005-01-21","2019-12-10","180","2","600"
"otaki river at mouth","TON","2005-01-21","2019-12-10","179","0.0012","0.22"
"otaki river at mouth","PH","2005-01-21","2016-06-15","138","6.3","8.54"
"otaki river at mouth","TN","2005-01-21","2019-12-10","180","0.05","0.73"
"otaki river at mouth","TP","2005-01-21","2019-12-10","180","0.004","0.119"
"otaki river at mouth","DRP","2005-01-21","2019-12-10","180","0.001","0.01"
"otaki river at pukehinau","NH4","2005-01-21","2019-12-10","180","0.005","0.15"
"otaki river at pukehinau","BDISC","2005-01-21","2019-12-10","180","0.04","11.54"
"otaki river at pukehinau","ECOLI","2005-01-21","2019-12-10","180","1","380"
"otaki river at pukehinau","TON","2005-01-21","2019-12-10","179","0.002","0.19"
"otaki river at pukehinau","PH","2005-01-21","2016-06-15","138","5.81","8.32"
"otaki river at pukehinau","TN","2005-01-21","2019-12-10","179","0.05","0.47"
"otaki river at pukehinau","TP","2005-01-21","2019-12-10","180","0.004","0.11"
"otaki river at pukehinau","DRP","2005-01-21","2019-12-10","180","0.002","0.011"
"pakuratahi river 50m below farm creek","NH4","2005-01-28","2019-12-20","180","0.005","0.04"
"pakuratahi river 50m below farm creek","BDISC","2005-01-28","2019-12-20","180","0.04","9.98"
"pakuratahi river 50m below farm creek","ECOLI","2005-01-28","2019-12-20","180","1","5700"
"pakuratahi river 50m below farm creek","TON","2005-01-28","2019-12-20","179","0.059","0.55"
"pakuratahi river 50m below farm creek","PH","2005-01-28","2016-06-14","138","6.11","8.31"
"pakuratahi river 50m below farm creek","TN","2005-01-28","2019-12-20","179","0.1","0.95"
"pakuratahi river 50m below farm creek","TP","2005-01-28","2019-12-20","180","0.004","0.2"
"pakuratahi river 50m below farm creek","DRP","2005-01-28","2019-12-20","180","0.001","0.014"
"parkvale stream at renalls weir","NH4","2005-01-14","2019-12-18","179","0.005","0.28"
"parkvale stream at renalls weir","BDISC","2005-01-14","2019-12-18","179","0.09","4.01"
"parkvale stream at renalls weir","ECOLI","2005-01-14","2019-12-18","179","1","37000"
"parkvale stream at renalls weir","TON","2005-01-14","2019-12-18","179","0.001","5.35"
"parkvale stream at renalls weir","PH","2005-01-14","2016-06-29","137","6.6","9.42"
"parkvale stream at renalls weir","TN","2005-01-14","2019-12-18","179","0.28","6.6"
"parkvale stream at renalls weir","TP","2005-01-14","2019-12-18","179","0.021","0.47"
"parkvale stream at renalls weir","DRP","2005-01-14","2019-12-18","179","0.0038","0.31"
"parkvale tributary at lowes reserve","NH4","2005-01-14","2019-12-18","152","0.005","0.08"
"parkvale tributary at lowes reserve","BDISC","2005-01-14","2019-12-18","155","0.1","4.5"
"parkvale tributary at lowes reserve","ECOLI","2005-01-14","2019-12-18","152","1","3800"
"parkvale tributary at lowes reserve","TON","2005-01-14","2019-12-18","150","1.96","8.3"
"parkvale tributary at lowes reserve","PH","2005-01-14","2016-07-01","116","6","8.01"
"parkvale tributary at lowes reserve","TN","2005-01-14","2019-12-18","149","2.7","8.6"
"parkvale tributary at lowes reserve","TP","2005-01-14","2019-12-18","151","0.004","0.12"
"parkvale tributary at lowes reserve","DRP","2005-01-14","2019-12-18","151","0.001","0.093"
"pauatahanui stream at elmwood bridge","NH4","2005-01-27","2019-12-19","180","0.005","0.16"
"pauatahanui stream at elmwood bridge","BDISC","2005-01-27","2019-12-19","180","0.05","4.13"
"pauatahanui stream at elmwood bridge","ECOLI","2005-01-27","2019-12-19","180","21","11000"
"pauatahanui stream at elmwood bridge","TON","2005-01-27","2019-12-19","180","0.001","0.93"
"pauatahanui stream at elmwood bridge","PH","2005-01-27","2016-06-16","138","6.03","9.41"
"pauatahanui stream at elmwood bridge","TN","2005-01-27","2019-12-19","180","0.12","2.9"
"pauatahanui stream at elmwood bridge","TP","2005-01-27","2019-12-19","180","0.01","0.32"
"pauatahanui stream at elmwood bridge","DRP","2005-01-27","2019-12-19","180","0.0018","0.047"
"enaki stream d/s site for riparian","NH4","2005-02-01","2019-12-18","170","0.005","0.091"
"enaki stream d/s site for riparian","BDISC","2010-01-20","2019-12-18","116","0.029","6.125"
"enaki stream d/s site for riparian","ECOLI","2005-02-01","2019-12-18","164","4","20000"
"enaki stream d/s site for riparian","TON","2005-02-01","2019-12-18","170","0.002","2.75"
"enaki stream d/s site for riparian","PH","2005-02-01","2016-07-05","134","5.86","9.55"
"enaki stream d/s site for riparian","TN","2005-02-01","2019-12-18","170","0.12","3.1"
"enaki stream d/s site for riparian","TP","2005-02-01","2019-12-18","170","0.008","0.61"
"enaki stream d/s site for riparian","DRP","2005-02-01","2019-12-18","170","0.0037","0.05"
"porirua stream at milk depot","NH4","2005-01-21","2019-12-19","179","0.005","0.295"
"porirua stream at milk depot","BDISC","2005-01-21","2019-12-19","180","0.05","5.42"
"porirua stream at milk depot","ECOLI","2005-01-21","2019-12-19","179","60","25000"
"porirua stream at milk depot","TON","2005-01-21","2019-12-19","179","0.103","2"
"porirua stream at milk depot","PH","2005-01-21","2016-06-16","138","6.23","9.1"
"porirua stream at milk depot","TN","2005-01-21","2019-12-19","180","0.35","4.7"
"porirua stream at milk depot","TP","2005-01-21","2019-12-19","180","0.015","0.32"
"porirua stream at milk depot","DRP","2005-01-21","2019-12-19","180","0.004","0.059"
"ruamahanga river at gladstone bridge","NH4","2005-01-17","2019-11-27","179","0.005","0.172"
