"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"aropaoanui river at aropaoanui","BDISC","2005-02-14","2019-12-18","111","0.05","6.1"
"aropaoanui river at aropaoanui","DRP","2005-02-14","2019-11-13","118","0.004","0.064"
"aropaoanui river at aropaoanui","ECOLI","2005-02-14","2019-12-18","112","1","9000"
"aropaoanui river at aropaoanui","TON","2005-02-14","2019-12-18","119","0.001","0.65"
"aropaoanui river at aropaoanui","PH","2005-08-15","2018-07-02","79","6.58","9.4"
"aropaoanui river at aropaoanui","TN","2005-02-14","2019-12-18","114","0.11","1.42"
"aropaoanui river at aropaoanui","TP","2005-02-14","2019-12-18","238","0.015","0.33"
"awanui stream at flume","BDISC","2009-08-05","2019-11-05","78","0","2.8"
"awanui stream at flume","DRP","2009-08-05","2019-12-11","97","0.06","0.66"
"awanui stream at flume","ECOLI","2009-08-05","2019-12-11","95","5","80000"
"awanui stream at flume","TON","2009-08-05","2019-12-11","100","0.001","5"
"awanui stream at flume","PH","2009-08-05","2018-06-07","75","7.1","8.57"
"awanui stream at flume","TN","2009-08-05","2019-12-11","97","0.52","8.6"
"awanui stream at flume","TP","2009-08-05","2019-12-11","198","0.086","1.23"
"maharakeke stream at state highway 2 br","BDISC","2015-02-23","2019-11-20","36","0.41","8"
"maharakeke stream at state highway 2 br","DRP","2015-02-23","2019-12-18","50","0.0023","0.21"
"maharakeke stream at state highway 2 br","ECOLI","2015-02-23","2019-10-23","37","8","2500"
"maharakeke stream at state highway 2 br","TON","2015-02-23","2019-12-18","50","0.0126","3.8"
"maharakeke stream at state highway 2 br","PH","2015-02-23","2018-05-15","28","7.26","8.7"
"maharakeke stream at state highway 2 br","TN","2015-02-23","2019-12-18","50","0.24","4.6"
"maharakeke stream at state highway 2 br","TP","2015-02-23","2019-12-18","100","0.01","0.24"
"mahiaruhe stream at tutira outlet s.h.2","BDISC","2005-02-14","2019-12-18","66","0.03","3"
"mahiaruhe stream at tutira outlet s.h.2","DRP","2005-02-14","2019-11-13","69","0.0066","0.095"
