"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"arnold rv @ blairs rd no. 2 br","NH4","2005-01-10","2019-12-10","85","0.005","0.14"
"arnold rv @ blairs rd no. 2 br","DRP","2005-01-10","2019-12-10","86","0.001","0.005"
"arnold rv @ blairs rd no. 2 br","ECOLI","2005-01-06","2019-12-10","117","1","1900"
"arnold rv @ blairs rd no. 2 br","TON","2014-11-25","2019-12-10","47","0.091","0.25"
"arnold rv @ blairs rd no. 2 br","TN","2005-01-10","2019-12-10","86","0.11","0.6"
"arnold rv @ blairs rd no. 2 br","PH","2005-01-10","2019-12-10","98","6.27","8.4"
"arnold rv @ blairs rd no. 2 br","TP","2005-01-10","2019-12-10","86","0.004","0.018"
"arnold rv @ blairs rd no. 2 br","TURB","2005-01-10","2019-12-10","96","0.1","8.8"
"arnold rv @ blairs rd no. 2 br","BDISC","2005-01-10","2019-11-27","101","0.83","5.7"
"arnold rv @ kotuku fishing access","NH4","2005-04-05","2019-12-10","95","0.005","0.086"
"arnold rv @ kotuku fishing access","DRP","2005-04-05","2019-12-10","95","0.001","0.015"
"arnold rv @ kotuku fishing access","ECOLI","2005-04-05","2019-12-10","115","1","1800"
"arnold rv @ kotuku fishing access","TON","2014-11-25","2019-12-10","46","0.031","0.155"
"arnold rv @ kotuku fishing access","TN","2005-04-05","2019-12-10","95","0.1","0.89"
"arnold rv @ kotuku fishing access","PH","2005-01-10","2019-12-10","100","6.5","8.7"
"arnold rv @ kotuku fishing access","TP","2005-04-05","2019-12-10","95","0.002","0.098"
"arnold rv @ kotuku fishing access","TURB","2005-04-05","2019-12-10","94","0.1","7.3"
"arnold rv @ kotuku fishing access","BDISC","2005-01-10","2019-11-27","107","1.59","7.1"
"baker ck @ baker ck rd","NH4","2006-07-18","2019-12-12","74","0.005","0.029"
"baker ck @ baker ck rd","DRP","2008-03-07","2019-12-12","62","0.0012","0.014"
"baker ck @ baker ck rd","ECOLI","2006-07-18","2019-12-12","72","2","1800"
"baker ck @ baker ck rd","TON","2014-11-14","2019-12-12","40","0.001","0.031"
"baker ck @ baker ck rd","TN","2008-03-07","2019-12-12","62","0.14","1.72"
"baker ck @ baker ck rd","PH","2006-07-18","2019-12-12","74","6.3","7.86"
"baker ck @ baker ck rd","TP","2008-03-07","2019-12-12","62","0.0025","0.118"
"baker ck @ baker ck rd","TURB","2006-07-18","2019-12-12","74","0.1","33.5"
"baker ck @ baker ck rd","BDISC","2006-07-18","2019-12-12","72","0.3","1.8"
"baker ck @ oparara rd","NH4","2005-06-18","2019-12-12","75","0.005","0.72"
"baker ck @ oparara rd","DRP","2008-03-07","2019-12-12","62","0.001","0.13"
"baker ck @ oparara rd","ECOLI","2005-06-18","2019-12-12","73","50","4900"
"baker ck @ oparara rd","TON","2014-11-14","2019-12-12","40","0.0056","0.156"
"baker ck @ oparara rd","TN","2008-03-07","2019-12-12","62","0.22","1.28"
"baker ck @ oparara rd","PH","2005-06-18","2019-12-12","75","5.88","7.6"
"baker ck @ oparara rd","TP","2008-03-07","2019-12-12","62","0.009","0.26"
"baker ck @ oparara rd","TURB","2006-07-18","2019-12-12","74","1.2","30.4"
"baker ck @ oparara rd","BDISC","2005-06-18","2019-12-12","71","0.24","1.65"
"berry ck @ n brch wanganui flat rd","NH4","2005-01-12","2019-10-17","59","0.005","0.066"
"berry ck @ n brch wanganui flat rd","DRP","2008-04-09","2019-10-17","44","0.001","0.0136"
"berry ck @ n brch wanganui flat rd","ECOLI","2005-01-12","2019-10-17","59","5","3800"
"berry ck @ n brch wanganui flat rd","TON","2014-10-16","2019-10-17","21","0.001","0.51"
"berry ck @ n brch wanganui flat rd","TN","2008-04-09","2019-10-17","44","0.16","0.62"
"berry ck @ n brch wanganui flat rd","PH","2005-01-12","2019-10-17","59","6.45","7.98"
"berry ck @ n brch wanganui flat rd","TP","2008-04-09","2019-10-17","44","0.004","0.044"
"berry ck @ n brch wanganui flat rd","TURB","2005-04-01","2019-10-17","58","0.1","3.7"
"berry ck @ n brch wanganui flat rd","BDISC","2005-01-12","2019-10-17","60","1.05","8.27"
"blackwater ck @ farm 846","NH4","2006-07-18","2019-12-12","74","0.005","0.79"
"blackwater ck @ farm 846","DRP","2008-03-07","2019-12-12","62","0.002","0.073"
"blackwater ck @ farm 846","ECOLI","2006-07-18","2019-12-12","71","5","17000"
"blackwater ck @ farm 846","TON","2014-11-14","2019-12-12","40","0.126","1.2"
"blackwater ck @ farm 846","TN","2008-03-07","2019-12-12","62","0.69","3.3"
"blackwater ck @ farm 846","PH","2006-07-18","2019-12-12","74","5.7","7.2"
"blackwater ck @ farm 846","TP","2008-03-07","2019-12-12","62","0.033","0.61"
"blackwater ck @ farm 846","TURB","2006-07-18","2019-12-12","74","2.3","60.3"
"blackwater ck @ farm 846","BDISC","2006-07-18","2007-10-30","7","0.25","0.74"
"bradshaws ck @ bradshaw rd","NH4","2005-01-07","2019-12-11","79","0.005","0.193"
"bradshaws ck @ bradshaw rd","DRP","2008-03-06","2019-12-11","62","0.003","0.044"
"bradshaws ck @ bradshaw rd","ECOLI","2005-01-07","2019-12-11","79","10","32000"
"bradshaws ck @ bradshaw rd","TON","2014-11-13","2019-12-11","40","0.073","0.72"
"bradshaws ck @ bradshaw rd","TN","2008-03-06","2019-12-11","62","0.42","12"
"bradshaws ck @ bradshaw rd","PH","2005-01-07","2019-12-11","79","5.52","7.3"
"bradshaws ck @ bradshaw rd","TP","2008-03-06","2019-12-11","62","0.02","0.15"
"bradshaws ck @ bradshaw rd","TURB","2005-01-07","2019-12-11","78","0.6","18.9"
"bradshaws ck @ bradshaw rd","BDISC","2005-01-07","2019-12-11","74","0.42","3.36"
"burkes ck @ sh69","NH4","2005-01-06","2019-12-05","84","0.005","0.067"
"burkes ck @ sh69","DRP",NA,NA,"0","Inf","-Inf"
"burkes ck @ sh69","ECOLI",NA,NA,"0","Inf","-Inf"
"burkes ck @ sh69","TON",NA,NA,"0","Inf","-Inf"
"burkes ck @ sh69","TN",NA,NA,"0","Inf","-Inf"
"burkes ck @ sh69","PH",NA,NA,"0","Inf","-Inf"
"burkes ck @ sh69","TP",NA,NA,"0","Inf","-Inf"
"burkes ck @ sh69","TURB",NA,NA,"0","Inf","-Inf"
"burkes ck @ sh69","BDISC",NA,NA,"0","Inf","-Inf"
