"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"avon01","NH4","2007-01-30","2019-12-10","156","0.005","0.6"
"avon01","ECOLI","2007-01-30","2019-12-10","156","0.5","31000"
"avon01","TP","2007-01-30","2019-12-10","153","0.028","0.26"
"avon01","DRP","2007-01-30","2019-12-10","156","0.0097","0.15"
"avon01","TON","2007-01-30","2019-12-10","156","0.041","1.722"
"avon01","TN","2007-01-30","2019-12-10","143","0.05","2.4"
"avon01","TURB","2007-01-30","2019-12-10","156","0.75","19"
"avon01","BDISC",NA,NA,"0","Inf","-Inf"
"avon01","PH",NA,NA,"0","Inf","-Inf"
"avon02","NH4","2007-01-30","2019-12-10","154","0.005","0.79"
"avon02","ECOLI","2007-01-30","2019-12-10","154","1","32000"
"avon02","TP","2007-01-30","2019-12-10","152","0.031","0.37"
"avon02","DRP","2007-01-30","2019-12-10","154","0.0087","0.13"
"avon02","TON","2007-01-30","2019-12-10","154","0.022","2.126"
"avon02","TN","2007-01-30","2019-12-10","142","0.05","3.3"
"avon02","TURB","2007-01-30","2019-12-10","154","0.7","50"
"avon02","BDISC",NA,NA,"0","Inf","-Inf"
"avon02","PH",NA,NA,"0","Inf","-Inf"
"hals04","NH4","2008-10-22","2019-12-12","134","0.009","0.756"
"hals04","ECOLI","2008-10-22","2019-12-12","133","18","7300"
"hals04","TP","2008-10-22","2014-08-12","69","0.02","0.51"
"hals04","DRP","2008-10-22","2019-12-12","134","0.003","0.17"
"hals04","TON","2008-10-22","2019-12-12","134","0.672","8.252"
"hals04","TN","2009-01-13","2014-08-12","67","0.86","10"
"hals04","TURB","2008-10-22","2019-12-12","134","0.5","37"
"hals04","BDISC",NA,NA,"0","Inf","-Inf"
"hals04","PH",NA,NA,"0","Inf","-Inf"
"sq30916","NH4","2005-04-04","2019-12-17","113","0.005","0.35"
"sq30916","ECOLI","2005-04-04","2019-12-17","112","19","2420"
"sq30916","TP","2005-04-04","2019-12-17","113","0.004","7.1"
"sq30916","DRP","2005-04-04","2019-12-17","113","0.0027","0.1"
"sq30916","TON","2005-04-04","2019-12-17","113","1.38","7.6"
"sq30916","TN","2005-04-04","2019-12-17","113","1.52","8.3"
"sq30916","TURB","2005-04-04","2019-12-17","113","0.1","230"
"sq30916","BDISC","2013-02-14","2019-12-17","76","0.06","8.14"
"sq30916","PH","2005-04-04","2019-12-17","218","6.95","8.19"
"sq30928","NH4","2005-04-04","2019-12-10","115","0.005","0.19"
