"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"awapuni drain site 6 u/s of rayonier at fenceline","NH4","2005-01-10","2019-10-21","103","0.005","1.7"
"awapuni drain site 6 u/s of rayonier at fenceline","ECOLI","2005-01-10","2019-10-21","106","3.3","62999"
"awapuni drain site 6 u/s of rayonier at fenceline","DRP","2005-01-10","2019-10-21","103","0.059","2.38"
"awapuni drain site 6 u/s of rayonier at fenceline","PH","2005-01-10","2019-10-21","107","7.3","9.4"
"awapuni drain site 6 u/s of rayonier at fenceline","TN","2014-11-26","2019-10-21","51","0.46","5.6"
"awapuni drain site 6 u/s of rayonier at fenceline","TON","2015-03-11","2019-10-21","49","0.002","0.92"
"awapuni drain site 6 u/s of rayonier at fenceline","TP","2014-11-26","2019-10-21","51","0.24","4.9"
"awatere river at sh35 bridge","NH4","2012-04-24","2019-12-20","71","0.005","0.028"
"awatere river at sh35 bridge","ECOLI","2005-02-23","2019-12-20","112","1.6","7700"
"awatere river at sh35 bridge","DRP","2012-04-24","2019-12-20","70","0.004","0.031"
"awatere river at sh35 bridge","PH","2012-04-24","2019-12-20","69","7.7","9.09"
"awatere river at sh35 bridge","TN","2014-10-23","2019-12-20","58","0.01","0.22"
"awatere river at sh35 bridge","TON","2015-04-22","2019-12-20","54","0.002","0.17"
"awatere river at sh35 bridge","TP","2014-10-23","2019-12-20","58","0.006","1.9"
"matawai stream at tawai","NH4","2012-04-10","2019-12-05","94","0.01","0.67"
"matawai stream at tawai","ECOLI","2012-04-10","2019-12-05","93","9.8","63000"
"matawai stream at tawai","DRP","2012-04-10","2019-12-05","92","0.004","0.086"
"matawai stream at tawai","PH","2012-04-10","2019-12-05","91","7.2","8.46"
"matawai stream at tawai","TN","2014-10-16","2019-12-05","64","0.14","3"
"matawai stream at tawai","TON","2015-03-23","2019-11-05","57","0.015","1.28"
"matawai stream at tawai","TP","2012-04-10","2019-12-05","94","0.014","0.31"
"motu river above falls","NH4","2016-03-16","2019-12-05","47","0.005","0.046"
"motu river above falls","ECOLI","2016-03-16","2019-12-05","47","15","28000"
"motu river above falls","DRP","2016-03-16","2019-12-05","47","0.005","0.034"
"motu river above falls","PH","2016-03-16","2019-12-05","43","7.34","8.91"
"motu river above falls","TN","2016-03-16","2019-12-05","47","0.16","2.1"
"motu river above falls","TON","2016-03-16","2019-11-05","45","0.002","0.61"
"motu river above falls","TP","2016-03-16","2019-12-05","47","0.021","0.2"
"motu river at kotare station bridge","NH4","2005-01-12","2019-12-05","177","0.005","0.05"
"motu river at kotare station bridge","ECOLI","2005-01-12","2019-12-05","170","8.2","15000"
"motu river at kotare station bridge","DRP","2005-01-12","2019-12-05","174","0.004","0.042"
"motu river at kotare station bridge","PH","2015-07-13","2019-12-05","54","7.34","9.71"
"motu river at kotare station bridge","TN","2014-10-16","2019-12-05","64","0.1","0.93"
"motu river at kotare station bridge","TON","2015-03-23","2019-11-05","57","0.01","0.59"
"motu river at kotare station bridge","TP","2014-10-16","2019-12-05","64","0.021","0.19"
"motu river at matawai conservation area","NH4","2015-07-16","2019-12-05","53","0.005","0.047"
"motu river at matawai conservation area","ECOLI","2015-07-16","2019-12-05","53","1.6","7600"
"motu river at matawai conservation area","DRP","2015-07-16","2019-12-05","53","0.007","0.022"
"motu river at matawai conservation area","PH","2015-07-16","2019-12-05","52","6.8","9.67"
"motu river at matawai conservation area","TN","2015-07-16","2019-12-05","53","0.031","0.54"
"motu river at matawai conservation area","TON","2015-07-16","2019-11-05","51","0.002","0.38"
"motu river at matawai conservation area","TP","2015-07-16","2019-12-05","53","0.01","0.069"
"oweka river at sh35 bridge","NH4","2005-02-23","2019-12-20","113","0.005","0.06"
"oweka river at sh35 bridge","ECOLI","2005-02-23","2019-12-20","112","4.9","2700"
"oweka river at sh35 bridge","DRP","2005-02-23","2019-12-20","112","0.004","0.062"
"oweka river at sh35 bridge","PH","2005-02-23","2019-12-20","110","7","9.43"
"oweka river at sh35 bridge","TN","2014-10-23","2019-12-20","58","0.01","0.41"
"oweka river at sh35 bridge","TON","2015-04-22","2019-12-20","54","0.002","0.18"
"oweka river at sh35 bridge","TP","2014-10-23","2019-12-20","58","0.007","0.49"
"pakarae river at pakarae station bridge","NH4","2005-01-26","2019-12-09","115","0.005","0.096"
"pakarae river at pakarae station bridge","ECOLI","2005-01-26","2019-12-09","114","15","22325"
"pakarae river at pakarae station bridge","DRP","2005-01-26","2019-12-09","111","0.002","0.094"
"pakarae river at pakarae station bridge","PH","2005-01-26","2019-12-09","113","7.4","9.28"
"pakarae river at pakarae station bridge","TN","2014-11-20","2019-12-09","58","0.15","1.2"
"pakarae river at pakarae station bridge","TON","2015-03-19","2019-11-11","54","0.002","0.82"
"pakarae river at pakarae station bridge","TP","2014-11-20","2019-12-09","58","0.008","0.67"
"poroporo river at rangitukia rd bridge","NH4","2005-01-26","2019-12-20","114","0.005","0.076"
"poroporo river at rangitukia rd bridge","ECOLI","2005-01-26","2019-12-20","110","8.2","6956"
"poroporo river at rangitukia rd bridge","DRP","2005-01-26","2019-12-20","111","0.004","0.076"
"poroporo river at rangitukia rd bridge","PH","2005-01-26","2019-12-20","110","7.7","8.44"
"poroporo river at rangitukia rd bridge","TN","2014-11-20","2019-12-20","58","0.02","0.44"
"poroporo river at rangitukia rd bridge","TON","2015-03-19","2019-12-20","55","0.002","0.3"
"poroporo river at rangitukia rd bridge","TP","2014-11-20","2019-12-20","58","0.005","2.1"
