"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"mgh000950","BDISC","2005-01-12","2019-07-10","164","0.04","4.04"
"mgh000950","TURB","2005-01-12","2019-07-10","290","0.76","390"
"mgh000950","DRP","2005-01-12","2019-07-10","164","0.001","0.018"
"mgh000950","ECOLI","2005-01-12","2019-07-10","164","23","16000"
"mgh000950","NH4","2005-01-12","2019-07-10","164","0.003","0.063"
"mgh000950","TON","2005-01-12","2019-07-10","164","0.001","0.43"
"mgh000950","PH","2005-01-12","2019-07-10","164","6.8","8.4"
"mgh000950","TN","2005-01-12","2019-07-10","164","0.05","2.72"
"mgh000950","TP","2005-01-12","2019-07-10","164","0.006","0.635"
"wgg000900","BDISC","2005-01-12","2019-07-10","162","0.12","4.34"
"wgg000900","TURB","2005-01-12","2019-07-10","288","0.81","56"
"wgg000900","DRP","2005-01-12","2019-07-10","162","0.0145","0.141"
"wgg000900","ECOLI","2005-01-12","2019-07-10","162","40","41000"
"wgg000900","NH4","2005-01-12","2019-07-10","162","0.003","0.167"
"wgg000900","TON","2005-01-12","2019-07-10","162","0.48","3.22"
"wgg000900","PH","2005-01-12","2019-07-10","162","7.2","8.4"
"wgg000900","TN","2005-01-12","2019-07-10","162","0.55","3.62"
"wgg000900","TP","2005-01-12","2019-07-10","162","0.028","0.288"
"wkh000500","BDISC","2005-01-12","2019-06-12","164","0.14","5.67"
"wkh000500","TURB","2005-01-12","2019-06-12","290","0.27","35"
"wkh000500","DRP","2005-01-12","2019-06-12","164","0.007","0.057"
"wkh000500","ECOLI","2005-01-12","2019-06-12","164","26","56000"
"wkh000500","NH4","2005-01-12","2019-06-12","164","0.003","0.101"
"wkh000500","TON","2005-01-12","2019-06-12","164","0.0026","0.44"
"wkh000500","PH","2005-01-12","2019-06-12","164","7.2","8.3"
"wkh000500","TN","2005-01-12","2019-06-12","164","0.05","1"
"wkh000500","TP","2005-01-12","2019-06-12","164","0.016","0.153"
"mkw000300","BDISC","2005-01-12","2019-07-10","174","0.09","5.23"
"mkw000300","TURB","2005-01-12","2019-07-10","301","0.36","75"
"mkw000300","DRP","2005-01-12","2019-07-10","174","0.004","0.108"
"mkw000300","ECOLI","2005-01-12","2019-07-10","174","50","62000"
"mkw000300","NH4","2005-01-12","2019-07-10","174","0.003","0.252"
"mkw000300","TON","2005-01-12","2019-07-10","174","0.01","0.8"
"mkw000300","PH","2005-01-12","2019-07-10","174","6.8","8"
"mkw000300","TN","2005-01-12","2019-07-10","174","0.05","2.07"
"mkw000300","TP","2005-01-12","2019-07-10","174","0.02","0.774"
"wnr000450","BDISC","2016-03-10","2019-07-11","30","0.09","1.32"
"wnr000450","TURB","2015-07-09","2019-07-11","43","3.6","760"
"wnr000450","DRP","2015-07-09","2019-07-11","38","0.0056","0.039"
"wnr000450","ECOLI","2015-07-09","2019-07-11","38","23","5800"
"wnr000450","NH4","2015-07-09","2019-07-11","38","0.005","0.096"
"wnr000450","TON","2015-07-09","2019-07-11","38","0.09","0.65"
"wnr000450","PH","2015-07-09","2019-07-11","38","7.1","8.1"
"wnr000450","TN","2015-07-09","2019-07-11","38","0.32","1.62"
