"Site","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"are are creek at kaituna tuamarina track","NH4","2018-08-08","2019-12-09","17","0.005","0.046"
"are are creek at kaituna tuamarina track","DRP","2018-08-08","2019-12-09","17","0.001","0.029"
"are are creek at kaituna tuamarina track","TN","2018-08-08","2019-12-09","17","0.39","0.99"
"are are creek at kaituna tuamarina track","TP","2018-08-08","2019-12-09","17","0.004","0.22"
"are are creek at kaituna tuamarina track","TURB","2018-08-08","2019-12-09","17","0.44","97"
"are are creek at kaituna tuamarina track","ECOLI","2018-08-08","2019-12-09","17","13","41000"
"are are creek at kaituna tuamarina track","TON","2018-08-08","2019-12-09","17","0.25","0.87"
"are are creek at kaituna tuamarina track","PH","2018-08-08","2019-12-09","17","7","7.5"
"awatere river at awapiri","NH4","2018-08-13","2019-12-10","17","0.005","0.011"
"awatere river at awapiri","DRP","2018-08-13","2019-12-10","17","0.0046","0.0148"
"awatere river at awapiri","TN","2018-08-13","2019-12-10","17","0.041","3"
"awatere river at awapiri","TP","2018-08-13","2019-12-10","17","0.008","1.35"
"awatere river at awapiri","TURB","2018-08-13","2019-12-10","17","0.68","2100"
"awatere river at awapiri","ECOLI","2018-08-13","2019-12-10","17","1","610"
"awatere river at awapiri","TON","2018-08-13","2019-12-10","17","0.002","2.2"
"awatere river at awapiri","PH","2018-08-13","2019-12-10","17","7.7","8.1"
"mill creek at ormonds","NH4","2018-08-13","2019-12-09","17","0.005","0.011"
"mill creek at ormonds","DRP","2018-08-13","2019-12-09","17","0.0084","0.0149"
"mill creek at ormonds","TN","2018-08-13","2019-12-09","17","0.9","3.3"
"mill creek at ormonds","TP","2018-08-13","2019-12-09","17","0.012","0.028"
"mill creek at ormonds","TURB","2018-08-13","2019-12-09","17","0.95","3.3"
"mill creek at ormonds","ECOLI","2018-08-13","2019-12-09","17","40","540"
"mill creek at ormonds","TON","2018-08-13","2019-12-09","17","0.7","3"
"mill creek at ormonds","PH","2018-08-13","2019-12-09","17","7.2","7.6"
"murphys creek at nelson street","NH4","2018-08-08","2019-12-09","17","0.005","0.005"
"murphys creek at nelson street","DRP","2018-08-08","2019-12-09","17","0.008","0.0116"
"murphys creek at nelson street","TN","2018-08-08","2019-12-09","17","0.81","1.38"
"murphys creek at nelson street","TP","2018-08-08","2019-12-09","17","0.008","0.07"
"murphys creek at nelson street","TURB","2018-08-08","2019-12-09","17","0.14","1.27"
"murphys creek at nelson street","ECOLI","2018-08-08","2019-12-09","17","20","450"
"murphys creek at nelson street","TON","2018-08-08","2019-12-09","17","0.81","1.36"
"murphys creek at nelson street","PH","2018-08-08","2019-12-09","17","6.7","7.3"
"omaka river at hawkesbury road bridge","NH4","2018-08-09","2019-12-11","17","0.005","0.011"
"omaka river at hawkesbury road bridge","DRP","2018-08-09","2019-12-11","17","0.0018","0.0082"
"omaka river at hawkesbury road bridge","TN","2018-08-09","2019-12-11","17","0.09","0.66"
"omaka river at hawkesbury road bridge","TP","2018-08-09","2019-12-11","17","0.004","0.02"
"omaka river at hawkesbury road bridge","TURB","2018-08-09","2019-12-11","17","0.13","5.3"
"omaka river at hawkesbury road bridge","ECOLI","2018-08-09","2019-12-11","17","1","350"
"omaka river at hawkesbury road bridge","TON","2018-08-09","2019-12-11","17","0.007","0.48"
"omaka river at hawkesbury road bridge","PH","2018-08-09","2019-12-11","17","7.5","7.8"
"onamalutu river at northbank road","NH4","2018-08-08","2019-12-09","17","0.005","0.011"
"onamalutu river at northbank road","DRP","2018-08-08","2019-12-09","17","0.001","0.0094"
"onamalutu river at northbank road","TN","2018-08-08","2019-12-09","17","0.062","0.64"
"onamalutu river at northbank road","TP","2018-08-08","2019-12-09","17","0.004","0.11"
"onamalutu river at northbank road","TURB","2018-08-08","2019-12-09","17","0.37","64"
"onamalutu river at northbank road","ECOLI","2018-08-08","2019-12-09","17","3","2900"
